locality_it,locality_printed,skeleton,circoscrizione_it,circoscrizione_kind,circoscrizione_ar,shabiya_ar,shabiya_en,shabiya_pcode,shabiya_matched_level,tav_xx_page,appendix_page,circoscrizione_printed,mahalla_id,mahalla_ar,match_rule
Argùb esc-Scèich,Argùb esc-Scèich,RKWBXYK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,l 64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Abiàr,Abiàr (el-),LBYR,el abiar,distretto,الأبيار,المرج,Marj,LY0102,baladiya,70,240,70 Distretto di el-Abiàr,,,no mahalla of that sound in the shabiya
Argùb Làma,Argùb Làma,RKWBLM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Abiàr Aùf,Abiàr Aùf,BYRWF,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,240,71 Distretto di . Gèrdes Gerràri,,,no shabiya
Argùb Rsesbi,Argùb Rsesbi,RKWBRSBY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,240,63 Residenza di' Tarhùna,,,no mahalla of that sound in the shabiya
Abiàr el-Gedèi,Abiàr el-Gedèi,BYRLGDY,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,240,71 Distretto di Gèrdes Gerràri,,,no shabiya
Argùb Sònia,Argùb Sònia,RKWBSNY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Abragh,Abragh (el-),LBRK,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,240,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Argùb Tugh,Argùb Tugh,RKWBTWK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Abùra,Abùra,BWR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,240,63 Residenza di Tarhùna,,,skeleton too short
el- Argùb Zìbi,Argùb Zìbi (el-),LRKWBZYBY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,240,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Ariga,Ariga (el-),LRYK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Acroma,Acroma,KRM,tobruch,distretto,طبرق,البطنان,Butnan,LY0104,baladiya,74,240,74 Distretto di Tòbruch,,,skeleton too short
Asbiàh,Asbiàh,SBY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,240,59 Residenza di Gariàn,,,skeleton too short
Ras el- Addar,Addar (Ras el-),RSLDR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residj:lnza di Tarhùna,,,no mahalla of that sound in the shabiya
el- 'Assa,'Assa (el-),LS,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,240,55 Distretto di Zuàra,,,skeleton too short
Addària,Addària',DRY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,skeleton too short
Gasr el- Assàbaa,Assàbaa (Gasr el-),KSRLSB,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,240,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Agàr,Agàr,KR,brach,mudiria,براك,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,240,75 Mudiriadi Brach,,,skeleton too short
Atèla (e1-),Atèla (e1-),TL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,skeleton too short
Uàdi el- Agar,Agar (Uàdi el-),WDYLKR,en nofilia,residenza,النوفلية,سرت,Sirte,LY0208,mahalla,67,240,67 Residenza di en-NofiUa,,,no mahalla of that sound in the shabiya
Bir Auàd,Auàd (Bir),BYRWD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Agarbìa,Agarbìa (el-),LKRBY,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,240,55 Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Bir Auègia,Auègia (Bir),BYRWG,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Agedàbia,Agedàbia,GDBY,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,240,68 Distretto di Agedàbia,,,no mahalla of that sound in the shabiya
el- Auègia,Auègia (el-),LWG,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,skeleton too short
el- Agelàt,Agelàt (el-),LGLT,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,240,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
el- Auenàt,Auenàt (el-),LWNT,gat,mudiria,غات,غات,Ghat,LY0321,shabiya,76,240,76 Mudiria di Gat,,,no mahalla of that sound in the shabiya
Aggàr,Aggàr,KR,uadi etba,mudiria,وادي عتبة,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,77,240,77 Mudiria di Uàdi Ètba,,,skeleton too short
Uàdi Auèni,Auèni (Uàdi),WDYWNY,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,240,63 Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
el- Aghèila,Aghèila (el-),LKYL,el agheila,distretto,العقيلة,الواحات,Al Wahat,LY0105,mahalla,67,240,67 Distretto di el-Aghèila,Al Wahat-012,العقيلة,skeleton and shabiya
el- Auenia,Auenia (el-),LWNY,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,62,240,62 Distretto di Mìzda,,,no mahalla of that sound in the shabiya
el- Aghiba,Aghiba (el-),LKYB,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,240,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
el- Aues,Aues (el-),LWS,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,skeleton too short
Uàdi el- Agiàl el-Gàrbi,Agiàl el-Gàrbi (Uàdi el-),WDYLGLKRBY,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,76,240,76 Mudiria di Uàdi el-Agiàl,,,no mahalla of that sound in the shabiya
Augila (Oasi di),Augila (Oasi di),WGLSYDY,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,240,68 Distretto di Agedàbia,,,no mahalla of that sound in the shabiya
Agiàlesc-Scèrghi fUàdi,Agiàlesc-Scèrghi fUàdi,GLXRKYFWDY,,,,,,,,,240,,,,no shabiya
el- Azizìa,Azizìa (el-),LZYZY,el azizia,distretto,العزيزية,الجفارة,Jafara,LY0212,baladiya,57,240,57 Distretto di el-Azizìa,,,no mahalla of that sound in the shabiya
Ras Azzàz,Azzàz (Ras),RSZ,porto bardia,residenza,البردية,البطنان,Butnan,LY0104,asserted,74,240,74 Residenza di Porto Bardìa,,,skeleton too short
Sìdi Ahàmed Dachì!,Ahàmed Dachì! (Sìdi),SYDYHMDKY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Ahel el-Uàdi,Ahel el-Uàdi,HLWDY,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,240,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
Sìdi Ahmèd ed-Dràgh,Ahmèd ed-Dràgh (Sìdi),SYDYHMDRK,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,,240,6z Residenza di Homs,,,no mahalla of that sound in the shabiya
Ahmed el-Magrùn (Sì&),Ahmed el-Magrùn (Sì&),HMDLMKRWNSY,soluch,residenza,سلوق,بنغازي,Benghazi,LY0103,baladiya,70,240,70 Residenza di Solùch,,,no mahalla of that sound in the shabiya
Ras el- Baccàr,Baccàr (Ras el-),RSLBKR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sìdi Ahmed Ùmran,Ahmed Ùmran (Sìdi),SYDYHMDWMRN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Bàcchi,Bàcchi (el-),LBKY,el gatrun,mudiria,القطرون,مرزق,Murzuq,LY0322,baladiya,78,240,78 Mudiria di el-Gatrùn,,,no mahalla of that sound in the shabiya
el- Aiùn,Aiùn(el-),LYWN,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,71,240,71 Distretto di Bèda Littòria,,,no mahalla of that sound in the shabiya
Badìrten,Badìrten,BDYRTN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,240,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Gasr el- Alàlga,Alàlga (Gasr el-),KSRLK,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,240,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Bàggala,Bàggala,BKL,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,,240,Residenza di Nalùt,,,skeleton too short
Alàuna (Territo degli el-),Alàuna (Territo degli el-),LWNTRYTDKLYL,castel benito,distretto,بن غشير,طرابلس,Tripoli,LY0211,asserted,58,240,58 Distretto di Castel Benito,,,no mahalla of that sound in the shabiya
el- Baggàra,Baggàra (el-),LBKR,,,,,,,,72,240,72,,,no shabiya
Aleiàn,Aleiàn,LYN,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,240,68 Distretto di Agedàbia,,,skeleton too short
Bagh1ìa,Bagh1ìa,BKY,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,240,68 Distretto di Agedàbia,,,skeleton too short
Alem . (e1-),Alem .(e1-),LM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64' Residenza di Tarhùna,,,skeleton too short
Bir el- Bahàìr,Bahàìr (Bir el-),BYRLBHYR,el azizia,distretto,العزيزية,الجفارة,Jafara,LY0212,baladiya,57,240,57 Distretto di el-Azina,,,no mahalla of that sound in the shabiya
Alì (Aln),Alì (Aln),LYLN,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,59,240,59 Residenza di Nalùt,,,no mahalla of that sound in the shabiya
el- Baharìa,Baharìa (el-),LBHRY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,240,59 Residenza di Gariàn,Jabal al Gharbi-015,البحرية,skeleton and shabiya
Sìdi Ali Ben Gr~bi,Ali Ben Gr~bi (Sìdi),SYDYLYBNKRBY,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,240,'65 Circondario di Zlìten,,,no mahalla of that sound in the shabiya
el- Bàrcat,Bàrcat (el-),LBRKT,gat,mudiria,غات,غات,Ghat,LY0321,shabiya,76,240,76 . Mudiria di Gat,Ghat-003,البركت,skeleton and shabiya
Sìdi Alì el~Fergiàni,Alì el~Fergiàni (Sìdi),SYDYLYLFRGNY,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,240,62 Residenza di Homs,,,no mahalla of that sound in the shabiya
Barce,Barce,BRK,barce,circondario,المرج,المرج,Marj,LY0102,shabiya,70,240,70 Circondario di Barce,,,skeleton too short
el- Amiàn,Amiàn (el-),LMYN,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,240,61 Distretto di Ièften,,,no mahalla of that sound in the shabiya
el- Bàrch,Bàrch (el-),LBRK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
AniìIÌl,AniìIÌl,NYL,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,240,61 Distretto di Ièfren,,,skeleton too short
Bardìa,Bardìa,BRDY,porto bardia,residenza,البردية,البطنان,Butnan,LY0104,asserted,74,240,74 Residenza di Porto Bardìa,Butnan-011,البردي,article dropped
Sìdi AmòrBen-Otmàn,AmòrBen-Otmàn (Sìdi),SYDYMRBNTMN,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,240,62 Residenza di Homs,,,no mahalla of that sound in the shabiya
Bargaìt el-Hadta,Bargaìt el-Hadta,BRKYTLHDT,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,240,55 Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Sìdi Amòr esc-Sciaàref,Amòr esc-Sciaàref (Sìdi),SYDYMRXYRF,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,240,62 Residenza di Homs,,,no mahalla of that sound in the shabiya
Bàses,Bàses,BS,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,73,240,73 Distretto di Derna,,,skeleton too short
el- Apuìa,Apuìa ( el- ),LBWY,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,240,68 Distretto di Agedàbia,,,no mahalla of that sound in the shabiya
Bateha,Bateha,BT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,skeleton too short
Amsèat,"Amsèat ,",MST,porto bardia,residenza,البردية,البطنان,Butnan,LY0104,asserted,74,240,74 Residenza di Porto Bardìa,,,skeleton too short
Bàtta,Bàtta,BT,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,240,", 72 Distretto di Cirene",,,skeleton too short
Uàdi el- Amza,Amza (Uàdi el-),WDYLMZ,sirte,residenza,سرت,سرت,Sirte,LY0208,shabiya,67,240,67 Residenzà di Sirte,,,no mahalla of that sound in the shabiya
Uàdi Battùm,Battùm (Uàdi),WDYBTWM,apollonia,distretto,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,73,240,73 Distretto di Apollònia,,,no mahalla of that sound in the shabiya
Amzìr,Amzìr,MZYR,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,240,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Bàza Celo),Bàza Celo),BZKL,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,240,65 Circondario di ZUten,,,no mahalla of that sound in the shabiya
Suàni el- Anèizi,Anèizi (Suàni el-),SWNYLNYZY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,240,69 Residenza di Bengasi,,,no mahalla of that sound in the shabiya
el- Bchàbcha,Bchàbcha (el-),LBKBK,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,240,61 Distretto ~di Ièfren,,,no mahalla of that sound in the shabiya
Antipyrgos,Antipyrgos,NTYBYRKS,tobruch,residenza,طبرق,البطنان,Butnan,LY0104,baladiya,74,240,74 Residenza di Tòbruch,,,no mahalla of that sound in the shabiya
Bcùr,Bcùr,BKWR,hon,mudiria,هون,الجفرة,Jufra,LY0317,asserted,79,240,79 Mudiria di Hon,,,no mahalla of that sound in the shabiya
Màrsa el- Aora,Aora (Màrsa el-),MRSLR,porto bardia,residenza,البردية,البطنان,Butnan,LY0104,asserted,74,240,74 Residenza di Porto Bardìa,,,no mahalla of that sound in the shabiya
"el- I Bde,r","I Bde,r (el-)",LYBDR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,240,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Apollònia,Apollònia,BLNY,apollonia,distretto,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,72,240,72 Distretto di Apollònia,,,no mahalla of that sound in the shabiya
el- Bèda,Bèda (el-),LBD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,240,63 Residenza di Tarhùna,,,skeleton too short
Sànla (pluro Suàni-dimo Suènia),Sànla (pluro Suàni-dimo Suènia),SNLBLWRSWNYDYMSWNY,,,,,,,,,240,,,,no shabiya
Sidi o o o o o o o o o o o,Sidi o o o o o o o o o o o,SYDY,,,,,,,,,240,,,,no shabiya
Gefàra o o o o o o,Gefàra o o o o o o,GFR,,,,,,,,,240,,,,no shabiya
- Uàdi (piuro Uidiàn-dimo Udèi,- Uàdi (piuro Uidiàn-dimo Udèi,WDYBYWRWYDYNDYMWDY,,,,,,,,,240,,,,no shabiya
- Got o,- Got o,KT,,,,,,,,,240,,,,no shabiya
con piuro Udeiàt),con piuro Udeiàt),KNBYWRWDYT,,,,,,,,,240,,,,no shabiya
tivata,tivata,TYWT,,,,,,,,,240,,,,no shabiya
stretta ed allungata,stretta ed allungata,STRTDLWNKT,,,,,,,,,240,,,,no shabiya
- Màrsa o o . o o o o o o,- Màrsa o o . o o o o o o .,MRS,,,,,,,,,240,,,,no shabiya
Zàviao o o o o o o o o o 'o,Zàviao o o o o o o o o o 'o,ZWY,,,,,,,,,240,,,,no shabiya
"Zàvia Bèd,a","Bèd,a(Zàvia)",ZWYBD,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,70,241,70 Distretto di Bèda Littòria,,,no mahalla of that sound in the shabiya
Bu Giarràr,Bu Giarràr,BWGR,tocra,residenza,توكرة,المرج,Marj,LY0102,baladiya,70,241,70 Residenza di Tòcra,Marj-027,بوجرار,skeleton and shabiya
Bèda Littòria,Bèda Littòria,BDLYTRY,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,70,241,"70 Distretto di Bèd,a Littòria",,,no mahalla of that sound in the shabiya
Gasr Bu Hàdi,Bu Hàdi (Gasr),KSRBWHDY,sirte,residenza,سرت,سرت,Sirte,LY0208,shabiya,67,241,67 Residenza di Sirte,,,no mahalla of that sound in the shabiya
el- Bedàn,Bedàn (el-),LBDN,traghen,mudiria,تراغن,مرزق,Murzuq,LY0322,asserted,78,241,78 Mudirla di Tràghen,,,no mahalla of that sound in the shabiya
Bu Haiàd,Bu Haiàd,BWHYD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhù.na,,,no mahalla of that sound in the shabiya
"el- Beèd,a","Beèd,a (el-)",LBD,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,241,"60 Resid,enza d,i Gariàn",,,skeleton too short
Uàdi Bu Harida,Bu Harida (Uàdi),WDYBWHRYD,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,241,55 Distretto di Sabràth;:t,,,no mahalla of that sound in the shabiya
Belèma,Belèma,BLM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,skeleton too short
Bu Hariga,Bu Hariga,BWHRYK,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,241,69 Residenza di Bengasi,,,no mahalla of that sound in the shabiya
Bèlghes,Bèlghes,BLKS,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,241,72 Distretto di· Cirene,Jabal al Akhdar-028,بلقس,skeleton and shabiya
el- Buia,Buia (el-),LBWY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,65,241,65 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Belihùsc,Belihùsc,BLYHWX,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,241,"71 Distretto d,i Gèrd,es Gerràri",,,no shabiya
Bu lsa,Bu lsa,BWLS,sorman,distretto,صرمان,الزاوية,Zawiya,LY0213,baladiya,55,241,55 Distretto di Sormàn,,,no mahalla of that sound in the shabiya
Bellichem,Bellichem,BLYKM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,"63 Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
Bu Lagràl,Bu Lagràl,BWLKRL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Ben Agàba,Ben Agàba,BNKB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,"64 Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
Bùma,Bùma,BWM,el giof,,الجوف,الكفرة,Kufra,LY0107,mahalla,79,241,79 Sottozona militare di el-Giòf,,,skeleton too short
Ben Cheren,Ben Cheren,BNKRN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,"63 Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
Bu Muàdi,Bu Muàdi,BWMWDY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,65,241,65 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Ben Cherfah,Ben Cherfah,BNKRF,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,"64 Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
Bunùcta,Bunùcta,BWNWKT,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,61,241,"61 Distrètto di Mìzd,a",,,no mahalla of that sound in the shabiya
Bend-Bèia,Bend-Bèia,BNDBY,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,241,77 Mudiria di Dàdi el-Agiàl,,,no mahalla of that sound in the shabiya
Burèmtha,Burèmtha,BWRMT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,"64 Residenza d,i Tarhùna",,,no mahalla of that sound in the shabiya
Ben Dlif,Ben Dlif,BNDLYF,traghen,mudiria,تراغن,مرزق,Murzuq,LY0322,asserted,78,241,78 Mudida di Tràghen,,,no mahalla of that sound in the shabiya
"Bu Sàad,a","Bu Sàad,a",BWSD,en nofilia,residenza,النوفلية,سرت,Sirte,LY0208,mahalla,67,241,"67 Resid,enza d,i en-Nofilia",,,no mahalla of that sound in the shabiya
