locality_it,locality_printed,skeleton,circoscrizione_it,circoscrizione_kind,circoscrizione_ar,shabiya_ar,shabiya_en,shabiya_pcode,shabiya_matched_level,tav_xx_page,appendix_page,circoscrizione_printed,mahalla_id,mahalla_ar,match_rule
el- Aràìed,Aràìed (el-),LRYD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,240,631 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Aaibìa,Aaibìa,YBY,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,240,61 Distretto di Ièfren,,,skeleton too short
Uàdi el- Arbàa,Arbàa (Uàdi el-),WDYLRB,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,240,59 Residenza di Gariàn,Jabal al Gharbi-009,وادي الارباع,skeleton and shabiya
Abbàr (el-) •,Abbàr (el-) •,BRL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,240,63 Residenza di Tarhùna,,,skeleton too short
el- Arbìa,Arbìa (el-),LRBY,apollonia,distretto,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,72,240,72 Distretto di Apollònia,,,no mahalla of that sound in the shabiya
Uàdi Sìdi Abd el-Aàti,Abd el-Aàti (Uàdi Sìdi),WDYSYDYBDLTY,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,240,62 Residenza di Homs,,,no mahalla of that sound in the shabiya
el- Arèbi,Arèbi (el-),LRBY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sidi Abd el-Gàder,Abd el-Gàder (Sidi),SYDYBDLKDR,el azizia,distretto,العزيزية,الجفارة,Jafara,LY0212,baladiya,57,240,57 Distretto di el-Azizìa,,,no mahalla of that sound in the shabiya
Gasr el- Arègia,Arègia (Gasr el-),KSRLRG,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,240,71 Distretto di Gèrdes Gerràri,,,no shabiya
Abd el-Guùi,Abd el-Guùi,BDLKWY,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,,240,Distretto di Zuàra,,,no mahalla of that sound in the shabiya
el- Argùb,Argùb (el-),LRKWB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,240,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sìdi Abd el-Uàhed,Abd el-Uàhed (Sìdi),SYDYBDLWHD,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,,240,~~ Distretto di Bèda Littòria,Jabal al Akhdar-016,سيدي عبد الواحد,skeleton and shabiya
Argùb Behìr,Argùb Behìr,RKWBHYR,,,,,,,,,240,,,,no shabiya
Sìdi Abdennùr,Abdennùr(Sìdi),SYDYBDNWR,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,240,65 Circondario di Zlìten,,,no mahalla of that sound in the shabiya
Argùb Bu Mìdi,Argùb Bu Mìdi,RKWBWMYDY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sìdi Abd es-Samàd,Abd es-Samàd (Sìdi),SYDYBDSMD,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,,240,Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Argùb el-Chbàf,Argùb el-Chbàf,RKWBLKBF,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sìdi Abdussaùna ',Abdussaùna '(Sìdi),SYDYBDWSWN,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,,240,l ~~ Circondario di ZUten,,,no mahalla of that sound in the shabiya
Argùb el-Faraùn,Argùb el-Faraùn,RKWBLFRWN,,,,,,,,,240,,,,no shabiya
el- Abeiàt,Abeiàt (el-),LBYT,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,240,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Argùb el-Ghìz,Argùb el-Ghìz,RKWBLKYZ,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,240,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Uàdi Abellù,Abellù (Uàdi),WDYBLW,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,240,I 60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Argùb el-Halìb,Argùb el-Halìb,RKWBLHLYB,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,240,68 Distretto di Agedàbia,,,no mahalla of that sound in the shabiya
el- Abiad,Abiad (el-),LBYD,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,240,77 Mudiria di Uàdi el-Agiàl,,,no mahalla of that sound in the shabiya
