colony,centre,row_kind,centre_ar,shabiya_ar,shabiya_en,shabiya_pcode,shabiya_route,famiglie,present_total,resident,match_score,label_agrees,label_printed
Tripolitania,tripoli,centre,طرابلس,طرابلس,Tripoli,LY0211,concordance,2813,16010,16558,1.0,yes,Tripoli ...........................
Tripolitania,tripoli,section,,,,,not a centre,10,268,284,,,di I · CU~ nella « Sezione Mare» .•...
Tripolitania,azizia,centre,العزيزية,الجفارة,Jafara,LY0212,concordance,13,22,29,0.8,yes,"~izia ............. , ............."
Tripolitania,homs,centre,الخمس,المرقب,Murqub,LY0210,concordance,89,1612,1752,0.75,yes,Boms ............................
Tripolitania,sorman,centre,صرمان,الزاوية,Zawiya,LY0213,concordance,2,4,5,1.0,yes,", 'Sormàn .........................."
Tripolitania,sugh el giumaa,centre,سوق الجمعة,طرابلس,Tripoli,LY0211,concordance,38,123,130,1.0,yes,Sugh el-Giumaa ............... : :
Tripolitania,tagiura,centre,تاجوراء,طرابلس,Tripoli,LY0211,concordance,9,31,39,1.0,yes,TagiUra ...........................
Tripolitania,zanzur,centre,جنزور,الجفارة,Jafara,LY0212,concordance,17,21,19,1.0,yes,"ZanzUr ........ , ..................."
Tripolitania,zauia,centre,الزاوية,الزاوية,Zawiya,LY0213,concordance,17,48,42,1.0,yes,"'Zauia ....................... "" ....."
Tripolitania,zuara,centre,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,concordance,92,695,758,1.0,yes,"Zuara ............... 'o ••••••••• ',"""
Tripolitania,zuara,section,,,,,not a centre,41,146,145,,,di 'cui nella « Sezione Mare» . ....
Tripolitania,totale,total,,,,,not a centre,3090,18566,19332,,,"T.OTALE, •.•"
Cirenaica,bengasi,centre,بنغازي,بنغازي,Benghazi,LY0103,concordance,1110,6079,6548,1.0,yes,Bengasi • • • • • 0 • • • • • • • • • • • • ' • • • •
Cirenaica,cirene,centre,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,concordance,37,223,229,1.0,yes,"""Cirene ;"" ............•.... : ........."
Cirenaica,derna,centre,درنة,درنة,Derna,LY0101,concordance,227,1315,1550,1.0,yes,Derna ............................
Cirenaica,driana,centre,دريانة,المرج,Marj,LY0102,concordance,1,2,4,0.92,yes,"Driana • ~ • • • "" • • • o , , • • • • • • • • • • • • • • • •"
Cirenaica,el merg,centre,المرج,المرج,Marj,LY0102,concordance,79,244,244,0.83,yes,El. J\{erg .. : .......................
Cirenaica,ghemines,centre,قمينس,بنغازي,Benghazi,LY0103,concordance,5,19,19,1.0,yes,Ghemines ...........................
Cirenaica,marsa susa,centre,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,concordance,32,248,248,0.67,yes,Marsa Susa (Apollonia) ...........
Cirenaica,regima,centre,الرجمة,المرج,Marj,LY0102,concordance,6,82,83,1.0,yes,Régima ... : .............. ; ........
Cirenaica,soluch,centre,سلوق,بنغازي,Benghazi,LY0103,concordance,5,34,35,0.5,no,Sbluél1: ................... ' ........
Cirenaica,tilimun,centre,تلمين,,,,unplaced,1,3,3,0.67,yes,Titimlin ..........................
Cirenaica,tobruch,centre,طبرق,البطنان,Butnan,LY0104,concordance,70,317,312,0.67,yes,"1'6brudh,: .................... . ·11 •••• ."
Cirenaica,tocra,centre,توكرة,المرج,Marj,LY0102,concordance,4,18,17,0.0,no,", ."
Cirenaica,tolmeta,centre,طلميثة,المرج,Marj,LY0102,asserted,14,22,25,1.0,yes,Tolméta .......... .............. ~
Cirenaica,zavia hania,centre,زاوية الحنية,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,1,1,1,1.0,yes,"Zavia Hania ....... , .. ~ ..........."
Cirenaica,totale,total,,,,,not a centre,1592,8607,9318,,,TOTALE •.•
