circoscrizione_it,circoscrizione_ar,shabiya_ar,shabiya_en,shabiya_pcode,matched_level,localities
agedabia,أجدابيا,الواحات,Al Wahat,LY0105,asserted,17
apollonia,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,11
barce,المرج,المرج,Marj,LY0102,shabiya,3
beda littoria,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,16
bengasi,بنغازي,بنغازي,Benghazi,LY0103,shabiya,21
beni ulid,بني وليد,مصراته,Misrata,LY0214,asserted,1
berghin,برقن,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,5
brach,براك,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,11
castel benito,بن غشير,طرابلس,Tripoli,LY0211,asserted,4
cirene,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,30
cussabat,القصبات,المرقب,Murqub,LY0210,asserted,0
derna,درنة,درنة,Derna,LY0101,shabiya,13
edri,إدري,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,6
el abiar,الأبيار,المرج,Marj,LY0102,baladiya,1
el agheila,العقيلة,الواحات,Al Wahat,LY0105,mahalla,6
el azizia,العزيزية,الجفارة,Jafara,LY0212,baladiya,8
el gatrun,القطرون,مرزق,Murzuq,LY0322,baladiya,4
el giof,الجوف,الكفرة,Kufra,LY0107,mahalla,14
el gusbat,القصبات,المرقب,Murqub,LY0210,asserted,23
el marg,المرج,المرج,Marj,LY0102,shabiya,0
en nofilia,النوفلية,سرت,Sirte,LY0208,mahalla,10
gadames,غدامس,نالوت,Nalut,LY0209,baladiya,5
garian,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,88
gasr ben gascir,بن غشير,طرابلس,Tripoli,LY0211,asserted,0
gat,غات,غات,Ghat,LY0321,shabiya,7
gerdes gerrari,قرضس الجرارى,,,,unresolved,17
giado,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,29
giovanni berta,القبة,درنة,Derna,LY0101,baladiya,3
homs,الخمس,المرقب,Murqub,LY0210,baladiya,26
hon,هون,الجفرة,Jufra,LY0317,asserted,9
iefren,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,36
misda,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,0
misurata,مصراتة,مصراته,Misrata,LY0214,shabiya,8
mizda,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,18
murzuch,مرزق,مرزق,Murzuq,LY0322,shabiya,4
nalut,نالوت,نالوت,Nalut,LY0209,shabiya,24
porto bardia,البردية,البطنان,Butnan,LY0104,asserted,7
sabratha,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,26
sebha,سبها,سبها,Sabha,LY0319,shabiya,7
sirte,سرت,سرت,Sirte,LY0208,shabiya,9
soluch,سلوق,بنغازي,Benghazi,LY0103,baladiya,4
sorman,صرمان,الزاوية,Zawiya,LY0213,baladiya,5
suani ben adem,سواني بن آدم,الجفارة,Jafara,LY0212,asserted,2
sugh el giumaa,سوق الجمعة,طرابلس,Tripoli,LY0211,baladiya,4
tagiura,تاجوراء,طرابلس,Tripoli,LY0211,baladiya,1
tarhuna,ترهونة,المرقب,Murqub,LY0210,baladiya,224
tobruch,طبرق,البطنان,Butnan,LY0104,baladiya,5
tocra,توكرة,المرج,Marj,LY0102,baladiya,8
tolmeta,طلميثة,المرج,Marj,LY0102,asserted,2
traghen,تراغن,مرزق,Murzuq,LY0322,asserted,11
tripoli,طرابلس,طرابلس,Tripoli,LY0211,shabiya,1
uadi el agial,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,20
uadi etba,وادي عتبة,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,5
umm el araneb,أم الأرانب,مرزق,Murzuq,LY0322,asserted,9
zanzur,جنزور,البطنان,Butnan,LY0104,mahalla,12
zavia,الزاوية,الزاوية,Zawiya,LY0213,shabiya,2
zella,زلة,الجفرة,Jufra,LY0317,asserted,2
zliten,زليتن,مصراته,Misrata,LY0214,asserted,21
zuara,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,22
