pdf_page,printed_page,block,label,row_kind,dwelling,famiglie,present_mf,present_f,absent_mf,is_consistent,locality_it,circoscrizione_it,shabiya_en,shabiya_pcode,label_printed
124,57,0,ALTRI CENSITI. st,quarter,st,6,212,5,,1,,,,,ALTRI CENSITI. st.
124,57,0,SìDI EL·MESRI,locality,,1174,4683,2308,,1,Sìdi el- Mèsri,sugh el giumaa,Tripoli,LY0211,SìDI EL·MESRI .
124,57,0,Oens. 1931 (*),census_1931,,1184,4443,2120,,1,,,,,Oens. 1931 (*)
124,57,0,QUARTIERI,quarter,,285,1146,569,,1,,,,,QUARTIERI:
124,57,0,el·Rassciàn • • I ~,locality,,5,18,11,2,1,,,,,el·Rassciàn • • I :~:
124,57,0,lO,locality,,210,899,460,,1,,,,,lO
124,57,0,Ghèrued el.Hassciànl ~~,locality,,5,31,12,,1,,,,,Ghèrued el.Hassciànl ~~:
124,57,0,Ulàd el-Hag. . . '1 st,locality,st,133,494,241,12,1,,,,,Ulàd el-Hag. . . '1 st.
124,57,0,Ulàd el·Maràghni . st,locality,st,134,536,255,9,1,,,,,Ulàd el·Maràghni . st.
124,57,0,Zenàta . l st,locality,st,287,1138,,8,1,,,,,Zenàta . l st.
124,57,0,· sn,locality,sn,,5,5622,,0,,,,,· sn.
124,57,0,er·Ràchsa. l 11>2,locality,st,,343,,18,1,,,,,er·Ràchsa. l st. 11>2
124,57,0,· 9!1 lO,locality,sn,,221,,,1,,,,,· sn. 9!1 lO
124,57,0,ALTRI CENSITI. . 1 st,quarter,st,14,51,24,,1,,,,,ALTRI CENSITI. . 1 st.
124,57,1,"Ì-~7_~ ______ ~1 ____ ~ ____ ~2 ____ -+~3~~4~~_~5_~~6~~~7~_1 Residenza di ,el-Azizia 15.649123.765 11.308",locality,,,,,346,0,el- Azizìa,el azizia,Jafara,LY0212,"Ì-~7_~ ______ ~1 ____ ~ ____ ~2 ____ -+~3~~4~~_~5_~~6~~~7~_1 Residenza di ,el-Azizia 15.649123.765 11.308"
124,57,1,Distretto di el-Azizia 5.069 21.365 10.143,subtotal,,,,,239,0,,,,,Distretto di el-Azizia 5.069 21.365 10.143
124,57,1,EL-AzIZìA 2.359 10.162,locality,,,,4793,117,0,el- Azizìa,el azizia,Jafara,LY0212,EL-AzIZìA 2.359 10.162
124,57,1,Oens. 1931 (*),census_1931,,2250,9364,4514,,1,,,,,Oens. 1931 (*)
124,57,1,I GRUPPO ULÀD AUÈN 147 Bir Umm el·Grun . ) el·Bràna . . . 4J,locality,sn,102,,206,4,0,Bir Umm el-Grun,el azizia,Jafara,LY0212,I GRUPPO ULÀD AUÈN: 147 Bir Umm el·Grun . ) el·Bràna . . . sn. 4J
124,57,1,Ulàd el·Giahiia el-I -,locality,st,6,151,4,,1,,,,,Ulàd el·Giahiia el-I st. -
124,57,1,Foghiin (e) sn,locality,sn,117,,240,14,0,,,,,Foghiin (e) sn.
124,57,1,Ulàd Atia el-Fo· 605 Bir Cuca . ghiin . 1,locality,sn,115,,271,6,0,Bir Cuca,el azizia,Jafara,LY0212,Ulàd Atia el-Fo· 605 Bir Cuca . ghiin . sn. :::1
124,57,1,l es·Sàhla sn,locality,sn,123,495,235,,1,,,,,l es·Sàhla sn.
124,57,1,,locality,,,,,7,0,,,,,
124,57,1,Ulàd Tellis el·Fo- ghiin . sn,locality,sn,109,444,195,,1,,,,,Ulàd Tellis el·Fo- ghiin . sn.
124,57,1,Bir el-Bahàir Ulàd Sàleh '. ~,locality,sn,342,1502,707,,1,Bir el- Bahàìr,el azizia,Jafara,LY0212,Bir el-Bahàir Ulàd Sàleh '. sn. ~
124,57,1,~ el·Azib . I,locality,sn,105,468,228,,1,,,,,~ el·Azib . sn. I
124,57,1,Ulàd 1sa sn,locality,sn,227,973,445,6,1,,,,,Ulàd 1sa sn.
124,57,1,81 Bir Ulàd Giàher. Ulàd Giàber sn,locality,sn,138,505,224,18,1,,,,,81 Bir Ulàd Giàher. Ulàd Giàber sn.
124,57,1,l Ulàd Atia el·Otiin . sn,locality,sn,133,527,238,11,1,,,,,l Ulàd Atia el·Otiin . sn.
124,57,1,GRUPPO EL-ORÈTNA Sidi Giàber . Ulàd Rusèn. fil (),locality,sn,,355,160,,1,Sìdi Giàber,,,,GRUPPO EL-ORÈTNA: Sidi Giàber . Ulàd Rusèn. sn. fil ()
124,57,1,) Abd Rabb sn,locality,sn,138,625,305,9,1,,,,,) Abd Rabb sn.
124,57,1,Aggàr sn,locality,sn,86,366,186,5,1,,,,,Aggàr sn.
124,57,1,el·Chasciàira sn,locality,sn,125,548,278,2,1,,,,,el·Chasciàira sn.
124,57,1,es-Stut,locality,,88,396,206,6,1,,,,,es-Stut •
124,57,1,~ l 209 Sidi Abd el·Gàder. I CAB. MARABUTICHE Ulàd Zàid sn,locality,sn,215,859,417,3,1,Sidi Abd el-Gàder,el azizia,Jafara,LY0212,~ sn'l 209 Sidi Abd el·Gàder. I CAB. MARABUTICHE : Ulàd Zàid sn.
124,57,1,~ 1 Sldi Giàber. el-Giuàber -,locality,sn,55,263,138,,1,,,,,~ 1 Sldi Giàber. el-Giuàber sn. -
124,57,1,ez-Zenànda (f) • sn,locality,sn,49,209,105,3,1,,,,,. . ez-Zenànda (f) • sn.
124,57,1,~I' Bir Ulàd Giàber. \ ALTRI CENSITI. st,quarter,st,5,169,5,1,1,Bir Ulàd Giàber,el azizia,Jafara,LY0212,~I' Bir Ulàd Giàber. \ ALTRI CENSITI. st.
124,57,1,BIR ES·SBÈA,locality,,421,1823,878,12,1,Bir es- Sbèa,,,,BIR ES·SBÈA .
124,57,1,,locality,,308,1322,633,,1,,,,,
124,57,1,GRUPPO ER-RGREÀT \ Bèni Atia esc·Scer· I ghia . . . . . . sn,locality,sn,120,542,257,4,1,,,,,GRUPPO ER-RGREÀT: \ Bèni Atia esc·Scer· I ghia . . . . . . sn'
124,57,1,"(I) , Bèni Atia el·Garbia sn",locality,sn,160,666,327,8,1,,,,,"(I) , Bèni Atia el·Garbia sn."
124,57,1,Ulàd Usciàh l,locality,sn,93,401,195,,1,,,,,' Ulàd Usciàh sn. l
124,57,1,( CAB. M ARABUTICHE el·Bùsra el-Aràghba,census_1931,,48,214,99,,1,,,,,. ( CAB. M;ARABUTICHE : el·Bùsra el-Aràghba
124,57,1,/ Brn BEN RAMMÀDI,locality,sn,603,2514,1250,,1,,,,,sn./ Brn BEN RAMMÀDI
124,57,1,O~ns i931'(*j,census_1931,,452,1916,955,,1,,,,,O~ns·. i931'(*j
124,57,1,"I GRUPPO ER-RG,HEÀT Ulàd Ramèd sn",locality,sn,178,736,375,11,1,,,,,"I GRUPPO ER-RG,HEÀT: Ulàd Ramèd sn."
124,57,1,l Ulàd Mèrghem an,locality,,276,1131,549,9,1,,,,,l Ulàd Mèrghem an.
124,57,1,(I) CAB. MÀRABUTICHE Ulàd Bu Èscia el· Garbia sn,locality,sn,149,,326,4,0,,,,,(I) CAB. MÀRABUTICHE: Ulàd Bu Èscia el· Garbia sn.
124,57,1,80 I GRUPPO EL-GANÀFDA BIR BU SNÈNA. Ulàd Saùd -985,locality,sn,483,,,,0,"Bir Bu ,Snèna",el azizia,Jafara,LY0212,80 I GRUPPO EL-GANÀFDA: BIR BU SNÈNA. Ulàd Saùd sn. -985
124,57,1,20 I Oens. 1931 (*),census_1931,,454,,891,,0,,,,,20 I Oens. 1931 (*)
124,57,1,BIR GIAMM ÀL,locality,,1203,4777,2237,45,1,Bir Giammàl,,,,BIR GIAMM:ÀL
124,57,1,Oens. 1931 (*) 2.11 1,census_1931,,1129,4541,,,1,,,,,Oens. 1931 (*) 2.11:1
124,57,1,GRUPPO EL GANÀFDA el-Mòlta . sn,locality,sn,585,2247,1030,12,1,,,,,GRUPPO EL GANÀFDA: el-Mòlta . sn.
124,57,1,(I) Ulàd Rarb sn,locality,sn,311,1280,641,26,1,,,,,(I) Ulàd Rarb sn .
124,57,1,Ulàd Ramèd sn,locality,sn,307,1250,566,7,1,,,,,Ulàd Ramèd sn.
125,58,0,l,locality,,,,,,0,,,,,l
125,58,0,I DistTetto di Suàni ben Adem,locality,,580,2400,1165,,1,,,,,I DistTetto di Suàni ben Adem
125,58,0,Hosc EL-BRAHìM BEN MASAÙD I 33.9 eSI,locality,,,1381,,5,1,,,,,Hosc EL-BRAHìM BEN MASAÙD I 33.9 eSI
125,58,0,,locality,,,699,315,,1,,,,,
125,58,0,"/ GRUPPO , el-Amàim. ULAD AUÈN Oens. 1931 (*) J 181 l",census_1931,,101,405,202,,1,,,,,"/ GRUPPO , el-Amàim. ULAD AUÈN: Oens. 1931 (*) J 181 l"
125,58,0,( l) OAB. VARIE I 1 I -,locality,st,5,25,13,1,1,,,,,( l) OAB. VARIE: I 1 st. I -
125,58,0,es-Saàdi (b) . sn,locality,sn,231,945,430,,1,,,,,es-Saàdi (b) . sn.
125,58,0,,locality,,,,,4,0,,,,,
125,58,0,ALTRI CENSITI. - -,quarter,st,2,6,,,1,,,,,ALTRI CENSITI. st. - -
125,58,0,BIR ER-RFAFìA . 241,locality,,,1019,514,102,1,Bir er- Rfafìa,suani ben adem,Jafara,LY0212,BIR ER-RFAFìA . 241.
125,58,0,Oens. 1931 (*),census_1931,,144,606,296,,1,,,,,Oens. 1931 (*)
125,58,0,GRUPPO ULAD AUÈN (I) Ulàd Tellis el-Otiin sn,locality,sn,,535,257,6,1,,,,,GRUPPO ULAD AUÈN: (I) Ulàd Tellis el-Otiin sn.
125,58,0,~ Miamin. gil,locality,sn,,484,257,,1,,,,,~ Miamin. sn. gil
125,58,0,,locality,,,,,96,0,,,,,
125,58,0,Residenza di Tagiùra 6.253 25.785 12.406,subtotal,,,,,586,0,,,,,Residenza di Tagiùra 6.253 25.785 12.406
125,58,0,Distretto di Castel Benito,subtotal,,2325,9805,4688,164,1,,,,,Distretto di Castel Benito
125,58,0,TERRITORIO DEGLI AccÀRA,subtotal,,1360,5882,2838,80,1,,,,,TERRITORIO DEGLI AccÀRA
125,58,0,(Valle dell'Uàdi el-Megenìn) Oens. 1931 (*),census_1931,,929,3955,1895,,1,,,,,(Valle dell'Uàdi el-Megenìn) Oens. 1931 (*)
125,58,0,GRUPPO ER-RGHEAT el-MllJ 'azigh . 1,locality,st,,1086,532,23,1,,,,,GRUPPO ER-RGHEAT: el-MllJ:'azigh . st.1
125,58,0,OAB. MARABUTICHE,census_1931,,254,,,,0,,,,,", OAB. MARABUTICHE :"
125,58,0,Ohuèled l,locality,st,1,1651,83,,1,,,,,Ohuèled st. l
125,58,0,(I) OAB. VARIE esc-Sciòrfa (c) • -,locality,st,151,6391,302,,1,,,,,(I) OAB. VARIE: st. esc-Sciòrfa (c) • -
125,58,0,el-Auanin (d) st,locality,st,156,673,315,,1,,,,,el-Auanin (d) st.
125,58,0,Rdud ez-Zàvia (d). st,locality,st,174,743,377,4,1,,,,,Rdud ez-Zàvia (d). st.
125,58,0,el-Oubairin (d). st,locality,st,256,1080,519,25,1,,,,,el-Oubairin (d). st.
125,58,0,et-Tamàim l,locality,st,113,508,246,,1,,,,,et-Tamàim st. l
125,58,0,el-Adnàf (d) st,locality,st,136,610,275,4,1,,,,,el-Adnàf (d): st.
125,58,0,el-Lota (d) 7l,locality,st,,321,155,4,1,,,,,el-Lota (d) st. 7l
125,58,0,ALTRI CENSITI. -,quarter,st,11,57,24,,1,,,,,ALTRI CENSITI. st. -
125,58,0,TERRITORIO DEGLI EL-ALÀUNA,subtotal,,965,3923,1850,84,1,,,,,TERRITORIO DEGLI EL-ALÀUNA .
125,58,0,( Valle degli U idian el-Ohèrua Oens. 1931 (*),census_1931,,733,3192,1480,,1,,,,,( Valle degli U idian el-Ohèrua Oens. 1931 (*)
125,58,0,ed er-Rbèa) GRUPPO I EL-ALAuNA Il Ulàdel-Hag . sto lO,locality,,1361,532,241,,0,,,,,"ed er-Rbèa) GRUPPO I EL-ALAuNA: Il Ulàdel-Hag . sto lO,"
125,58,0,Ulàd Saèda. l,locality,st,92,365,167,,1,,,,,Ulàd Saèda. st'l
125,58,0,Ràchset Bir Diàb 1~1,locality,st,202,841,399,,1,,,,,Ràchset Bir Diàb st. 1~1
125,58,0,Ràchset Bu Èscia st I,locality,,109,407,188,26,1,,,,,Ràchset Bu Èscia: st I
125,58,0,(I) el-Galàlba el-Olia st,locality,st,74,292,142,,1,,,,,(I) el-Galàlba el-Olia st.
125,58,0,el-Galàlba Sufla 1~1,locality,,72,307,151,,1,,,,,el-Galàlba Sufla 1~1
125,58,0,l el-Habàscia . -,locality,st,99,,208,,0,,,,,st'l el-Habàscia . st. -
125,58,0,OAB. MARABUTICHE,census_1931,,,436,,,1,,,,,OAB. MARABUTICHE:
125,58,0,"es-Siàh, en-Naàm . st",locality,st,59,247,116,,1,,,,,"es-Siàh, en-Naàm . st."
125,58,0,Ulàd bu Èscia esc-,locality,,,1,,,1,,,,,Ulàd bu Èscia esc-
125,58,0,Scerghiin st,locality,st,122,496,238,8,1,,,,,Scerghiin st.
125,58,0,Distretto di Tagiùra 2.461 10.136,subtotal,,,,4981,135,0,,,,,", Distretto di Tagiùra 2.461 10.136"
125,58,0,TAGIÙRA,locality,,1973,8097,4017,117,1,Tagiùra,tagiura,Tripoli,LY0211,TAGIÙRA.
125,58,0,"Oens. 1931 (*) 3.6,56",census_1931,,1315,7426,,,1,,,,,"Oens. 1931 (*) 3.6,56"
125,58,0,QUARTIERI Belàscehar st,quarter,st,335,1269,634,9,1,,,,,QUARTIERI: Belàscehar st.
125,58,0,el-Burhanla st,locality,st,367,1457,732,50,1,,,,,el-Burhanla : st.
125,58,0,el-Otmania st,locality,st,,1452,726,16,1,,,,,el-Otmania st.
125,58,0,el-Massciài ~~~I,locality,st,,1439,701,17,1,,,,,el-Massciài st. ~~~I
125,58,0,el-Hamidia st,locality,st,,2262,1114,,1,,,,,el-Hamidia st.
125,58,0,IS RAELITI. I,locality,st,41,174,92,4,1,,,,,IS:RAELITI. st. I
125,58,0,ALTRI CENSITI. st,quarter,st,8,,18,,0,,,,,ALTRI CENSITI. st.
125,58,0,-I,locality,,,34,,,1,,,,,-I
125,58,0,,locality,,1,,,,0,,,,,
125,58,1,l lÌ,locality,,,,,,0,,,,,l lÌ
125,58,1,I 107 UÀDI EL-GÀRBI Uàdi el-Gàrbi (quar- tiere) . st,locality,st,162,703,317,5,1,Uàdiel- Gàrbi,,,,I 107 UÀDI EL-GÀRBI Uàdi el-Gàrbi (quar- tiere) . st.
125,58,1,Oens. 1931 (*),census_1931,,135,514,225,,1,,,,,Oens. 1931 (*)
125,58,1,UÀDI ESC-SCÈRGHI . Uàdi esc-Scèrghi (quartiere) st,locality,st,254,1045,501,8,1,Uàdi esc- Scèrghi,,,,UÀDI ESC-SCÈRGHI . Uàdi esc-Scèrghi (quartiere) st.
125,58,1,Oens. 1931 (*),census_1931,,150,823,399,,1,,,,,Oens. 1931 (*)
125,58,1,UÀDI EL-GÀRBI E UÀDI ESC-SCÈRGHI en-Naàm (e) . st,locality,st,72,291,146,5,1,,,,,UÀDI EL-GÀRBI E UÀDI ESC-SCÈRGHI en-Naàm (e) . st.
125,58,1,Oens. 1931 (*),census_1931,,64,256,133,,1,,,,,Oens. 1931 (*)
125,58,1,Distretto di Gasr el-Garabùlli,subtotal,,,5844,2737,,1,,,,,Distretto di Gasr el-Garabùlli
125,58,1,,locality,,1467,,,2871,0,,,,,
125,58,1,,locality,,1,,,,0,,,,,
125,58,1,GASR EL-GARABùLLI,locality,,1467,5844,2737,287,1,Gasr el- Garabùlli,,,,GASR EL-GARABùLLI
125,58,1,Oens. 1931 (*),census_1931,,1198,5484,2531,,1,,,,,Oens. 1931 (*)
125,58,1,esc-Sceredàt . st,locality,st,102,450,196,11,1,,,,,esc-Sceredàt . st.
125,58,1,el-Giabil st,locality,st,114,409,182,3,1,,,,,el-Giabil st.
125,58,1,el-Oràua st,locality,st,227,961,474,42,1,,,,,el-Oràua st.
125,58,1,er-Ruàgiah st,locality,st,351,1365,633,86,1,,,,,er-Ruàgiah st.
125,58,1,el-OhuàIegh . st,locality,st,213,873,410,11,1,,,,,el-OhuàIegh . st.
125,58,1,(I) ez-Ziàina st,locality,st,126,425,184,45,1,,,,,(I) ez-Ziàina st.
125,58,1,el-Atàia st,locality,st,223,844,411,78,1,,,,,el-Atàia st.
125,58,1,el-Ganaimia . st,locality,st,101,472,225,11,1,,,,,el-Ganaimia . st.
125,58,1,ALTRI CENSITI. lO ~,quarter,st,,45,21,,1,,,,,ALTRI CENSITI. st. lO ~
125,58,1,CIRCONDARIO DI NALll'T 5.680 23.030 11.337,subtotal,,,,,659,0,,,,,CIRCONDARIO DI NALll'T 5.680 23.030 11.337
125,58,1,Residenza di Nalùt 4.638 19.404,subtotal,,,,9331,525,0,,,,,Residenza di Nalùt 4.638 19.404
125,58,1,NALÙT,locality,,1439,5847,2892,286,1,Nalùt,nalut,Nalut,LY0209,NALÙT.
125,58,1,GRUPPO NALÙT EL-OTIìN Nalùt el-Asàcra st,locality,st,254,1049,510,14,1,,,,,GRUPPO NALÙT EL-OTIìN: Nalùt el-Asàcra st.
125,58,1,el-Gazàia el-Gazàia . st,locality,st,105,467,225,3,1,,,,,el-Gazàia el-Gazàia . st.
125,58,1,GRUPPO NALÙT EL-FOGHIìN Nalùt el-Magàdma . st,locality,st,214,984,465,13,1,,,,,GRUPPO NALÙT EL-FOGHIìN : Nalùt el-Magàdma . st.
125,58,1,Nalùt Ulàd Brahim st·,locality,,206,884,414,15,1,,,,,Nalùt Ulàd Brahim st·
125,58,1,17 Tighit Ulàd Mahmùd st,locality,st,150,571,282,25,1,Tighìt,nalut,Nalut,LY0209,17 Tighit Ulàd Mahmùd st.
125,58,1,OAB. VARIE ~ el-Azzàba. st,census_1931,st,181,759,362,9,1,,,,,OAB. VARIE: ~ el-Azzàba. st.
125,58,1,(I) -,locality,st,6,27,14,,1,,,,,(I) st. -
125,58,1,I ISRAELITI. AurRI CENSITI. st,quarter,st,323,1106,620,209,1,,,,,I ISRAELITI. AurRI CENSITI. st.
125,58,1,OABÀO,census_1931,,710,3097,1515,111,1,,,,,OABÀO.
125,58,1,Oens. 1931 (*),census_1931,,684,2849,1333,,1,,,,,Oens. 1931 (*)
125,58,1,RAMO EL-HAUÀMED el-Hauàmed . el-Ohanàsua (I) st,subtotal,st,104,426,220,45,1,,,,,RAMO EL-HAUÀMED: el-Hauàmed . el-Ohanàsua (I) st.
125,58,1,,locality,,,,,,0,,,,,
125,58,1,Ulàd Sàad • st,locality,st,91,389,197,,1,,,,,Ulàd Sàad • st.
125,58,1,OAB. VARIE '~ el-Azzàba el-Otiin. lO,census_1931,st,,51,28,,1,,,,,OAB. VARIE: '~ el-Azzàba el-Otiin. st. lO
125,58,1,(I) el-Azzàba el-Foghiin 3~,locality,st,,189,96,,1,,,,,(I) el-Azzàba el-Foghiin st. 3~
125,58,1,en-Nàuam st,locality,st,114,513,248,9,1,,,,,en-Nàuam st.
125,58,1,Ulàd ìsa st,locality,st,49,240,114,2,1,,,,,Ulàd ìsa st.
125,58,1,Ulàd OhIifa . st,locality,st,781,328,151,7,0,,,,,Ulàd OhIifa . st.
125,58,1,Ulàd Iùnes • st,locality,st,,186,94,3,1,,,,,Ulàd Iùnes • st.
125,58,1,2 Fersàtta Fersàtta !~I l,locality,st,,295,149,,1,,,,,2 Fersàtta Fersàtta st. !~I l
125,58,1,Tartùr el-Magiàbra . st,locality,st,,439,194,18,1,Tartùr,nalut,Nalut,LY0209,Tartùr el-Magiàbra . st.
125,58,1,I 11~ (I) ALTRI CENSITI. -,quarter,st,,41,24,,1,,,,,I 11~ (I) ALTRI CENSITI. st. -
125,58,1,EL-GIÒSC,locality,,1151,4757,2128,28,1,el- Giòsc,,,,"EL-GIÒSC ,"
125,58,1,Oens. 1931 (*),census_1931,,805,3930,1710,,1,,,,,Oens. 1931 (*)
125,58,1,RAMO ES-SIAÀN Ulàd Sciarràda n,subtotal,n,160,703,320,1,1,,,,,RAMO ES-SIAÀN: Ulàd Sciarràda n.
125,58,1,~ Ulàd Mohàmmed ·i n,locality,n,314,1223,534,13,1,,,,,~ Ulàd Mohàmmed ·i n .
125,58,1,(l) -,locality,st,5,24,9,,1,,,,,(l) st. -
125,58,1,1 385. l,locality,n,211,846,,,1,,,,,'1 n. 385. l
125,58,1,( el-Hamàila . B.t. -,locality,,15,65,26,,1,,,,,( el-Hamàila . B.t. -
125,58,1,Ulàd Sellàm 4,locality,n,333,1473,555,,1,,,,,"Ulàd Sellàm n. 4,"
125,58,1,"I 21 Giòsc el-Ohebir, Giòsc OAB. VARIE es-Seghir el Giauàscia. .83",locality,st,,308,,,1,,,,,"I 21 Giòsc el-Ohebir, Giòsc OAB. VARIE: es-Seghir el Giauàscia. st. .83"
125,58,1,(I) ALTRI CENSITI. l ~il,quarter,st,,115,55,,1,,,,,(I) ALTRI CENSITI. st' l ~il
125,58,1,,locality,,301,,1,,0,,,,,
126,59,0,I,locality,,958,4176,2074,59,1,,,,,I
126,59,0,EL·HARÀBA Qeng!m. Gerigen. st,locality,st,92,419,211,12,1,Gerìgen,nalut,Nalut,LY0209,EL·HARÀBA Qeng!m. Gerigen. st.
126,59,0,Tendemmira Tendemmira st,locality,st,86,434,210,1,1,Tendemmìra,nalut,Nalut,LY0209,Tendemmira Tendemmira st.
126,59,0,Temlusciàt TemluS<iiàt st,locality,st,39,162,77,1,1,Temlusciàt,nalut,Nalut,LY0209,Temlusciàt TemluS<iiàt st.
126,59,0,Te~. Temzìn • st,locality,st,185,788,424,28,1,Temzìn,nalut,Nalut,LY0209,Te~. Temzìn • st.
126,59,0,"el-Guàida, el-Ha-l st",locality,st,194,813,413,4,1,,,,,"el-Guàida, el-Ha-l st."
126,59,0,Bghighila. sn_,locality,,5,28,13,,1,Bghighìla,nalut,Nalut,LY0209,Bghighila. sn_
126,59,0,sàuna 75,locality,n,37,156,,2,1,,,,,sàuna n. 75.
126,59,0,"Zaràra, Dègghi el·Badàrna st",locality,st,77,349,186,,1,,,,,"Zaràra, Dègghi el·Badàrna st."
