pdf_page,printed_page,block,label,row_kind,dwelling,famiglie,present_mf,present_f,absent_mf,is_consistent,locality_it,circoscrizione_it,shabiya_en,shabiya_pcode,label_printed
124,57,0,,locality,,41,,,,0,,,,,
124,57,0,Segue TRìPOLI I,locality,,,,,601,0,,,,,Segue: TRìPOLI I
124,57,0,Sciàra el-Gàrbi . st,locality,st,708,2600,1300,,1,,,,,Sciàra el-Gàrbi . st.
124,57,0,Sciàra bu Radda ~~~ U~~ l.~~~ i~ Sciàra el·ChebÌr . Sciàra Sciàtt st,locality,st,71,265,128,,1,,,,,Sciàra bu Radda st. ~~~ U~~ l.~~~ i~ Sciàra el·ChebÌr . st. Sciàra Sciàtt st.
124,57,0,Sciàra es·Seidi l Sciàra ez-Zàvia,locality,st,586,2116,1089,43,1,,,,,Sciàra es·Seidi : l st. Sciàra ez-Zàvia
124,57,0,Sciàra es-Srim. st,locality,st,915,3245,1621,74,1,,,,,Sciàra es-Srim. st.
124,57,0,Zàviet ed-Dahmàni. fl24,locality,st,,3264,1564,29,1,,,,,Zàviet ed-Dahmàni. st. fl24
124,57,0,Porta Tagiùra (b). st,locality,st,284,869,468,17,1,,,,,Porta Tagiùra (b). st.
124,57,0,ALTRI CENSITI st,quarter,st,988,5149,1599,,1,,,,,ALTRI CENSITI .. st.
124,57,0,CIRCONDARIO DI SUGH EL-GIùMAA 18.943 78.681,subtotal,,,,37769,1537,0,,,,,CIRCONDARIO DI SUGH EL-GIùMAA 18.943 78.681
124,57,0,Residenza di Sugh el-Giùmaa '7.041'129.131 14.0~5 SUGH EL·GIÙMAA . 2.985 11.929,subtotal,,,,5716,262,0,,,,,Residenza di Sugh el-Giùmaa '7.041'129.131 14.0~5 SUGH EL·GIÙMAA . 2.985 11.929
124,57,0,"Oens. 1931 (*) 2,797110.833 5.18~ QUARTIERI en·Nofliin • st",census_1931,st,,,267,2,0,,,,,"Oens. 1931 (*) 2,797110.833 5.18~ QUARTIERI: en·Nofliin • st."
124,57,0,el·HenscÌr. mI1. i~ 70 l,locality,st,,,,6,0,,,,,el·HenscÌr. st. mI1.:i~ 70:l
124,57,0,el-Amrùs,locality,,351,1446,666,34,1,,,,,el-Amrùs
124,57,0,Sràiet el·Amrùs . l st,locality,st,,,455,,0,,,,,Sràiet el·Amrùs . st' l st.
124,57,0,Sciàtt el-RenscÌr st,locality,st,,,869,14,0,,,,,Sciàtt el-RenscÌr st.
124,57,0,es·Suàlem. st ~Hll.m,locality,st,,,441,20,0,,,,,es·Suàlem. st .. ~Hll.m
124,57,0,Aràda . . . . . . llt,locality,st,431,1801,878,31,1,,,,,Aràda . . . . . . llt.
124,57,0,Raràt en·Nasciàuna st,locality,st,290,990,488,98,1,,,,,Raràt en·Nasciàuna st.
124,57,0,Ghèrued Haràt en-,locality,,,,,49,0,,,,,Ghèrued Haràt en-
124,57,0,Nasciàuna st,locality,st,203,783,363,,1,,,,,Nasciàuna st.
124,57,0,ISRAELITI (c) 1 308,quarter,st,304,,646,,0,,,,,ISRAELITI (c) st. 1:308
124,57,0,ALTRI CENSITI,quarter,,1,14,,,1,,,,,ALTRI CENSITI.
124,57,0,,locality,,1536,6495,3135,,1,,,,,
124,57,0,"EL·MELLÀHA Oens. 1931 (*) 5,549",census_1931,,1466,,2713,,0,,,,,"EL·MELLÀHA Oens. 1931 (*) 5,549,"
124,57,0,QUARTIERI l st,quarter,st,248,970,505,,1,,,,,QUARTIERI: l st.
124,57,0,el-Mansùra · sn,locality,sn,4,15,8,,1,,,,,el-Mansùra · sn.
124,57,0,el·Hagiàrsa I st,locality,st,229,906,457,,1,,,,,el·Hagiàrsa I st.
124,57,0,· sn,locality,sn,,,272,,0,,,,,· sn.
124,57,0,Ulàd Diàb · I 24,locality,st,127,497,,,1,,,,,"Ulàd Diàb · I st. 24,"
124,57,0,st,locality,st,92,358,186,20,1,,,,,st.
124,57,0,et·Tgibiin . sn,locality,sn,,,252,1,0,,,,,et·Tgibiin . sn.
124,57,0,Sciòrfet el-Mellàha. st,locality,st,240,1000,495,401,1,,,,,Sciòrfet el-Mellàha. st.
124,57,0,Ghèrued el·Mellàha. 19,locality,st,179,782,399,,1,,,,,"Ghèrued el·Mellàha. st. 19,"
124,57,0,Giàma el-Greu. st,locality,st,,1282,637,171,1,,,,,Giàma el-Greu. st.
124,57,0,ALTRI CENSITI. st,quarter,st,309,673,199,,1,,,,,ALTRI CENSITI. st.
124,57,0,,locality,,1,,,,0,,,,,
124,57,0,GEDÈIDA. ~I,locality,,1087,4702,2314,,1,,,,,GEDÈIDA. ~I
124,57,0,Oens. 1931 (*),census_1931,,1025,4103,1990,,1,,,,,Oens. 1931 (*)
124,57,0,QUARTIERI el·Graràt • st,quarter,st,285,1201,592,,1,,,,,QUARTIERI: el·Graràt • st.
124,57,0,Ulàd Bu Gràra st,locality,st,322,1420,713,20,1,,,,,Ulàd Bu Gràra st.
124,57,0,,locality,,257,1108,551,10,1,,,,,
124,57,0,"el·Gedèid(l, Talbiga • 1~",locality,st,214,924,449,1,1,,,,,"el·Gedèid(l, st. Talbiga • st. 1~"
124,57,0,ALTRI CENSITI. st,quarter,st,9,49,9,1,1,,,,,ALTRI CENSITI. st.
124,57,0,FORNACI,locality,,259,1322,522,,1,Fornaci,sugh el giumaa,Tripoli,LY0211,FORNACI.
124,57,0,"Oens. i931' (oj ""/73",census_1931,,123,,210,,0,,,,,"Oens. i931' (oj ""/73"
124,57,0,QUARTIERI Ghèrued Aràda st,quarter,st,139,602,283,5,1,,,,,QUARTIERI: Ghèrued Aràda st.
124,57,0,Bu Slim (d). st,locality,st,114,508,234,1,1,,,,,Bu Slim (d). st.
