baladiya_ar,shabiya_ar,shabiya_en,shabiya_pcode,matched_level,decision_number,decision_year,formed,electoral_group,members_listed,scan_url,post_id,link,publishing_authority
بنغازي,بنغازي,Benghazi,LY0103,shabiya,23,2026,2026-01-18,,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0001.jpg,47021,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-23-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,High National Elections Commission
توكرة,المرج,Marj,LY0102,baladiya,24,2026,2026-01-18,,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0002.jpg,47030,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-24-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,High National Elections Commission
قمينس,بنغازي,Benghazi,LY0103,baladiya,25,2026,2026-01-18,,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0003.jpg,47032,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-25-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,High National Elections Commission
الأبيار,المرج,Marj,LY0102,baladiya,26,2026,2026-01-18,,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0004.jpg,47034,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-26-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,High National Elections Commission
قصر الجدي,البطنان,Butnan,LY0104,mahalla,27,2026,2026-01-18,,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0005.jpg,47036,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-27-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,High National Elections Commission
سبها,سبها,Sabha,LY0319,shabiya,28,2026,2026-01-18,,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0006.jpg,47038,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-28-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,High National Elections Commission
سرت,سرت,Sirte,LY0208,shabiya,29,2026,2026-01-18,,0,https://hnec.ly/wp-content/uploads/2026/01/قرارات-23-الى-29_page-0007.jpg,47040,https://hnec.ly/2026/01/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-29-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83/,High National Elections Commission
سلوق,بنغازي,Benghazi,LY0103,baladiya,59,2026,2026-02-09,,0,https://hnec.ly/wp-content/uploads/2026/02/26291.jpg,47602,https://hnec.ly/2026/02/09/%d9%82%d8%b1%d8%a7%d8%b1-%d8%b1%d9%82%d9%85-59-%d9%84%d8%b3%d9%86%d8%a9-2026-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%b4%d9%83%d9%8a%d9%84-%d8%a7%d9%84%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d8%a8%d9%84/,High National Elections Commission
