decision_number,decision_year,decided,act_ar,act_en,electoral_group,municipalities_named,municipalities_ar,title,post_id,link,decision_text_available,scan_url,publishing_authority
72,2024,2024-06-23,تسجيل الناخبين,voter_registration,1,0,,المفوضية تصدر قرار رقم (72) بشأن تمديد الفترة الزمنية لمرحلة تسجيل الناخبين لانتخابات المجالس البلدية (المجموعة الأولى),30635,https://hnec.ly/2024/06/23/%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%aa%d8%b5%d8%af%d8%b1-%d9%82%d8%b1%d8%a7%d8%b1-%d8%b1%d9%82%d9%85-72-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d9%85%d8%af%d9%8a%d8%af-%d8%a7%d9%84%d9%81/,0,https://hnec.ly/wp-content/uploads/2024/06/448972412_483384110743954_8642752698630974643_n-2.jpg,High National Elections Commission
73,2024,2024-06-26,,,,0,,قرار مجلس المفوضية رقم (73) لسنة 2024م,30668,https://hnec.ly/2024/06/26/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-73-%d9%84%d8%b3%d9%86%d8%a9-2024%d9%85/,0,https://hnec.ly/wp-content/uploads/2024/06/449215066_485303480552017_4049203652641636283_n.jpg,High National Elections Commission
79,2024,2024-07-07,تسجيل الناخبين,voter_registration,,0,,قرار مجلس المفوضية رقم (79) لسنة 2024 بشأن التمديد (الثاني) لمرحلة تسجيل الناخبين لانتخابات المجالس البلدية,31166,https://hnec.ly/2024/07/07/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-79-%d9%84%d8%b3%d9%86%d8%a9-2024-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d9%84%d8%aa/,0,https://hnec.ly/wp-content/uploads/2024/07/450319547_491792869903078_2395863348546515273_n.jpg,High National Elections Commission
108,2024,2024-10-06,استبعاد,candidate_exclusion,1,0,,#قرار مجلس المفوضية رقم ( 108 ) لسنة 2024 بشأن استبعاد مترشحين لانتخابات المجالس البلدية (المجموعة الأولى/2024),32680,https://hnec.ly/2024/10/06/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-108-%d9%84%d8%b3%d9%86%d8%a9-2024-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b3/,0,https://hnec.ly/wp-content/uploads/2024/10/462226110_549532180795813_5630084287075850517_n.jpg,High National Elections Commission
109,2024,2024-10-06,القائمة الأولية,preliminary_candidate_list,1,0,,#قرار مجلس المفوضية رقم (109) لسنة 2024 بشأن اعتماد القائمة الأولية لمترشحي انتخابات المجالس البلدية (المجموعة الأولى 2024),32687,https://hnec.ly/2024/10/06/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-109-%d9%84%d8%b3%d9%86%d8%a9-2024-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa/,0,,High National Elections Commission
110,2024,2024-10-13,تنفيذ انتخابات,round_launch,2,0,,#قرار مجلس المفوضية رقم (110) لسنة 2024 بشأن تنفيذ انتخابات (المجموعة الثانية) من المجالس البلدية منتهية الولاية القانونية و المستحدثة بمجالس تسييرية للعام 2025.,32719,https://hnec.ly/2024/10/13/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-110-%d9%84%d8%b3%d9%86%d8%a9-2024-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d9%86%d9%81/,0,https://hnec.ly/wp-content/uploads/2024/10/462964131_554560496959648_5441718860815472351_n.jpg,High National Elections Commission
121,2024,2024-10-27,يوم الاقتراع,polling_day,1,0,,#قرار مجلس المفوضية رقم (121) لسنة 2024 بشأن تحديد يوم الاقتراع لانتخابات المجالس البلدية (المجموعة الأولى ـ 2024),32983,https://hnec.ly/2024/10/27/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-121-%d9%84%d8%b3%d9%86%d8%a9-2024-%d8%a8%d8%b4%d8%a3%d9%86-%d8%aa%d8%ad%d8%af/,0,https://hnec.ly/wp-content/uploads/2024/10/464878121_564755355940162_3567244830482779669_n.jpg,High National Elections Commission
132,2024,2024-11-24,النتائج الأولية,preliminary_results,1,0,,قرار مجلس المفوضية رقم (132) لسنة 2024 بشأن اعتماد النتائج الأولية لانتخابات المجالس البلدية ( المجموعة الأولى 2024),33688,https://hnec.ly/2024/11/24/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-132-%d9%84%d8%b3%d9%86%d8%a9-2024-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a7%d8%b9%d8%aa/,0,https://hnec.ly/wp-content/uploads/2024/11/قرار-رقم-132-1.pdf,High National Elections Commission
146,2024,2024-12-18,النتائج الأولية,preliminary_results,1,0,,"قرار مجلس المفوضية رقم (146) لسنة 2024 ,بشأن إجراء عملية القرعة على النتائج الأولية لانتخابات المجالس البلدية (المجموعة الأولى- 2024)",34158,https://hnec.ly/2024/12/18/%d9%82%d8%b1%d8%a7%d8%b1-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%b1%d9%82%d9%85-146-%d9%84%d8%b3%d9%86%d8%a9-2024-%d8%a8%d8%b4%d8%a3%d9%86-%d8%a5%d8%ac%d8%b1/,0,https://hnec.ly/wp-content/uploads/2024/12/470174636_599667485782282_6617357606791478982_n.jpg,High National Elections Commission
146,2024,2024-12-18,اللائحة التنفيذية,regulation_amendment,,0,,تنوه المفوضية الوطنية العليا للانتخابات وفقا للقرار رقم (146) لسنة 2024 والمادة رقم (9) من اللائحة التنفيذية لانتخابات المجالس البلدية,34195,https://hnec.ly/2024/12/18/%d8%aa%d9%86%d9%88%d9%87-%d8%a7%d9%84%d9%85%d9%81%d9%88%d8%b6%d9%8a%d8%a9-%d8%a7%d9%84%d9%88%d8%b7%d9%86%d9%8a%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%8a%d8%a7-%d9%84%d9%84%d8%a7%d9%86%d8%aa%d8%ae%d8%a7-2/,0,,High National Elections Commission
