mahalla_id,mahalla_ar,shabiya_ar,shabiya_en,match_status,candidates,osm_id,osm_name_ar,osm_place_type,lon,lat,distance_to_shabiya_centroid_km,osm_candidate_ids
Al Wahat-006,الزويتينة,الواحات,Al Wahat,single,1,node/277350345,الزويتينة,village,20.11789,30.95227,224,node/277350345
Al Wahat-011,بشر,الواحات,Al Wahat,single,1,way/419965834,بشر,town,19.43103,30.29387,193,way/419965834
Al Wahat-012,العقيلة,الواحات,Al Wahat,clustered,2,node/1221271185,العقيلة,village,19.19871,30.25591,206,node/8984147054;node/1221271185
Al Wahat-013,مرادة,الواحات,Al Wahat,single,1,node/1239730812,مرادة,town,19.20397,29.22348,155,node/1239730812
Al Wahat-016,اجخرة,الواحات,Al Wahat,single,1,node/1565511190,اجخره,town,21.6499,29.29625,90,node/1565511190
Benghazi-025,القوارشة,بنغازي,Benghazi,single,1,node/1565509474,القوارشة,village,20.06667,32.03333,46,node/1565509474
Benghazi-027,الفعكات,بنغازي,Benghazi,clustered,2,node/3323128401,الفعكات,village,20.0785,31.98888,42,node/3323128401;way/325695244
Benghazi-030,بو فاخرة,بنغازي,Benghazi,single,1,way/325851120,بوفاخرة,town,19.98827,31.9562,47,way/325851120
Benghazi-032,الكويفية,بنغازي,Benghazi,single,1,relation/1453936,الكويفية,,20.17145,32.20679,54,relation/1453936
Benghazi-034,سيدي خليفة,بنغازي,Benghazi,single,1,node/1565512709,سيدي خليفة,village,20.20526,32.25593,58,node/1565512709
Benghazi-036,النواقية,بنغازي,Benghazi,clustered,2,node/1168311445,النواقية,village,20.16436,31.92993,31,node/1168311445;way/104382144
Benghazi-040,المقرون,بنغازي,Benghazi,single,1,node/1207728511,المقرون,village,20.15313,31.44007,47,node/1207728511
Benghazi-041,كركورة,بنغازي,Benghazi,single,1,node/1565511278,كركورة,village,20.02685,31.4261,56,node/1565511278
Benghazi-043,الرقطة,بنغازي,Benghazi,single,1,node/3319517762,الرقطة,village,20.14579,31.27793,62,node/3319517762
Benghazi-048,مسوس,بنغازي,Benghazi,single,1,node/1565513140,مسوس,town,21.00933,31.57935,58,node/1565513140
Butnan-002,القرضبة,البطنان,Butnan,single,1,node/1170265206,القرضبه,village,23.48145,32.14139,224,node/1170265206
