table_no,sheet,band,cell,text
8,1,3,3,%
8,1,3,4,عدد .no
8,1,3,5,%
8,1,3,6,عدد .no
8,1,3,7,%
8,1,3,8,عدد .no
8,1,3,9,%
8,1,3,10,عدد .no
8,1,3,11,%
9,1,0,0,أقسام المهن لرئيس الأسرة Division of Occupation for head of the household
9,1,1,0,أمناء المؤتمرات واللجان الشعبية ومدراء
9,1,1,1,المشتغلون بالمهن العلمية والفنية
9,1,1,2,الفنيون ومساعدو اصحاب المهن
9,1,1,3,العاملون بالزراعة وتربية الحيوانات
9,1,2,0,عدد أفراد الأسرة
9,1,2,1,الأعمال والموظفون القياديون
9,1,2,2,ومن اليهم من العلماء
9,1,2,3,العلمية Technicians and
9,1,2,4,الموظفون الاداريون والكتبة
9,1,2,5,العاملون بالخدمات والعاملون بالبيع
9,1,2,6,والغابات والصيد
9,1,2,7,farmers،
9,1,3,0,household size
9,1,3,1,dministative and
9,1,3,2,professional technical
9,1,3,3,the Assistanas of
9,1,3,4,Administrative
9,1,3,5,والشراء Service and Trade
9,1,3,6,"fishermen hunters, loggers"
9,1,4,0,managerial workers
9,1,4,1,and related workers
9,1,4,2,Scienfific Occupations
9,1,4,3,Employees
9,1,4,4,Workers
9,1,4,5,& related workers
9,1,5,0,Owners
9,1,6,0,عدد .no
9,1,6,1,%
9,1,6,2,عدد .no
9,1,6,3,%
9,1,6,4,عدد .no
9,1,6,5,%
9,1,6,6,عدد .no
9,1,6,7,%
9,1,6,8,عدد .no
9,1,6,9,%
9,1,6,10,عدد .no
9,1,6,11,%
9,2,0,0,أقسام المهن لرئيس الأسرة Division of Occupation for head of the household
9,2,1,0,اصحاب الحرف ومن يرتبط بهم
9,2,1,1,العاملون في تجميع المعدات
9,2,1,2,اصحاب المهن العادية
9,2,1,3,العاملون غير المصنفين حسب المهنة والعاملون
9,2,2,0,عدد أفراد الأسرة
9,2,2,1,من الحرفيين Occupation
9,2,2,2,والالات Workers in
9,2,2,3,البسيطة Simple and
9,2,2,4,الذين لم تذكر مهنتهم Classified
9,2,2,5,يبحثون عن عمل لأول مرة
9,2,2,6,غير النشطين اقتصادياً
9,2,3,0,household size
9,2,3,1,Owners and the
9,2,3,2,Collecting of
9,2,3,3,Normal Occupation
9,2,3,4,and ،Workers by Occupation
9,2,3,5,seeking work for the
9,2,3,6,un Active
9,2,3,7,المجموع Total
9,2,4,0,Related Workers
9,2,4,1,Equipments and
9,2,4,2,Owners
9,2,4,3,Workers Whose Qccupation is
9,2,4,4,first time
9,2,4,5,economicly
9,2,5,0,Machines
9,2,5,1,not Mentioned
9,2,6,0,عدد .no
9,2,6,1,%
9,2,6,2,عدد .no
9,2,6,3,%
9,2,6,4,عدد .no
9,2,6,5,%
9,2,6,6,عدد .no
9,2,6,7,%
9,2,6,8,عدد .no
9,2,6,9,%
9,2,6,10,عدد .no
9,2,6,11,%
9,2,6,12,عدد .no
9,2,6,13,%
10,1,0,0,فئات العمر والجنس Age groups & Sex
10,1,1,0,اسم المحلة
10,1,1,1,0 ـ 4
10,1,1,2,5 ـ 9
10,1,1,3,10 ـ 14
10,1,1,4,15 ـ 19
10,1,1,5,20 ـ 24
10,1,2,0,ذكور
10,1,2,1,إناث
10,1,2,2,المجموع
10,1,2,3,ذكور
10,1,2,4,إناث
10,1,2,5,المجموع
10,1,2,6,ذكور
10,1,2,7,إناث
10,1,2,8,المجموع
10,1,2,9,ذكور
10,1,2,10,إناث
10,1,2,11,المجموع
10,1,2,12,ذكور
10,1,2,13,إناث
10,1,2,14,المجموع
10,1,3,0,Male
10,1,3,1,Female
10,1,3,2,Total
10,1,3,3,Male
10,1,3,4,Female
10,1,3,5,Total
10,1,3,6,Male
10,1,3,7,Female
10,1,3,8,Total
10,1,3,9,Male
10,1,3,10,Female
10,1,3,11,Total
10,1,3,12,Male
10,1,3,13,Female
10,1,3,14,Total
10,2,0,0,فئات العمر والجنس Age groups & Sex
10,2,1,0,اسم المحلة
10,2,1,1,29-25
10,2,1,2,34-30
10,2,1,3,39-35
10,2,1,4,44-40
10,2,1,5,49-45
10,2,2,0,ذكور
10,2,2,1,إناث
10,2,2,2,المجموع
10,2,2,3,ذكور
10,2,2,4,إناث
10,2,2,5,المجموع
10,2,2,6,ذكور
10,2,2,7,إناث
10,2,2,8,المجموع
10,2,2,9,ذكور
10,2,2,10,إناث
10,2,2,11,المجموع
10,2,2,12,ذكور
10,2,2,13,إناث
10,2,2,14,المجموع
10,2,3,0,Male
10,2,3,1,Female
10,2,3,2,Total
10,2,3,3,Male
10,2,3,4,Female
10,2,3,5,Total
10,2,3,6,Male
10,2,3,7,Female
10,2,3,8,Total
10,2,3,9,Male
10,2,3,10,Female
10,2,3,11,Total
10,2,3,12,Male
10,2,3,13,Female
10,2,3,14,Total
10,3,0,0,فئات العمر والجنس Age groups & Sex
10,3,1,0,اسم المحلة
10,3,1,1,54-50
10,3,1,2,59-55
10,3,1,3,64-60
10,3,1,4,69-65
10,3,1,5,74-70
10,3,2,0,ذكور
10,3,2,1,إناث
10,3,2,2,المجموع
10,3,2,3,ذكور
10,3,2,4,إناث
10,3,2,5,المجموع
10,3,2,6,ذكور
10,3,2,7,إناث
10,3,2,8,المجموع
10,3,2,9,ذكور
10,3,2,10,إناث
10,3,2,11,المجموع
10,3,2,12,ذكور
10,3,2,13,إناث
10,3,2,14,المجموع
10,3,3,0,Male
10,3,3,1,Female
10,3,3,2,Total
10,3,3,3,Male
10,3,3,4,Female
10,3,3,5,Total
10,3,3,6,Male
10,3,3,7,Female
10,3,3,8,Total
10,3,3,9,Male
10,3,3,10,Female
10,3,3,11,Total
10,3,3,12,Male
10,3,3,13,Female
10,3,3,14,Total
10,4,0,0,فئات العمر والجنس Age groups & Sex
10,4,1,0,اسم المحلة
10,4,1,1,79-75
10,4,1,2,84-80
10,4,1,3,85 فما فوق 85and more
10,4,1,4,غير مبين unspecified
10,4,1,5,المجموع الكلي Total
10,4,2,0,ذكور
10,4,2,1,إناث
10,4,2,2,المجموع
10,4,2,3,ذكور
10,4,2,4,إناث
10,4,2,5,المجموع
10,4,2,6,ذكور
10,4,2,7,إناث
10,4,2,8,المجموع
10,4,2,9,ذكور
10,4,2,10,إناث
10,4,2,11,المجموع
10,4,2,12,ذكور
10,4,2,13,إناث
10,4,2,14,المجموع
10,4,3,0,Male
10,4,3,1,Female
10,4,3,2,Total
10,4,3,3,Male
10,4,3,4,Female
10,4,3,5,Total
10,4,3,6,Male
10,4,3,7,Female
10,4,3,8,Total
10,4,3,9,Male
10,4,3,10,Female
10,4,3,11,Total
10,4,3,12,Male
10,4,3,13,Female
10,4,3,14,Total
11,1,0,0,فئات العمر والجنس Age groups & Sex
11,1,1,0,اسم المحلة
11,1,1,1,0 ـ 4
11,1,1,2,5 ـ 9
11,1,1,3,10 ـ 14
11,1,1,4,15 ـ 19
11,1,1,5,20 ـ 24
11,1,2,0,ذكور
11,1,2,1,إناث Female
11,1,2,2,المجموع
11,1,2,3,ذكور
11,1,2,4,إناث Female
11,1,2,5,المجموع
11,1,2,6,ذكور
11,1,2,7,إناث Female
11,1,2,8,المجموع
11,1,2,9,ذكور
11,1,2,10,إناث Female
11,1,2,11,المجموع
11,1,2,12,ذكور
11,1,2,13,إناث Female
11,1,2,14,المجموع
11,1,3,0,Male
11,1,3,1,Total
11,1,3,2,Male
11,1,3,3,Total
11,1,3,4,Male
11,1,3,5,Total
11,1,3,6,Male
11,1,3,7,Total
11,1,3,8,Male
11,1,3,9,Total
11,2,0,0,فئات العمر والجنس Age groups & Sex
11,2,1,0,اسم المحلة
11,2,1,1,29-25
11,2,1,2,34-30
11,2,1,3,39-35
11,2,1,4,44-40
11,2,1,5,49-45
11,2,2,0,ذكور
11,2,2,1,إناث Female
11,2,2,2,المجموع
11,2,2,3,ذكور
11,2,2,4,إناث Female
11,2,2,5,المجموع
11,2,2,6,ذكور
11,2,2,7,إناث Female
11,2,2,8,المجموع
11,2,2,9,ذكور
11,2,2,10,إناث Female
11,2,2,11,المجموع
11,2,2,12,ذكور
11,2,2,13,إناث Female
11,2,2,14,المجموع
11,2,3,0,Male
11,2,3,1,Total
11,2,3,2,Male
11,2,3,3,Total
11,2,3,4,Male
11,2,3,5,Total
11,2,3,6,Male
11,2,3,7,Total
11,2,3,8,Male
11,2,3,9,Total
11,3,0,0,فئات العمر والجنس Age groups & Sex
11,3,1,0,اسم المحلة
11,3,1,1,54-50
11,3,1,2,59-55
11,3,1,3,64-60
11,3,1,4,69-65
11,3,1,5,74-70
11,3,2,0,ذكور
11,3,2,1,إناث Female
11,3,2,2,المجموع
11,3,2,3,ذكور
11,3,2,4,إناث Female
11,3,2,5,المجموع
11,3,2,6,ذكور
11,3,2,7,إناث Female
11,3,2,8,المجموع
11,3,2,9,ذكور
11,3,2,10,إناث Female
11,3,2,11,المجموع
11,3,2,12,ذكور
11,3,2,13,إناث Female
11,3,2,14,المجموع
11,3,3,0,Male
11,3,3,1,Total
11,3,3,2,Male
11,3,3,3,Total
11,3,3,4,Male
11,3,3,5,Total
11,3,3,6,Male
11,3,3,7,Total
11,3,3,8,Male
11,3,3,9,Total
11,4,0,0,فئات العمر والجنس Age groups & Sex
11,4,1,0,اسم المحلة
11,4,1,1,79-75
11,4,1,2,84-80
11,4,1,3,85 فما فوق 85and more
11,4,1,4,غير مبين unspecified
11,4,1,5,المجموع الكلي Total
11,4,2,0,ذكور
11,4,2,1,إناث Female
11,4,2,2,المجموع
11,4,2,3,ذكور
11,4,2,4,إناث Female
11,4,2,5,المجموع
11,4,2,6,ذكور
11,4,2,7,إناث Female
11,4,2,8,المجموع
11,4,2,9,ذكور
11,4,2,10,إناث Female
11,4,2,11,المجموع
11,4,2,12,ذكور
11,4,2,13,إناث Female
11,4,2,14,المجموع
11,4,3,0,Male
11,4,3,1,Total
11,4,3,2,Male
11,4,3,3,Total
11,4,3,4,Male
11,4,3,5,Total
11,4,3,6,Male
11,4,3,7,Total
11,4,3,8,Male
11,4,3,9,Total
12,1,0,0,عــــدد السكــــــــــان Population
12,1,1,0,آحــاد العمــــر Age in
12,1,1,1,حضر Urban
12,1,1,2,ريف Rural
12,1,1,3,المجموع الكلي Total
12,1,2,0,single years
12,1,3,0,ذكور male
12,1,3,1,إناث female
12,1,3,2,مجموع total
12,1,3,3,ذكور male
12,1,3,4,إناث female
12,1,3,5,مجموع total
12,1,3,6,ذكور male
12,1,3,7,إناث female
12,1,3,8,مجموع total
12,2,0,0,عــــدد السكــــــــــان Population
12,2,1,0,آحــاد العمــــر
12,2,1,1,Age in
12,2,1,2,حضر Urban
12,2,1,3,ريف Rural
12,2,1,4,المجموع الكلي Total
12,2,2,0,single years
12,2,3,0,ذكور male
12,2,3,1,إناث female
12,2,3,2,مجموع total
12,2,3,3,ذكور male
12,2,3,4,إناث female
12,2,3,5,مجموع total
12,2,3,6,ذكور male
12,2,3,7,إناث female
12,2,3,8,مجموع total
12,3,0,0,عــــدد السكــــــــــان Population
12,3,1,0,آحــاد العمــــر
12,3,1,1,Age
12,3,1,2,حضر Urban
12,3,1,3,ريف Rural
12,3,1,4,المجموع الكلي Total
12,3,2,0,in single years
12,3,3,0,ذكور male
12,3,3,1,إناث female
12,3,3,2,مجموع total
12,3,3,3,ذكور male
12,3,3,4,إناث female
12,3,3,5,مجموع total
12,3,3,6,ذكور male
12,3,3,7,إناث female
12,3,3,8,مجموع total
12,4,0,0,عــــدد السكــــــــــان Population
12,4,1,0,آحــاد العمــــر
12,4,1,1,Age in
12,4,1,2,حضر Urban
12,4,1,3,ريف Rural
12,4,1,4,المجموع الكلي Total
12,4,2,0,single years
12,4,3,0,ذكور male
12,4,3,1,إناث female
12,4,3,2,مجموع total
12,4,3,3,ذكور male
12,4,3,4,إناث female
12,4,3,5,مجموع total
12,4,3,6,ذكور male
12,4,3,7,إناث female
12,4,3,8,مجموع total
13,1,0,0,السكــــــان غير الليبيين Non- libyan population
13,1,1,0,فئات العمـــر age
13,1,1,1,عرب غير ليبيين Non- libyan Arab
13,1,1,2,أفريقيون Africans
13,1,1,3,أسيويون Asians
13,1,1,4,اوربيون غربيون وشرقيون
13,1,1,5,East
13,1,2,0,Groups
13,1,2,1,& west Europeans
13,1,3,0,ذكور male
13,1,3,1,إناث female
13,1,3,2,مجموع total
13,1,3,3,ذكور male
13,1,3,4,إناث female
13,1,3,5,مجموع total
13,1,3,6,ذكور male
13,1,3,7,إناث female
13,1,3,8,مجموع total
13,1,3,9,ذكور male
13,1,3,10,إناث female
13,1,3,11,مجموع total
13,2,0,0,السكــــــان غير الليبيين Non- libyan population
13,2,1,0,فئات العمـــر age
13,2,1,1,أمريكيون ) شمال ووسط وجنوب (
13,2,1,2,استراليون ونيوزيلانديون
13,2,1,3,جنسيات اخرى
13,2,1,4,المجموع الكلي Total
13,2,2,0,Groups
13,2,2,1,"Americans ) North, midills &south("
13,2,2,2,Australin & Newzealand
13,2,3,0,ذكور male
13,2,3,1,إناث female
13,2,3,2,مجموع total
13,2,3,3,ذكور male
13,2,3,4,إناث female
13,2,3,5,مجموع total
13,2,3,6,ذكور male
13,2,3,7,إناث female
13,2,3,8,مجموع total
13,2,3,9,ذكور male
13,2,3,10,إناث female
13,2,3,11,مجموع total
13,3,0,0,فئات العمر والجنس Age groups & Sex
13,3,1,0,اسم المحلة
13,3,1,1,54-50
13,3,1,2,59-55
13,3,1,3,64-60
13,3,1,4,69-65
13,3,1,5,74-70
13,3,2,0,ذكور Male
13,3,2,1,إناث Female المجموع Total
13,3,2,2,ذكور Male
13,3,2,3,إناث Female
13,3,2,4,المجموع Total
13,3,2,5,ذكور Male
13,3,2,6,إناث Female
13,3,2,7,المجموع Total
13,3,2,8,ذكور Male
13,3,2,9,إناث Female
13,3,2,10,المجموع Total
13,3,2,11,ذكور Male
13,3,2,12,إناث Female
13,3,2,13,المجموع Total
14,0,0,0,فئات العمر والجنس Age groups & Sex
14,0,1,0,اسم المحلة
14,0,1,1,54-50
14,0,1,2,59-55
14,0,1,3,64-60
14,0,1,4,69-65
14,0,1,5,74-70
14,0,2,0,ذكور Male
14,0,2,1,إناث
14,0,2,2,المجموع
14,0,2,3,ذكور Male
14,0,2,4,إناث
14,0,2,5,المجموع
14,0,2,6,ذكور Male
14,0,2,7,إناث
14,0,2,8,المجموع
14,0,2,9,ذكور Male
14,0,2,10,إناث
14,0,2,11,المجموع
14,0,2,12,ذكور Male
14,0,2,13,إناث
14,0,2,14,المجموع
14,0,3,0,Female
14,0,3,1,Total
14,0,3,2,Female
14,0,3,3,Total
14,0,3,4,Female
14,0,3,5,Total
14,0,3,6,Female
14,0,3,7,Total
14,0,3,8,Female
14,0,3,9,Total
14,1,0,0,المرحلـــــــــــة الدراسيـــــــــــــــة Educational Stage
14,1,1,0,اسم المحلة
14,1,1,1,التعليم الأساسي Base Education Stage
14,1,1,2,مرحلـة التعليــم الثانوي والمعاهد المعادلة لها
14,1,1,3,مرحلة ما فوق الثانوي ودون الجامعي
14,1,1,4,above
14,1,2,0,المستوى الأول
14,1,2,1,First level
14,1,2,2,المستوى الثانى Second level
14,1,2,3,secondary stage or its equivalent
14,1,2,4,secondary stage & less graduate
14,1,3,0,ذكور male
14,1,3,1,إناث female
14,1,3,2,المجموع total
14,1,3,3,ذكور male
14,1,3,4,إناث female
14,1,3,5,المجموع total
14,1,3,6,ذكور male
14,1,3,7,إناث female
14,1,3,8,المجموع total
14,1,3,9,ذكور male
14,1,3,10,إناث female
14,1,3,11,المجموع total
14,2,0,0,المرحلـــــــــــة الدراسيـــــــــــــــة Educational Stage
14,2,1,0,اسم المحلة
14,2,1,1,مرحلة التعليم الجامعي فما فوق
14,2,1,2,bachelor stage &
14,2,1,3,الإلتحاق الدراسي غير مبين unspecified
14,2,1,4,المجموع الكلي Total
14,2,2,0,above
14,2,3,0,ذكور male
14,2,3,1,إناث female
14,2,3,2,المجموع total
14,2,3,3,ذكور male
14,2,3,4,إناث female
14,2,3,5,المجموع total
14,2,3,6,ذكور male
14,2,3,7,إناث female
14,2,3,8,المجموع total
15,1,0,0,عدد السكان الملتحقين بالدراسة Population Enrollment Status
15,1,1,0,نوع التجمع
15,1,2,0,المرحلة الدراسية
15,1,2,1,السكاني
15,1,2,2,ليبيون libyan
15,1,2,3,غير ليبيين Non-libyan
15,1,2,4,المجوع الكلي Total
15,1,2,5,Educational Stage
15,1,3,0,Urban/Rural
15,1,4,0,ذكور male
15,1,4,1,إناث femal مجموع total ذكور male
15,1,4,2,إناث femal مجموع total ذكور male
15,1,4,3,إناث femal مجموع total
16,1,0,0,آحــاد العمر
16,1,0,1,الملتحقون بالدراسة Enrollment
16,1,0,2,إجمالي السكان الليبيين libyan Population
16,1,0,3,نسبة الإلتحاق % percentage of Enrollment
16,1,1,0,single years
16,1,1,1,ذكور male
16,1,1,2,إناث female
16,1,1,3,مجموع total
16,1,1,4,ذكور male
16,1,1,5,إناث female
16,1,1,6,مجموع total
16,1,1,7,ذكور male
16,1,1,8,إناث female
16,1,1,9,مجموع total
17,1,0,0,الحالة التعليمية Educational Status
17,1,1,0,اسم المحلة
17,1,1,1,أمي illiterate
17,1,1,2,دون الإبتدائية read & write
17,1,1,3,الشهادة الإبتدائية أو ما يعادلها Elmentary or proportion
17,1,2,0,ذكور male
17,1,2,1,إناث female
17,1,2,2,مجموع total
17,1,2,3,ذكور male
17,1,2,4,إناث female
17,1,2,5,مجموع total
17,1,2,6,ذكور male
17,1,2,7,إناث female
17,1,2,8,مجموع total
17,2,0,0,الحالة التعليمية Educational Status
17,2,1,0,اسم المحلة
17,2,1,1,الشهادة الاعدادية أو ما يعادلها
17,2,1,2,الشهادة الثانوية أو ما يعادلها
17,2,1,3,شهادة فوق الثانوية ودون الجامعية intermediate diploma
17,2,2,0,preparatory or proportion
17,2,2,1,secondary or proportion
17,2,3,0,ذكور male
17,2,3,1,إناث female
17,2,3,2,مجموع total
17,2,3,3,ذكور male
17,2,3,4,إناث female
17,2,3,5,مجموع total
17,2,3,6,ذكور male
17,2,3,7,إناث female
17,2,3,8,مجموع total
17,3,0,0,الحالة التعليمية Educational Status
17,3,1,0,اسم المحلة
17,3,1,1,مرحلة التعليم الجامعي bachelor cert
17,3,1,2,دبلوم دراسات عليا post graduate diploma
17,3,1,3,ماجستير master's degree
17,3,2,0,ذكور male
