table_no,sheet,band,cell,text
1,1,0,0,أسرة ليبية libyan household
1,1,0,1,أسرة غيرليبية Non-libyan household
1,1,0,2,المجموع الكلي Grand total
1,1,1,0,اسم المحلة
1,1,1,1,عدد الأسر
1,1,1,2,عدد الأفراد number of individuals
1,1,1,3,عدد الأسر
1,1,1,4,عدد الأفراد number of individuals
1,1,1,5,عدد الأسر
1,1,1,6,عدد الأفراد number of individuals
1,1,2,0,household
1,1,2,1,ليبيون libyan
1,1,2,2,غير ليبيين
1,1,2,3,المجموع Total
1,1,2,4,household
1,1,2,5,ليبيون libyan
1,1,2,6,غير ليبيين
1,1,2,7,المجموع household No. Total ليبيون libyan
1,1,2,8,غير ليبيين
1,1,2,9,المجموع Total
1,1,3,0,.No
1,1,3,1,Non-libyan
1,1,3,2,.No
1,1,3,3,Non-libyan
1,1,3,4,Non-libyan
1,12,0,0,عــــدد السكــــــــــان Population
1,12,1,0,آحــاد العمــــر
1,12,1,1,Age in
1,12,1,2,حضر Urban
1,12,1,3,ريف Rural
1,12,1,4,المجموع الكلي Total
1,12,2,0,single years
1,12,3,0,ذكور male
1,12,3,1,إناث female
1,12,3,2,مجموع total
1,12,3,3,ذكور male
1,12,3,4,إناث female
1,12,3,5,مجموع total
1,12,3,6,ذكور male
1,12,3,7,إناث female
1,12,3,8,مجموع total
1,13,0,0,السكــــــان غير الليبيين Non- libyan population
1,13,1,0,فئات العمـــر age
1,13,1,1,اوربيون غربيون وشرقيون
1,13,1,2,East
1,13,2,0,Groups
1,13,2,1,عرب غير ليبيين Non- libyan Arab
1,13,2,2,أفريقيون Africans
1,13,2,3,أسيويون Asians
1,13,2,4,& west Europeans
1,13,3,0,ذكور male
1,13,3,1,إناث female
1,13,3,2,مجموع total
1,13,3,3,ذكور male
1,13,3,4,إناث female
1,13,3,5,مجموع total
1,13,3,6,ذكور male
1,13,3,7,إناث female
1,13,3,8,مجموع total
1,13,3,9,ذكور male إناث female مجموع total
2,1,0,0,أسرة ليبية libyan household
2,1,0,1,أسرة غير ليبية Non-libyan household
2,1,0,2,المجموع Total
2,1,1,0,اسم المحلة
2,1,1,1,متوسط حجم الأسرة
2,1,1,2,عدد الأفراد
2,1,1,3,متوسط حجم الأسرة
2,1,1,4,متوسط حجم الأسرة
2,1,2,0,عدد الأسر
2,1,2,1,عدد الأفراد number
2,1,2,2,Average size of
2,1,2,3,عدد الأسر
2,1,2,4,number of
2,1,2,5,Average size of
2,1,2,6,عدد الأسر
2,1,2,7,عدد الأفراد number of
2,1,2,8,Average size of
2,1,3,0,.household No
2,1,3,1,of individuals
2,1,3,2,household
2,1,3,3,.household No
2,1,3,4,individuals
2,1,3,5,household
2,1,3,6,.household No
2,1,3,7,individuals
2,1,3,8,household
2,12,0,0,عــــدد السكــــــــــان Population
2,12,1,0,آحــاد العمــــر
2,12,1,1,Age in
2,12,1,2,حضر Urban
2,12,1,3,ريف Rural
2,12,1,4,المجموع الكلي Total
2,12,2,0,single years
2,12,3,0,ذكور male
2,12,3,1,إناث female
2,12,3,2,مجموع total
2,12,3,3,ذكور male
2,12,3,4,إناث female
2,12,3,5,مجموع total
2,12,3,6,ذكور male
2,12,3,7,إناث female
2,12,3,8,مجموع total
2,13,0,0,السكــــــان غير الليبيين Non- libyan population
2,13,1,0,فئات العمـــر age
2,13,1,1,أمريكيون ) شمال ووسط وجنوب ( Americans (
2,13,1,2,استراليون ونيوزيلانديون
2,13,1,3,Australin &
2,13,1,4,جنسيات اخرى
2,13,1,5,المجموع الكلي Total
2,13,2,0,Groups
2,13,2,1,"North, midills &south("
2,13,2,2,Newzealand
2,13,3,0,ذكور male
2,13,3,1,إناث female
2,13,3,2,مجموع total
2,13,3,3,ذكور male
2,13,3,4,إناث female
2,13,3,5,مجموع total
2,13,3,6,ذكور male
2,13,3,7,إناث female
2,13,3,8,مجموع total
2,13,3,9,ذكور male إناث female مجموع total
3,1,0,0,السكان الليبيون libyan population
3,1,0,1,إجمالي السكان grand total
3,1,1,0,اسم الشعبية
3,1,1,1,المساحة)كم2(
3,1,1,2,%
3,1,2,0,)Area(Km2
3,1,2,1,population السكان
3,1,2,2,%
3,1,2,3,الكثافة السكانية*
3,1,2,4,population السكان
3,1,2,5,%
3,1,2,6,الكثافة السكانية*
3,1,3,0,population density
3,1,3,1,population density
3,12,0,0,آحــاد العمــــر
3,12,0,1,Age in
3,12,0,2,عــــدد السكــــــــــان Population
3,12,1,0,single years
3,12,1,1,حضر Urban
3,12,1,2,ريف Rural
3,12,1,3,المجموع الكلي Total
3,12,2,0,ذكور male
3,12,2,1,إناث female
3,12,2,2,مجموع total
3,12,2,3,ذكور male
3,12,2,4,إناث female
3,12,2,5,مجموع total
3,12,2,6,ذكور male
3,12,2,7,إناث female
3,12,2,8,مجموع total
4,1,0,0,أسرة ليبية libyan household
4,1,0,1,أسرة غيرليبية Non-libyan household
4,1,0,2,المجموع الكلي Grand total
4,1,1,0,عدد أفراد الأسرة
4,1,1,1,Household size
4,1,2,0,حضر Urban
4,1,2,1,ريف Rural
4,1,2,2,مجموع Total
4,1,2,3,حضر Urban
4,1,2,4,ريف Rural
4,1,2,5,مجموع Total
4,1,2,6,حضر Urban
4,1,2,7,ريف Rural
4,1,2,8,مجموع Total
4,12,0,0,عــــدد السكــــــــــان Population
4,12,1,0,آحــاد العمــــر
4,12,1,1,Age in
4,12,1,2,حضر Urban
4,12,1,3,ريف Rural
4,12,1,4,المجموع الكلي Total
4,12,2,0,single years
4,12,3,0,ذكور male
4,12,3,1,إناث female
4,12,3,2,مجموع total
4,12,3,3,ذكور male
4,12,3,4,إناث female
4,12,3,5,مجموع total
4,12,3,6,ذكور male
4,12,3,7,إناث female
4,12,3,8,مجموع total
5,1,0,0,درجة القرابة برئيس الأسرة Relation to head of the household
5,1,1,0,رئيس الأسرة
5,1,1,1,زوج أو زوجة
5,1,1,2,ابن أو بنت
5,1,1,3,زوجة أبن أو زوج بنت
5,1,1,4,حفيد أو حفيدة
5,1,1,5,والد أو والدة
5,1,1,6,أخ أو أخت وأزواجهم
5,1,1,7,أقارب أخرون
5,1,2,0,اسم المحلة
5,1,2,1,household
5,1,2,2,Husband or
5,1,2,3,son or
5,1,2,4,son wife or
5,1,2,5,Grand son
5,1,2,6,father or
5,1,2,7,وأولادهم Brother or
5,1,2,8,كافله/كافلها
5,1,2,9,others
5,1,2,10,افراد اخرون
5,1,2,11,غير مبين
5,1,2,12,المجموع Total
5,1,3,0,head
5,1,3,1,Wife
5,1,3,2,daughter
5,1,3,3,husband of
5,1,3,4,or Grand
5,1,3,5,mother
5,1,3,6,sister & them
5,1,3,7,Relatives maintenance
5,1,3,8,Others
5,1,3,9,unspecified
5,1,4,0,daughter
5,1,4,1,daughter
5,1,4,2,husband & sons
6,1,0,0,عدد النشطين إقتصادياً في الأسرة Economic activity workers
6,1,1,0,عدد أفراد الأسرة
6,1,1,1,اسر ليس بها عاملين without
6,1,1,2,أسر بها عامل واحد
6,1,1,3,one
6,1,1,4,أسر بها عاملان
6,1,1,5,أسر بها ثلاث عاملين
6,1,1,6,three
6,1,1,7,أسر بها أربعةعاملين فأكثر four
6,1,2,0,household size
6,1,2,1,worker
6,1,2,2,worker
6,1,2,3,two workers
6,1,2,4,workers
6,1,2,5,or more workers
6,1,2,6,المجموع Total
6,1,3,0,عدد .no
6,1,3,1,%
6,1,3,2,عدد .no
6,1,3,3,%
6,1,3,4,عدد .no
6,1,3,5,%
6,1,3,6,عدد .no
6,1,3,7,%
6,1,3,8,عدد .no
6,1,3,9,%
6,1,3,10,عدد .no
6,1,3,11,%
7,1,0,0,الحالة التعليمية لرئيس الأسرة Educational status for head of the household
7,1,1,0,عدد أفراد الأسرة
7,1,1,1,الشهادة الإبتدائية أو
7,1,1,2,الشهادة الاعدادية
7,1,1,3,الشهادة الثانوية أو ما
7,1,1,4,شهادة فوق الثانوية
7,1,2,0,household
7,1,2,1,أمي
7,1,2,2,يقرأ فقط
7,1,2,3,يقرأ ويكتب
7,1,2,4,ما يعادلها
7,1,2,5,أو ما يعادلها
7,1,2,6,يعادلها secondary
7,1,2,7,ودون الجامعية
7,1,2,8,شهادة جامعية
7,1,2,9,دبلوم دراسات عليا
7,1,2,10,ماجستير
7,1,2,11,دكتوراة
7,1,2,12,غير ذلك
7,1,2,13,غير مبين
7,1,2,14,المجموع
7,1,3,0,size
7,1,3,1,illiterate
7,1,3,2,Read
7,1,3,3,read and
7,1,3,4,primary
7,1,3,5,preparatory
7,1,3,6,cert. or its
7,1,3,7,above
7,1,3,8,bachelor
7,1,3,9,unspecified Other doctorate master's post graduate
7,1,3,10,Total
7,1,4,0,only
7,1,4,1,write
7,1,4,2,certificate or
7,1,4,3,cert. or its
7,1,4,4,proportion
7,1,4,5,secondary cert.
7,1,4,6,cert
7,1,4,7,diploma
7,1,4,8,degree
7,1,4,9,PH.D
7,1,5,0,its proportion
7,1,5,1,proprtion
7,1,5,2,& less graduate
8,1,0,0,الحالة الزواجية لرئيس الأسرة Marital Status for head of the household
8,1,1,0,عدد أفراد الأسرة
8,1,1,1,لم يسبق له أو لها الزواج Never
8,1,1,2,متزوج أو متزوجة Married
8,1,1,3,مطلق أو مطلقة Divorced
8,1,1,4,أرمل أو أرمله Widowed
8,1,1,5,غير مبين unspecified
8,1,1,6,المجموع Total
8,1,2,0,household size
8,1,2,1,Married
8,1,3,0,عدد .no
8,1,3,1,%
8,1,3,2,عدد .no
