mahalla_ar,baladiya_ar,city_ar,polling_centres
أ ن األشهر,تاجوراء,طرابلس,3
أبو الريش,رصمان,رصمان,2
أبو السباع,الزاوية المركز,الزاوية,1
أبو الغرب,نسمة,نسمة,1
أبو الفرائس,ام الرزم,درنة,1
أبو الهالل,رصمان,رصمان,4
أبو جعفر العربان,غريان,العربان,1
أبو راس,بن وليد,بن وليد,2
أبو عمود,بن وليد,بن وليد,1
أبو غالشة,الزاوية المركز,الزاوية,1
أبو نجرة,ب ن وليد,ب ن وليد,1
أبو نجرة,بن وليد,بن وليد,2
أبوراوي,بن وليد,بن وليد,3
أبورصة,الزاوية المركز,الزاوية,2
أبوروية,مرصاتة,مرصاتة,1
أبورية,مرصاتة,مرصاتة,1
أبوزاهية,رست,أبوزاهية,2
أبوزيان,غريان,غريان,1
أبوسعدة,السدرة,أبوسعدة,1
أبوشع تة,مرصاتة,مرصاتة,3
أبوعائشة,سيدي السائح,سيدي السائح,1
أبوعرقوب,السبيعة,السبيعة,2
أبوعياد,غريان,غريان,1
أبوغيالن,غريان,غريان / القواسم,2
أبوقرعة,الجميل,الجميل,1
أبوقرين,مرصاتة,أبوقرين,3
أبولجام,الرياينة,الرياينة,1
أبوماص,ككلة,ككلة,1
أبونجيم,زمزم,أبونجيم,1
أبوهادي,رست,رست,2
أري ب عيىس,الزاوية الغرب,الزاوية,1
أشنيشن,شحات,أشنيشن,1
أفوغاس,درج,درج,1
أفوغاس,غدامس,غدامس,1
أم األرانب,الشقية,أم األرانب,2
أم الرزم,ام الرزم,درنة,3
أم ركبة,امساعد,طربق,1
أم عزيز,الجميل,الجميل,3
أمسري,الرحيبات,الرحيبات,1
أنطاطات,غريان,غريان,1
أوالد أبوعائشة,السبيعة,السبيعة,2
أوالد أحمد,باطن الجبل,بدر,1
أوالد بن يعقوب,غريان,غريان,1
أوالد جابر,العزيزية,اوالد جابر,1
أوالد سالم,باطن الجبل,تي ج,1
أوالد شداد,باطن الجبل,بدر,1
أوالد طالب,باطن الجبل,تي ج,1
أوالد عل,ترهونة,ترهونة,3
أوالد محمود,نالوت,أوالد محمود,1
أوسادن,غريان,غريان,2
ا ن االشهر,تاجوراء,طرابلس,1
األبرق,األبرق,القبة,2
األبيار,االبيار,األبيار,2
األبيار,ترهونة,ترهونة,2
األبيض,بنت بيه,األبيض,1
األثرون,درنة,درنة,1
األسواك,مرصاتة,مرصاتة,1
األشاف,مسالتة,مسالته,2
األصابعة الوسط,االصابعة,االصابعة,1
األكوام,ترهونة,ترهونة,2
االبيار,االبيار,االبيار,8
االبيار,ترهونة,ترهونة,3
االشاف,مسالتة,مسالته,1
االصفاح,سوان بن أدم,االصفاح,1
االكوام,ترهونة,ترهونة,2
ابريك,الغريفة,ابريك,1
ابن منظور,أبوسليم,طرابلس,2
ابو جريدة,زليت,زليت,2
ابو رقية,زليت,زليت,3
ابودر الغفاري,أبوسليم,طرابلس,2
ابوغردقة,براك,الشا,1
ابوقدقود,ادرى,الشا,1
ابومليانة,طرابلس المركز,طرابلس,3
ابونجيم,زمزم,وادي ب,1
اجخرة,اجخرة,اجخرة,2
اجدابيا الشقية,اجدابيا,اجدابيا,8
اجدابيا الشمالية,اجدابيا,اجدابيا,7
اجدابيا الغربية,اجدابيا,اجدابيا,8
اخليف,بنت بيه,اخليف,1
ادري,ادرى,الشا,2
ادليم,مرزق,ادليم,1
ادواو,زليت,زليت,2
ازدو,زليت,زليت,3
ازدو الجنوبية,زليت,زليت,2
ازدو الشمالية,زليت,زليت,3
ازريق,مرصاتة,مرصاتة,1
اسلنطه,البيضاء,اسلنطه,1
اشكدة,براك,الشا,1
اشميخ,بن وليد,بن وليد - اشميخ,1
اقار,القرضة,الشا,1
