mahalla_ar,baladiya_ar,city_ar,polling_centres
اقار,وادى عتبة,اقار,1
اقزير,مرصاتة,مرصاتة,4
اقفنطه,الساحل,اقفنطه,1
ال تهانية,تاجوراء,طرابلس,4
ال تيقة الجديدة,ال تيقة,ال تيقة,2
ال تيقة المنطقة الثانية,ال تيقة,ال تيقة,1
ال ح الصنا ع,ج االندلس,طرابلس,2
ال ح رقم 3,رست,رست,1
ال يح القديم,الزاوية المركز,الزاوية,1
الب تة,مرصاتة,مرصاتة,1
البازة,زليت,زليت,3
الباكور,المرج,الباكور,1
البالد,درنة,درنة,1
البخ,القطرون,البخ,1
البدارنة الشقية,الحرابه,البدارنة,1
البدارنة الغربية,الحرابه,البدارنة,1
البدري,ع ي زارة,طرابلس,2
البدري,ع ي زاره,طرابلس,3
البدير,الشقية,البدير,1
البلدية,الخمس,الخمس,2
البلدية,بن وليد,بن وليد,4
البلدية,ترهونة,ترهونة,3
البمبه,ام الرزم,درنة,1
البنية,جردس,البنية,1
البياضة,الساحل,البياضة,1
البياضة الشقية,الساحل,البياضة,1
البياضه الغربية,الساحل,البياضة,1
البيضاء,البيضاء,البيضاء,2
البيضاء الشقية,البيضاء,البيضاء,6
البيضاء العربان,غريان,العربان,2
البيضاء الغربية,البيضاء,البيضاء,3
البيضان,البيضان وانتالت,البيضان,1
التقطة,درج,درج,1
التميم,ام الرزم,درنة,1
التناحمة,بنت بيه,التناحمة,1
التنية البيضاء,ب ن وليد,ب ن وليد,1
التنية البيضاء,بن وليد,بن وليد,2
الثالث ي,رست,رست,1
الثانوية,سبها,سبها,2
الثغار,ج االندلس,طرابلس,1
الج ته العسكرية,رست,رست,1
الجالء,سوق الجمعة,طرابلس,2
الجبار,تراغن,الجبار,1
الجبيلة,درنة,درنة,5
الجحاوات,الخمس,الخمس,2
الجديد,سبها,سبها,8
الجديدة,الجديدة,العجيالت,3
الجديدة,يفرن,يفرن,1
الجزيرة,مرصاتة,مرصاتة,2
الجغبوب,طربق,طربق,1
الجليداية سلطان,الزويتينة وسلطان,الجليداية,1
الجليدة,النارصية,النارصية,2
الجنانات,العجيالت,العجيالت,2
الجهاد,البيضاء,الجهاد,1
الجهاد,زليت,زليت,1
الجهاد,سوق الجمعة,طرابلس,5
الجهاد,طربق,طربق,10
الجهانات,مرصاتة,مرصاتة,1
الجوابر,قرص األخيار,قرص األخيار,1
الجوش الشقية,الحرابه,الجوش,1
الجوف,الكفرة,الكفرة,7
الجوف الغر ب,الكفرة,الكفرة,1
الح اإلسالم,ج األندلس,طرابلس,1
الح االسالم,ج االندلس,طرابلس,1
الح الصناع,ج االندلس,طرابلس,6
الح رقم 2,رست,رست,2
الح رقم 3,رست,رست,1
الحاثة,النارصية,الحاثة,1
الحاج عبيد,الزاوية المركز,الزاوية,3
الحارات,سوق الجمعة,طرابلس,5
الحدائق,بنغازي,الرتكة,2
الحرابة الغربية,الحرابه,تندمرتة,1
الحرشة,الزاوية الغرب,الزاوية,4
الحس ي,أبوسليم,طرابلس,1
الحشان,سوق الجمعة,طرابلس,2
الحطية,اوباري,الحطية,1
الحطية / ونزريك,ادرى,الشا,1
الحم تة,الشقية,الحم تة,1
الحمام,الجفرة,سوكنة,1
الحمامة,الساحل,الحمامة,1
الحمدة,توكرا,توكره,1
الحمراء,بنت بيه,الحمراء,1
الحميدية,تاجوراء,طرابلس,7
الحنية,الساحل,الحنية,1
الحنيوه,رست,رست,1
الحوامد,نالوت,الحوامد,1
الخالئفة الغربية,ظاهر الجبل,الخالئفة,1
الخاليفة,ظاهر الجبل,الخاليفة,1
الخرائق,الغريفة,الخرائق,1
الخرصاء,ترهونة,ترهونة,2
الخرصاء- الخريريبة,ترهونة,ترهونة,1
الخرما ن,ب ن وليد,ب ن وليد,1
الخرمان,بن وليد,بن وليد,2
الخروبة,جردس,منطقة الخروبة,1
الخزان,الرجبان,الرجبان,1
الخشش,مسالتة,مسالته,1
الخضاء,الزاوية الغرب,الزاوية,2
الخوالق,القره بولل,طرابلس,1
الخويمات,البيضاء,الخويمات,1
الدافنية,زليت,زليت,5
الدافنية,مرصاتة,مرصاتة,5
الدبوسية,القبة,القبة,1
الدري ن,ج االندلس,طرابلس,7
الدوكال,مسالتة,مسالته,1
الديسة,القرضة,الشا,1
الديسة,اوباري,الديسة,2
الرابطة,الزاوية الغرب,الزاوية,2
الرابطة,غريان,غريان / الرابطة,2
الراقوبة,الزاوية الغرب,الزاوية,1
الرباط,رست,رست,2
الرباط االما م,رست,رست,1
الرباط االمام,رست,رست,1
الربدى,امساعد,طربق,1
الرتكة,بنغازي,الرتكة,15
الرتكت,غات,الرتكت,3
الرجبان الشقية,الرجبان,الرجبان,1
الرجبان الغربية,الرجبان,الرجبان,2
الرجمة,االبيار,االبيار,1
الرحيبات الشمالية,الرحيبات,الرحيبات,1
الرصيم,طرابلس المركز,طرابلس,3
الرفافية,العامرية,العامرية,1
الرقيبة,بنت بيه,الرقيبة,3
الركو,بنت بيه,الركو,1
الرملة,مرصاتة,مرصاتة,1
الرواجح,القره بولل,طرابلس,2
الرويسات,مرصاتة,مرصاتة,4
الرياينة الشقية,الرياينة,الرياينة,1
الرياينة الغربية,الرياينة,الرياينة,1
الزاوية / براك,براك,الشا,1
الزاوية الجديدة,الزاوية المركز,الزاوية,1
الزاوية الجنوبية,الزاوية المركز,الزاوية,1
الزاوية القديمة,البيضاء,البيضاء,1
الزاوية القديمة,الزاوية المركز,الزاوية,2
الزب ت,أبوسليم,طرابلس,2
الزروق,مرصاتة,مرصاتة,9
الزعفران,رست,رست,3
الزملة,الرحيبات,الرحيبات,2
الزنتان,الزنتان,الزنتان,2
الزنتان الجنوبية,الزنتان,الزنتان,2
الزنتان الشقية,الزنتان,الزنتان,2
الزنتان الشمالية,الزنتان,الزنتان,1
الزنتان الغربية,الزنتان,الزنتان,2
الزهراء,ادرى,الشا,1
الزهراء,الزهراء,الزهراء,3
الزهراء الشقية,الزهراء,الزهراء,1
الزهراء الغربية,الزهراء,الزهراء,1
الزوا ب,مرصاتة,مرصاتة,1
الزوي,ترهونة,ترهونة,1
الزوية,براك,الشا,1
الزوية,غريان,غريان / الزوية,1
الزويتنة,الزويتينة وسلطان,الزويتنة,2
الزيتونة,تراغن,الزيتونة,1
الزيغن,البوانيس,سبها,1
الساحل,الخمس,الخمس,3
الساحل,الساحل,الساحل قرص ليبيا,3
الساحل,امساعد,طربق,1
الساحل,سوق الجمعة,طرابلس,3
الساحل الشق,درنة,درنة,4
الساحل الغرري ن,قمينس,المقرون,1
الساعدية,العزيزية,العزيزية,3
الساعدية الغربية,العزيزية,الساعدية,2
السالم,ج االندلس,طرابلس,1
السالوي,بنغازي,السالوي,1
السبعة,زليت,زليت,4
السبعة الجديدة,ع ي زاره,طرابلس,2
السبيطات,وادى عتبة,السبيطات,1
الستلونة,البيضاء,البيضاء,1
السدرة,الجديدة,العجيالت,1
السدرة,السدرة,رأس االنوف,1
السدرة,العجيالت,العجيالت,2
السك تات,مرصاتة,مرصاتة,1
السكانية الثالثة,رست,رست,1
السلما ن الش ق,بنغازي,السالوي,2
السلمان الشق,بنغازي,السالوي,4
السند,بن وليد,بن وليد,1
السوادنة,ككلة,ككلة,1
السوان,أوجلة,أوجلة,1
السوان,سوان بن أدم,السوان,7
السوان - اوجلة,أوجلة,أوجلة,2
السواوة,مرصاتة,مرصاتة,1
السوق,سيدي السائح,سيدي السائح,2
السوق,مسالتة,مسالته,2
السوق / صرتاتة,صرتاتة,صرتاتة,2
السوق ابو عيىس,الزاوية الغرب,الزاوية,1
السوق القديم,البيضاء,البيضاء,2
السياحية,ج األندلس,طرابلس,1
السياحية,ج االندلس,طرابلس,1
الشا,رصمان,رصمان,2
الشاج,ج االندلس,طرابلس,2
الشاج,جتور,طرابلس,1
الشارع الغر ن,ج األندلس,طرابلس,1
الشارع الغر ن,ج االندلس,طرابلس,7
الشاكسة,مرصاتة,مرصاتة,2
الششارة,ترهونة,ترهونة,1
الشعبة,طربق,طربق,1
الشعواء,درج,درج,1
الشف,االصابعة,االصابعة,2
الشف,جالو,جالو,1
الشف - جالو,جالو,جالو,1
الشقية,الزنتان,الزنتان,1
الشقية,القره بولل,طرابلس,3
الشقية الحرابة,الحرابه,الحرابة,1
الشقيقة,الشقيقة,الشقيقة,1
الشقيقة,ترهونة,ترهونة,1
الشواهدة,مرصاتة,مرصاتة,2
الشوايق,الخمس,الخمس,1
الشوك صالح الدين,ع ي زاره,طرابلس,1
الشويرف,ترهونة,ترهونة,1
الشويرف الشقية,الشويرف,الشويرف,1
الشويرف الغربية,الشويرف,الشويرف,1
الشيخ,زليت,زليت,3
الشيخ,غريان,غريان / القواسم,1
الص تة الحمراء,توكرا,دريانه,1
الصابري,بنغازي,بنغازي المركز,8
الصابرية,الزاوية الغرب,الزاوية,2
الصابرية الشقية,الزاوية الغرب,الزاوية,2
الصابرية الغربية,الزاوية الغرب,الزاوية,2
الصفصاف,شحات,الصفصاف,1
الصوالح,مرصاتة,مرصاتة,1
الصوان,الجفرة,ودان,1
الطالب,الكفرة,الكفرة,1
الطريق الساحل,مرصاتة,مرصاتة,1
الطويبية,الماية,الماية,2
الطويلة,زلطن,زلطن,1
الطويلة,صرتاتة,صرتاتة,2
الطيانية,الزاوية الغرب,الزاوية,2
الطينة,الماية,الماية,3
الظاهر,االصابعة,االصابعة,1
الظه ت,رست,رست,1
الظهرة,بن وليد,بن وليد,3
الظهرة,طرابلس المركز,طرابلس,3
الظهرة -تنيناي الوادي بن وليد - تنيناي,بن وليد,,1
الظهرتة,زليت,زليت,3
العافية / براك,براك,الشا,1
العامرة,هراوة,العامرة,1
العامرية,العامرية,العامرية,2
العامرية,العزيزية,العزيزية,1
العثمانية,تاجوراء,طرابلس,3
العر,رصمان,رصمان,2
العربان,غريان,غريان / العربان,1
العرق - جالو,جالو,جالو,4
العرقوب,ال تيقة,العرقوب,1
العروبة,بنغازي,السالوي,8
العري,الرياينة,الرياينة,1
العزيات,درنة,درنة,1
العزيزية,العزيزية,العزيزية,2
العزيزية الشقية,العزيزية,العزيزية الشقية,2
العزيزية الغربية,العزيزية,العزيزية,2
العزيزية المركز,العزيزية,العزيزية,1
العسة / رقدال ي,رقدال ي,رقدال ي,1
العطايا,القره بولل,طرابلس,3
العقيلة,ال تيقة,العقيلة,1
العلوص,قرص األخيار,قرص األخيار,3
العليا,القلعة,القلعة,1
العماري ي,قرص األخيار,قرص األخيار,1
العمامرة,مسالتة,مسالته,1
العموري,الزاوية الغرب,الزاوية,1
العواتة,سوق الخميس,سوق الخميس,1
العوانري,قرص بن غشرت,قرص بن غشرت,5
العويلية الشقية,المرج,العويلية,1
العويلية الغربية,المرج,المرج,2
العوينات,غات,العوينات,1
العوينيه,يفرن,العوينيه,2
العيون,القرضة,الشا,1
الغ تان,مرصاتة,مرصاتة,6
الغاللبة,سيدي السائح,سيدي السائح,2
الغالمية,العجيالت,العجيالت,1
الغرارات,سوق الجمعة,طرابلس,5
الغريب,الساحل,منطقة الغريب,1
الغريبات,رست,رست,3
الغريفة,الغريفة,الغريفة,2
الغريقة,البيضاء,البيضاء,15
الغزايا,نالوت,الغزايا,1
الغوط,صرتاتة,صرتاتة,2
الغويالت,زليت,زليت,3
الفا س,الزاوية المركز,الزاوية,2
الفا س,مسالتة,مسالته,1
الفائدية,شحات,الفائدية,1
الفاس,الزاوية المركز,الزاوية,1
الفتائح,درنة,درنة,1
الفتح,سوق الجمعة,طرابلس,5
الفجيج,بنت بيه,الفجيج,1
الفخفاخة,الغريفة,الفخفاخة,1
الفراطسة,مرصاتة,مرصاتة,1
الفرجان,الجفرة,سوكنة,1
الفرجان,ترهونة,ترهونة,3
الفرجان- الربيدة,ترهونة,الداوون,1
الفرناج,ع ي زارة,طرابلس,2
الفرناج,ع ي زاره,طرابلس,2
الفقهاء,الجفرة,الفقهاء,1
الفليجات,الزهراء,الزهراء,1
الفويهات,بنغازي,الرتكة,5
الفيوت,غات,الفيوت,1
القاعة,زليت,زليت,4
القاهرة,سبها,سبها,2
القبة,القبة,القبة,9
القبيبة,رست,رست,1
القحاصات,غريان,غريان,1
القداحية,زمزم,زمزم,2
القراية,بنت بيه,القراية,1
القرص,نالوت,نالوت,1
القرص,يفرن,يفرن,1
القرص / براك,براك,الشا,1
القرضابية,رست,رست,2
القرضبة,طربق,طربق,1
القرضة,القرضة,الشا,2
القرضة,سبها,سبها,2
القرية الشقية,الزنتان الجنوبية,القرية,1
القرية الضمانية,أبوسليم,طرابلس,1
القرية لغربية,الزنتان الجنوبية,القرية,1
القزاحية,زليت,زليت,2
القص ت,الجفرة,هون,1
القصبة,القلعة,القلعة,1
القصبة,جادو,جادو,1
القصبة,زليت,زليت,4
القصبة العربان,غريان,العربان,1
القصيعة,ترهونة,ترهونة,2
القطارة,مسالتة,مسالته,2
القطرون,القطرون,القطرون,2
القع تات,الغريفة,القع تات,1
القعرة,طربق,طربق,3
القلة,ادرى,الشا,1
القلعة,مسالتة,مسالته,2
القلعة الزوية,بنت بيه,القلعة الزوية,1
القنان,اجدابيا,اجدابيا,1
القوارشة,بنغازي,الرتكة,7
القواسم,غريان,غريان / القواسم,5
القوس,مرصاتة,مرصاتة,1
القوليش,االصابعة,االصابعة,2
القويعة,القره بولل,طرابلس,2
القيقب,القيقب,القبة,2
الكراوة,القره بولل,طرابلس,4
الكراوة,قرص األخيار,قرص األخيار,1
الكريمية,سوان بن أدم,السوان,1
الكليبة,غريان,غريان,1
الكويفية,بنغازي,سيدي خليفة,5
الكيش,بنغازي,الرتكة,12
اللبة - جالو,جالو,جالو,2
المالحة,امساعد,طربق,1
الماية,الماية,الماية,4
المبن,توكرا,دريانه,2
المجابرة,كاباو,الحرابة,1
المجد,سوق الجمعة,طرابلس,3
المحيش,بنغازي,السالوي,1
المختار,بنغازي,السالوي,3
المخيل,األبرق,القبة,1
المدينة,طربق,طربق,26
المدينة القديمة,طرابلس المركز,طرابلس,3
المربوعة,بن وليد,بن وليد,2
المرج,المرج,المرج,12
المرج,جردس,جردس العبيد,3
المرج الشقية,المرج,المرج,7
المرج الغربية,المرج,المرج,4
المرصص,طربق,طربق,1
المرغن,سوق الجمعة,طرابلس,1
المركز,الزنتان,الزنتان,1
المركز,جادو,جادو,1
المركز,رست,رست,1
المركز,مزدة,مزدة,1
المرىس,ال تيقة,ال تيقة,2
المسيد,مسالتة,مسالته,1
المشاشية,السدرة,المشاشية,1
المشاي,تاجوراء,طرابلس,5
المشوع - جالو,جالو,جالو,1
المشوع الزراع,أبوسليم,طرابلس,1
المصىل / براك,براك,الشا,1
المطار,قرص بن غشرت,قرص بن غشرت,5
المطاردة,مرصاتة,مرصاتة,1
المطرد,الزاوية الغرب,الزاوية,1
المطرد الغربية,الزاوية الغرب,الزاوية,1
المطردالشقية,الزاوية الغرب,الزاوية,2
المعزول,مرصاتة,الوشكة,1
المعطن,مسالتة,مسالته,1
المعقولة,الخمس,الخمس,3
المعقولة الوادي,الخمس,الخمس,3
المعمورة,المعمورة,المعمورة,1
المعمورة الشقية,المعمورة,المعمورة,2
المغار,درنة,درنة,7
المغاربة,غريان,غريان,1
المقاصبة,مرصاتة,مرصاتة,2
المقاوبة,مرصاتة,مرصاتة,1
المقرون,قمينس,المقرون,1
المقزحة,بنغازي,بنغازي,1
المقطع,الزاوية المركز,الزاوية,3
المليطانية,االبيار,االبيار,2
المنست ب,امساعد,طربق,1
المنشية,الجميل,الجميل,3
المنشية,سبها,سبها,5
المنشية,طرابلس المركز,طرابلس,7
المنصورة,ادرى,الشا,1
المنصورة,شحات,المنصورة,1
المنصورة,طرابلس المركز,طرابلس,3
المنطرحة,زليت,زليت,4
المهدية,سبها,سبها,3
الميدان,الجميل,الجميل,2
النارصية,النارصية,النارصية,3
النارصية,سبها,سبها,1
النارصية الشقية,النارصية,النارصية,1
النجم الساطع,مرصاتة,مرصاتة,2
النجيلة,جتور,طرابلس,3
النجيلة,سوان بن أدم,السوان,2
النجيلة الغربية,سوان بن أدم,النجيلة الغربية,1
النرص,الجديدة,العجيالت,5
النصب التذكارى,رست,رست,1
النهضة,صرتاتة,صرتاتة,2
النواقية,بنغازي,بنغازي,1
النوفلي ي,طرابلس المركز,طرابلس,4
النوفلية,السدرة,النوفلية,1
الهبيلية,باطن الجبل,بدر,1
الهضبة الخرصاء,أبوسليم,طرابلس,3
الهضبة الشقية,ع ي زارة,طرابلس,1
الهضبة الشقية,ع ي زاره,طرابلس,2
الهمايلة,باطن الجبل,تي ج,1
الهنش ت,العجيالت,العجيالت,4
الهنشرت,االصابعة,االصابعة,1
الهوارى,الكفرة,الكفرة,1
الهواري,بنغازي,الرتكة,8
الهويويرى,الكفرة,الكفرة,1
الوادى الشق,تاجوراء,طرابلس,2
الوادى الغر ن,تاجوراء,طرابلس,1
الوادي,القلعة,القلعة,1
الوادي,صرتاتة,صرتاتة,2
الوادي االحمر,السدرة,الوادي االحمر,1
الوادي الش ق,تاجوراء,طرابلس,1
الوادي الشق,تاجوراء,طرابلس,4
الوادي الغر ن,تاجوراء,طرابلس,3
الوالب,الزاوية المركز,الزاوية,3
الوحدة العربية,بن وليد,بن وليد,2
الوسط,االصابعة,االصابعة,2
الوسط,الرجبان,الرجبان,1
الوسط,الرحيبات,الرحيبات,1
الوسط,الرياينة,الرياينة,1
الوسط,جادو,جادو,1
الوسط,سيدي السائح,سيدي السائح,1
الوسط,ككلة,ككلة,1
الوسط / رقدال ي,رقدال ي,رقدال ي,2
الوسط الحرابة,الحرابه,المجابرة,1
الوسيطه,البيضاء,الوسيطة,1
الوشكة,مرصاتة,الوشكة,1
الىل,األبرق,القبة,1
ام الجرسان,ظاهر الجبل,يفرن,1
ام الحمام,وادى عتبة,ام الحمام,1
ام القرون,العزيزية,العزيزية,1
ام القنديل,السدرة,الوسط,1
امداكم,الزاوية الجنوب,الزاوية,1
امرير قابس,اجدابيا,اجدابيا,1
امساعد,امساعد,طربق,2
انتالت,البيضان وانتالت,انتالت,1
اندباس,جادو,جادو الغر ب,1
اوالد زائد,سوق الخميس,سوق الخميس,1
اوالد سنان,الخمس,الخمس,1
اوالد مرغم,السبيعة,السبيعة,1
اوالد وشاح,السبيعة,السبيعة,1
اوباري,اوباري,اوباري,4
اوجلة,اوجلة,اوجلة,1
ب ن ي يح,غريان,غريان,1
باب الزيتون,طربق,طربق,2
باب السالم,أبوسليم,طرابلس,1
باب بن غش ت,أبوسليم,طرابلس,2
باب بن غش ت,ابوسليم,طرابلس,1
باب بن غش ت,طرابلس المركز,طرابلس,1
بادرتن,غريان,غريان / القواسم,1
باسس,درنة,درنة,1
بالحديد,الساحل,بالحديد,1
بالخاثر,طربق,طربق,1
بب األشهب,بب االشهب,طربق,2
بب االشهب,بب االشهب,بب االشهب,1
بت اسىط ميالد,ع ي زاره,طرابلس,3
بت التوتة,قرص بن غشرت,قرص بن غشرت,4
بت التوته,قرص بن غشرت,,1
بت الجديد,العزيزية,العزيزية,2
بت الحلو,الجميل,الجميل,1
بت الطوبة,سيدي السائح,سيدي السائح,1
بت الغنم الشقية,الزاوية الجنوب,الزاوية,1
بت الغنم المركز,الزاوية الجنوب,الزاوية,1
بت بن سالم,النارصية,النارصية,1
بت ترفاس,الزاوية المركز,الزاوية,1
بت دياب,سيدي السائح,سيدي السائح,1
بت عزالدين,الزاوية الجنوب,الزاوية,1
بت غن,االصابعة,االصابعة,1
بت معتوق,ترهونة,ترهونة,1
بحر السماح,الزاوية المركز,الزاوية,4
بدر,باطن الجبل,بدر,1
براك,براك,الشا,1
برسس,توكرا,توكره,1
برقن,ادرى,الشا,2
بريش,سوق الخميس,سوق الخميس,2
بزيمة,الكفرة,الكفرة,1
بش,ال تيقة,بش,2
بشارة,القبة,القبة,1
بطة,الساحل,بطة,4
بلخ ت,طرابلس المركز,طرابلس,3
بلغراء,البيضاء,البيضاء,1
بلقس,شحات,بلقس,1
بللوزة,أبوسليم,طرابلس,1
بن جحا,الخمس,الخمس,3
بن جواد,السدرة,بن جواد,3
بن حارث,بنت بيه,بن حارث,1
بن سباع,الزاوية المركز,الزاوية,2
بن شعيب,الجميل,الجميل,4
بن شعيب,الزاوية الجنوب,الزاوية,1
بن عطية,السبيعة,السبيعة,2
بن نارص,مسالتة,مسالته,2
بنت بيه,بنت بيه,بنت بيه,1
بندار,الخمس,الساحل,1
بنغازي الجديدة,بنغازي,الرتكة,7
بنغازي المدينة,بنغازي,بنغازي المركز,7
بنينا,بنغازي,بنينا,6
بو طينة,الجميل,الجميل,1
بوترابة,الساحل,بوترابة,1
بوعطن,بنغازي,السالوي,6
بوفاخرة,بنغازي,الرتكة,5
بومريم,االبيار,االبيار,1
بومنصور,درنة,درنة,6
بيت ثامر,القبة,القبة,1
تاروت,القرضة,الشا,1
تازربو,تازربو,تازربو,2
تاقرفت,الجفرة,هون,1
تاكنس الشقية,جردس,المرج,1
تاكنس الغربية,جردس,تاكنس,1
تامزاوة,القرضة,الشا,2
تجره,القطرون,تجره,1
تراغن,تراغن,تراغن,2
تربانة,الخمس,الخمس,1
تربو,الشقية,تربو,1
ترت,األبرق,القبة,1
ترغالت,ترهونة,ترهونة,2
ترغت,ترهونة,ترهونة,1
ترهونة الجنوبية,ترهونة,ترهونة,1
ترهونة الشمالية,ترهونة,ترهونة,2
تساوة,وادى عتبة,تساوة,1
تغرنة,غريان,غريان,1
تغسات,غريان,غريان / تغسات,6
تفلفلت,درج,درج,1
تقرط ي,وادى عتبة,تقرط ي,1
تكبال,ككلة,ككلة,1
تكركبية,بنت بيه,تكركيبة,1
تكوت,نالوت,نالوت,1
تليل,صرتاتة,صرتاتة,2
تمزدة,جادو,جادو,1
تمسان,ادرى,الشا,2
تمسة,الشقية,تمسة,1
تملوشايت,كاباو,كاباو,1
تمنهنت,البوانيس,سبها,1
تنقومة,المرج,تنقومة,1
تهاال,غات,تهاال,1
توش,الغريفة,توش,1
توكره,بنغازي,توكره,1
توكره,توكرا,توكره,4
تويوة,الغريفة,تويوة,1
تويوي,الشقية,تويوي,1
تي ج,باطن الجبل,تي ج,2
ج االكواخ,أبوسليم,طرابلس,2
ج االنتصار,أبوسليم,طرابلس,3
ج االندلس,ج االندلس,طرابلس,7
ج المجاهدين,أبوسليم,طرابلس,1
ج تاو,مرزق,ج تاو,1
ج تة,االبيار,االبيار,1
ج دمشق,أبوسليم,طرابلس,3
جادو,جادو,جادو المركزية,1
جادو الشمالية,جادو,جادو,1
جادو الغربية,جادو,جادو,1
جارف,رست,رست,3
جامع التوغار,سوان بن أدم,السوان,2
جامع القمودي,الزاوية المركز,الزاوية,3
جبل معروف,ترهونة,ترهونة,1
جبور,بب االشهب,طربق,1
جتور الحشان,جتور,طرابلس,2
جتور الشاج,جتور,طرابلس,1
جتور الشقية,جتور,طرابلس,7
جتور المركز,جتور,طرابلس,5
جتور الوسط,جتور,طرابلس,7
جتور انجيلة,جتور,طرابلس,1
جتور صياد,جتور,طرابلس,4
جردس الجراري,البيضاء,جردس الجراري,1
جردس الجنوبية,جردس,جردس االحرار,1
جردس الشمالية,جردس,جردس االحرار,1
جردينا,سلوق,جردينا,1
جرمة,الغريفة,جرمة,1
جرمة القديمة,الغريفة,جرمة,1
جنان بن نصيب,الجميل,الجميل,1
جنان عطية,العجيالت,العجيالت,4
جناون,جادو,جادو الشمالية,1
جندوبة,االصابعة,االصابعة,1
جنوب االبيار,االبيار,االبيار,1
جود دائم,الزاوية المركز,الزاوية,3
ح السالم,بنغازي,السالوي,9
ح العزمة / اقار,القرضة,الشا,1
ح القارة,القرضة,الشا,1
ح المشاشية,القرضة,الشا,1
ح عبدالكاف,سبها,سبها,1
حبون,شحات,شحات,1
حج حجيل,مرزق,حج حجيل,1
حجارة,سبها,سبها,2
حم تية القديمة,الشقية,حم تية القديمة,1
حمدة,الجميل,الجميل,1
حمدون,رقدال ي,رقدال ي,1
حمدون / رقدال ي,رقدال ي,رقدال ي,4
خالد بن الوليد,أبوسليم,طرابلس,2
خلة الفرجان,ع ي زاره,طرابلس,1
