year,month,date,group_code,group_name,index,weight,base_year,base_year_source,has_conflict,mom_change_pct,annual_average,family,source_document,source_sha256
2021,8,2021-08,10,Education,380.0,4.0,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2021.pdf,6d10e3cc1bafff7be69c32e0d6345bce47a528695dd2aef22b10ccae8bcf19b0
2021,8,2021-08,11,Restaurants and Hotels,342.8,1.7,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2021.pdf,6d10e3cc1bafff7be69c32e0d6345bce47a528695dd2aef22b10ccae8bcf19b0
2021,8,2021-08,12,Miscellaneous Goods and Services,290.3,3.1,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2021.pdf,6d10e3cc1bafff7be69c32e0d6345bce47a528695dd2aef22b10ccae8bcf19b0
2021,9,2021-09,00,General Index,277.8,100.0,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,01,Food and Beverages,316.8,38.8,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,02,Tobacco,264.1,0.7,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,03,Clothing and Footwear,417.7,6.4,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,04,"Housing, Water, Electricity and Other Fuels",177.9,22.7,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,05,Furniture and Household Equipment,355.8,4.9,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,06,Health,339.0,4.1,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,07,Transport,203.6,8.1,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,08,Communication,83.3,2.7,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,09,Recreation and Culture,204.8,2.8,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,10,Education,380.0,4.0,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,11,Restaurants and Hotels,343.0,1.7,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,9,2021-09,12,Miscellaneous Goods and Services,290.3,3.1,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,00,General Index,279.2,100.0,,unresolved,0,0.5,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,01,Food and Beverages,319.3,38.8,,unresolved,0,0.8,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,02,Tobacco,264.1,0.7,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,03,Clothing and Footwear,420.7,6.4,,unresolved,0,0.7,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,04,"Housing, Water, Electricity and Other Fuels",178.0,22.7,,unresolved,0,0.1,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,05,Furniture and Household Equipment,357.3,4.9,,unresolved,0,0.4,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,06,Health,340.5,4.1,,unresolved,0,0.4,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,07,Transport,203.7,8.1,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,08,Communication,83.4,2.7,,unresolved,0,0.1,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,09,Recreation and Culture,205.1,2.8,,unresolved,0,0.1,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,10,Education,380.0,4.0,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,11,Restaurants and Hotels,343.0,1.7,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,10,2021-10,12,Miscellaneous Goods and Services,292.3,3.1,,unresolved,0,0.7,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أكتوبر-2021.pdf,9d5fd6f921e2853d4e788fe5170a92e052e356e6897951af1d722a44f0f5ec55
2021,11,2021-11,00,General Index,280.7,100.0,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,01,Food and Beverages,320.4,38.8,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,02,Tobacco,264.1,0.7,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,03,Clothing and Footwear,423.2,6.4,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,04,"Housing, Water, Electricity and Other Fuels",180.7,22.7,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,05,Furniture and Household Equipment,358.3,4.9,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,06,Health,341.4,4.1,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,07,Transport,205.0,8.1,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,08,Communication,83.6,2.7,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,09,Recreation and Culture,205.9,2.8,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,10,Education,380.1,4.0,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
