year,period,tier1_capital_adequacy_pct,total_capital_adequacy_pct
2004,annual,9.8,10.4
2005,annual,10.1,10.9
2006,annual,10.8,11.6
2007,annual,10.2,11.8
2008,annual,10.4,12.2
2009,annual,12.9,14.5
2010,annual,12.5,13.8
2011,annual,11.9,13.1
2012,annual,9.5,10.7
2013,annual,11.0,12.4
2014,annual,12.6,13.9
2015,annual,13.1,14.3
2016,annual,13.4,14.6
2017,annual,15.4,16.7
2018,annual,16.5,17.8
2019,annual,17.2,18.4
2020,annual,17.9,19.2
2021,annual,15.3,16.6
2022,annual,14.3,15.7
2023,annual,13.6,15.3
2024,annual,23.1,24.3
2025,annual,30.4,31.7
2026,Q1,29.6,30.8
