date,year,month,currency_in_circulation,cash_in_vault,deposits_with_central_bank,bank_reserves_total,public_enterprise_demand_deposits,monetary_base
2006-05-31,2006,5,3625.9,236.0,2785.0,3021.0,1152.8,7799.7
2006-06-30,2006,6,3601.5,285.1,3041.1,3326.2,853.4,7781.1
2006-07-31,2006,7,3569.0,280.9,2774.5,3055.4,953.5,7577.9
2006-08-31,2006,8,3541.5,321.6,3071.6,3393.2,897.0,7831.7
2006-09-30,2006,9,3568.0,349.5,3487.3,3836.8,1018.6,8423.4
2006-10-31,2006,10,3837.7,324.0,3025.1,3349.1,1117.3,8304.1
2006-11-30,2006,11,3689.4,313.5,3422.4,3735.9,943.0,8368.3
2006-12-31,2006,12,3932.9,201.2,3487.3,3688.5,1109.4,8730.8
2007-01-31,2007,1,3785.1,331.8,3037.5,3369.3,789.9,7944.3
2007-02-28,2007,2,3805.1,318.3,3332.3,3650.6,936.9,8392.6
2007-03-31,2007,3,3822.2,304.5,3577.6,3882.1,938.7,8643.0
2007-04-30,2007,4,3880.6,327.0,3125.3,3452.3,1239.3,8572.2
2007-05-31,2007,5,3988.4,334.8,2987.3,3322.1,901.0,8211.5
2007-06-30,2007,6,4014.9,330.0,3768.4,4098.4,717.1,8830.4
2007-07-31,2007,7,4018.1,368.1,3528.5,3896.6,873.7,8788.4
2007-08-31,2007,8,4039.6,401.0,4245.8,4646.8,959.6,9646.0
2007-09-30,2007,9,4164.5,364.2,4346.8,4711.0,867.9,9743.4
2007-10-31,2007,10,4254.8,427.4,4129.9,4557.3,1322.1,10134.2
2007-11-30,2007,11,4242.8,429.7,4435.8,4865.5,1507.7,10616.0
2007-12-31,2007,12,4581.2,370.9,4963.6,5334.5,1071.4,10987.1
2008-01-31,2008,1,4556.6,479.2,4767.5,5246.7,896.6,10699.9
2008-02-29,2008,2,4788.3,388.9,5182.8,5571.7,964.0,11324.0
2008-03-31,2008,3,4968.8,422.1,5278.8,5700.9,987.0,11656.7
2008-04-30,2008,4,4921.0,480.1,6899.7,7379.8,782.8,13083.6
