period_end,rank,category,value_usd,sector,section_seq,source_section_label
2025-06-30,1,Egypt Air Company,14807022.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,2,Turkish Airlines Air Transport Company,6980692.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,3,Sahara Bank,4035617.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,4,Al Andalus Bank Company,4000000.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,5,Wahda Bank,1229644.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,6,Mediterranean Bank,755000.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,7,Daman Islamic Bank,597873.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,8,Al Masdar Exchange Services Company,463000.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,9,Islamic Finance Bank,428786.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,10,Arab Islamic Investment Bank Banking,400000.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,11,(35) Salary transfers for foreigners,397353.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,12,Alaman Bank for Trade and Investment,303444.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,13,National Commercial Leasing Company,166315.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,1,Egypt,15190290.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,2,Türkiye,6999592.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,3,United States,4400000.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,4,Lebanon,2719242.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,5,United Arab Emirates,1423305.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,6,Tunisia,1355382.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,7,United Kingdom,755000.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,8,Switzerland,750000.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,9,France,303444.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,10,Ireland,193368.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,11,Belgium,133193.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,12,Philippines,100185.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,13,Ukraine,74282.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,14,India,37740.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,15,Uzbekistan,29800.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,16,Slovakia,29687.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,17,Jordan,26600.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,18,Bangladesh,15785.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,19,Bahrain,9897.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,20,Poland,7585.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,21,Germany,5429.0,unspecified,1,Foreign Transfers - Salaries
2025-06-30,22,Romania,4940.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,1,Egypt Air Company,20103770.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,2,Turkish Airlines Air Transport Company,14630466.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,3,Sahara Bank,4035617.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,4,Al Andalus Bank Company,4000000.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,5,Royal Jordanian Airlines branch office,3612882.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,6,Royal Air Marococan the national airline of Morocco,2925352.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,7,Wahda Bank,1229644.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,8,Daman Islamic Bank,1064202.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,9,Mediterranean Bank,755000.0,unspecified,1,Foreign Transfers - Salaries
2025-08-31,10,(44) Salary transfers for foreigners,463803.0,unspecified,1,Foreign Transfers - Salaries
