shabiya_ar,check,result,detail
النقاط الخمس,volume_total_vs_table_3,ok,
الغربية,printed_total_vs_sum,ok,
الجبل الأخضر,volume_total_vs_table_3,ok,
الجبل الأخضر,printed_total_vs_sum,ok,
الجبل الغربي,volume_total_vs_table_3,ok,
الجبل الغربي,printed_total_vs_sum,ok,
الجفارة,volume_total_vs_table_3,ok,
الجفارة,printed_total_vs_sum,ok,
الجفرة,volume_total_vs_table_3,ok,
الجفرة,printed_total_vs_sum,ok,
الزاوية,volume_total_vs_table_3,ok,
الزاوية,printed_total_vs_sum,ok,
وادي الشاطئ,volume_total_vs_table_3,ok,
الشاطئ,printed_total_vs_sum,ok,
الكفرة,volume_total_vs_table_3,ok,
الكفرة,printed_total_vs_sum,ok,
المرج,volume_total_vs_table_3,ok,
المرج,printed_total_vs_sum,ok,
المرقب,row_identity,fail,"الفاسي (page 11): persons printed 50, components imply 2910"
المرقب,volume_total_vs_table_3,ok,
المرقب,printed_total_vs_sum,fail,persons off by -2860
الواحات,volume_total_vs_table_3,ok,
الواحات,printed_total_vs_sum,ok,
بنغازي,volume_total_vs_table_3,ok,
بنغازي,printed_total_vs_sum,ok,
درنة,volume_total_vs_table_3,ok,
درنة,printed_total_vs_sum,ok,
سبها,volume_total_vs_table_3,ok,
سبها,printed_total_vs_sum,ok,
سرت,volume_total_vs_table_3,ok,
سرت,printed_total_vs_sum,ok,
البطنان,volume_total_vs_table_3,ok,
طبرق,printed_total_vs_sum,ok,
طرابلس,volume_total_vs_table_3,ok,
طرابلس,printed_total_vs_sum,ok,
غات,volume_total_vs_table_3,ok,
غات,printed_total_vs_sum,ok,
مرزق,volume_total_vs_table_3,ok,
مرزق,printed_total_vs_sum,ok,
مصراته,volume_total_vs_table_3,ok,
مصراتة,printed_total_vs_sum,ok,
نالوت,volume_total_vs_table_3,ok,
نالوت,printed_total_vs_sum,ok,
وادي الحياة,volume_total_vs_table_3,ok,
وادي الحياة,printed_total_vs_sum,ok,
