shabiya_ar,shabiya_en,volume_title_ar,mahalla_count,libyan_hh_households,libyan_hh_libyans,libyan_hh_non_libyans,libyan_hh_persons,non_libyan_hh_households,non_libyan_hh_libyans,non_libyan_hh_non_libyans,non_libyan_hh_persons,households,libyans,non_libyans,persons,area_km2,density_per_km2,source_document,source_sha256
النقاط الخمس,Nuqat al Khams,الغربية,36,50939,268588,1844,270432,5321,965,15962,16927,56260,269553,17806,287359,6089,47.19,نتائج-التعداد-العام-لسكان-مدينة-المنطقة-الغربية-لسنة-2006.pdf,ff13674e63fbc068694fc6ce1829632e3cb295bf98ae1243053912eac9240bf8
الجبل الأخضر,Jabal al Akhdar,الجبل الأخضر,32,28557,191819,2403,194222,2781,870,11088,11958,31338,192689,13491,206180,11429,18.04,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
الجبل الغربي,Jabal al Gharbi,الجبل الغربي,84,49355,288233,1335,289568,3680,711,12426,13137,53035,288944,13761,302705,76717,3.95,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
الجفارة,Jafara,الجفارة,42,73737,421566,2885,424451,9002,1433,25291,26724,82739,422999,28176,451175,2666,169.23,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
الجفرة,Jufra,الجفرة,7,8048,46531,417,46948,1626,368,4776,5144,9674,46899,5193,52092,139038,0.37,نتائج-تعداد-العام-لسكان-مدينة-الجفرة-لسنة-2006م.pdf,a5135f9f1191bdaf77bc36fc1b28ccdb324d77c4fd84965c1d74acdc9dbd6589
الزاوية,Zawiya,الزاوية,36,49324,269718,1900,271618,5649,1033,17986,19019,54973,270751,19886,290637,2753,105.57,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
وادي الشاطئ,Wadi al Shatii,الشاطئ,24,12022,73113,487,73600,1366,330,4633,4963,13388,73443,5120,78563,90244,0.87,نتائج-تعداد-العام-لسكان-مدينة-الشاطئ-لسنة-2006م.pdf,8cfd9aaad05e4f79b16ef0791f3535dd11bec8b0f9bf0d256568044fcecc4085
الكفرة,Kufra,الكفرة,6,6394,42327,536,42863,1578,442,5023,5465,7972,42769,5559,48328,433611,0.11,نتائج-تعداد-العام-لسكان-مدينة-الكفرة-لسنة-2006م.pdf,d7f492c8600b851cf719d3327d8e31a0bb366ed3d5b152e3042778e90ba8aa35
المرج,Marj,المرج,33,23857,174953,1480,176433,1769,502,7596,8098,25626,175455,9076,184531,13515,13.65,نتائج-تعداد-العام-لسكان-مدينة-المرج-لسنة-2006م.pdf,bb79404305e478d04299277ba150a3fb447d2c508624222fbeb6184992357844
المرقب,Murqub,المرقب,59,68752,409453,1915,411368,4768,734,15784,16518,73520,410187,17699,427886,6796,62.96,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
