base_year,year,month,group_code,index_kept,index_other,document_kept,document_other
2008,2019,8,02,821.8,261.2,الرقم-القياسي-لأسعار-المستهلكين-لشهر-سبتمبر-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-حسب-المجموعات-الرئيسية-لسنة-2019م.pdf
2008,2019,5,07,186.5,186.6,الرقم-القياسي-لأسعار-المستهلكين-لشهر-يونيو-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-حسب-المجموعات-الرئيسية-لسنة-2019م.pdf
2008,2018,9,02,821.8,315.6,الرقم-القياسي-لأسعار-المستهلكين-لشهر-سبتمبر-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf
2008,2018,6,02,282.3,345.0,الرقم-القياسي-لأسعار-المستهلكين-لشهر-يونيو-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf
2008,2018,7,06,307.1,301.7,الرقم-القياسي-لأسعار-المستهلكين-لشهر-يوليو-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf
2008,2018,6,06,302.9,296.4,الرقم-القياسي-لأسعار-المستهلكين-لشهر-يونيو-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf
2008,2018,6,07,186.5,189.3,الرقم-القياسي-لأسعار-المستهلكين-لشهر-يونيو-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf
2008,2018,7,08,79.6,82.7,الرقم-القياسي-لأسعار-المستهلكين-لشهر-يوليو-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf
2008,2018,6,08,79.4,82.2,الرقم-القياسي-لأسعار-المستهلكين-لشهر-يونيو-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf
2008,2018,7,10,375.1,332.2,الرقم-القياسي-لأسعار-المستهلكين-لشهر-يوليو-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf
2008,2019,5,07,186.5,186.6,الرقم-القياسي-لأسعار-المستهلكين-لشهر-يونيو-لسنة-2019م.pdf,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf
2008,2023,7,00,294.8,302.5,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,00,288.6,294.8,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,01,338.0,352.0,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,01,327.0,338.0,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,02,265.5,266.2,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,02,264.1,265.5,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,03,445.8,455.5,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
