base_year,year,month,group_code,index_kept,index_other,document_kept,document_other
2008,2022,7,03,435.7,445.8,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,04,194.4,195.3,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,04,193.6,194.4,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,05,372.1,380.8,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,05,367.5,372.1,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,06,356.4,362.7,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,06,349.6,356.4,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,07,214.5,217.8,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,07,210.9,214.5,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,08,83.9,84.6,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,09,209.8,215.2,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,09,207.7,209.8,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,10,381.2,382.2,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,10,380.1,381.2,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,11,348.9,351.1,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,11,347.0,348.9,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,7,12,307.7,315.3,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-يوليو-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2022,7,12,301.9,307.7,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك.pdf
2008,2023,8,00,295.4,302.9,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,00,289.2,295.4,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,01,339.2,352.7,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,01,328.4,339.2,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,02,265.5,266.2,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,03,444.9,455.9,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,03,436.4,444.9,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,04,194.4,195.4,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,04,193.5,194.4,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,05,372.9,381.1,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,05,367.3,372.9,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,06,356.5,363.0,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,06,349.7,356.5,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,07,215.0,218.1,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,07,210.9,215.0,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,08,83.9,84.6,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,08,83.6,83.9,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,09,210.7,215.6,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,09,207.6,210.7,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,10,382.1,382.2,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,10,381.1,382.1,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,11,349.0,351.1,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,11,347.0,349.0,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2023,8,12,308.0,316.2,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-سبتمبر-2023.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
2008,2022,8,12,301.1,308.0,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أغسطس-2022.pdf,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-حسب-المجاميع-الرئيسية-والرقم-القياسي-العام-لشهر-أغسطس-لسنة-2024-مقارنة-بشهر-أغسط_compressed.pdf
