date,year,month,demand_deposits,time_deposits,deposits_total,reserve_requirements,excess_reserves
2006-04-30,2006,4,2346.5,6320.7,8667.2,1760.9,6906.3
2006-05-31,2006,5,2738.8,6879.2,9618.0,2007.5,7610.5
2006-06-30,2006,6,3257.9,6788.7,10046.6,1998.4,8048.2
2006-07-31,2006,7,2804.5,6633.7,9438.2,2080.4,7357.8
2006-08-31,2006,8,3073.8,7303.2,10377.0,2229.0,8148.0
2006-09-30,2006,9,3406.3,7486.7,10893.0,2233.6,8659.4
2006-10-31,2006,10,2912.3,7475.2,10387.5,2310.7,8076.8
2006-11-30,2006,11,3288.2,7610.2,10898.4,2281.5,8616.9
2006-12-31,2006,12,3448.7,7735.7,11184.4,2259.8,8924.6
2007-01-31,2007,1,2988.0,7395.7,10383.7,2237.8,8145.9
2007-02-28,2007,2,3250.0,7048.7,10298.7,2167.9,8130.8
2007-03-31,2007,3,3282.7,7645.7,10928.4,2241.9,8686.5
2007-04-30,2007,4,3112.9,8178.7,11291.6,2319.7,8971.9
2007-05-31,2007,5,3071.8,8271.7,11343.5,2343.4,9000.1
2007-06-30,2007,6,3751.4,8663.7,12415.1,2333.3,10081.8
2007-07-31,2007,7,3225.1,10045.7,13270.8,2502.9,10767.9
2007-08-31,2007,8,4049.7,10532.7,14582.4,2751.6,11830.8
2007-09-30,2007,9,4310.1,10579.7,14889.8,2749.8,12140.0
2007-10-31,2007,10,4190.9,11674.7,15865.6,2953.6,12912.0
2007-11-30,2007,11,4556.6,12045.7,16602.3,3102.9,13499.4
2007-12-31,2007,12,4970.7,13177.7,18148.4,3191.4,14957.0
2008-01-31,2008,1,4847.3,12870.7,17718.0,3296.7,14421.3
2008-02-29,2008,2,5498.1,11956.7,17454.8,3260.1,14194.7
2008-03-31,2008,3,4953.8,12398.7,17352.5,3204.3,14148.2
2008-04-30,2008,4,6939.9,14955.7,21895.6,3899.4,17996.2
2008-05-31,2008,5,8086.6,15576.3,23662.9,4129.2,19533.7
2008-06-30,2008,6,7634.8,16679.0,24313.8,6995.1,17318.7
2008-07-31,2008,7,11296.5,16319.5,27616.0,7398.3,20217.7
2008-08-31,2008,8,12088.7,17002.0,29090.7,7566.3,21524.4
2008-09-30,2008,9,10274.2,17886.4,28160.6,7801.0,20359.6
2008-10-31,2008,10,11252.8,18890.5,30143.3,8036.9,22106.4
2008-11-30,2008,11,14311.1,17939.2,32250.3,8354.4,23895.9
2008-12-31,2008,12,12969.1,19501.0,32470.1,8306.1,24164.0
2009-01-31,2009,1,10574.4,19880.3,30454.7,8059.4,22395.3
2009-02-28,2009,2,10229.4,19900.4,30129.8,8004.4,22125.4
2009-03-31,2009,3,9769.2,19856.1,29625.3,8066.7,21558.6
2009-04-30,2009,4,10221.7,22321.9,32543.6,8709.0,23834.6
2009-05-31,2009,5,10693.6,23706.1,34399.7,9086.6,25313.1
2009-06-30,2009,6,11202.9,24458.5,35661.4,9104.2,26557.2
2009-07-31,2009,7,11424.3,25680.6,37104.9,9622.9,27482.0
2009-08-31,2009,8,11371.5,25632.4,37003.9,9228.7,27775.2
2009-09-30,2009,9,11660.6,26172.4,37833.0,9622.5,28210.5
2009-10-31,2009,10,11066.9,26061.9,37128.8,9504.4,27624.4
2009-11-30,2009,11,12101.3,25849.8,37951.1,9752.4,28198.7
2009-12-31,2009,12,12948.5,25619.3,38567.8,9734.6,28833.2
2010-01-31,2010,1,11485.8,24749.2,36235.0,9439.3,26795.7
2010-02-28,2010,2,12158.1,24748.4,36906.5,9332.2,27574.3
2010-03-31,2010,3,11433.8,24201.8,35635.6,9401.4,26234.2
2010-04-30,2010,4,10999.3,25140.0,36139.3,9170.2,26969.1
2010-05-31,2010,5,11455.1,26203.0,37658.1,9810.8,27847.3
2010-06-30,2010,6,12459.0,25642.9,38101.9,9770.1,28331.8
2010-07-31,2010,7,13783.1,25072.9,38856.0,10019.3,28836.7
2010-08-31,2010,8,12721.2,28389.0,41110.2,10400.0,30710.2
2010-09-30,2010,9,12445.3,28424.4,40869.7,10455.1,30414.6
2010-10-31,2010,10,12899.1,27906.6,40805.7,10604.0,30201.7
2010-11-30,2010,11,12814.7,28392.1,41206.8,10655.0,30551.8
2010-12-31,2010,12,13251.5,30686.0,43937.5,11062.6,32874.9
2011-01-31,2011,1,12771.3,28588.0,41359.3,10698.1,30661.2
2011-02-28,2011,2,13332.5,26245.7,39578.2,10383.9,29194.3
2011-03-31,2011,3,12690.6,27047.8,39738.4,10298.0,29440.4
2011-04-30,2011,4,12327.1,27810.0,40137.1,10337.8,29799.3
2011-05-31,2011,5,12194.0,28438.9,40632.9,10172.9,30460.0
2011-06-30,2011,6,13143.7,28013.7,41157.4,10319.7,30837.7
2011-07-31,2011,7,12537.3,28495.6,41032.9,10355.9,30677.0
2011-08-31,2011,8,12613.5,29176.1,41789.6,10782.5,31007.1
2011-09-30,2011,9,15806.1,27931.2,43737.3,11167.0,32570.3
2011-10-31,2011,10,16594.9,29710.8,46305.7,11600.5,34705.2
2011-11-30,2011,11,16369.7,29599.1,45968.8,11509.4,34459.4
2011-12-31,2011,12,18728.7,27339.7,46068.4,11714.2,34354.2
2012-01-31,2012,1,19653.4,26847.8,46501.2,11686.9,34814.4
2012-02-29,2012,2,19443.7,27157.6,46601.3,11744.8,34856.5
2012-03-31,2012,3,16914.9,30159.1,47074.0,11727.1,35347.0
2012-04-30,2012,4,16326.4,30927.8,47254.2,11742.1,35512.1
2012-05-31,2012,5,17106.4,29636.8,46743.2,11992.3,34750.9
2012-06-30,2012,6,16767.3,31303.5,48070.8,12066.7,36004.1
2012-07-31,2012,7,17214.2,32724.4,49938.6,12680.2,37258.4
2012-08-31,2012,8,14514.7,32787.2,47301.9,12323.8,34978.1
2012-09-30,2012,9,13796.1,32848.7,46644.8,12154.2,34490.6
2012-10-31,2012,10,14569.9,32831.7,47401.6,12680.6,34721.0
2012-11-30,2012,11,14645.3,33602.4,48247.7,12910.6,35337.1
2012-12-31,2012,12,17203.4,35737.8,52941.2,13669.2,39272.0
2013-01-31,2013,1,16029.7,36697.5,52727.2,13886.2,38841.0
2013-02-28,2013,2,16150.0,37382.9,53532.9,13897.1,39635.8
2013-03-31,2013,3,15463.8,37072.1,52535.9,13802.0,38733.9
2013-04-30,2013,4,15876.9,34826.1,50703.0,13515.6,37187.4
2013-05-31,2013,5,15815.7,34826.1,50641.8,13807.8,36834.0
2013-06-30,2013,6,17465.0,34570.5,52035.5,13993.1,38042.4
2013-07-31,2013,7,17841.6,36499.1,54340.7,14673.4,39667.3
2013-08-31,2013,8,16900.8,36342.5,53243.3,14325.8,38917.5
2013-09-30,2013,9,16196.5,35949.7,52146.2,14293.7,37852.5
2013-10-31,2013,10,15606.3,36368.3,51974.6,14373.8,37600.8
2013-11-30,2013,11,17538.5,34952.9,52491.4,14576.0,37915.4
2013-12-31,2013,12,19364.6,44307.3,63671.9,16712.5,46959.4
2014-01-31,2014,1,18179.1,43168.8,61347.9,15997.2,45350.7
2014-02-28,2014,2,18328.2,42944.0,61272.2,15917.0,45355.2
2014-03-31,2014,3,18290.4,41831.2,60121.6,15811.7,44309.9
2014-04-30,2014,4,19281.8,40690.3,59972.1,15643.8,44328.3
2014-05-31,2014,5,19218.3,39344.5,58562.8,15602.6,42960.2
2014-06-30,2014,6,18428.3,39903.8,58332.1,15627.5,42704.6
2014-07-31,2014,7,19734.9,38345.6,58080.5,15781.7,42298.8
2014-08-31,2014,8,17322.1,38041.1,55363.2,15832.9,39530.3
2014-09-30,2014,9,19374.9,36478.8,55853.7,15908.2,39945.5
2014-10-31,2014,10,18237.7,36523.8,54761.5,15743.8,39017.7
2014-11-30,2014,11,18833.3,36523.8,55357.1,15884.9,39472.2
2014-12-31,2014,12,19382.4,37349.9,56732.3,15819.8,40912.5
2015-01-31,2015,1,20342.8,37464.6,57807.4,15879.9,41927.5
2015-02-28,2015,2,20589.4,36815.1,57404.5,15540.5,41864.0
2015-03-31,2015,3,19671.7,35205.2,54876.9,15243.2,39633.7
2015-04-30,2015,4,19082.5,35150.6,54233.1,15388.0,38845.1
2015-05-31,2015,5,20916.6,33115.0,54031.6,15644.4,38387.2
2015-06-30,2015,6,19574.7,34379.0,53953.7,15408.3,38545.4
2015-07-31,2015,7,22157.2,33529.0,55686.2,15912.3,39773.9
2015-08-31,2015,8,22004.4,33714.5,55718.9,15687.2,40031.7
2015-09-30,2015,9,27315.3,29500.8,56816.1,16061.8,40754.3
2015-10-31,2015,10,23346.5,32206.5,55553.0,15883.2,39669.8
2015-11-30,2015,11,23029.8,32392.9,55422.7,15769.0,39653.7
2015-12-31,2015,12,20863.2,24259.7,45122.9,14251.4,30871.4
2016-01-31,2016,1,22293.0,23631.3,45924.3,14256.1,31668.2
2016-02-29,2016,2,21070.7,23856.8,44927.5,14130.1,30797.4
2016-03-31,2016,3,24150.0,23656.7,47806.7,14411.1,33395.6
2016-04-30,2016,4,23833.6,23826.6,47660.2,14607.2,33053.0
2016-05-31,2016,5,23920.1,23615.6,47535.7,14722.8,32812.9
2016-06-30,2016,6,24406.3,23603.9,48010.2,15170.2,32840.0
2016-07-31,2016,7,25400.0,23623.7,49023.7,15450.5,33573.2
2016-08-31,2016,8,24659.7,23596.3,48256.0,15390.7,32865.3
2016-09-30,2016,9,26354.5,23611.5,49966.0,15717.1,34248.9
2016-10-31,2016,10,27095.3,23671.4,50766.7,15928.1,34838.6
2016-11-30,2016,11,27037.2,23765.9,50803.1,16308.6,34494.5
2016-12-31,2016,12,30627.6,23187.1,53814.7,13959.5,39855.2
2017-01-31,2017,1,29601.1,24174.7,53775.8,14111.8,39664.0
2017-02-28,2017,2,30386.9,24344.4,54731.3,16909.4,37821.9
2017-03-31,2017,3,36655.3,24387.9,61043.2,17244.0,43799.2
2017-04-30,2017,4,38715.4,24222.9,62938.3,17623.7,45314.6
2017-05-31,2017,5,40007.5,26383.5,66391.0,18107.1,48283.9
2017-06-30,2017,6,43132.3,25927.9,69060.2,18521.1,50539.1
2017-07-31,2017,7,45024.3,25826.9,70851.2,18375.4,52475.8
2017-08-31,2017,8,47260.4,25364.7,72625.1,19004.7,53620.4
2017-09-30,2017,9,47214.4,26401.8,73616.2,18879.3,54736.9
2017-10-31,2017,10,47494.5,26501.4,73995.9,18722.6,55273.3
2017-11-30,2017,11,48507.3,27155.6,75663.0,18907.8,56755.1
2017-12-31,2017,12,53136.0,26415.7,79551.7,19187.7,60364.0
2018-01-31,2018,1,54188.0,27065.8,81253.8,19855.8,61398.0
2018-02-28,2018,2,54855.8,27068.7,81924.5,19580.9,62343.6
2018-03-31,2018,3,53530.7,26669.7,80200.4,19290.3,60910.1
2018-04-30,2018,4,57060.7,26513.0,83573.6,19836.2,63737.5
2018-05-31,2018,5,60034.4,26260.4,86294.8,20699.0,65595.8
2018-06-30,2018,6,61034.9,26068.4,87103.3,20758.9,66344.4
2018-07-31,2018,7,59033.8,28930.7,87964.5,20824.6,67139.9
2018-08-31,2018,8,60764.6,28534.9,89299.5,21288.2,68011.3
2018-09-30,2018,9,61437.7,28533.5,89971.2,21281.7,68689.5
2018-10-31,2018,10,59547.7,28029.4,87577.1,20368.9,67208.2
2018-11-30,2018,11,57560.8,26863.6,84424.4,19910.4,64514.0
2018-12-31,2018,12,52498.3,24716.9,77215.2,18741.5,58473.7
2019-01-31,2019,1,57660.9,22869.3,80530.2,19151.8,61378.4
2019-02-28,2019,2,55379.5,23258.1,78637.6,18591.9,60045.7
2019-03-31,2019,3,53554.3,23058.0,76612.3,18305.5,58306.8
2019-04-30,2019,4,56374.3,20512.5,76886.8,18603.3,58283.5
2019-05-31,2019,5,57552.9,20243.9,77796.8,18663.3,59133.5
2019-06-30,2019,6,56896.2,20657.4,77553.6,18333.7,59219.9
2019-07-31,2019,7,50646.1,19166.3,69812.4,18285.2,51527.2
2019-08-31,2019,8,54463.2,18411.0,72874.2,18746.3,54127.9
2019-09-30,2019,9,54052.6,17813.0,72208.2,18284.4,53923.8
2019-10-31,2019,10,52630.8,18871.1,71501.9,18195.9,53306.0
2019-11-30,2019,11,53075.2,17091.8,70167.0,17790.8,52376.2
2019-12-31,2019,12,53981.3,15846.9,69828.2,17743.1,52085.1
2020-01-31,2020,1,50429.2,18297.2,68726.4,17784.1,50942.3
2020-02-29,2020,2,48824.2,15379.8,64204.0,16867.8,47336.2
2020-03-31,2020,3,52583.7,12940.0,65523.7,17403.7,48120.0
2020-04-30,2020,4,59167.4,11307.0,70474.4,17788.6,52685.8
2020-05-31,2020,5,58171.2,12791.1,70962.4,18464.9,52497.5
2020-06-30,2020,6,62754.7,13737.9,76492.6,18775.7,57716.9
2020-07-31,2020,7,70493.0,11042.8,81535.8,19993.8,61542.0
2020-08-31,2020,8,67564.9,14245.7,81810.6,19759.0,62051.6
2020-09-30,2020,9,62718.2,19893.6,82611.8,19987.2,62624.6
2020-10-31,2020,10,63476.8,20087.6,83564.4,19956.3,63608.1
2020-11-30,2020,11,64186.8,20150.4,84337.2,19926.3,64410.9
2020-12-31,2020,12,68245.0,17118.2,85363.2,20438.8,64924.4
2021-01-31,2021,1,75322.2,14315.4,89637.6,21649.9,67987.7
2021-02-28,2021,2,70223.8,12250.1,82473.9,20897.5,61576.4
2021-03-31,2021,3,73208.3,10634.3,83842.6,20859.3,62983.3
2021-04-30,2021,4,71457.6,12171.0,83628.6,20793.0,62835.6
2021-05-31,2021,5,69462.0,13971.4,83433.4,20197.7,63235.7
2021-06-30,2021,6,70118.5,13761.4,83879.9,20134.7,63745.2
2021-07-31,2021,7,67936.3,13756.4,81692.7,19709.8,61982.9
2021-08-31,2021,8,71696.8,13756.4,85453.2,20124.3,65328.9
2021-09-30,2021,9,68994.9,14232.4,83227.3,19250.0,63977.3
2021-10-31,2021,10,67767.3,13118.0,80885.3,19058.0,61827.3
2021-11-30,2021,11,66782.1,14518.7,81300.8,18527.1,62773.7
2021-12-31,2021,12,64455.6,14169.6,78625.2,18422.7,60202.5
2022-01-31,2022,1,71640.5,14669.6,86310.1,20219.3,66090.8
2022-02-28,2022,2,68574.2,14669.6,83243.8,19689.0,63554.8
2022-03-31,2022,3,67471.9,14169.6,81641.5,19502.3,62139.2
2022-04-30,2022,4,71955.2,8654.9,80610.1,19430.6,61179.5
2022-05-31,2022,5,64620.8,13637.3,78258.1,19107.5,59150.6
2022-06-30,2022,6,64889.0,13337.3,78226.3,19425.2,58801.1
2022-07-31,2022,7,65849.4,9517.3,75366.7,18556.7,56810.0
2022-08-31,2022,8,67229.5,7117.3,74346.8,18484.7,55862.1
2022-09-30,2022,9,72407.7,7517.3,79925.0,19637.0,60288.0
2022-10-31,2022,10,68761.9,6517.3,75279.2,19470.5,55808.7
2022-11-30,2022,11,76537.3,3492.6,80029.9,19930.2,60099.7
2022-12-31,2022,12,79920.0,3492.6,83412.6,20410.5,63002.1
2023-01-31,2023,1,68143.3,3492.6,71635.9,19752.6,51883.3
2023-02-28,2023,2,71160.7,3492.6,74653.3,20533.1,54120.2
2023-03-31,2023,3,72162.8,3492.6,75655.4,21054.0,54601.4
2023-04-30,2023,4,72732.0,3492.6,76224.6,21261.4,54963.2
2023-05-31,2023,5,72275.6,3493.0,75768.6,21465.4,54303.2
2023-06-30,2023,6,74846.8,3492.5,78339.3,21826.8,56512.5
2023-07-31,2023,7,70835.7,3492.5,74328.2,21480.4,52847.9
2023-08-31,2023,8,74815.1,3492.5,78307.7,22271.3,56036.4
2023-09-30,2023,9,75913.0,1992.5,77905.6,22092.5,55813.1
2023-10-31,2023,10,77187.2,1992.5,79179.8,22245.7,56934.1
2023-11-30,2023,11,79950.7,0.0,79950.7,22421.3,57529.4
2023-12-31,2023,12,90237.2,3200.0,93437.2,25188.8,68248.4
2024-01-31,2024,1,90076.1,1400.0,91476.1,24239.1,67237.1
2024-02-29,2024,2,99786.3,2775.0,102561.3,26759.8,75801.5
2024-03-31,2024,3,99991.9,2400.0,102391.9,27615.4,74776.5
2024-04-30,2024,4,104493.0,2025.0,106518.0,29270.6,77247.4
2024-05-31,2024,5,101958.9,0.0,101958.9,27535.4,74423.4
2024-06-30,2024,6,105465.3,0.0,105465.3,27741.3,77724.0
2024-07-31,2024,7,108422.7,0.0,108422.7,28222.9,80199.8
2024-08-31,2024,8,107308.7,0.0,107308.7,27377.8,79931.0
2024-09-30,2024,9,108509.0,0.0,108509.0,27707.7,80801.4
2024-10-31,2024,10,107552.9,0.0,107552.9,28252.9,79300.0
2024-11-30,2024,11,117658.5,1000.0,118658.5,30234.3,88424.1
2024-12-31,2024,12,109110.8,5000.0,114110.8,29397.7,84713.1
2025-01-31,2025,1,108798.8,6000.0,114798.8,28534.5,86264.2
2025-02-28,2025,2,102864.4,7000.0,109864.4,27470.0,82394.4
2025-03-31,2025,3,103545.7,7000.0,110545.7,28297.3,82248.4
2025-04-30,2025,4,121440.9,7000.0,128440.9,48119.8,80321.2
2025-05-31,2025,5,129353.6,1000.0,130353.6,47445.1,82908.5
2025-06-30,2025,6,124316.3,2000.0,126316.3,47058.5,79257.8
2025-07-31,2025,7,125456.4,2000.0,127456.4,47112.4,80344.0
2025-08-31,2025,8,120996.4,2000.0,122996.4,45925.9,77070.5
2025-09-30,2025,9,140432.0,3250.0,143682.0,55139.0,88543.1
2025-10-31,2025,10,152301.5,6750.0,159051.5,54220.3,104831.2
2025-11-30,2025,11,157979.0,6813.6,164792.6,56236.6,108555.9
2025-12-31,2025,12,168993.1,2095.7,171088.8,57965.3,113123.5
2026-01-31,2026,1,177451.5,3360.5,180812.0,60684.2,120127.9
2026-02-28,2026,2,170420.9,7347.8,177768.7,60756.0,117012.7
2026-03-31,2026,3,169767.2,7390.7,177157.9,60293.9,116864.0
2026-04-30,2026,4,159556.4,8400.9,167957.3,57462.9,110494.4
