date,year,month,demand_deposits,time_deposits,deposits_total,reserve_requirements,excess_reserves
2004-01-31,2004,1,1244.8,1793.8,3038.6,1163.7,1874.9
2004-02-29,2004,2,1394.4,1665.3,3059.7,1170.1,1889.6
2004-03-31,2004,3,1385.1,1769.0,3154.1,1146.9,2007.2
2004-04-30,2004,4,1475.4,1707.0,3182.4,1234.2,1948.2
2004-05-31,2004,5,1389.7,3295.0,4684.7,1231.2,3453.5
2004-06-30,2004,6,1389.7,4177.0,5566.7,1246.8,4319.9
2004-07-31,2004,7,1407.8,4057.0,5464.8,1278.8,4186.0
2004-08-31,2004,8,1471.3,4136.5,5607.8,1334.5,4273.3
2004-09-30,2004,9,1417.9,4100.0,5517.9,1294.5,4223.4
2004-10-31,2004,10,1370.2,4082.5,5452.7,1344.3,4108.4
2004-11-30,2004,11,1348.1,4209.5,5557.6,1351.6,4206.0
2004-12-31,2004,12,1710.6,4368.8,6079.4,1378.7,4700.7
2005-01-31,2005,1,1736.5,4630.7,6367.2,1407.7,4959.5
2005-02-28,2005,2,1729.7,4421.7,6151.4,1420.2,4731.2
2005-03-31,2005,3,1880.5,4749.2,6629.7,1436.7,5193.0
2005-04-30,2005,4,1912.5,4931.2,6843.7,1499.0,5344.7
2005-05-31,2005,5,2024.6,5300.2,7324.8,1585.7,5739.1
2005-06-30,2005,6,1981.5,5393.7,7375.2,1549.9,5825.3
2005-07-31,2005,7,2224.4,5634.7,7859.1,1641.3,6217.8
2005-08-31,2005,8,2148.1,5954.7,8102.8,1693.1,6409.7
2005-09-30,2005,9,2124.7,5927.2,8051.9,1681.9,6370.0
2005-10-31,2005,10,2226.2,6051.2,8277.4,1715.4,6562.0
2005-11-30,2005,11,2078.5,6117.2,8195.7,1760.1,6435.6
2005-12-31,2005,12,2444.8,6430.1,8874.9,1754.3,7120.6
2006-01-31,2006,1,2356.9,6277.7,8634.6,1793.5,6841.1
2006-02-28,2006,2,2288.1,6716.2,9004.3,1826.7,7177.6
2006-03-31,2006,3,2262.4,6550.7,8813.1,1752.4,7060.7
