period_end,year,bank,rank,value_usd,market_share_pct
2026-04-30,2026,Libyan Foreign Bank,17.0,122684897.0,1.56
2026-04-30,2025,Mediterranean Bank,17.0,92662324.0,0.89
2026-04-30,2026,Mediterranean Bank,18.0,118710792.0,1.51
2026-04-30,2025,Tadhamon Bank,16.0,94031775.0,0.9
2026-04-30,2026,Tadhamon Bank,19.0,76493846.0,0.97
2026-04-30,2025,Arab Investment Islamic Bank,19.0,38768497.0,0.37
2026-04-30,2026,Arab Investment Islamic Bank,20.0,50614006.0,0.65
2026-04-30,2025,Alwafa Bank,21.0,11690030.0,0.11
2026-04-30,2026,Alwafa Bank,21.0,36164808.0,0.46
2026-04-30,2025,Islamic Finance Bank,,,
2026-04-30,2026,Islamic Finance Bank,22.0,9489954.0,0.12
2026-04-30,2025,Danam Islamic Bank,,,
2026-04-30,2026,Danam Islamic Bank,23.0,2162481.0,0.03
2026-04-30,2025,Al Seraj Islamic Bank,,,
2026-04-30,2026,Al Seraj Islamic Bank,24.0,1186727.0,0.02
2026-07-31,2025,Jumhouria Bank,3.0,1433834669.0,9.35
2026-07-31,2026,Jumhouria Bank,1.0,2672944976.0,16.72
2026-07-31,2025,Aman Bank for Trade and Investment,1.0,2778277104.0,18.12
2026-07-31,2026,Aman Bank for Trade and Investment,2.0,1758633004.0,11.0
2026-07-31,2025,Wahda Bank,4.0,1363496200.0,8.89
2026-07-31,2026,Wahda Bank,3.0,1305747680.0,8.17
2026-07-31,2025,National Commercial Bank,2.0,2006938037.0,13.09
2026-07-31,2026,National Commercial Bank,4.0,1235158049.0,7.73
2026-07-31,2025,Nuran Bank,6.0,894616508.0,5.83
2026-07-31,2026,Nuran Bank,5.0,1042520682.0,6.52
2026-07-31,2025,National Union Bank,19.0,108599906.0,0.71
2026-07-31,2026,National Union Bank,6.0,1026369938.0,6.42
2026-07-31,2025,North African Bank,7.0,809866633.0,5.28
2026-07-31,2026,North African Bank,7.0,1005890470.0,6.29
2026-07-31,2025,Andalus Bank,13.0,433640093.0,2.83
2026-07-31,2026,Andalus Bank,8.0,862022668.0,5.39
2026-07-31,2025,Libyan Islamic Bank,10.0,658442494.0,4.29
2026-07-31,2026,Libyan Islamic Bank,9.0,831035686.0,5.2
2026-07-31,2025,Yaqeen Bank,12.0,439202935.0,2.86
2026-07-31,2026,Yaqeen Bank,10.0,689010097.0,4.31
2026-07-31,2025,Bank of Commerce and Development,9.0,761626126.0,4.97
2026-07-31,2026,Bank of Commerce and Development,11.0,541205799.0,3.39
2026-07-31,2025,Assaray Trade and Investment Bank,8.0,786032056.0,5.13
2026-07-31,2026,Assaray Trade and Investment Bank,12.0,446904587.0,2.8
2026-07-31,2025,United Bank for Commerce and Investment,5.0,910631356.0,5.94
2026-07-31,2026,United Bank for Commerce and Investment,13.0,441460164.0,2.76
2026-07-31,2025,Sahara Bank,11.0,571193039.0,3.72
2026-07-31,2026,Sahara Bank,14.0,427316262.0,2.67
2026-07-31,2025,Alwaha Bank,18.0,119300023.0,0.78
2026-07-31,2026,Alwaha Bank,15.0,400407827.0,2.5
2026-07-31,2025,First Gulf Libyan Bank,15.0,350437793.0,2.29
2026-07-31,2026,First Gulf Libyan Bank,16.0,343765606.0,2.15
2026-07-31,2025,Mediterranean Bank,17.0,195957469.0,1.28
2026-07-31,2026,Mediterranean Bank,17.0,301146781.0,1.88
2026-07-31,2025,Tadhamon Bank,16.0,224052087.0,1.46
2026-07-31,2026,Tadhamon Bank,18.0,246610875.0,1.54
2026-07-31,2025,Libyan Foreign Bank,14.0,352389962.0,2.3
2026-07-31,2026,Libyan Foreign Bank,19.0,124856066.0,0.78
2026-07-31,2025,Arab Investment Islamic Bank,20.0,105903445.0,0.69
2026-07-31,2026,Arab Investment Islamic Bank,20.0,119916964.0,0.75
2026-07-31,2025,Alwafa Bank,21.0,31931168.0,0.21
2026-07-31,2026,Alwafa Bank,21.0,106240878.0,0.66
2026-07-31,2025,Islamic Finance Bank,,,
2026-07-31,2026,Islamic Finance Bank,22.0,34127497.0,0.21
2026-07-31,2025,Daman Islamic Bank,,,
2026-07-31,2026,Daman Islamic Bank,23.0,20385663.0,0.13
2026-07-31,2025,Al Seraj Islamic Bank,,,
2026-07-31,2026,Al Seraj Islamic Bank,24.0,3931689.0,0.02
2025-06-30,2024,Aman Bank for Trade and Investment,2.0,1276256312.0,13.5
2025-06-30,2025,Aman Bank for Trade and Investment,1.0,2560700258.0,19.0
2025-06-30,2024,National Commercial Bank,1.0,1497213905.0,15.9
2025-06-30,2025,National Commercial Bank,2.0,1903240829.0,14.1
2025-06-30,2024,Jumhouria Bank,3.0,1244220069.0,13.2
2025-06-30,2025,Jumhouria Bank,3.0,1296605761.0,9.6
2025-06-30,2024,Wahda Bank,4.0,889186707.0,9.4
2025-06-30,2025,Wahda Bank,4.0,1054155199.0,7.8
2025-06-30,2024,United Bank for Commerce and Investment,6.0,616205011.0,6.5
2025-06-30,2025,United Bank for Commerce and Investment,5.0,853014939.0,6.3
2025-06-30,2024,Nuran Bank,5.0,832094487.0,8.8
2025-06-30,2025,Nuran Bank,6.0,807792553.0,6.0
2025-06-30,2024,North African Bank,11.0,355583854.0,3.8
2025-06-30,2025,North African Bank,7.0,697575103.0,5.2
2025-06-30,2024,Assaray Trade and Investment,13.0,234476154.0,2.5
2025-06-30,2025,Assaray Trade and Investment,8.0,658463437.0,4.9
2025-06-30,2024,Bank of Commerce and Development,9.0,467440650.0,5.0
2025-06-30,2025,Bank of Commerce and Development,9.0,580556707.0,4.3
2025-06-30,2024,Libyan Islamic Bank,7.0,588259853.0,6.2
2025-06-30,2025,Libyan Islamic Bank,10.0,579747635.0,4.3
2025-06-30,2024,Sahara Bank,8.0,470463046.0,5.0
2025-06-30,2025,Sahara Bank,11.0,491531064.0,3.6
2025-06-30,2024,Yaqeen Bank,20.0,-587623.0,0.0
2025-06-30,2025,Yaqeen Bank,12.0,384878594.0,2.9
2025-06-30,2024,Andalus Bank,10.0,383919486.0,4.1
2025-06-30,2025,Andalus Bank,13.0,377722804.0,2.8
2025-06-30,2024,Libyan Foreign Bank,17.0,30121902.0,0.3
2025-06-30,2025,Libyan Foreign Bank,14.0,338206643.0,2.5
2025-06-30,2024,First Gulf Libyan Bank,12.0,280726044.0,3.0
2025-06-30,2025,First Gulf Libyan Bank,15.0,293351488.0,2.2
2025-06-30,2024,Tadhamon Bank,15.0,84787811.0,0.9
2025-06-30,2025,Tadhamon Bank,16.0,171194775.0,1.3
2025-06-30,2024,Mediterranean Bank,16.0,61517768.0,0.7
2025-06-30,2025,Mediterranean Bank,17.0,154492902.0,1.1
2025-06-30,2024,Alwaha Bank,14.0,96874204.0,1.0
2025-06-30,2025,Alwaha Bank,18.0,110018119.0,0.8
2025-06-30,2024,National Union Bank,19.0,0.0,0.0
2025-06-30,2025,National Union Bank,19.0,84830692.0,0.6
2025-06-30,2024,Arab Investment Islamic Bank,,0.0,
2025-06-30,2025,Arab Investment Islamic Bank,20.0,84254751.0,0.6
2025-06-30,2024,Alwafa Bank,18.0,19123796.0,0.2
2025-06-30,2025,Alwafa Bank,21.0,19848739.0,0.15
2026-06-30,2025,Jumhouria Bank,3.0,1296605761.0,9.6
2026-06-30,2026,Jumhouria Bank,1.0,2400218910.0,17.23
2026-06-30,2025,Aman Bank for Trade and Investment,1.0,2560700258.0,18.97
2026-06-30,2026,Aman Bank for Trade and Investment,2.0,1524784811.0,10.94
2026-06-30,2025,Wahda Bank,4.0,1054155199.0,7.81
2026-06-30,2026,Wahda Bank,3.0,1097723808.0,7.88
2026-06-30,2025,National Commercial Bank,2.0,1903240829.0,14.1
2026-06-30,2026,National Commercial Bank,4.0,1086281924.0,7.8
2026-06-30,2025,Nuran Bank,6.0,807792553.0,5.98
2026-06-30,2026,Nuran Bank,5.0,917655473.0,6.59
2026-06-30,2025,North African Bank,7.0,697575103.0,5.17
2026-06-30,2026,North African Bank,6.0,915742673.0,6.57
2026-06-30,2025,National Union Bank,19.0,84830692.0,0.63
2026-06-30,2026,National Union Bank,7.0,821552012.0,5.9
2026-06-30,2025,Andalus Bank,13.0,377722804.0,2.8
2026-06-30,2026,Andalus Bank,8.0,787196262.0,5.65
2026-06-30,2025,Libyan Islamic Bank,10.0,579747635.0,4.29
2026-06-30,2026,Libyan Islamic Bank,9.0,732298128.0,5.26
2026-06-30,2025,Yaqeen Bank,12.0,384878594.0,2.85
2026-06-30,2026,Yaqeen Bank,10.0,612965614.0,4.4
2026-06-30,2025,Bank of Commerce and Development,9.0,580556707.0,4.3
2026-06-30,2026,Bank of Commerce and Development,11.0,455563251.0,3.27
2026-06-30,2025,Alwaha Bank,18.0,110018119.0,0.81
2026-06-30,2026,Alwaha Bank,12.0,371874190.0,2.67
2026-06-30,2025,United Bank for Commerce and Investment,5.0,853014939.0,6.32
2026-06-30,2026,United Bank for Commerce and Investment,13.0,368915655.0,2.65
2026-06-30,2025,Sahara Bank,11.0,491531064.0,3.64
2026-06-30,2026,Sahara Bank,14.0,368638552.0,2.65
2026-06-30,2025,Assaray Trade and Investment Bank,8.0,658463437.0,4.88
2026-06-30,2026,Assaray Trade and Investment Bank,15.0,368569932.0,2.65
2026-06-30,2025,First Gulf Libyan Bank,15.0,293351488.0,2.17
2026-06-30,2026,First Gulf Libyan Bank,16.0,310388261.0,2.23
2026-06-30,2025,Mediterranean Bank,17.0,154492902.0,1.14
2026-06-30,2026,Mediterranean Bank,17.0,247916907.0,1.78
2026-06-30,2025,Tadhamon Bank,16.0,171194775.0,1.27
2026-06-30,2026,Tadhamon Bank,18.0,215220999.0,1.54
2026-06-30,2025,Libyan Foreign Bank,14.0,338206643.0,2.5
2026-06-30,2026,Libyan Foreign Bank,19.0,124856066.0,0.9
2026-06-30,2025,Arab Investment Islamic Bank,20.0,84254751.0,0.62
2026-06-30,2026,Arab Investment Islamic Bank,20.0,90951165.0,0.65
2026-06-30,2025,Alwafa Bank,21.0,19848739.0,0.15
2026-06-30,2026,Alwafa Bank,21.0,76724535.0,0.55
2026-06-30,2025,Islamic Finance Bank,22.0,0.0,0.0
2026-06-30,2026,Islamic Finance Bank,22.0,18935683.0,0.14
2026-06-30,2025,Daman Islamic Bank,23.0,0.0,0.0
2026-06-30,2026,Daman Islamic Bank,23.0,15466848.0,0.11
2026-06-30,2025,Al Seraj Islamic Bank,24.0,0.0,0.0
2026-06-30,2026,Al Seraj Islamic Bank,24.0,2287628.0,0.02
2026-05-31,2025,Jumhouria Bank,3.0,1169136456.0,9.79
2026-05-31,2026,Jumhouria Bank,1.0,1926723619.0,17.62
2026-05-31,2025,Aman Bank for Trade and Investment,1.0,2341417556.0,19.6
2026-05-31,2026,Aman Bank for Trade and Investment,2.0,1239937938.0,11.34
2026-05-31,2025,Wahda Bank,4.0,850731358.0,7.12
2026-05-31,2026,Wahda Bank,3.0,855733115.0,7.82
2026-05-31,2025,National Commercial Bank,2.0,1696682092.0,14.21
2026-05-31,2026,National Commercial Bank,4.0,768420028.0,7.03
2026-05-31,2025,North African Bank,7.0,614171180.0,5.14
2026-05-31,2026,North African Bank,5.0,749118286.0,6.85
2026-05-31,2025,Nuran Bank,6.0,730384060.0,6.12
2026-05-31,2026,Nuran Bank,6.0,733198244.0,6.7
2026-05-31,2025,Andalus Bank,12.0,337894536.0,2.83
2026-05-31,2026,Andalus Bank,7.0,668043949.0,6.11
2026-05-31,2025,National Union Bank,19.0,64843577.0,0.54
2026-05-31,2026,National Union Bank,8.0,594351876.0,5.43
2026-05-31,2025,Libyan Islamic Bank,9.0,521916530.0,4.37
2026-05-31,2026,Libyan Islamic Bank,9.0,578185337.0,5.29
2026-05-31,2025,Yaqeen Bank,13.0,324203668.0,2.71
2026-05-31,2026,Yaqeen Bank,10.0,472711975.0,4.32
2026-05-31,2025,Bank of Commerce and Development,10.0,512475099.0,4.29
2026-05-31,2026,Bank of Commerce and Development,11.0,387549261.0,3.54
2026-05-31,2025,Alwaha Bank,18.0,102754606.0,0.86
2026-05-31,2026,Alwaha Bank,12.0,298962333.0,2.73
2026-05-31,2025,Sahara Bank,11.0,419567575.0,3.51
2026-05-31,2026,Sahara Bank,13.0,270433239.0,2.47
2026-05-31,2025,United Bank for Commerce and Investment,8.0,575829607.0,4.82
2026-05-31,2026,United Bank for Commerce and Investment,14.0,268577480.0,2.46
2026-05-31,2025,Assaray Trade and Investment Bank,5.0,775237562.0,6.49
2026-05-31,2026,Assaray Trade and Investment Bank,15.0,260946770.0,2.39
2026-05-31,2025,First Gulf Libyan Bank,15.0,251884724.0,2.11
2026-05-31,2026,First Gulf Libyan Bank,16.0,254620362.0,2.33
2026-05-31,2025,Mediterranean Bank,17.0,124257815.0,1.04
2026-05-31,2026,Mediterranean Bank,17.0,181898056.0,1.66
2026-05-31,2025,Tadhamon Bank,16.0,130666932.0,1.09
2026-05-31,2026,Tadhamon Bank,18.0,160646858.0,1.47
2026-05-31,2025,Libyan Foreign Bank,14.0,319944490.0,2.68
2026-05-31,2026,Libyan Foreign Bank,19.0,122684897.0,1.12
2026-05-31,2025,Arab Investment Islamic Bank,20.0,63574977.0,0.53
2026-05-31,2026,Arab Investment Islamic Bank,20.0,63843489.0,0.58
2026-05-31,2025,Alwafa Bank,21.0,15531115.0,0.13
2026-05-31,2026,Alwafa Bank,21.0,55303614.0,0.51
2026-05-31,2025,Islamic Finance Bank,,,0.0
2026-05-31,2026,Islamic Finance Bank,22.0,18927726.0,0.17
2026-05-31,2025,Daman Islamic Bank,,,0.0
2026-05-31,2026,Daman Islamic Bank,23.0,5107718.0,0.05
2026-05-31,2025,Al Seraj Islamic Bank,,,0.0
2026-05-31,2026,Al Seraj Islamic Bank,24.0,1403287.0,0.01
2025-11-30,2024,Aman Bank for Trade and Investment,2.0,2990556211.0,15.7
2025-11-30,2025,Aman Bank for Trade and Investment,1.0,3563094913.0,15.8
2025-11-30,2024,National Commercial Bank,1.0,3313641261.0,17.4
2025-11-30,2025,National Commercial Bank,2.0,2458212887.0,10.9
2025-11-30,2024,Wahda Bank,5.0,1659813761.0,8.7
2025-11-30,2025,Wahda Bank,3.0,2261993955.0,10.0
2025-11-30,2024,Jumhouria Bank,3.0,2089782607.0,10.9
2025-11-30,2025,Jumhouria Bank,4.0,2194295702.0,9.7
2025-11-30,2024,Nuran Bank,4.0,1667353764.0,8.7
2025-11-30,2025,Nuran Bank,5.0,1284606789.0,5.7
2025-11-30,2024,United Bank for Commerce and Investment,6.0,1150484454.0,6.0
2025-11-30,2025,United Bank for Commerce and Investment,6.0,1178995475.0,5.2
2025-11-30,2024,North African Bank,11.0,695466511.0,3.6
2025-11-30,2025,North African Bank,7.0,1175735053.0,5.2
2025-11-30,2024,Bank of Commerce and,8.0,1007048030.0,5.3
2025-11-30,2025,Bank of Commerce and,8.0,1117083290.0,5.0
2025-11-30,2024,Libyan Islamic Bank,7.0,1129180594.0,5.9
2025-11-30,2025,Libyan Islamic Bank,9.0,1106924319.0,4.9
2025-11-30,2024,Assaray Trade and Investment Bank,12.0,567724565.0,3.0
2025-11-30,2025,Assaray Trade and Investment Bank,10.0,1079690736.0,4.8
2025-11-30,2024,Sahara Bank,9.0,791247310.0,4.1
2025-11-30,2025,Sahara Bank,11.0,1013169075.0,4.5
2025-11-30,2024,Andalus Bank,10.0,755350443.0,4.0
2025-11-30,2025,Andalus Bank,12.0,727352337.0,3.2
2025-11-30,2024,Yaqeen Bank,17.0,134708775.0,0.7
2025-11-30,2025,Yaqeen Bank,13.0,709129864.0,3.1
2025-11-30,2024,Libyan Foreign Bank,14.0,172144989.0,0.9
2025-11-30,2025,Libyan Foreign Bank,14.0,537168426.0,2.4
2025-11-30,2024,First Gulf Libyan Bank,13.0,526062081.0,2.8
2025-11-30,2025,First Gulf Libyan Bank,15.0,478830178.0,2.1
2025-11-30,2024,Tadhamon Bank,15.0,153513684.0,0.8
2025-11-30,2025,Tadhamon Bank,16.0,459284739.0,2.0
2025-11-30,2024,Mediterranean Bank,18.0,104952131.0,0.5
2025-11-30,2025,Mediterranean Bank,17.0,373923342.0,1.7
2025-11-30,2024,Alwaha Bank,16.0,150420217.0,0.8
2025-11-30,2025,Alwaha Bank,18.0,261156925.0,1.2
2025-11-30,2024,National Union Bank,21.0,108000.0,0.0
2025-11-30,2025,National Union Bank,19.0,213206204.0,0.9
2025-11-30,2024,Arab Investment Islamic Bank,20.0,8654923.0,0.0
2025-11-30,2025,Arab Investment Islamic Bank,20.0,202510494.0,0.9
2025-11-30,2024,Alwafa Bank,19.0,29154406.0,0.2
2025-11-30,2025,Alwafa Bank,21.0,110419700.0,0.5
2025-11-30,2024,Islamic Finance Bank,,,
2025-11-30,2025,Islamic Finance Bank,22.0,10493847.0,0.05
2025-09-30,2024,Aman Bank for Trade and Investment,2.0,2070723542.0,14.6
2025-09-30,2025,Aman Bank for Trade and Investment,1.0,3254625725.0,17.3
2025-09-30,2024,National Commercial Bank,1.0,2328442913.0,16.4
2025-09-30,2025,National Commercial Bank,2.0,2289308759.0,12.2
2025-09-30,2024,Jumhouria Bank,3.0,1602096675.0,11.3
2025-09-30,2025,Jumhouria Bank,3.0,1743106568.0,9.3
2025-09-30,2024,Wahda Bank,5.0,1229998646.0,8.7
2025-09-30,2025,Wahda Bank,4.0,1610571105.0,8.6
2025-09-30,2024,United Bank for Commerce and Investment,7.0,864058920.0,6.1
2025-09-30,2025,United Bank for Commerce and Investment,5.0,1059572926.0,5.6
2025-09-30,2024,Nuran Bank,4.0,1266367553.0,8.9
2025-09-30,2025,Nuran Bank,6.0,1054661265.0,5.6
2025-09-30,2024,North African Bank,11.0,537833056.0,3.8
2025-09-30,2025,North African Bank,7.0,1020227240.0,5.4
2025-09-30,2024,Assaray Trade and Investment,12.0,420789244.0,3.0
2025-09-30,2025,Assaray Trade and Investment,8.0,911917708.0,4.9
2025-09-30,2024,Libyan Islamic Bank,6.0,872733684.0,6.1
2025-09-30,2025,Libyan Islamic Bank,9.0,893807176.0,4.8
2025-09-30,2024,Bank of Commerce and Development,8.0,759435349.0,5.4
2025-09-30,2025,Bank of Commerce and Development,10.0,842298411.0,4.5
2025-09-30,2024,Sahara Bank,9.0,664001404.0,4.7
2025-09-30,2025,Sahara Bank,11.0,768417468.0,4.1
2025-09-30,2024,Yaqeen Bank,18.0,66777979.0,0.5
2025-09-30,2025,Yaqeen Bank,12.0,613847402.0,3.3
2025-09-30,2024,Andalus Bank,10.0,587668884.0,4.1
2025-09-30,2025,Andalus Bank,13.0,603225340.0,3.2
2025-09-30,2024,First Gulf Libyan Bank,13.0,404131757.0,2.8
2025-09-30,2025,First Gulf Libyan Bank,14.0,434500067.0,2.3
2025-09-30,2024,Libyan Foreign Bank,14.0,144943902.0,1.0
2025-09-30,2025,Libyan Foreign Bank,15.0,424250527.0,2.3
2025-09-30,2024,Tadhamon Bank,16.0,124144096.0,0.9
2025-09-30,2025,Tadhamon Bank,16.0,372021004.0,2.0
2025-09-30,2024,Mediterranean Bank,17.0,91089830.0,0.6
2025-09-30,2025,Mediterranean Bank,17.0,270484605.0,1.4
2025-09-30,2024,Alwaha Bank,15.0,130651232.0,0.9
2025-09-30,2025,Alwaha Bank,18.0,178853210.0,1.0
2025-09-30,2024,National Union Bank,21.0,4000.0,0.0
2025-09-30,2025,National Union Bank,19.0,162336059.0,0.9
2025-09-30,2024,Arab Investment Islamic Bank,20.0,3723768.0,0.0
2025-09-30,2025,Arab Investment Islamic Bank,20.0,153474165.0,0.8
2025-09-30,2024,Alwafa Bank,19.0,24314646.0,0.2
2025-09-30,2025,Alwafa Bank,21.0,88468188.0,0.5
2025-09-30,2024,Islamic Finance Bank,,,
2025-09-30,2025,Islamic Finance Bank,22.0,10493847.0,0.1
2025-08-31,2024,Aman Bank for Trade and Investment,2.0,1965807285.0,14.7
2025-08-31,2025,Aman Bank for Trade and Investment,1.0,3019710410.0,17.5
2025-08-31,2024,National Commercial Bank,1.0,2239040149.0,16.7
2025-08-31,2025,National Commercial Bank,2.0,2174154421.0,12.6
2025-08-31,2024,Jumhouria Bank,3.0,1523691614.0,11.4
2025-08-31,2025,Jumhouria Bank,3.0,1571899256.0,9.1
2025-08-31,2024,Wahda Bank,4.0,1174324302.0,8.8
2025-08-31,2025,Wahda Bank,4.0,1525814441.0,8.9
2025-08-31,2024,Nuran Bank,5.0,1168204191.0,8.7
2025-08-31,2025,Nuran Bank,5.0,986634318.0,5.7
2025-08-31,2024,United Bank for Commerce and Investment,6.0,806151385.0,6.0
2025-08-31,2025,United Bank for Commerce and Investment,6.0,978837063.0,5.7
2025-08-31,2024,North African Bank,11.0,490028234.0,3.7
2025-08-31,2025,North African Bank,7.0,919854966.0,5.3
2025-08-31,2024,Assaray Trade and Investment,12.0,383109477.0,2.9
2025-08-31,2025,Assaray Trade and Investment,8.0,870017034.0,5.0
2025-08-31,2024,Bank of Commerce and Development,8.0,748930102.0,5.6
2025-08-31,2025,Bank of Commerce and Development,9.0,812383195.0,4.7
2025-08-31,2024,Libyan Islamic Bank,7.0,800628559.0,6.0
2025-08-31,2025,Libyan Islamic Bank,10.0,758718894.0,4.4
2025-08-31,2024,Sahara Bank,9.0,647922780.0,4.8
2025-08-31,2025,Sahara Bank,11.0,694506774.0,4.0
2025-08-31,2024,Yaqeen Bank,18.0,66971465.0,0.5
2025-08-31,2025,Yaqeen Bank,12.0,530186644.0,3.1
2025-08-31,2024,Andalus Bank,10.0,536301879.0,4.0
2025-08-31,2025,Andalus Bank,13.0,490916604.0,2.85
2025-08-31,2024,Libyan Foreign Bank,16.0,108479444.0,0.8
2025-08-31,2025,Libyan Foreign Bank,14.0,413595194.0,2.4
2025-08-31,2024,First Gulf Libyan Bank,13.0,373227959.0,2.8
2025-08-31,2025,First Gulf Libyan Bank,15.0,402304462.0,2.3
2025-08-31,2024,Tadhamon Bank,15.0,113035878.0,0.8
2025-08-31,2025,Tadhamon Bank,16.0,318112765.0,1.8
2025-08-31,2024,Mediterranean Bank,17.0,81992660.0,0.6
2025-08-31,2025,Mediterranean Bank,17.0,253864505.0,1.5
2025-08-31,2024,Alwaha Bank,14.0,126307278.0,0.9
2025-08-31,2025,Alwaha Bank,18.0,172413014.0,1.0
2025-08-31,2024,National Union Bank,20.0,4000.0,0.0
2025-08-31,2025,National Union Bank,19.0,139224342.0,0.8
2025-08-31,2024,Arab Investment Islamic Bank,,,
