period_end,year,bank,rank,value_usd,market_share_pct
2026-02-28,2025,Jumhouria Bank,3.0,565155615.0,10.21
2026-02-28,2026,Jumhouria Bank,1.0,728762027.0,20.4
2026-02-28,2025,Andalus Bank,11.0,167055121.0,3.02
2026-02-28,2026,Andalus Bank,2.0,321883233.0,9.01
2026-02-28,2025,Wahda Bank,4.0,425865628.0,7.69
2026-02-28,2026,Wahda Bank,3.0,294987168.0,8.26
2026-02-28,2025,Aman Bank for Trade and Investment,1.0,1128173050.0,20.38
2026-02-28,2026,Aman Bank for Trade and Investment,4.0,290802094.0,8.14
2026-02-28,2025,Nuran Bank,5.0,412661135.0,7.45
2026-02-28,2026,Nuran Bank,5.0,288297510.0,8.07
2026-02-28,2025,Libyan Islamic Bank,9.0,255922249.0,4.62
2026-02-28,2026,Libyan Islamic Bank,6.0,269120932.0,7.53
2026-02-28,2025,North African Bank,8.0,267918917.0,4.84
2026-02-28,2026,North African Bank,7.0,217472188.0,6.09
2026-02-28,2025,Yaqeen Bank,12.0,129711854.0,2.34
2026-02-28,2026,Yaqeen Bank,8.0,190507121.0,5.33
2026-02-28,2025,National Union Bank,20.0,5497410.0,0.1
2026-02-28,2026,National Union Bank,9.0,122932177.0,3.44
2026-02-28,2025,First Gulf Libyan Bank,14.0,79038531.0,1.43
2026-02-28,2026,First Gulf Libyan Bank,10.0,112224028.0,3.14
2026-02-28,2025,United Bank for Commerce and Investment,6.0,388093350.0,7.01
2026-02-28,2026,United Bank for Commerce and Investment,11.0,111602657.0,3.12
2026-02-28,2025,National Commercial,2.0,892850370.0,16.13
2026-02-28,2026,National Commercial,12.0,100235501.0,2.81
2026-02-28,2025,Sahara Bank,13.0,124486217.0,2.25
2026-02-28,2026,Sahara Bank,13.0,93855412.0,2.63
2026-02-28,2025,Libyan Foreign Bank,17.0,45525268.0,0.82
2026-02-28,2026,Libyan Foreign Bank,14.0,83107092.0,2.33
2026-02-28,2025,Bank of Commerce and Trade,7.0,287584517.0,5.19
2026-02-28,2026,Bank of Commerce and Trade,15.0,82694967.0,2.31
2026-02-28,2025,Assaray Trade and Investment Bank,10.0,209699715.0,3.79
2026-02-28,2026,Assaray Trade and Investment Bank,16.0,72977575.0,2.04
2026-02-28,2025,Alwaha Bank,16.0,48551357.0,0.88
2026-02-28,2026,Alwaha Bank,17.0,66901962.0,1.87
2026-02-28,2025,Tadhamon Bank,15.0,53149509.0,0.96
2026-02-28,2026,Tadhamon Bank,18.0,50599502.0,1.42
2026-02-28,2025,Mediterranean Bank,18.0,34980722.0,0.63
2026-02-28,2026,Mediterranean Bank,19.0,36282803.0,1.02
2026-02-28,2025,Arab Investment Islamic Bank,19.0,9777262.0,0.18
2026-02-28,2026,Arab Investment Islamic Bank,20.0,25368747.0,0.71
2026-02-28,2025,Alwafa Bank,21.0,5239955.0,0.09
2026-02-28,2026,Alwafa Bank,21.0,6184703.0,0.17
2026-02-28,2025,Islamic Finance Bank,,,
2026-02-28,2026,Islamic Finance Bank,22.0,5955730.0,0.17
2026-02-28,2025,Daman Islamic Bank,,,
2026-02-28,2026,Daman Islamic Bank,23.0,1615054.0,0.05
2026-04-30,2025,Jumhouria Bank,3.0,1053304821.0,10.07
2026-04-30,2026,Jumhouria Bank,1.0,1379114283.0,17.58
2026-04-30,2025,Aman Bank for Trade and Investment,1.0,2094267786.0,20.02
2026-04-30,2026,Aman Bank for Trade and Investment,2.0,804770995.0,10.26
2026-04-30,2025,Wahda Bank,4.0,781462301.0,7.47
2026-04-30,2026,Wahda Bank,3.0,595136201.0,7.59
2026-04-30,2025,North African Bank,7.0,536726927.0,5.13
2026-04-30,2026,North African Bank,4.0,593803322.0,7.57
2026-04-30,2025,Nuran Bank,6.0,656959048.0,6.28
2026-04-30,2026,Nuran Bank,5.0,588046364.0,7.5
2026-04-30,2025,Andalus Bank,12.0,292052763.0,2.79
2026-04-30,2026,Andalus Bank,6.0,565673363.0,7.21
2026-04-30,2025,Libyan Islamic Bank,9.0,462073809.0,4.42
2026-04-30,2026,Libyan Islamic Bank,7.0,447044773.0,5.7
2026-04-30,2025,National Union Bank,20.0,30438801.0,0.29
2026-04-30,2026,National Union Bank,8.0,425522761.0,5.42
2026-04-30,2025,National Commercial,2.0,1523058223.0,14.56
2026-04-30,2026,National Commercial,9.0,411433930.0,5.24
2026-04-30,2025,Yaqeen Bank,13.0,277612544.0,2.65
2026-04-30,2026,Yaqeen Bank,10.0,373397670.0,4.76
2026-04-30,2025,Bank of Commerce and Trade,10.0,438680730.0,4.19
2026-04-30,2026,Bank of Commerce and Trade,11.0,319785072.0,4.08
2026-04-30,2025,First Gulf Libyan Bank,15.0,212959402.0,2.04
2026-04-30,2026,First Gulf Libyan Bank,12.0,213176757.0,2.72
2026-04-30,2025,Sahara Bank,11.0,334088564.0,3.19
2026-04-30,2026,Sahara Bank,13.0,194722445.0,2.48
2026-04-30,2025,United Bank for Commerce and Investment,5.0,684419174.0,6.54
2026-04-30,2026,United Bank for Commerce and Investment,14.0,187036532.0,2.38
2026-04-30,2025,Alwaha Bank,18.0,91854368.0,0.88
2026-04-30,2026,Alwaha Bank,15.0,180531624.0,2.3
2026-04-30,2025,Assaray Trade and Investment Bank,8.0,480636644.0,4.59
2026-04-30,2026,Assaray Trade and Investment Bank,16.0,148952615.0,1.9
2026-04-30,2025,Libyan Foreign Bank,14.0,275143710.0,2.63
