mahalla_id,mahalla_ar,mahalla_key,shabiya_ar,shabiya_en,shabiya_gadm_name,shabiya_codab_pcode,name_unique_nationally,name_unique_in_shabiya,codab_place_pcode,codab_place_en,codab_place_ar,match_method,baladiya_2013,baladiya_source,census_persons_2006,census_households_2006
Nuqat al Khams-001,الشمالية / زوارة,شماليه/زواره,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,1934,472
Nuqat al Khams-002,الشرقية / زوارة,شرقيه/زواره,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,9607,2251
Nuqat al Khams-003,الجنوبية / زوارة,جنوبيه/زواره,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,11100,2557
Nuqat al Khams-004,الغربية / زوارة,غربيه/زواره,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,5021,1217
Nuqat al Khams-005,فروة,فروه,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,3800,839
Nuqat al Khams-006,راس اجدير,راساجدير,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,334,68
Nuqat al Khams-007,الجديدة,جديده,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,0,1,,,,unmatched,,not_established,11754,2228
Nuqat al Khams-008,غوط الروضة,غوطالروضه,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,8899,1809
Nuqat al Khams-009,الجنانات,جنانات,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,10242,2071
Nuqat al Khams-010,الهنشير,هنشير,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,0,1,,,,unmatched,,not_established,11963,2350
Nuqat al Khams-011,السدرة,سدره,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,0,1,,,,unmatched,,not_established,5789,1113
Nuqat al Khams-012,سيدي احمد,سيدياحمد,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,7994,1768
Nuqat al Khams-013,النصر,نصر,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,0,1,,,,unmatched,,not_established,9857,1908
Nuqat al Khams-014,جنان عطية,جنانعطيه,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,10700,2072
Nuqat al Khams-015,ام عزيز,امعزيز,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,11418,1986
Nuqat al Khams-016,كبيرة الاخباء,كبيرهالاخباء,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,7726,1401
Nuqat al Khams-017,حمدة,حمده,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,0,1,,,,unmatched,,not_established,4715,808
Nuqat al Khams-018,جنان بن نصيب,جنانبننصيب,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,4271,776
Nuqat al Khams-019,الميدان,ميدان,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,5934,1053
Nuqat al Khams-020,بن شعيب,بنشعيب,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,0,1,,,,unmatched,,not_established,15643,2756
Nuqat al Khams-021,المنشية,منشيه,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,0,1,,,,unmatched,,not_established,11253,2100
Nuqat al Khams-022,الوسط / رقدالين,وسط/رقدالين,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,6305,1127
Nuqat al Khams-023,زلطن,زلطن,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,LY021506,Ziltun,زلطن,codab_gazetteer_same_shabiya,,not_established,11535,2246
Nuqat al Khams-024,حمدون,حمدون,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,19496,3600
Nuqat al Khams-025,العسة,عسه,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,1005,188
Nuqat al Khams-026,الطويلة,طويله,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,4435,903
Nuqat al Khams-027,الوادي,وادي,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,0,1,,,,unmatched,,not_established,8449,1607
Nuqat al Khams-028,الغوط,غوط,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,8799,1832
Nuqat al Khams-029,تليل,تليل,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,6986,1292
Nuqat al Khams-030,السوق \صبراتة,سوق\صبراته,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,10626,2129
Nuqat al Khams-031,سيدي معروف,سيديمعروف,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,12732,2382
Nuqat al Khams-032,النهضة,نهضه,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,8242,1514
Nuqat al Khams-033,دحمان الشرقية,دحمانالشرقيه,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,1767,330
Nuqat al Khams-034,دحمان الوسط,دحمانالوسط,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,1301,242
Nuqat al Khams-035,راس الدايون,راسالدايون,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,12243,2602
Nuqat al Khams-036,قاليل,قاليل,النقاط الخمس,Nuqat al Khams,An Nuqat al Khams,LY0215,1,1,,,,unmatched,,not_established,3484,663
Jabal al Akhdar-001,البيضاء الغربية,بيضاءالغربيه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,13904,2445
Jabal al Akhdar-002,البيضاء الشرقية,بيضاءالشرقيه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,13780,2099
Jabal al Akhdar-003,مراوة,مراوه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,4511,606
