table_no,section,section_title,caption_ar,caption_en,volumes,pages,rows,cells,sex_identity_checked,sex_identity_breached
15,enrolment,Population aged 4-30 in education,توزيع السكان ليبيون وغير ليبيين المقيمين الذين أعمارهم سنة | الملتحقين بالدراسة حسب المرحلة الدراسية ونوع التجمع السكاني حضر ريف والجنس,"30 - 4 | Distribution of Population(libyan & Non-libyan) Aged(4 years & more) by Enrollment status, Educational Stage, Urban/Rural Area & Sex",22,22,462,4156,441,0
16,enrolment,Population aged 4-30 in education,توزيع السكان الليبيين المقيمين الذين أعمارهم سنة( | الملتحقين منهم بالدراسة ونسب الإلتحاق حسب آحاد العمر والجنس,4 30 | Distribution of libyan Population Aged(4-30 years ) Enrollment status by single years & percentage of Enrollment & Sex,22,22,440,2640,0,0
17,education,Population aged 10+ by educational status,توزيع إجمالي السكان ليبيون وغير ليبيين( المقيمين الذين أعمارهم سنوات فما فوق | حسب المحلات والحالة التعليمية والجنس,10 | Distribution of Population(libyan & Non-libyan) Aged(10 years & more) by Mahala & Educational status & Sex,22,125,2776,27105,6711,0
18,education,Population aged 10+ by educational status,توزيع السكان الليبيين المقيمين الذين أعمارهم سنوات فما فوق | حسب المحلات والحالة التعليمية والجنس,10 | Distribution of libyan Population Aged(10 years & more) by Mahala & Educational status & Sex,22,123,2736,26601,7859,0
19,education,Population aged 10+ by educational status,توزيع إجمالي السكان )ليبيون وغير ليبيين( المقيمين الذين أعمارهم سنوات فما فوق | حسب الحالة التعليمية ونوع التجمع السكاني )حضر-ريف( والجنس,10 | Distribution of Population(libyan & Non-libyan) Aged(10 years & more) by Educationl Status & sex & Arban/Rural Area,22,23,858,7707,117,0
20,education,Population aged 10+ by educational status,توزيع السكان الليبيين المقيمين الذين أعمارهم سنوات فما فوق | حسب الحالة التعليمية وفئات العمر والجنس,10 | Distribution of libyan Population Aged(10 years & more) by Educational Status & Age groups & sex,22,44,924,12003,0,0
21,marital,Population aged 15+ by marital status,توزيع إجمالي السكان المقيمين ليبيون وغير ليبيين( الذين أعمارهم سنة فما فوق | حسب المحلات والحالة الزواجية والجنس,15 | Distribution of Population (libyan & Non libyan) aged(15 years & more) by Mahala & Martial status & sex,22,62,1378,12402,4134,0
22,marital,Population aged 15+ by marital status,توزيع السكان الليبيين المقيمين الذين أعمارهم سنة فما فوق | حسب المحلات والحالة الزواجية والجنس,15 | Distribution of libyan Population aged(15 years & more) by Mahala & Martial status & sex,22,62,1352,12167,3857,0
23,marital,Population aged 15+ by marital status,توزيع إجمالي السكان المقيمين) ليبيون وغير ليبيين( الذين أعمارهم سنة فما فوق | حسب فئات العمر والحالة الزواجية والجنس,15 | Distribution of Population (libyan & Non libyan) aged(15 years & more) by Age Groups & Martial status & sex,22,44,704,6331,2107,15
24,marital,Population aged 15+ by marital status,توزيع السكان الليبيين المقيمين الذين أعمارهم سنة فما فوق | حسب فئات العمر والحالة الزواجية والجنس,15 | Distribution of libyan Population aged(15 years & more) by Age group & Martial status & sex,22,44,754,6840,2044,0
25,marital,Population aged 15+ by marital status,توزيع السكان الليبيين المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة التعليمية والحالة الزواجية ونوع التجمع السكاني حضر ريف والجنس,15 | Distribution of Libyan Population aged(15 years & more) by Educational & Martial status & Arban/Rural Area & Sex,22,42,1614,14453,1751,76
26,marital,Population aged 15+ by marital status,التوزيع العددي والنسبي للذكور الليبيين المتزوجين المقيمين اللذين أعمارهم سنة فما فوق | حسب المحلات وعدد الزوجات في العصمة,15 | Numerical & persentage Distribution of libyan Married Males aged (15 years & more) by Mahala & Indicated Number of Wives,22,31,665,6649,0,0
27,marital,Population aged 15+ by marital status,التوزيع العددي والنسبي للذكور الليبيين المقيمين اللذين أعمارهم سنة فما فوق | حسب فئات العمر وعدد الزوجات في العصمة,15 | Numerical & persentage Distribution of libyan Males Population aged (15 years & more) by Age groups & Indicated Number of Wives,22,22,378,3779,0,0
28,marital,Population aged 15+ by marital status,التوزيع العددي والنسبي للذكور الليبيين المقيمين اللذين أعمارهم سنة فما فوق | حسب الحالة التعليمية وعدد الزوجات في العصمة ونوع التجمع السكاني حضر ريف,15 | Numerical & persentage Distribution of libyan Males Population aged (15 years & more) by Educational Status & Urban/Rural Area & Indicated Number of Wives,22,24,916,9020,408,0
29,manpower,Population aged 15+ by manpower category,توزيع إجمالي السكان ليبيون وغير ليبيين( المقيمين الذين أعمارهم سنة فما فوق | حسب المحلات وتوزيعات القوة البشرية والجنس,"15 | Distribution of Population (Libyan & Non-Libyan) aged (15 years & more) by Mahala, Man Power Distribution & Sex",22,93,2067,24794,7974,0
30,manpower,Population aged 15+ by manpower category,توزيع السكان الليبيين المقيمين الذين أعمارهم سنة فما فوق | حسب المحلات وتوزيعات القوة البشرية والجنس,"15 | Distribution of Libyan Population aged (15 years & more) by Mahala, Man Power Distribution & Sex",22,93,2067,24791,7722,0
31,manpower,Population aged 15+ by manpower category,توزيع إجمالي السكان ليبيون وغيرليبيين (المقيمين أعمارهم سنة فما فوق | حسب فئات العمر وتوزيعات القوة البشرية والجنس,15 | Distribution of Population (Libyan & Non-Libyan) aged (15 years & more) by Age groups & Man Power Distribution & Sex,22,66,1122,13425,3582,0
32,manpower,Population aged 15+ by manpower category,توزيع السكان الليبيين المقيمين الذين أعمارهم سنة فما فوق | حسب فئات العمر وتوزيعات القوة البشرية والجنس,15 | Distribution of Libyan Population aged (15 years & more) by Age Groups & Man Power Distribution & Sex,22,66,1122,13438,3594,29
33,manpower,Population aged 15+ by manpower category,توزيع إجمالي السكان ليبيون وغير ليبيين المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة التعليمية وتوزيعات القوة البشرية والجنس,15 | Distribution of Population(Libyan & Non-Libyan) aged (15 years & more) by Educational Status & Man Power Distribution & Sex,22,66,924,11058,2173,0
34,manpower,Population aged 15+ by manpower category,توزيع السكان الليبيين المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة التعليمية وتوزيعات القوة البشرية والجنس,15 | Distribution of Libyan Population aged (15 years & more) by Educational Status & Man Power Distribution & Sex,22,66,924,11053,2171,0
35,manpower,Population aged 15+ by manpower category,توزيع إجمالي السكان ليبيون وغير ليبيين المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة الزواجية وتوزيعات القوة البشرية والجنس,15 | Distribution of Population(Libyan & Non-Libyan) aged (15 years & more) by Marital Status & Man Power Distribution & Sex,22,67,408,4895,852,0
36,manpower,Population aged 15+ by manpower category,توزيع السكان الليبيين المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة الزواجية وتوزيعات القوة البشرية والجنس,15 | Distribution of Libyan Population aged (15 years & more) by Marital Status & Man Power Distribution & Sex,22,66,396,4743,906,0
37,occupation,Economically active 15+ by occupation,توزيع إجمالي السكان )ليبيون وغيرليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب المحلات وأقسام المهن والجنس,15 | Distribution of Population(Libyan & Non-Libyan) aged (15 years & more) by Occupations Groups & Mahla & Sex,22,93,2067,24794,3424,0
38,occupation,Economically active 15+ by occupation,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب المحلات وأقسام المهن والجنس,15 | Distribution of Libyan Population aged (15 years & more) by Occupations Groups & Mahla & Sex,22,93,2067,24803,5092,0
39,occupation,Economically active 15+ by occupation,توزيع السكان ليبيون وغير ليبيين النشطين المقيمين الذين أعمارهم سنة فما فوق( | حسب أقسام وأبواب المهن والجنس,15 | Distribution of Population(Libyan & Non-Libyan) aged (15 years & more) by Major & Sub Major Occupations & Sex,22,44,638,5738,780,0
40,occupation,Economically active 15+ by occupation,توزيع إجمالي السكان )ليبيون وغير ليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب فئات العمر وأقسام المهن والجنس,15 | Distribution of Population(Libyan & Non-Libyan) aged (15 years & more) by Occupations Groups & Age groups & Sex,22,66,1056,12672,1648,31
41,occupation,Economically active 15+ by occupation,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم 15سنة فما فوق | حسب فئات العمر وأقسام المهن والجنس,Distribution of Libyan Population aged (15 years & more) by Occupations Groups & Age groups & Sex,22,66,1057,12672,1632,61
42,occupation,Economically active 15+ by occupation,النشطين إقتصاديا المقيمين الذين أعمارهم 15سنة فما فوق توزيع إجمالي السكان) ليبيون وغير ليبيين( | حسب الحالة التعليمية وأقسام المهن والجنس,Distribution of Population(Libyan & Non-Libyan) aged (15 years & more) by Occupations Groups & Educational Status & Sex,21,64,898,10725,1110,0
43,occupation,Economically active 15+ by occupation,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة التعليمية وأقسام المهن والجنس,15 | Distribution of Libyan Population aged (15 years & more) by Occupations Groups & Educational Status & Sex,21,63,882,10582,1118,4
44,occupation,Economically active 15+ by occupation,النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق توزيع إجمالي السكان )ليبيون وغير ليبيين( | حسب الحالة الزواجية وأقسام المهن والجنس,15 | Distribution of Population (Libyan & Non-Libyan) aged (15 years & more) by Occupationsl Groups & Marital Status & Sex,22,66,594,7128,864,0
45,occupation,Economically active 15+ by occupation,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة الزواجية وأقسام المهن والجنس,15 | Distribution of Libyan Population aged (15 years & more) by Occupationsl Groups & Marital Status & Sex,22,65,585,7019,899,9
46,activity,Economically active 15+ by economic activity,توزيع إجمالي السكان )ليبيون وغير ليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب المحلات وأقسام النشاط الأقتصادى والجنس,15 | Distribution of Population (Libyan & Non-Libyan) aged (15 years & more) by Mahla & Division of Economic Activity & sex,22,150,3445,41339,7643,0
47,activity,Economically active 15+ by economic activity,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب المحلات وأقسام النشاط الأقتصادى والجنس,15 | Distribution of Libyan Population aged (15 years & more) by Mahla & Division of Economic Activity & sex,22,150,3445,41340,7724,0
48,activity,Economically active 15+ by economic activity,توزيع السكان ليبيون وغير ليبيين النشطين اقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب أبواب وأقسام النشاط الإقتصادي والجنس,15 | Distribution of Economic Activity Population(Libyan & Non-Libyan) aged (15 years & more) by Divisions & section of Economic Activity & Sex,4,13,244,2196,0,0
49,activity,Economically active 15+ by economic activity,توزيع إجمالي السكان)ليبيون وغيرليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب فئات العمر وأقسام النشاط الأقتصادى والجنس,15 | Distribution of Population(Libyan & Non-Libyan) aged (15 years & more) by age Group & Division of Economic Activity & sex,22,110,1760,21120,2304,0
50,activity,Economically active 15+ by economic activity,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب فئات العمر وأقسام النشاط الأقتصادى والجنس,15 | Distribution of Libyan Population aged (15 years & more) by age Group & Division of Economic Activity & sex,22,110,1760,21117,2304,0
51,activity,Economically active 15+ by economic activity,النشطين إقتصاديا المقيمين الذين أعمارهم 15سنة فما فوق توزيع إجمالي السكان) ليبيون وغيرليبيين( | حسب الحالة التعليمية وأقسام النشاط الأقتصادى والجنس,Distribution of Population(Libyan & Non-Libyan) aged (15 years & more) by Educational Status & Division of Economic Activity & sex,22,110,1540,18478,2352,0
52,activity,Economically active 15+ by economic activity,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة التعليمية وأقسام النشاط الأقتصادى والجنس,15 | Distribution of Libyan Population aged (15 years & more) by Educational Status & Division of Economic Activity & sex,22,110,1540,18480,2520,0
53,activity,Economically active 15+ by economic activity,النشطين إقتصاديا المقيمين الذين أعمارهم 15سنة فما فوق توزيع إجمالي السكان) ليبيون وغيرليبيين( | حسب الحالة الزواجية وأقسام النشاط الأقتصادى والجنس,Distribution of Population(Libyan & Non-Libyan) aged (15 years & more) by Marital Status & Division of Economic Activity & sex,22,108,972,11664,1872,0
54,activity,Economically active 15+ by economic activity,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم 15سنة فما فوق | حسب الحالة الزواجية وأقسام النشاط الأقتصادى والجنس,Distribution of Libyan Population aged (15 years & more) by Marital Status & Division of Economic Activity & sex,22,111,1023,12210,1980,0
55,activity,Economically active 15+ by economic activity,توزيع إجمالي السكان )ليبيون وغير ليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب أقسام المهن وأقسام النشاط الأقتصادى والجنس,15 | Distribution of Population (Libyan & Non-Libyan) aged (15 years & more) by Occupations Groups & Division of Economic Activity & sex,22,110,1320,15839,1631,0
56,activity,Economically active 15+ by economic activity,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم 15سنة فما فوق | حسب أقسام المهن وأقسام النشاط الأقتصادى والجنس,Distribution of Libyan Population aged (15 years & more) by Occupations Groups & Division of Economic Activity & sex,22,110,1320,15839,1679,0
57,employment,Economically active 15+ by employment status,توزيع إجمالي السكان )ليبيون وغير ليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب المحلات والحالة العملية والجنس,15 | Distribution of Libyan & Non-Libyan Economic Activity Population aged (15 years & more) by Employment Status & Sex,22,93,2047,28685,4778,0
58,employment,Economically active 15+ by employment status,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب المحلات الحالة العملية والجنس,15 | Distribution of Libyan Population Economic Activity Population aged (15 years & more) by Employment Status & Sex,22,93,2067,28930,4621,0
59,employment,Economically active 15+ by employment status,توزيع إجمالي السكان )ليبيون وغير ليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب فئات العمر والحالة العملية والجنس,15 | Distribution of Libyan & Non-Libyan Economic Activity Population aged (15 years & more) by Employment Status & Age Groups & Sex,22,67,1064,15736,3004,0
60,employment,Economically active 15+ by employment status,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب فئات العمر والحالة العملية والجنس,15 | Distribution of Libyan Economic Activity Population aged (15 years & more) by Employment Status & Age Groups & Sex,22,67,1064,15734,2798,0
61,employment,Economically active 15+ by employment status,توزيع إجمالي السكان )ليبيون وغير ليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة العملية والحالة التعليمية والجنس,"15 | Distribution of Libyan & Non-Libyan Economic Activity Population aged (15 years & more) by Education Status , Employment Status & Sex",21,83,1157,13091,2914,8
62,employment,Economically active 15+ by employment status,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة العملية والحالة التعليمية والجنس,"15 | Distribution of Libyan Economic Activity Population aged (15 years & more) by Education Status, Employment Status & Sex",21,83,1159,13132,3177,6
63,employment,Economically active 15+ by employment status,توزيع إجمالي السكان ليبيون وغير ليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم 15سنة فما فوق | حسب الحالة العملية و الحالة الزواجية والجنس,Distribution of Libyan & Non-Libyan Economic Activity Population aged (15 years & more) by Employment Status & Marital Status & Sex,22,43,645,5774,1462,0
64,employment,Economically active 15+ by employment status,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب الحالة العملية و الحالة الزواجية والجنس,15 | Distribution of Libyan Economic Activity Population aged (15 years & more) by Employment Status & Marital Status & Sex,22,47,702,6418,1510,0
65,employment,Economically active 15+ by employment status,توزيع إجمالي السكان )ليبيون وغير ليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب أقسام المهن والحالة العملية والجنس,15 | Distribution of Libyan & Non-Libyan Economic Activity Population aged (15 years & more) by Occupational Divisions & Employment Status & Sex,22,113,1362,11591,1991,0
66,employment,Economically active 15+ by employment status,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب أقسام المهن والحالة العملية والجنس,15 | Distribution of Libyan Economic Activity Population aged (15 years & more) by Occupational Divisions & Employment Status & Sex,22,110,1320,11084,1944,0
67,employment,Economically active 15+ by employment status,توزيع إجمالي السكان )ليبيون وغير ليبيين( النشطين إقتصاديا المقيمين الذين أعمارهم سنة فما فوق | حسب أقسام النشاط الأقتصادى والحالة العملية والجنس,15 | Distribution of Libyan & Non-Libyan Economic Activity Population aged (15 years & more) by Division of Economic Activity & Employment Status & Sex,22,111,2209,18587,3899,0
68,employment,Economically active 15+ by employment status,توزيع السكان الليبيين النشطين إقتصاديا المقيمين الذين أعمارهم 15سنة فما فوق | حسب أقسام النشاط الأقتصادى والحالة العملية والجنس,Distribution of Libyan Economic Activity Population aged (15 years & more) by Division of Economic Activity & Employment Status & Sex,22,109,2180,18274,2487,0
69,housing,Housing conditions of Libyan households,توزيع الأسر الليبية حسب المحلات ونوع المسكن | الذي تقيم فيه الأسرة ونوع التجمع السكاني حضر ريف,Distribution of libyan household by Kind of Dwelling Unit & Urban/Rural Area,22,31,689,12172,0,0
70,housing,Housing conditions of Libyan households,التوزيع العددى والنسبى للأسر الليبية المقيمة حسب المحلات ووسيلة الحصول على مياه الشرب,Numerical & Persentage Distribution of Libyan Household by Mahala & Water Supply Means,21,30,676,9680,0,0
71,housing,Housing conditions of Libyan households,التوزيع العددي والنسبي للأسر الليبية المقيمة حسب المحلات | ووسيلة مد المسكن الذي تقيم فيه الأسرة بالمياه,Numerical & persentage Distribution of libyan household by Mahala & Source of Water Supply Means,22,31,679,8174,0,0
72,housing,Housing conditions of Libyan households,التوزيع العددي والنسبي للأسر الليبية المقيمة حسب المحلات | ووسيلة الطبخ في المسكن الذى تقيم فيه الأسرة,Numerical & persentage Distribution of libyan household by Mahala & Cooking Means,22,31,689,6890,0,0
73,housing,Housing conditions of Libyan households,التوزيع العددي والنسبي للأسر الليبية المقيمة حسب المحلات | ووسيلة الصرف الصحى بالمسكن الذى تقيم فيه الأسرة,Numerical & persentage Distribution of libyan household by Mahala & Swage System Means,22,31,689,6890,0,0
74,housing,Housing conditions of Libyan households,التوزيع العددي والنسبي للأسر الليبية المقيمة حسب المحلات | ووسيلة الإنارة بالمسكن الذى تقيم فيه الأسرة,Numerical & persentage Distribution of libyan household by Mahala & of Lighting Means,21,30,656,6560,0,0
