table_no,section,section_title,caption_ar,caption_en,volumes,pages,rows,cells,sex_identity_checked,sex_identity_breached
1,households,Resident households and their characteristics,توزيع الأسر الليبية وغير الليبية المقيمة وأفرادها حسب المحلات,Distribution of libyan & Non-libyan Households & Individuals by Mahala,22,34,769,9045,90,0
2,households,Resident households and their characteristics,توزيع الأسر الليبية وغير الليبية المقيمة وأفرادها ومتوسط حجم الأسرة حسب المحلات,Distribution of libyan & Non-libyan Households & Average size of Household by Mahala,22,34,763,6925,81,0
3,households,Resident households and their characteristics,والكثافة السكانية حسب الشعبيات توزيع السكان الليبيين وإجمالي السكان والمساحة )كم2(,Distribution of libyan & Non-libyan Population & Area (km2) & Population Density by Shabia,22,24,554,4480,144,0
4,households,Resident households and their characteristics,توزيع الأسر الليبية وغير الليبية المقيمة حسب عدد أفراد الأسرة ونوع التجمع السكاني حضر ريف,Distribution of libyan & Non-libyan Households by household Members & Urban/Rural Areas,22,24,398,3872,138,0
5,households,Resident households and their characteristics,توزيع السكان اللييبين المقيمين في أسر ليبية حسب المحلات ودرجة القرابة برئيس الأسرة,Distribution of libyan Population by Type of Relation to head of the household & Mahala,22,31,689,8245,0,0
6,households,Resident households and their characteristics,التوزيع العددي والنسبي للأسر الليبية المقيمة حسب عدد أفراد الأسرة وعدد النشطين إقتصاديا سنة فما فوق(,15 | Numerical & Persentage Distribution of Libyan Household by Household Members & Economic activity workers(15 years & more,22,22,352,4223,0,0
7,households,Resident households and their characteristics,توزيع الأسر الليبية المقيمة حسب عدد أفراد الأسرة والحالة التعليمية لرئيس الأسرة,Distribution of Libyan Household by Number of household persons & Educational status for head of the household,22,22,352,4926,0,0
8,households,Resident households and their characteristics,التوزيع العددي والنسبي للأسر الليبية المقيمة حسب عدد أفراد الأسرة والحالة الزواجية لرئيس الأسرة,Numerical & Persentage Distribution of Libyan household by household Members & Marital Status for head of the household,22,22,352,4224,0,0
9,households,Resident households and their characteristics,التوزيع العددي والنسبي للأسر الليبية المقيمة حسب عدد أفراد الأسرة وأقسام المهن لرئيس الأسرة,Numerical & Persentage Distribution of household by size of household & Division of Occupation for head of the household,22,44,704,9152,0,0
10,age_sex,Resident population by age and sex,توزيع إجمالي السكان المقيمين )ليبيون وغير ليبيين( حسب المحلات وفئات العمر والجنس,"Distribution of Population(libyan & Non-libyan) by Mahala, Age Groups & sex",22,123,2749,41222,8813,0
11,age_sex,Resident population by age and sex,توزيع السكان الليبيين المقيمين حسب المحلات وفئات العمر والجنس,"Distribution of libyan Population by Mahala, Age Groups & sex",22,121,2686,40276,7090,0
12,age_sex,Resident population by age and sex,توزيع السكان الليبيين المقيمين حسب آحاد العمر ونوع التجمع السكاني حضر ريف والجنس,Distribution of libyan Population by age in Single years & Arban/Rural Area & sex,20,82,2123,19359,5185,0
13,non_libyans,Non-Libyan residents by country group,توزيع السكان غير الليبيين المقيمين حسب مجموعة البلدان التي ينتمون إليها وفئات العمر والجنس,Distribution of Non-libyan Population by Countries Group & Age groups & sex,21,43,867,10479,2796,0
14,enrolment,Population aged 4-30 in education,الملتحقين بالدراسة حسب المحلات والمرحلة الدراسية والجنس توزيع اجمالي السكان المقيمين ليبيون وغير ليبيين( الذين أعمارهم سنة,"30- 4 | Distribution of Population(libyan & Non-libyan) Aged(4-30 years) by Enrollment status, Mahala, sex & study stage",22,63,1385,14573,4394,0
