mahalla_id,shabiya_ar,shabiya_en,mahalla_ar,libyan_hh_households,libyan_hh_libyans,libyan_hh_non_libyans,libyan_hh_persons,non_libyan_hh_households,non_libyan_hh_libyans,non_libyan_hh_non_libyans,non_libyan_hh_persons,households,libyans,non_libyans,persons,identity_failures,imputed_cells,page,source_document,source_sha256
Jabal al Akhdar-005,الجبل الأخضر,Jabal al Akhdar,الغريفة,8060,57496,861,58357,916,388,4123,4511,8976,57884,4984,62868,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-006,الجبل الأخضر,Jabal al Akhdar,السوق القديم,1024,6683,197,6880,515,87,1791,1878,1539,6770,1988,8758,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-007,الجبل الأخضر,Jabal al Akhdar,الزاوية القديمة,1210,5654,75,5729,235,39,581,620,1445,5693,656,6349,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-008,الجبل الأخضر,Jabal al Akhdar,وردامة,1255,8634,101,8735,55,42,250,292,1310,8676,351,9027,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-009,الجبل الأخضر,Jabal al Akhdar,شحات القديمة,1079,7074,79,7153,79,13,326,339,1158,7087,405,7492,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-010,الجبل الأخضر,Jabal al Akhdar,شحات الجديدة,2296,15703,108,15811,119,37,501,538,2415,15740,609,16349,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-011,الجبل الأخضر,Jabal al Akhdar,ناصر,167,1000,3,1003,18,0,89,89,185,1000,92,1092,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-012,الجبل الأخضر,Jabal al Akhdar,سوسة المدينة,916,5502,80,5582,96,16,349,365,1012,5518,429,5947,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-013,الجبل الأخضر,Jabal al Akhdar,المنصورة,243,1705,9,1714,9,0,30,30,252,1705,39,1744,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-014,الجبل الأخضر,Jabal al Akhdar,الصفصاف,262,2007,9,2016,5,10,12,22,267,2017,21,2038,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-015,الجبل الأخضر,Jabal al Akhdar,اقفنطة,94,767,4,771,0,0,0,0,94,767,4,771,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-016,الجبل الأخضر,Jabal al Akhdar,سيدي عبد الواحد,295,2032,20,2052,1,0,5,5,296,2032,25,2057,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-017,الجبل الأخضر,Jabal al Akhdar,الفجر الجديد,337,2654,18,2672,2,6,4,10,339,2660,22,2682,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-018,الجبل الأخضر,Jabal al Akhdar,عمر المختار,1069,6438,41,6479,24,25,52,77,1093,6463,93,6556,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-019,الجبل الأخضر,Jabal al Akhdar,اسلطنة,399,2635,24,2659,7,0,19,19,406,2635,43,2678,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-020,الجبل الأخضر,Jabal al Akhdar,النيان,48,330,1,331,3,8,3,11,51,338,4,342,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-021,الجبل الأخضر,Jabal al Akhdar,الخويمات,74,537,11,548,2,0,4,4,76,537,15,552,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-022,الجبل الأخضر,Jabal al Akhdar,جردس الجراري,205,1197,5,1202,0,0,0,0,205,1197,5,1202,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-023,الجبل الأخضر,Jabal al Akhdar,قندولة,957,6114,57,6171,32,17,147,164,989,6131,204,6335,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-024,الجبل الأخضر,Jabal al Akhdar,الفائدية الشمالية,484,3455,23,3478,19,4,80,84,503,3459,103,3562,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-025,الجبل الأخضر,Jabal al Akhdar,اشنيشن,153,1156,2,1158,0,0,0,0,153,1156,2,1158,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-026,الجبل الأخضر,Jabal al Akhdar,الزاوية,122,784,9,793,2,4,2,6,124,788,11,799,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-027,الجبل الأخضر,Jabal al Akhdar,قرنادة,488,3364,18,3382,13,14,38,52,501,3378,56,3434,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-028,الجبل الأخضر,Jabal al Akhdar,بلقس,89,695,5,700,1,1,12,13,90,696,17,713,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-029,الجبل الأخضر,Jabal al Akhdar,مسه الجنوبية,481,3190,30,3220,41,5,200,205,522,3195,230,3425,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-030,الجبل الأخضر,Jabal al Akhdar,مسة الشمالية,886,6239,47,6286,20,1,106,107,906,6240,153,6393,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-031,الجبل الأخضر,Jabal al Akhdar,الحنية,365,2760,33,2793,39,13,161,174,404,2773,194,2967,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Akhdar-032,الجبل الأخضر,Jabal al Akhdar,قصر ليبيا,550,4714,32,4746,43,4,128,132,593,4718,160,4878,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الأخضر-لسنة-2006م.pdf,d621bc50a6c9864aa4261115bd38c138941f6e35415a1d47470f3367921ec9a6
Jabal al Gharbi-001,الجبل الغربي,Jabal al Gharbi,سيدي موسى,750,3789,25,3814,18,13,76,89,768,3802,101,3903,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-002,الجبل الغربي,Jabal al Gharbi,تغسات,3543,18876,242,19118,582,144,2124,2268,4125,19020,2366,21386,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-003,الجبل الغربي,Jabal al Gharbi,سيدي يعقوب,852,4470,19,4489,33,5,103,108,885,4475,122,4597,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
