mahalla_id,shabiya_ar,shabiya_en,mahalla_ar,libyan_hh_households,libyan_hh_libyans,libyan_hh_non_libyans,libyan_hh_persons,non_libyan_hh_households,non_libyan_hh_libyans,non_libyan_hh_non_libyans,non_libyan_hh_persons,households,libyans,non_libyans,persons,identity_failures,imputed_cells,page,source_document,source_sha256
Jabal al Gharbi-014,الجبل الغربي,Jabal al Gharbi,سيدي خليفة,530,2883,6,2889,8,1,19,20,538,2884,25,2909,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-015,الجبل الغربي,Jabal al Gharbi,البحرية,623,3455,13,3468,27,2,57,59,650,3457,70,3527,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-016,الجبل الغربي,Jabal al Gharbi,ابو غيلان,1064,6395,16,6411,14,1,37,38,1078,6396,53,6449,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-017,الجبل الغربي,Jabal al Gharbi,الوادي \ القواسم,581,3400,16,3416,41,0,61,61,622,3400,77,3477,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-018,الجبل الغربي,Jabal al Gharbi,البوصيري,625,3379,7,3386,15,0,25,25,640,3379,32,3411,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-019,الجبل الغربي,Jabal al Gharbi,الشيخ,591,3434,7,3441,23,2,50,52,614,3436,57,3493,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-020,الجبل الغربي,Jabal al Gharbi,الوسط \ القواسم,901,4951,16,4967,71,8,375,383,972,4959,391,5350,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-021,الجبل الغربي,Jabal al Gharbi,الوحدة,395,2066,1,2067,4,0,12,12,399,2066,13,2079,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-022,الجبل الغربي,Jabal al Gharbi,البيضاء,912,6409,14,6423,29,1,128,129,941,6410,142,6552,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-023,الجبل الغربي,Jabal al Gharbi,القصبة,383,2376,4,2380,12,7,43,50,395,2383,47,2430,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-024,الجبل الغربي,Jabal al Gharbi,ابو جعفر,541,3360,12,3372,21,9,75,84,562,3369,87,3456,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-025,الجبل الغربي,Jabal al Gharbi,اسنان,466,2834,1,2835,4,3,14,17,470,2837,15,2852,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-026,الجبل الغربي,Jabal al Gharbi,الظاهر,846,4852,25,4877,114,8,381,389,960,4860,406,5266,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-027,الجبل الغربي,Jabal al Gharbi,الهنشير,877,4821,25,4846,106,6,394,400,983,4827,419,5246,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-028,الجبل الغربي,Jabal al Gharbi,الوسط \ الاصابعة,1048,6191,16,6207,9,4,26,30,1057,6195,42,6237,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-029,الجبل الغربي,Jabal al Gharbi,جندوبة,666,3836,7,3843,1,0,5,5,667,3836,12,3848,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-030,الجبل الغربي,Jabal al Gharbi,الشرف,973,5658,18,5676,38,24,173,197,1011,5682,191,5873,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-031,الجبل الغربي,Jabal al Gharbi,الرابطة,723,3635,30,3665,96,10,326,336,819,3645,356,4001,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-032,الجبل الغربي,Jabal al Gharbi,الوادي الحي,738,4483,28,4511,211,25,384,409,949,4508,412,4920,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-033,الجبل الغربي,Jabal al Gharbi,الغربية \ ككلة,1032,5679,11,5690,21,2,67,69,1053,5681,78,5759,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-034,الجبل الغربي,Jabal al Gharbi,الوادي \ ككلة,65,261,0,261,5,0,6,6,70,261,6,267,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-035,الجبل الغربي,Jabal al Gharbi,ابو ماضي,95,566,1,567,1,0,3,3,96,566,4,570,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-036,الجبل الغربي,Jabal al Gharbi,القواليش,694,4248,8,4256,22,7,107,114,716,4255,115,4370,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-037,الجبل الغربي,Jabal al Gharbi,الشمالية \ ككلة,235,1176,4,1180,2,0,4,4,237,1176,8,1184,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-038,الجبل الغربي,Jabal al Gharbi,الوسط \ ككلة,551,2603,6,2609,15,6,55,61,566,2609,61,2670,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
