centre_code,centre_name,mahalla_ar,city_ar,baladiya_ar,read_by,source_document,source_sha256
11030,وادي ب,ابونجيم,وادي ب,زمزم,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11031,أبو قرين,أبوقرين,أبوقرين,مرصاتة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11032,الكرامة,أبوقرين,أبوقرين,مرصاتة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11034,أسامة بن زيد,أبونجيم,أبونجيم,زمزم,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11035,مدرسة قرزة,قرزه,قرزه,زمزم,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11036,السالم,زمزم,زمزم,زمزم,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11037,القداحية المركزية,القداحية,زمزم,زمزم,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11038,ليبيا الغد,القداحية,زمزم,زمزم,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11039,سوكنة االبتدائية للبن ي,سوكنة,سوكنة,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11040,سوكنة االعدادية للبنات,سوكنة,سوكنة,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11041,ابوبكر الصديق الثانوية,الفقهاء,الفقهاء,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11042,مدرسة ا ب الحسن الودا ب,ودان الشمالية,ودان,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11043,مدرسة ودان الثانوية,ودان الجنوبية,ودان,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11044,مدرسة احمد قنابة,الصوان,ودان,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11045,مدرسة عبدهللا الهوب الثانوية,هون الشمالية,هون,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11046,القدس,هون الشمالية,هون,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11047,هون االعدادية للبنات,هون الجنوبية,هون,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11048,هون االعدادية للبن ي,هون الجنوبية,هون,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11049,زلة الثانوية,زلة المركز,زلة,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11050,زلة للتعليم االساس,زلة المركز,زلة,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11051,القلعة الصناعية,السدرة,رأس االنوف,السدرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11052,شهداء الهاب,الوادي االحمر,الوادي االحمر,السدرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11053,أبوسعدة للتعليم األساس,أبوسعدة,أبوسعدة,السدرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11054,جابر بن حيان,بن جواد,بن جواد,السدرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11055,ابن سينا,بن جواد,بن جواد,السدرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
