centre_code,centre_name,mahalla_ar,city_ar,baladiya_ar,read_by,source_document,source_sha256
11056,عبدالجليل سيف النرص,هراوة,هراوة,هراوة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11057,ابوبكر الصديق,هراوة,هراوة,هراوة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11058,عمرو بن العاص,أبوزاهية,أبوزاهية,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11059,الفارا ب,أبوزاهية,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11060,سالم الشف,القرضابية,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11061,ابوعبيده بن الجراح,سلطان,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11062,المنارة للغات,رست المركز,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11063,خولة بنت األزور,رست المركز,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11064,الشهيد للتعليم االساس,رست المركز,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11065,الزعفران,الزعفران,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11066,وادي تالل,الزعفران,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11067,النهضة الزراعية,الزعفران,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11068,المجد,الرباط االمام,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11069,سناء يوسف,الج ته العسكرية,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11070,الجيل الجديد,الرباط,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11071,صقور 17 ف تاير,الرباط االما م,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11072,الثورة العربية,الرباط,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11073,الغربيات,الغريبات,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11074,األنطالقة,الغريبات,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11075,الفجر الجديد,الغريبات,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11076,عثمان بن عفان,الحنيوه,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11077,قضوار السهول,جارف,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11078,نور اليق ي,جارف,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11079,دمحم الفاتح,الثالث ي,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11080,شهداء تاقرفت,الح رقم 2,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11081,طالئع النرص,الح رقم 2,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11082,ليبيا الحرة,الح رقم 3,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11083,ال تموك,ال ح رقم 3,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11084,جمال عبدالنارص,أبوهادي,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11085,ذات الصواري,أبوهادي,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11086,صالح األطيوش للتعليم األساس,النوفلية,النوفلية,السدرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11087,العامرة,العامرة,العامرة,هراوة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11088,الرازي,ام القنديل,الوسط,السدرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11089,حسن ابن الهيثم,المعزول,الوشكة,مرصاتة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11090,الظه ت,الظه ت,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11091,الشموخ,رسق رست,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11092,الفرجان,الفرجان,سوكنة,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11093,شهداء تاقرفت,تاقرفت,هون,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11094,القص ت االعدادية,القص ت,هون,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11095,عقبة بن نافع,ودان,ودان,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11096,القدس,بن جواد,بن جواد,السدرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11097,الفتح,السكانية الثالثة,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11103,زهرة المدائن,أبوقرين,أبوقرين,مرصاتة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11104,الغرانية,زمزم,زمزم,زمزم,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11105,التقدم,زمزم,زمزم,زمزم,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11106,شهداء الشجار,الحمام,سوكنة,الجفرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11107,النوجية,القرضابية,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11108,بت القرضابية,النصب التذكارى,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11109,رست المركز,المركز,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11110,خالد بن الوليد,القبيبة,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11111,الشعلة,جارف,رست,رست,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11112,عمر بن الخطاب,المشاشية,المشاشية,السدرة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
11113,فاطمة الزهراء الثانوية,الوشكة,الوشكة,مرصاتة,text,تحديث مراكز الاقتراع لسنة 2021 سرت,6f25d025eec00666b51aecfd33515e05b4c185e960e115fdda29b13442415d29
12001,مدرسة شهداء زريق,ازريق,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12002,مدرسة ثانوية النهضة,اقزير,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12003,مدرسة الجهاد,اقزير,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12004,مدرسة عمر المختار,اقزير,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12005,مدرسة النور,اقزير,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12006,مدرسة ؤبراهيم السويحل,األسواك,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12007,مدرسة مرصاتة الثانوية للبن ي,الب تة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12008,مدرسة ام سلمة,الجزيرة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12009,مدرسة ابن غلبون,الجهانات,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12010,مدرسة الدافنية المركزية,الدافنية,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12011,مدرسة الصحابة,الدافنية,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12012,مدرسة رأس الهجمة,الدافنية,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12013,مدرسة الشعلة الدافنية,الدافنية,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12014,مدرسة شهداء الرملة,الرملة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12015,مدرسة شهداء الرويسات,الرويسات,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12016,مدرسة شهداء السبت,الرويسات,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12017,مدرسة شهداء آل ماطوس,الرويسات,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12018,مدرسة ذات النطاق ي,الزروق,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12019,مدرسة الحرية,الزروق,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12020,مدرسة النضال,الزروق,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12021,مدرسة االجيال,الزروق,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12022,مدرسة الصفاء,الزروق,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12023,مدرسة فاطمة الزهراء الثانوية,الزروق,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12024,مدرسة السالم,الزروق,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12025,مدرسة شهداء الزوا ب,الزوا ب,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12026,مدرسة السك تات,السك تات,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12027,مدرسة طارق بن زياد,الشاكسة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12028,مدرسة يتب,الشاكسة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12029,مدرسة الشهداء,الشواهدة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12030,مدرسة ثورة 17 ف تاير,الشواهدة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12031,مدرسة شهداء الصوالح,الصوالح,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12032,مدرسة شهداء تاقرفت,الطريق الساحل,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12033,مدرسة تحرير ليبيا,المقاصبة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12034,مدرسة شهداء ليبيا,الغ تان,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12035,مدرسة الغ تان الثانوية,الغ تان,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12036,مدرسة النرص للتعليم االسا س,الغ تان,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12037,معهد المهن الشاملة بنات,الغ تان,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12038,مدرسة أرض األحرار,الغ تان,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12039,مدرسة معاذ بن جبل,الغ تان,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12040,مدرسة اليقظة الثانوية,الفراطسة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12041,مدرسة الكرامة,القوس,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12042,مدرسة األنوار,المطاردة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12043,مدرسة شهداء المقاصبة,المقاصبة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12044,مدرسة اسماء للتعليم األساس,المقاوبة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12045,مدرسة رأس الماجل,النجم الساطع,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12046,مدرسة شهداء المطار,النجم الساطع,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12047,مدرسة شهداء ابو روية,أبوروية,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12048,مدرسة ابوشع تة,أبوشع تة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12049,مدرسة شهداء يدر,أبوشع تة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12050,مدرسة ع ل المنقوش,أبوشع تة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12051,مدرسة أم الشهيد الثانوية,رأس عمار,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12052,مدرسة ذات الرمال,زاوية المحجوب,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12053,مدرسة الجيالب الثانوية,زاوية المحجوب,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12054,مدرسة جميلة أبوح تد الثانوية,زاوية المحجوب,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12055,مدرسة ذات السواري,السواوة,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12056,مدرسة ابو بكر الصديق,زاوية المحجوب,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
12057,مدرسة شهداء العقيلة,زاوية المحجوب,مرصاتة,مرصاتة,text_repaired,تحديث مراكز الاقتراع لسنة 2021 مصراته,9b2c32f830e21d5f02c26272b63f92223655e0a3c7d33b604d4cb3297a78e57e
