period_end,year,bank,purpose,value_usd
2026-02-28,2026,Bank of Commerce and Trade,letters_of_credit,43473259.0
2026-02-28,2025,Bank of Commerce and Trade,miscellaneous_transfers,11517221.0
2026-02-28,2026,Bank of Commerce and Trade,miscellaneous_transfers,12271808.0
2026-02-28,2025,Bank of Commerce and Trade,personal_purposes,227963300.0
2026-02-28,2026,Bank of Commerce and Trade,personal_purposes,26649900.0
2026-02-28,2025,Bank of Commerce and Trade,merchants_cards,220000.0
2026-02-28,2026,Bank of Commerce and Trade,merchants_cards,300000.0
2026-02-28,2025,Assaray Trade and Investment Bank,letters_of_credit,175472015.0
2026-02-28,2026,Assaray Trade and Investment Bank,letters_of_credit,66847424.0
2026-02-28,2025,Assaray Trade and Investment Bank,miscellaneous_transfers,0.0
2026-02-28,2026,Assaray Trade and Investment Bank,miscellaneous_transfers,322651.0
2026-02-28,2025,Assaray Trade and Investment Bank,personal_purposes,34127700.0
2026-02-28,2026,Assaray Trade and Investment Bank,personal_purposes,4360000.0
2026-02-28,2025,Assaray Trade and Investment Bank,merchants_cards,100000.0
2026-02-28,2026,Assaray Trade and Investment Bank,merchants_cards,1447500.0
2026-02-28,2025,Alwaha Bank,letters_of_credit,3170657.0
2026-02-28,2026,Alwaha Bank,letters_of_credit,63189959.0
2026-02-28,2025,Alwaha Bank,miscellaneous_transfers,0.0
2026-02-28,2026,Alwaha Bank,miscellaneous_transfers,0.0
2026-02-28,2025,Alwaha Bank,personal_purposes,45380700.0
2026-02-28,2026,Alwaha Bank,personal_purposes,3712003.0
2026-02-28,2025,Alwaha Bank,merchants_cards,0.0
2026-02-28,2026,Alwaha Bank,merchants_cards,0.0
2026-02-28,2025,Tadhamon Bank,letters_of_credit,26511009.0
2026-02-28,2026,Tadhamon Bank,letters_of_credit,44451002.0
2026-02-28,2025,Tadhamon Bank,miscellaneous_transfers,0.0
2026-02-28,2026,Tadhamon Bank,miscellaneous_transfers,0.0
2026-02-28,2025,Tadhamon Bank,personal_purposes,26638500.0
2026-02-28,2026,Tadhamon Bank,personal_purposes,6098500.0
2026-02-28,2025,Tadhamon Bank,merchants_cards,0.0
2026-02-28,2026,Tadhamon Bank,merchants_cards,50000.0
2026-02-28,2025,Mediterranean Bank,letters_of_credit,8239122.0
2026-02-28,2026,Mediterranean Bank,letters_of_credit,14980603.0
2026-02-28,2025,Mediterranean Bank,miscellaneous_transfers,755000.0
2026-02-28,2026,Mediterranean Bank,miscellaneous_transfers,0.0
2026-02-28,2025,Mediterranean Bank,personal_purposes,25686600.0
2026-02-28,2026,Mediterranean Bank,personal_purposes,20152200.0
2026-02-28,2025,Mediterranean Bank,merchants_cards,300000.0
2026-02-28,2026,Mediterranean Bank,merchants_cards,1150000.0
2026-02-28,2025,Arab Investment Islamic Bank,letters_of_credit,9307827.0
2026-02-28,2026,Arab Investment Islamic Bank,letters_of_credit,24852710.0
2026-02-28,2025,Arab Investment Islamic Bank,miscellaneous_transfers,469435.0
2026-02-28,2026,Arab Investment Islamic Bank,miscellaneous_transfers,354036.0
2026-02-28,2025,Arab Investment Islamic Bank,personal_purposes,0.0
2026-02-28,2026,Arab Investment Islamic Bank,personal_purposes,162000.0
2026-02-28,2025,Arab Investment Islamic Bank,merchants_cards,0.0
2026-02-28,2026,Arab Investment Islamic Bank,merchants_cards,0.0
2026-02-28,2025,Alwafa Bank,letters_of_credit,296155.0
2026-02-28,2026,Alwafa Bank,letters_of_credit,5897703.0
2026-02-28,2025,Alwafa Bank,miscellaneous_transfers,0.0
2026-02-28,2026,Alwafa Bank,miscellaneous_transfers,0.0
2026-02-28,2025,Alwafa Bank,personal_purposes,4943800.0
2026-02-28,2026,Alwafa Bank,personal_purposes,287000.0
2026-02-28,2025,Alwafa Bank,merchants_cards,0.0
2026-02-28,2026,Alwafa Bank,merchants_cards,0.0
2026-02-28,2025,Islamic Finance Bank,letters_of_credit,0.0
2026-02-28,2026,Islamic Finance Bank,letters_of_credit,5654854.0
2026-02-28,2025,Islamic Finance Bank,miscellaneous_transfers,0.0
2026-02-28,2026,Islamic Finance Bank,miscellaneous_transfers,300876.0
2026-02-28,2025,Islamic Finance Bank,personal_purposes,0.0
2026-02-28,2026,Islamic Finance Bank,personal_purposes,0.0
2026-02-28,2025,Islamic Finance Bank,merchants_cards,0.0
2026-02-28,2026,Islamic Finance Bank,merchants_cards,0.0
2026-02-28,2025,Daman Islamic Bank,letters_of_credit,0.0
2026-02-28,2026,Daman Islamic Bank,letters_of_credit,1276690.0
2026-02-28,2025,Daman Islamic Bank,miscellaneous_transfers,0.0
2026-02-28,2026,Daman Islamic Bank,miscellaneous_transfers,336364.0
2026-02-28,2025,Daman Islamic Bank,personal_purposes,0.0
2026-02-28,2026,Daman Islamic Bank,personal_purposes,2000.0
2026-02-28,2025,Daman Islamic Bank,merchants_cards,0.0
2026-02-28,2026,Daman Islamic Bank,merchants_cards,0.0
2026-04-30,2025,Libyan Islamic Bank,letters_of_credit,278105396.0
2026-04-30,2026,Libyan Islamic Bank,letters_of_credit,357019780.0
2026-04-30,2025,Libyan Islamic Bank,miscellaneous_transfers,1035403.0
2026-04-30,2026,Libyan Islamic Bank,miscellaneous_transfers,11336509.0
2026-04-30,2025,Libyan Islamic Bank,personal_purposes,182433010.0
2026-04-30,2026,Libyan Islamic Bank,personal_purposes,72184484.0
2026-04-30,2025,Libyan Islamic Bank,merchants_cards,500000.0
2026-04-30,2026,Libyan Islamic Bank,merchants_cards,6504000.0
2026-04-30,2025,Tadhamon Bank,letters_of_credit,51305475.0
2026-04-30,2026,Tadhamon Bank,letters_of_credit,56224546.0
2026-04-30,2025,Tadhamon Bank,miscellaneous_transfers,0.0
2026-04-30,2026,Tadhamon Bank,miscellaneous_transfers,0.0
2026-04-30,2025,Tadhamon Bank,personal_purposes,42726300.0
2026-04-30,2026,Tadhamon Bank,personal_purposes,20219300.0
2026-04-30,2025,Tadhamon Bank,merchants_cards,0.0
2026-04-30,2026,Tadhamon Bank,merchants_cards,50000.0
2026-04-30,2025,National Commercial,letters_of_credit,844733092.0
2026-04-30,2026,National Commercial,letters_of_credit,131552930.0
2026-04-30,2025,National Commercial,miscellaneous_transfers,143931.0
2026-04-30,2026,National Commercial,miscellaneous_transfers,68400000.0
2026-04-30,2025,National Commercial,personal_purposes,675281200.0
2026-04-30,2026,National Commercial,personal_purposes,211381000.0
2026-04-30,2025,National Commercial,merchants_cards,2900000.0
2026-04-30,2026,National Commercial,merchants_cards,100000.0
2026-04-30,2025,Libyan Foreign Bank,letters_of_credit,238405107.0
2026-04-30,2026,Libyan Foreign Bank,letters_of_credit,82089486.0
2026-04-30,2025,Libyan Foreign Bank,miscellaneous_transfers,36738603.0
2026-04-30,2026,Libyan Foreign Bank,miscellaneous_transfers,40595411.0
2026-04-30,2025,Libyan Foreign Bank,personal_purposes,0.0
2026-04-30,2026,Libyan Foreign Bank,personal_purposes,0.0
2026-04-30,2025,Libyan Foreign Bank,merchants_cards,0.0
2026-04-30,2026,Libyan Foreign Bank,merchants_cards,0.0
2026-04-30,2025,United Bank for Commerce,letters_of_credit,274326274.0
2026-04-30,2026,United Bank for Commerce,letters_of_credit,143875532.0
2026-04-30,2025,United Bank for Commerce,miscellaneous_transfers,0.0
2026-04-30,2026,United Bank for Commerce,miscellaneous_transfers,0.0
2026-04-30,2025,United Bank for Commerce,personal_purposes,408892900.0
2026-04-30,2026,United Bank for Commerce,personal_purposes,41511000.0
2026-04-30,2025,United Bank for Commerce,merchants_cards,1200000.0
2026-04-30,2026,United Bank for Commerce,merchants_cards,1650000.0
2026-04-30,2025,National Union Bank,letters_of_credit,29357301.0
2026-04-30,2026,National Union Bank,letters_of_credit,29705084.0
2026-04-30,2025,National Union Bank,miscellaneous_transfers,0.0
2026-04-30,2026,National Union Bank,miscellaneous_transfers,394528678.0
2026-04-30,2025,National Union Bank,personal_purposes,1081500.0
2026-04-30,2026,National Union Bank,personal_purposes,1289000.0
2026-04-30,2025,National Union Bank,merchants_cards,0.0
2026-04-30,2026,National Union Bank,merchants_cards,0.0
2026-04-30,2025,Aman Bank for Trade and Investment,letters_of_credit,547809179.0
2026-04-30,2026,Aman Bank for Trade and Investment,letters_of_credit,124760089.0
2026-04-30,2025,Aman Bank for Trade and Investment,miscellaneous_transfers,1029407.0
2026-04-30,2026,Aman Bank for Trade and Investment,miscellaneous_transfers,19992306.0
2026-04-30,2025,Aman Bank for Trade and Investment,personal_purposes,1530424200.0
2026-04-30,2026,Aman Bank for Trade and Investment,personal_purposes,642968600.0
2026-04-30,2025,Aman Bank for Trade and Investment,merchants_cards,15005000.0
2026-04-30,2026,Aman Bank for Trade and Investment,merchants_cards,17050000.0
2026-04-30,2025,Bank of Commerce and Trade,letters_of_credit,72788631.0
2026-04-30,2026,Bank of Commerce and Trade,letters_of_credit,77698400.0
2026-04-30,2025,Bank of Commerce and Trade,miscellaneous_transfers,22218799.0
2026-04-30,2026,Bank of Commerce and Trade,miscellaneous_transfers,27268172.0
2026-04-30,2025,Bank of Commerce and Trade,personal_purposes,343453300.0
2026-04-30,2026,Bank of Commerce and Trade,personal_purposes,214518500.0
2026-04-30,2025,Bank of Commerce and Trade,merchants_cards,220000.0
2026-04-30,2026,Bank of Commerce and Trade,merchants_cards,300000.0
2026-04-30,2025,Jumhouria Bank,letters_of_credit,608792801.0
2026-04-30,2026,Jumhouria Bank,letters_of_credit,1239759223.0
2026-04-30,2025,Jumhouria Bank,miscellaneous_transfers,1067820.0
2026-04-30,2026,Jumhouria Bank,miscellaneous_transfers,108000.0
2026-04-30,2025,Jumhouria Bank,personal_purposes,443444200.0
2026-04-30,2026,Jumhouria Bank,personal_purposes,138397060.0
2026-04-30,2025,Jumhouria Bank,merchants_cards,0.0
2026-04-30,2026,Jumhouria Bank,merchants_cards,850000.0
2026-04-30,2025,First Gulf Libyan Bank,letters_of_credit,203945015.0
2026-04-30,2026,First Gulf Libyan Bank,letters_of_credit,191116266.0
2026-04-30,2025,First Gulf Libyan Bank,miscellaneous_transfers,8555487.0
2026-04-30,2026,First Gulf Libyan Bank,miscellaneous_transfers,22044591.0
2026-04-30,2025,First Gulf Libyan Bank,personal_purposes,458900.0
2026-04-30,2026,First Gulf Libyan Bank,personal_purposes,15900.0
2026-04-30,2025,First Gulf Libyan Bank,merchants_cards,0.0
2026-04-30,2026,First Gulf Libyan Bank,merchants_cards,0.0
2026-04-30,2025,Assaray Trade and Investment Bank,letters_of_credit,426716760.0
2026-04-30,2026,Assaray Trade and Investment Bank,letters_of_credit,120793249.0
2026-04-30,2025,Assaray Trade and Investment Bank,miscellaneous_transfers,4381384.0
2026-04-30,2026,Assaray Trade and Investment Bank,miscellaneous_transfers,1592126.0
2026-04-30,2025,Assaray Trade and Investment Bank,personal_purposes,48893500.0
2026-04-30,2026,Assaray Trade and Investment Bank,personal_purposes,25119740.0
2026-04-30,2025,Assaray Trade and Investment Bank,merchants_cards,645000.0
2026-04-30,2026,Assaray Trade and Investment Bank,merchants_cards,1447500.0
2026-04-30,2025,Sahara Bank,letters_of_credit,138664871.0
2026-04-30,2026,Sahara Bank,letters_of_credit,84933279.0
2026-04-30,2025,Sahara Bank,miscellaneous_transfers,11237393.0
2026-04-30,2026,Sahara Bank,miscellaneous_transfers,17782129.0
2026-04-30,2025,Sahara Bank,personal_purposes,184186300.0
2026-04-30,2026,Sahara Bank,personal_purposes,91807037.0
2026-04-30,2025,Sahara Bank,merchants_cards,0.0
2026-04-30,2026,Sahara Bank,merchants_cards,200000.0
2026-04-30,2025,Mediterranean Bank,letters_of_credit,31660824.0
2026-04-30,2026,Mediterranean Bank,letters_of_credit,23746992.0
2026-04-30,2025,Mediterranean Bank,miscellaneous_transfers,755000.0
2026-04-30,2026,Mediterranean Bank,miscellaneous_transfers,0.0
2026-04-30,2025,Mediterranean Bank,personal_purposes,59396500.0
2026-04-30,2026,Mediterranean Bank,personal_purposes,93813800.0
2026-04-30,2025,Mediterranean Bank,merchants_cards,850000.0
2026-04-30,2026,Mediterranean Bank,merchants_cards,1150000.0
2026-04-30,2025,Nuran Bank,letters_of_credit,409900822.0
2026-04-30,2026,Nuran Bank,letters_of_credit,452835325.0
2026-04-30,2025,Nuran Bank,miscellaneous_transfers,1093150.0
2026-04-30,2026,Nuran Bank,miscellaneous_transfers,10631238.0
2026-04-30,2025,Nuran Bank,personal_purposes,240020000.0
2026-04-30,2026,Nuran Bank,personal_purposes,118619300.0
2026-04-30,2025,Nuran Bank,merchants_cards,5945076.0
2026-04-30,2026,Nuran Bank,merchants_cards,5960500.0
2026-04-30,2025,Alwaha Bank,letters_of_credit,23157368.0
2026-04-30,2026,Alwaha Bank,letters_of_credit,157374056.0
2026-04-30,2025,Alwaha Bank,miscellaneous_transfers,0.0
2026-04-30,2026,Alwaha Bank,miscellaneous_transfers,2466375.0
2026-04-30,2025,Alwaha Bank,personal_purposes,68697000.0
2026-04-30,2026,Alwaha Bank,personal_purposes,20691193.0
2026-04-30,2025,Alwaha Bank,merchants_cards,0.0
2026-04-30,2026,Alwaha Bank,merchants_cards,0.0
2026-04-30,2025,Wahda Bank,letters_of_credit,317165138.0
2026-04-30,2026,Wahda Bank,letters_of_credit,10351821.0
2026-04-30,2025,Wahda Bank,miscellaneous_transfers,113819863.0
2026-04-30,2026,Wahda Bank,miscellaneous_transfers,473482380.0
2026-04-30,2025,Wahda Bank,personal_purposes,350477300.0
2026-04-30,2026,Wahda Bank,personal_purposes,111102000.0
2026-04-30,2025,Wahda Bank,merchants_cards,0.0
2026-04-30,2026,Wahda Bank,merchants_cards,200000.0
2026-04-30,2025,Alwafa Bank,letters_of_credit,4223230.0
2026-04-30,2026,Alwafa Bank,letters_of_credit,35683808.0
2026-04-30,2025,Alwafa Bank,miscellaneous_transfers,0.0
2026-04-30,2026,Alwafa Bank,miscellaneous_transfers,0.0
2026-04-30,2025,Alwafa Bank,personal_purposes,7466800.0
2026-04-30,2026,Alwafa Bank,personal_purposes,481000.0
2026-04-30,2025,Alwafa Bank,merchants_cards,0.0
2026-04-30,2026,Alwafa Bank,merchants_cards,0.0
2026-04-30,2025,North African Bank,letters_of_credit,316527793.0
2026-04-30,2026,North African Bank,letters_of_credit,156650017.0
2026-04-30,2025,North African Bank,miscellaneous_transfers,9313934.0
2026-04-30,2026,North African Bank,miscellaneous_transfers,2067305.0
2026-04-30,2025,North African Bank,personal_purposes,208905200.0
2026-04-30,2026,North African Bank,personal_purposes,433091000.0
2026-04-30,2025,North African Bank,merchants_cards,1980000.0
2026-04-30,2026,North African Bank,merchants_cards,1995000.0
2026-04-30,2025,Yaqeen Bank,letters_of_credit,134084721.0
2026-04-30,2026,Yaqeen Bank,letters_of_credit,276521192.0
2026-04-30,2025,Yaqeen Bank,miscellaneous_transfers,1660723.0
2026-04-30,2026,Yaqeen Bank,miscellaneous_transfers,18946578.0
2026-04-30,2025,Yaqeen Bank,personal_purposes,141358600.0
2026-04-30,2026,Yaqeen Bank,personal_purposes,76387900.0
2026-04-30,2025,Yaqeen Bank,merchants_cards,508500.0
2026-04-30,2026,Yaqeen Bank,merchants_cards,1542000.0
2026-04-30,2025,Andalus Bank,letters_of_credit,201521463.0
2026-04-30,2026,Andalus Bank,letters_of_credit,517213204.0
2026-04-30,2025,Andalus Bank,miscellaneous_transfers,4000000.0
2026-04-30,2026,Andalus Bank,miscellaneous_transfers,1020759.0
2026-04-30,2025,Andalus Bank,personal_purposes,86531300.0
2026-04-30,2026,Andalus Bank,personal_purposes,47439400.0
2026-04-30,2025,Andalus Bank,merchants_cards,0.0
2026-04-30,2026,Andalus Bank,merchants_cards,0.0
2026-04-30,2025,Arab Investment Islamic Bank,letters_of_credit,37238933.0
2026-04-30,2026,Arab Investment Islamic Bank,letters_of_credit,47514501.0
2026-04-30,2025,Arab Investment Islamic Bank,miscellaneous_transfers,1529564.0
2026-04-30,2026,Arab Investment Islamic Bank,miscellaneous_transfers,2031505.0
2026-04-30,2025,Arab Investment Islamic Bank,personal_purposes,0.0
2026-04-30,2026,Arab Investment Islamic Bank,personal_purposes,1068000.0
2026-04-30,2025,Arab Investment Islamic Bank,merchants_cards,0.0
2026-04-30,2026,Arab Investment Islamic Bank,merchants_cards,0.0
2026-04-30,2025,Islamic Finance Bank,letters_of_credit,
2026-04-30,2026,Islamic Finance Bank,letters_of_credit,8808254.0
2026-04-30,2025,Islamic Finance Bank,miscellaneous_transfers,
2026-04-30,2026,Islamic Finance Bank,miscellaneous_transfers,681700.0
2026-04-30,2025,Islamic Finance Bank,personal_purposes,
2026-04-30,2026,Islamic Finance Bank,personal_purposes,0.0
2026-04-30,2025,Islamic Finance Bank,merchants_cards,
2026-04-30,2026,Islamic Finance Bank,merchants_cards,0.0
2026-04-30,2025,Danam Islamic Bank,letters_of_credit,
2026-04-30,2026,Danam Islamic Bank,letters_of_credit,1580353.0
2026-04-30,2025,Danam Islamic Bank,miscellaneous_transfers,
2026-04-30,2026,Danam Islamic Bank,miscellaneous_transfers,570128.0
2026-04-30,2025,Danam Islamic Bank,personal_purposes,
2026-04-30,2026,Danam Islamic Bank,personal_purposes,12000.0
2026-04-30,2025,Danam Islamic Bank,merchants_cards,
2026-04-30,2026,Danam Islamic Bank,merchants_cards,0.0
2026-04-30,2025,Al Seraj Islamic Bank,letters_of_credit,
2026-04-30,2026,Al Seraj Islamic Bank,letters_of_credit,97542.0
2026-04-30,2025,Al Seraj Islamic Bank,miscellaneous_transfers,
2026-04-30,2026,Al Seraj Islamic Bank,miscellaneous_transfers,1089185.0
2026-04-30,2025,Al Seraj Islamic Bank,personal_purposes,
2026-04-30,2026,Al Seraj Islamic Bank,personal_purposes,0.0
2026-04-30,2025,Al Seraj Islamic Bank,merchants_cards,
2026-04-30,2026,Al Seraj Islamic Bank,merchants_cards,0.0
2026-07-31,2025,Jumhouria Bank,letters_of_credit,915586481.0
2026-07-31,2026,Jumhouria Bank,letters_of_credit,2280670245.0
2026-07-31,2025,Jumhouria Bank,miscellaneous_transfers,1202588.0
2026-07-31,2026,Jumhouria Bank,miscellaneous_transfers,1959343.0
2026-07-31,2025,Jumhouria Bank,personal_purposes,517045600.0
2026-07-31,2026,Jumhouria Bank,personal_purposes,389465388.0
2026-07-31,2025,Jumhouria Bank,merchants_cards,0.0
2026-07-31,2026,Jumhouria Bank,merchants_cards,850000.0
2026-07-31,2025,Aman Bank for Trade and Investment,letters_of_credit,841414569.0
2026-07-31,2026,Aman Bank for Trade and Investment,letters_of_credit,195627356.0
2026-07-31,2025,Aman Bank for Trade and Investment,miscellaneous_transfers,3506535.0
2026-07-31,2026,Aman Bank for Trade and Investment,miscellaneous_transfers,28080650.0
2026-07-31,2025,Aman Bank for Trade and Investment,personal_purposes,1910314000.0
2026-07-31,2026,Aman Bank for Trade and Investment,personal_purposes,1517874998.0
2026-07-31,2025,Aman Bank for Trade and Investment,merchants_cards,23042000.0
2026-07-31,2026,Aman Bank for Trade and Investment,merchants_cards,17050000.0
2026-07-31,2025,Wahda Bank,letters_of_credit,818183339.0
2026-07-31,2026,Wahda Bank,letters_of_credit,43741832.0
2026-07-31,2025,Wahda Bank,miscellaneous_transfers,114148261.0
2026-07-31,2026,Wahda Bank,miscellaneous_transfers,946788306.0
2026-07-31,2025,Wahda Bank,personal_purposes,431164600.0
2026-07-31,2026,Wahda Bank,personal_purposes,315017542.0
2026-07-31,2025,Wahda Bank,merchants_cards,0.0
2026-07-31,2026,Wahda Bank,merchants_cards,200000.0
2026-07-31,2025,National Commercial Bank,letters_of_credit,1156238771.0
2026-07-31,2026,National Commercial Bank,letters_of_credit,604893014.0
2026-07-31,2025,National Commercial Bank,miscellaneous_transfers,219666.0
2026-07-31,2026,National Commercial Bank,miscellaneous_transfers,107717935.0
2026-07-31,2025,National Commercial Bank,personal_purposes,847529600.0
2026-07-31,2026,National Commercial Bank,personal_purposes,522447100.0
2026-07-31,2025,National Commercial Bank,merchants_cards,2950000.0
2026-07-31,2026,National Commercial Bank,merchants_cards,100000.0
2026-07-31,2025,Nuran Bank,letters_of_credit,607657082.0
2026-07-31,2026,Nuran Bank,letters_of_credit,755414391.0
2026-07-31,2025,Nuran Bank,miscellaneous_transfers,1093150.0
