period_end,year,bank,purpose,value_usd
2026-02-28,2025,Jumhouria Bank,letters_of_credit,274054855.0
2026-02-28,2026,Jumhouria Bank,letters_of_credit,680864992.0
2026-02-28,2025,Jumhouria Bank,miscellaneous_transfers,981960.0
2026-02-28,2026,Jumhouria Bank,miscellaneous_transfers,0.0
2026-02-28,2025,Jumhouria Bank,personal_purposes,290118800.0
2026-02-28,2026,Jumhouria Bank,personal_purposes,47047035.0
2026-02-28,2025,Jumhouria Bank,merchants_cards,0.0
2026-02-28,2026,Jumhouria Bank,merchants_cards,850000.0
2026-02-28,2025,Andalus Bank,letters_of_credit,107630821.0
2026-02-28,2026,Andalus Bank,letters_of_credit,311751674.0
2026-02-28,2025,Andalus Bank,miscellaneous_transfers,4000000.0
2026-02-28,2026,Andalus Bank,miscellaneous_transfers,1020759.0
2026-02-28,2025,Andalus Bank,personal_purposes,55424300.0
2026-02-28,2026,Andalus Bank,personal_purposes,9110800.0
2026-02-28,2025,Andalus Bank,merchants_cards,0.0
2026-02-28,2026,Andalus Bank,merchants_cards,0.0
2026-02-28,2025,Wahda Bank,letters_of_credit,154367071.0
2026-02-28,2026,Wahda Bank,letters_of_credit,3626968.0
2026-02-28,2025,Wahda Bank,miscellaneous_transfers,109254157.0
2026-02-28,2026,Wahda Bank,miscellaneous_transfers,260000000.0
2026-02-28,2025,Wahda Bank,personal_purposes,162244400.0
2026-02-28,2026,Wahda Bank,personal_purposes,31160200.0
2026-02-28,2025,Wahda Bank,merchants_cards,0.0
2026-02-28,2026,Wahda Bank,merchants_cards,200000.0
2026-02-28,2025,Aman Bank for Trade and Investment,letters_of_credit,290693284.0
2026-02-28,2026,Aman Bank for Trade and Investment,letters_of_credit,83216980.0
2026-02-28,2025,Aman Bank for Trade and Investment,miscellaneous_transfers,208366.0
2026-02-28,2026,Aman Bank for Trade and Investment,miscellaneous_transfers,6735014.0
2026-02-28,2025,Aman Bank for Trade and Investment,personal_purposes,828071400.0
2026-02-28,2026,Aman Bank for Trade and Investment,personal_purposes,183800100.0
2026-02-28,2025,Aman Bank for Trade and Investment,merchants_cards,9200000.0
2026-02-28,2026,Aman Bank for Trade and Investment,merchants_cards,17050000.0
2026-02-28,2025,Nuran Bank,letters_of_credit,248680362.0
2026-02-28,2026,Nuran Bank,letters_of_credit,261551237.0
2026-02-28,2025,Nuran Bank,miscellaneous_transfers,805173.0
2026-02-28,2026,Nuran Bank,miscellaneous_transfers,1361473.0
2026-02-28,2025,Nuran Bank,personal_purposes,160235100.0
2026-02-28,2026,Nuran Bank,personal_purposes,19424300.0
2026-02-28,2025,Nuran Bank,merchants_cards,2940500.0
2026-02-28,2026,Nuran Bank,merchants_cards,5960500.0
2026-02-28,2025,Libyan Islamic Bank,letters_of_credit,141305275.0
2026-02-28,2026,Libyan Islamic Bank,letters_of_credit,240213415.0
2026-02-28,2025,Libyan Islamic Bank,miscellaneous_transfers,808264.0
2026-02-28,2026,Libyan Islamic Bank,miscellaneous_transfers,3473389.0
2026-02-28,2025,Libyan Islamic Bank,personal_purposes,113808710.0
2026-02-28,2026,Libyan Islamic Bank,personal_purposes,18930128.0
2026-02-28,2025,Libyan Islamic Bank,merchants_cards,0.0
2026-02-28,2026,Libyan Islamic Bank,merchants_cards,6504000.0
2026-02-28,2025,North African Bank,letters_of_credit,134522812.0
2026-02-28,2026,North African Bank,letters_of_credit,110626708.0
2026-02-28,2025,North African Bank,miscellaneous_transfers,4829305.0
2026-02-28,2026,North African Bank,miscellaneous_transfers,736980.0
2026-02-28,2025,North African Bank,personal_purposes,126786800.0
2026-02-28,2026,North African Bank,personal_purposes,104113500.0
2026-02-28,2025,North African Bank,merchants_cards,1780000.0
2026-02-28,2026,North African Bank,merchants_cards,1995000.0
2026-02-28,2025,Yaqeen Bank,letters_of_credit,41974459.0
2026-02-28,2026,Yaqeen Bank,letters_of_credit,169461586.0
2026-02-28,2025,Yaqeen Bank,miscellaneous_transfers,54195.0
2026-02-28,2026,Yaqeen Bank,miscellaneous_transfers,3116535.0
2026-02-28,2025,Yaqeen Bank,personal_purposes,87494700.0
2026-02-28,2026,Yaqeen Bank,personal_purposes,16387000.0
2026-02-28,2025,Yaqeen Bank,merchants_cards,188500.0
2026-02-28,2026,Yaqeen Bank,merchants_cards,1542000.0
2026-02-28,2025,National Union Bank,letters_of_credit,4589910.0
2026-02-28,2026,National Union Bank,letters_of_credit,17075727.0
2026-02-28,2025,National Union Bank,miscellaneous_transfers,0.0
2026-02-28,2026,National Union Bank,miscellaneous_transfers,104996450.0
2026-02-28,2025,National Union Bank,personal_purposes,907500.0
2026-02-28,2026,National Union Bank,personal_purposes,860000.0
2026-02-28,2025,National Union Bank,merchants_cards,0.0
2026-02-28,2026,National Union Bank,merchants_cards,0.0
2026-02-28,2025,First Gulf Libyan Bank,letters_of_credit,72221955.0
2026-02-28,2026,First Gulf Libyan Bank,letters_of_credit,108518810.0
2026-02-28,2025,First Gulf Libyan Bank,miscellaneous_transfers,6425376.0
2026-02-28,2026,First Gulf Libyan Bank,miscellaneous_transfers,3689319.0
2026-02-28,2025,First Gulf Libyan Bank,personal_purposes,391200.0
2026-02-28,2026,First Gulf Libyan Bank,personal_purposes,15900.0
2026-02-28,2025,First Gulf Libyan Bank,merchants_cards,0.0
2026-02-28,2026,First Gulf Libyan Bank,merchants_cards,0.0
2026-02-28,2025,United Bank for Commerce and Investment,letters_of_credit,105706850.0
2026-02-28,2026,United Bank for Commerce and Investment,letters_of_credit,98876757.0
2026-02-28,2025,United Bank for Commerce and Investment,miscellaneous_transfers,0.0
2026-02-28,2026,United Bank for Commerce and Investment,miscellaneous_transfers,0.0
2026-02-28,2025,United Bank for Commerce and Investment,personal_purposes,281636500.0
2026-02-28,2026,United Bank for Commerce and Investment,personal_purposes,11075900.0
2026-02-28,2025,United Bank for Commerce and Investment,merchants_cards,750000.0
2026-02-28,2026,United Bank for Commerce and Investment,merchants_cards,1650000.0
2026-02-28,2025,National Commercial,letters_of_credit,483147835.0
2026-02-28,2026,National Commercial,letters_of_credit,52239601.0
2026-02-28,2025,National Commercial,miscellaneous_transfers,26335.0
2026-02-28,2026,National Commercial,miscellaneous_transfers,0.0
2026-02-28,2025,National Commercial,personal_purposes,408376200.0
2026-02-28,2026,National Commercial,personal_purposes,47895900.0
2026-02-28,2025,National Commercial,merchants_cards,1300000.0
2026-02-28,2026,National Commercial,merchants_cards,100000.0
2026-02-28,2025,Sahara Bank,letters_of_credit,24819713.0
2026-02-28,2026,Sahara Bank,letters_of_credit,57695111.0
2026-02-28,2025,Sahara Bank,miscellaneous_transfers,5676904.0
2026-02-28,2026,Sahara Bank,miscellaneous_transfers,11831301.0
2026-02-28,2025,Sahara Bank,personal_purposes,93989600.0
2026-02-28,2026,Sahara Bank,personal_purposes,24129000.0
2026-02-28,2025,Sahara Bank,merchants_cards,0.0
2026-02-28,2026,Sahara Bank,merchants_cards,200000.0
2026-02-28,2025,Libyan Foreign Bank,letters_of_credit,29975258.0
2026-02-28,2026,Libyan Foreign Bank,letters_of_credit,53996965.0
2026-02-28,2025,Libyan Foreign Bank,miscellaneous_transfers,15550010.0
2026-02-28,2026,Libyan Foreign Bank,miscellaneous_transfers,29110127.0
2026-02-28,2025,Libyan Foreign Bank,personal_purposes,0.0
2026-02-28,2026,Libyan Foreign Bank,personal_purposes,0.0
2026-02-28,2025,Libyan Foreign Bank,merchants_cards,0.0
2026-02-28,2026,Libyan Foreign Bank,merchants_cards,0.0
2026-02-28,2025,Bank of Commerce and Trade,letters_of_credit,47883996.0
