period_end,rank,category,value_usd,sector,section_seq,source_section_label
2026-02-28,1,Miscellaneous Food Commodities,171799149.0,unspecified,1,According to Goods or Services
2026-02-28,2,Production and Operation Supplies,47884352.0,unspecified,1,According to Goods or Services
2026-02-28,3,Feeds,44553768.0,unspecified,1,According to Goods or Services
2026-02-28,4,Essential Commodity Production Requirements,23282986.0,unspecified,1,According to Goods or Services
2026-02-28,5,Airlines Transfers,22008501.0,unspecified,1,According to Goods or Services
2026-02-28,6,Live and frozen meat,21286028.0,unspecified,1,According to Goods or Services
2026-02-28,7,"Transportation, tires, batteries and spare parts",20103633.0,unspecified,1,According to Goods or Services
2026-02-28,8,Human Medicines,19312140.0,unspecified,1,According to Goods or Services
2026-02-28,9,Agricultural,17245575.0,unspecified,1,According to Goods or Services
2026-02-28,10,Machinery and Equipment,16833568.0,unspecified,1,According to Goods or Services
2026-02-28,11,Building Materials and Construction Supplies,14696278.0,unspecified,1,According to Goods or Services
2026-02-28,12,Burniq Air requests,6653256.0,unspecified,1,According to Goods or Services
2026-02-28,13,Household and Household Electrical,5161485.0,unspecified,1,According to Goods or Services
2026-02-28,15,Cleaning Materials,3582715.0,unspecified,1,According to Goods or Services
2026-02-28,14,"Milk, diapers and baby food",3456269.0,unspecified,1,According to Goods or Services
2026-02-28,16,Cheeses,3313833.0,unspecified,1,According to Goods or Services
2026-02-28,17,Milk,2977572.0,unspecified,1,According to Goods or Services
2026-02-28,18,Electronic Equipment,2173706.0,unspecified,1,According to Goods or Services
2026-02-28,19,Insurance Companies Transfers,2138203.0,unspecified,1,According to Goods or Services
2026-02-28,20,Fruits and Vegetables,2082562.0,unspecified,1,According to Goods or Services
2026-02-28,21,Furniture,1555100.0,unspecified,1,According to Goods or Services
2026-02-28,22,Clothing and Shoes,1067689.0,unspecified,1,According to Goods or Services
2026-02-28,23,Ghee,512500.0,unspecified,1,According to Goods or Services
2026-02-28,24,Hygienic materials,304157.0,unspecified,1,According to Goods or Services
2026-02-28,26,General Electricity Company Supplies,163626.0,unspecified,1,According to Goods or Services
2026-02-28,27,Veterinary Medicines,111110.0,unspecified,1,According to Goods or Services
2026-02-28,28,Stationery,39950.0,unspecified,1,According to Goods or Services
2026-04-30,1,"Miscellaneous food products, dairy products, and their derivatives",880408836.0,unspecified,1,According to Goods or Services
2026-04-30,2,"Raw materials, production and operational supplies, and production of basic products",772507965.0,unspecified,1,According to Goods or Services
2026-04-30,3,Building materials and construction supplies,298176824.0,unspecified,1,According to Goods or Services
2026-04-30,4,Feeds,289269721.0,unspecified,1,According to Goods or Services
2026-04-30,5,"Human medicines, medical equipment, and veterinary Medicines",235364077.0,unspecified,1,According to Goods or Services
2026-04-30,6,Machinery and equipment,213849882.0,unspecified,1,According to Goods or Services
2026-04-30,7,"Transportation, tires, batteries and spare parts",170612173.0,unspecified,1,According to Goods or Services
2026-04-30,8,"Agricultural materials, equipment, and fertilizers",152290101.0,unspecified,1,According to Goods or Services
2026-04-30,9,Airline and travel agency transfers,149060356.0,unspecified,1,According to Goods or Services
2026-04-30,10,"Electronic, household, and electrical appliances",138744915.0,unspecified,1,According to Goods or Services
2026-04-30,11,"Live and frozen meat, fish, and seafood",90322146.0,unspecified,1,According to Goods or Services
2026-04-30,12,Cleaning supplies,54838674.0,unspecified,1,According to Goods or Services
2026-04-30,13,"Milk, diapers, and baby food",35201399.0,unspecified,1,According to Goods or Services
2026-04-30,15,Clothing and footwear,29484893.0,unspecified,1,According to Goods or Services
2026-04-30,14,"Telecommunications, information technology, and maritime services",15434968.0,unspecified,1,According to Goods or Services
2026-04-30,16,Furniture,13495709.0,unspecified,1,According to Goods or Services
2026-04-30,17,Fruits and vegetables,10870064.0,unspecified,1,According to Goods or Services
2026-04-30,18,Gold import transfers,9984500.0,unspecified,1,According to Goods or Services
2026-04-30,19,Tobacco of all types and related products,8784328.0,unspecified,1,According to Goods or Services
2026-04-30,20,Stationery supplies,5835578.0,unspecified,1,According to Goods or Services
2026-04-30,21,Insurance company transfers,2174711.0,unspecified,1,According to Goods or Services
2026-07-31,1,Miscellaneous food products,2242386135.0,unspecified,1,According to Goods or Services
2026-07-31,2,Production and operating requirements,1601149884.0,unspecified,1,According to Goods or Services
2026-07-31,3,Building materials and construction supplies,922798852.0,unspecified,1,According to Goods or Services
2026-07-31,4,Human medicines,645883426.0,unspecified,1,According to Goods or Services
2026-07-31,5,Machinery and equipment,533353132.0,unspecified,1,According to Goods or Services
2026-07-31,6,"Transportation, tires, batteries and spare parts",524821126.0,unspecified,1,According to Goods or Services
2026-07-31,7,Feeds,470220698.0,unspecified,1,According to Goods or Services
2026-07-31,8,Electronic Equipment,433921694.0,unspecified,1,According to Goods or Services
2026-07-31,9,Agricultural,249853291.0,unspecified,1,According to Goods or Services
2026-07-31,10,Essential Commodity Production Requirements,241293947.0,unspecified,1,According to Goods or Services
2026-07-31,11,Live and frozen meat,235552601.0,unspecified,1,According to Goods or Services
2026-07-31,12,"Electronic, household, and electrical appliances",186120471.0,unspecified,1,According to Goods or Services
2026-07-31,13,Cleaning Materials,159308431.0,unspecified,1,According to Goods or Services
2026-07-31,15,Clothing and footwear,117772310.0,unspecified,1,According to Goods or Services
2026-07-31,14,"Milk, diapers, and baby food",97405528.0,unspecified,1,According to Goods or Services
2026-07-31,16,Airline company transfers,74014601.0,unspecified,1,According to Goods or Services
2026-07-31,17,Tourism services,69415000.0,unspecified,1,According to Goods or Services
2026-07-31,18,Agricultural,54856119.0,unspecified,1,According to Goods or Services
2026-07-31,19,Milk,51149403.0,unspecified,1,According to Goods or Services
2026-07-31,20,Miscellaneous,50726147.0,unspecified,1,According to Goods or Services
2026-07-31,21,Cheeses,47013309.0,unspecified,1,According to Goods or Services
2026-07-31,22,Cleaning supplies,46964699.0,unspecified,1,According to Goods or Services
2026-07-31,23,Various navigational services,44256720.0,unspecified,1,According to Goods or Services
2026-07-31,24,Stationery,42112508.0,unspecified,1,According to Goods or Services
2026-07-31,25,Furniture,34766591.0,unspecified,1,According to Goods or Services
2026-07-31,26,ICT Services,28932998.0,unspecified,1,According to Goods or Services
2026-07-31,27,Burniq Air requests,25102265.0,unspecified,1,According to Goods or Services
2026-07-31,28,Fruits and Vegetables,15600734.0,unspecified,1,According to Goods or Services
2026-07-31,29,Hygienic materials,13973761.0,unspecified,1,According to Goods or Services
2026-07-31,30,Tobacco of all kinds,12720070.0,unspecified,1,According to Goods or Services
2026-07-31,31,Fish and Marines,11934721.0,unspecified,1,According to Goods or Services
2026-07-31,32,Oya Airways Company,11901132.0,unspecified,1,According to Goods or Services
2026-07-31,33,Medical,10933641.0,unspecified,1,According to Goods or Services
2026-07-31,34,Veterinary Medicines,10589135.0,unspecified,1,According to Goods or Services
2026-07-31,35,Buraq Airlines Requests,9605481.0,unspecified,1,According to Goods or Services
2026-07-31,36,Carpets and Textiles,8372581.0,unspecified,1,According to Goods or Services
2026-07-31,37,Production and Operation Services,7276099.0,unspecified,1,According to Goods or Services
2026-07-31,38,Ghee,5878609.0,unspecified,1,According to Goods or Services
2026-07-31,39,Salary transfers,4659158.0,unspecified,1,According to Goods or Services
2026-07-31,40,Insurance Companies Transfers,3810026.0,unspecified,1,According to Goods or Services
2026-07-31,41,Butter,2445667.0,unspecified,1,According to Goods or Services
2026-07-31,42,General Electricity Company Supplies,1730321.0,unspecified,1,According to Goods or Services
2026-07-31,43,Other Goods,1157833.0,unspecified,1,According to Goods or Services
2026-07-31,44,Fabrics and Carpets,994435.0,unspecified,1,According to Goods or Services
2026-07-31,45,Goods related to public services,986990.0,unspecified,1,According to Goods or Services
2026-07-31,46,General Authority for Awqaf and Islamic Affairs,706158.0,unspecified,1,According to Goods or Services
2026-07-31,47,Iron and steel factory operating requirements,700000.0,unspecified,1,According to Goods or Services
2026-07-31,48,Libyan Airlines requests,445310.0,unspecified,1,According to Goods or Services
2026-07-31,49,Insurance Companies Requests,340560.0,unspecified,1,According to Goods or Services
2026-07-31,50,MedSky Airways Company requests,288516.0,unspecified,1,According to Goods or Services
2026-07-31,51,Libyan Express Transport Company,82882.0,unspecified,1,According to Goods or Services
2026-07-31,52,Ghadames Airways Company,64815.0,unspecified,1,According to Goods or Services
2025-06-30,1,Production and Operation Supplies,1812809598.0,private,1,According to Goods or Services - Private Sector
2025-06-30,2,Miscellaneous Food Commodities,1733050762.0,private,1,According to Goods or Services - Private Sector
2025-06-30,3,Building Materials and Construction Supplies,617972394.0,private,1,According to Goods or Services - Private Sector
2025-06-30,4,Machinery and Equipment,489034360.0,private,1,According to Goods or Services - Private Sector
2025-06-30,5,"Transportation, tires, batteries and spare parts",437812553.0,private,1,According to Goods or Services - Private Sector
2025-06-30,6,Feeds,365941124.0,private,1,According to Goods or Services - Private Sector
2025-06-30,7,Electronic Equipment,362984104.0,private,1,According to Goods or Services - Private Sector
2025-06-30,8,Human Medicines,263883522.0,private,1,According to Goods or Services - Private Sector
2025-06-30,9,Live and frozen meat,258068641.0,private,1,According to Goods or Services - Private Sector
2025-06-30,10,Agricultural,177501369.0,private,1,According to Goods or Services - Private Sector
2025-06-30,11,Essential Commodity Production Requirements,166841830.0,private,1,According to Goods or Services - Private Sector
2025-06-30,12,Household and Household Electrical,154002650.0,private,1,According to Goods or Services - Private Sector
2025-06-30,13,Cleaning Materials,86648650.0,private,1,According to Goods or Services - Private Sector
2025-06-30,14,"Milk, diapers and baby food",85018052.0,private,1,According to Goods or Services - Private Sector
2025-06-30,15,Airlines Transfers,64841035.0,private,1,According to Goods or Services - Private Sector
2025-06-30,16,Burniq Air requests,61497996.0,private,1,According to Goods or Services - Private Sector
2025-06-30,17,Milk,53505078.0,private,1,According to Goods or Services - Private Sector
2025-06-30,18,Cleaning Materials,51249467.0,private,1,According to Goods or Services - Private Sector
2025-06-30,19,ICT Services,48105609.0,private,1,According to Goods or Services - Private Sector
2025-06-30,20,Tobacco of all kinds,34769834.0,private,1,According to Goods or Services - Private Sector
2025-06-30,21,Iron and steel factory operating requirements,32190686.0,private,1,According to Goods or Services - Private Sector
2025-06-30,22,Clothing and Shoes,32127099.0,private,1,According to Goods or Services - Private Sector
2025-06-30,23,Furniture,30613186.0,private,1,According to Goods or Services - Private Sector
2025-06-30,24,Cheeses,30313919.0,private,1,According to Goods or Services - Private Sector
2025-06-30,25,Medical,28535158.0,private,1,According to Goods or Services - Private Sector
2025-06-30,26,Agricultural,28385622.0,private,1,According to Goods or Services - Private Sector
2025-06-30,27,Stationery,20645706.0,private,1,According to Goods or Services - Private Sector
2025-06-30,28,Miscellaneous,20201029.0,private,1,According to Goods or Services - Private Sector
2025-06-30,29,Hygienic materials,19580331.0,private,1,According to Goods or Services - Private Sector
2025-06-30,30,Various navigational services,16624953.0,private,1,According to Goods or Services - Private Sector
2025-06-30,31,Fruits and Vegetables,13184651.0,private,1,According to Goods or Services - Private Sector
2025-06-30,32,Butter,10381554.0,private,1,According to Goods or Services - Private Sector
2025-06-30,33,Importing a Gold Commodity,7969531.0,private,1,According to Goods or Services - Private Sector
2025-06-30,34,Veterinary Medicines,3917814.0,private,1,According to Goods or Services - Private Sector
2025-06-30,35,Carpets and Textiles,3837842.0,private,1,According to Goods or Services - Private Sector
2025-06-30,36,Ghee,3781339.0,private,1,According to Goods or Services - Private Sector
2025-06-30,37,Special requests for Libyan Wings Company,3690357.0,private,1,According to Goods or Services - Private Sector
2025-06-30,38,Fish and Marines,2453492.0,private,1,According to Goods or Services - Private Sector
2025-06-30,39,Insurance Companies Transfers,1933049.0,private,1,According to Goods or Services - Private Sector
2025-06-30,40,Other Goods,1334557.0,private,1,According to Goods or Services - Private Sector
2025-06-30,41,Libyan Air Transport Company,978996.0,private,1,According to Goods or Services - Private Sector
2025-06-30,42,MedSky Airways Company requests,664251.0,private,1,According to Goods or Services - Private Sector
2025-06-30,43,Oya Airways Company,647618.0,private,1,According to Goods or Services - Private Sector
2025-06-30,44,Training Courses Transfers,41135.0,private,1,According to Goods or Services - Private Sector
2025-06-30,45,Insurance Companies Requests,29600.0,private,1,According to Goods or Services - Private Sector
2025-06-30,46,Flight Tickets,23874.0,private,1,According to Goods or Services - Private Sector
2025-06-30,47,Ghadames Airways Company,21171.0,private,1,According to Goods or Services - Private Sector
2025-06-30,1,Human Medicines,188009583.0,public,1,According to Goods or Services - Public Sector
2025-06-30,2,Libyan Iron and Steel Company Requirements,101779847.0,public,1,According to Goods or Services - Public Sector
2025-06-30,3,Production and Operation Requirements,88096595.0,public,1,According to Goods or Services - Public Sector
2025-06-30,4,Housing Projects Authority Requests,77947042.0,public,1,According to Goods or Services - Public Sector
2025-06-30,5,Machinery and Equipment,77663725.0,public,1,According to Goods or Services - Public Sector
2025-06-30,6,Furniture,37500000.0,public,1,According to Goods or Services - Public Sector
2025-06-30,7,"Transportation, Tires, Supplies and Spare Parts",21732804.0,public,1,According to Goods or Services - Public Sector
2025-06-30,8,Aletihad Alarabee Contracting Company J.S.C,16095000.0,public,1,According to Goods or Services - Public Sector
2025-06-30,9,Communications and IT Services,15687067.0,public,1,According to Goods or Services - Public Sector
2025-06-30,10,Almadar Aljadid Company,14092428.0,public,1,According to Goods or Services - Public Sector
2025-06-30,11,Libya Development and Reconstruction Fund,9603350.0,public,1,According to Goods or Services - Public Sector
2025-06-30,12,Airline Transfers,8694578.0,public,1,According to Goods or Services - Public Sector
2025-06-30,13,Libyana Mobile Phone Company Requests,4941797.0,public,1,According to Goods or Services - Public Sector
2025-06-30,14,Al Ahlia Cement Company J.S.C,3303026.0,public,1,According to Goods or Services - Public Sector
2025-06-30,15,Feeds,3281519.0,public,1,According to Goods or Services - Public Sector
2025-06-30,16,Insurance Company Transfers,3260898.0,public,1,According to Goods or Services - Public Sector
2025-06-30,17,Housing Projects Authority Requests,2735717.0,public,1,According to Goods or Services - Public Sector
2025-06-30,18,Libya Telecom and Technology Company,2645739.0,public,1,According to Goods or Services - Public Sector
2025-06-30,19,Essential Commodity Production Requirements,1105340.0,public,1,According to Goods or Services - Public Sector
2025-06-30,20,Training Course Transfers,652978.0,public,1,According to Goods or Services - Public Sector
2025-06-30,21,Goods for Public Services,515040.0,public,1,According to Goods or Services - Public Sector
2025-06-30,22,Port Operating Requirements,432240.0,public,1,According to Goods or Services - Public Sector
2025-06-30,23,Libyan Ports Company,336959.0,public,1,According to Goods or Services - Public Sector
2025-06-30,24,Port Operation and Maintenance Requirements,234257.0,public,1,According to Goods or Services - Public Sector
2025-06-30,25,Electronic Devices,228918.0,public,1,According to Goods or Services - Public Sector
2025-06-30,26,Production and Operation Services,214600.0,public,1,According to Goods or Services - Public Sector
2025-06-30,27,Awqaf General Authority and Islamic Affairs,197910.0,public,1,According to Goods or Services - Public Sector
2025-06-30,28,Libyan Airlines Requirements,123434.0,public,1,According to Goods or Services - Public Sector
2025-06-30,29,Hatef Libya Company Operating Supplies,42999.0,public,1,According to Goods or Services - Public Sector
2025-06-30,30,Medical Treatment Transfers,42920.0,public,1,According to Goods or Services - Public Sector
2025-06-30,31,Miscellaneous,40500.0,public,1,According to Goods or Services - Public Sector
2025-06-30,32,Airports Authority,1649.0,public,1,According to Goods or Services - Public Sector
2026-06-30,1,Miscellaneous food products,1925034497.0,unspecified,1,According to Goods or Services
2026-06-30,2,Production and operating requirements,1371917970.0,unspecified,1,According to Goods or Services
2026-06-30,3,Building materials and construction supplies,749102400.0,unspecified,1,According to Goods or Services
2026-06-30,4,Human medicines,518642340.0,unspecified,1,According to Goods or Services
2026-06-30,5,Machinery and equipment,460611866.0,unspecified,1,According to Goods or Services
2026-06-30,6,"Transportation, tires, batteries and spare parts",455560408.0,unspecified,1,According to Goods or Services
2026-06-30,7,Feeds,421707154.0,unspecified,1,According to Goods or Services
2026-06-30,8,Electronic Equipment,336575396.0,unspecified,1,According to Goods or Services
2026-06-30,9,Agricultural,215659951.0,unspecified,1,According to Goods or Services
2026-06-30,10,Live and frozen meat,214798937.0,unspecified,1,According to Goods or Services
2026-06-30,11,Essential Commodity Production Requirements,205844654.0,unspecified,1,According to Goods or Services
2026-06-30,12,"Electronic, household, and electrical appliances",159051481.0,unspecified,1,According to Goods or Services
2026-06-30,13,Cleaning Materials,136805409.0,unspecified,1,According to Goods or Services
2026-06-30,15,Clothing and footwear,101226800.0,unspecified,1,According to Goods or Services
2026-06-30,14,"Milk, diapers, and baby food",83661617.0,unspecified,1,According to Goods or Services
2026-06-30,16,Airline company transfers,69497485.0,unspecified,1,According to Goods or Services
2026-06-30,17,Tourism services,69415000.0,unspecified,1,According to Goods or Services
2026-06-30,18,Milk,51149403.0,unspecified,1,According to Goods or Services
2026-06-30,19,Agricultural,47847486.0,unspecified,1,According to Goods or Services
2026-06-30,20,Cheeses,45103324.0,unspecified,1,According to Goods or Services
2026-06-30,21,Miscellaneous,40993025.0,unspecified,1,According to Goods or Services
2026-06-30,22,Various navigational services,38638187.0,unspecified,1,According to Goods or Services
2026-06-30,23,Furniture,31373682.0,unspecified,1,According to Goods or Services
2026-06-30,24,Cleaning supplies,31050746.0,unspecified,1,According to Goods or Services
2026-06-30,25,Stationery,26979788.0,unspecified,1,According to Goods or Services
2026-06-30,26,ICT Services,25278082.0,unspecified,1,According to Goods or Services
2026-06-30,27,Burniq Air requests,19980142.0,unspecified,1,According to Goods or Services
2026-06-30,28,Fruits and Vegetables,13883624.0,unspecified,1,According to Goods or Services
2026-06-30,29,Tobacco of all kinds,12720070.0,unspecified,1,According to Goods or Services
2026-06-30,30,Fish and Marines,11934721.0,unspecified,1,According to Goods or Services
2026-06-30,31,Oya Airways Company,11901132.0,unspecified,1,According to Goods or Services
2026-06-30,32,Veterinary Medicines,10589135.0,unspecified,1,According to Goods or Services
2026-06-30,33,Medical,9471516.0,unspecified,1,According to Goods or Services
2026-06-30,34,Buraq Airlines Requests,8419351.0,unspecified,1,According to Goods or Services
2026-06-30,35,Carpets and Textiles,7916096.0,unspecified,1,According to Goods or Services
2026-06-30,36,Hygienic materials,7635191.0,unspecified,1,According to Goods or Services
2026-06-30,37,Ghee,5878609.0,unspecified,1,According to Goods or Services
2026-06-30,38,Salary transfers,4659158.0,unspecified,1,According to Goods or Services
2026-06-30,39,Insurance Companies Transfers,3810026.0,unspecified,1,According to Goods or Services
2026-06-30,40,Production and Operation Services,2289482.0,unspecified,1,According to Goods or Services
2026-06-30,41,Butter,2277767.0,unspecified,1,According to Goods or Services
2026-06-30,42,General Electricity Company Supplies,1730321.0,unspecified,1,According to Goods or Services
2026-06-30,43,Other Goods,1157833.0,unspecified,1,According to Goods or Services
2026-06-30,44,Fabrics and Carpets,994435.0,unspecified,1,According to Goods or Services
2026-06-30,45,Goods related to public services,986990.0,unspecified,1,According to Goods or Services
2026-06-30,46,General Authority for Awqaf and Islamic Affairs,706158.0,unspecified,1,According to Goods or Services
2026-06-30,47,Iron and steel factory operating requirements,700000.0,unspecified,1,According to Goods or Services
2026-06-30,48,Libyan Airlines requests,445310.0,unspecified,1,According to Goods or Services
2026-06-30,49,Insurance Companies Requests,340560.0,unspecified,1,According to Goods or Services
2026-06-30,50,MedSky Airways Company requests,288516.0,unspecified,1,According to Goods or Services
2026-06-30,51,Libyan Express Transport Company,82882.0,unspecified,1,According to Goods or Services
2026-06-30,52,Ghadames Airways Company,64815.0,unspecified,1,According to Goods or Services
2026-05-31,1,Production and operating requirements,1595194432.0,unspecified,1,According to Goods or Services
2026-05-31,2,Miscellaneous food products,1131447303.0,unspecified,1,According to Goods or Services
2026-05-31,3,Miscellaneous,580773741.0,unspecified,1,According to Goods or Services
2026-05-31,4,Building materials and construction supplies,484117665.0,unspecified,1,According to Goods or Services
2026-05-31,5,Feeds,320477097.0,unspecified,1,According to Goods or Services
2026-05-31,6,Human medicines and medical equipment,315050842.0,unspecified,1,According to Goods or Services
2026-05-31,7,Machinery and equipment,297886842.0,unspecified,1,According to Goods or Services
2026-05-31,8,"Transportation, tires, batteries and spare parts",259962300.0,unspecified,1,According to Goods or Services
2026-05-31,9,"Electronic, household, and electrical appliances",240473964.0,unspecified,1,According to Goods or Services
2026-05-31,10,"Agricultural materials, equipment, and fertilizers",175608776.0,unspecified,1,According to Goods or Services
2026-05-31,11,Airline company transfers,161444733.0,unspecified,1,According to Goods or Services
2026-05-31,12,"Live and frozen meat, fish, and seafood",128332158.0,unspecified,1,According to Goods or Services
2026-05-31,13,Cleaning supplies,86844365.0,unspecified,1,According to Goods or Services
2026-05-31,15,Tourism services,69098000.0,unspecified,1,According to Goods or Services
2026-05-31,14,Clothing and footwear,60086837.0,unspecified,1,According to Goods or Services
2026-05-31,16,"Telecommunications, information technology, and maritime services",52129506.0,unspecified,1,According to Goods or Services
2026-05-31,17,"Milk, diapers, and baby food",48429083.0,unspecified,1,According to Goods or Services
2026-05-31,18,Stationery,30671065.0,unspecified,1,According to Goods or Services
2026-05-31,19,Furniture,21401766.0,unspecified,1,According to Goods or Services
2026-05-31,20,Gold import transfers,9984500.0,unspecified,1,According to Goods or Services
2026-05-31,21,Tobacco of all types and related products,8784328.0,unspecified,1,According to Goods or Services
2026-05-31,22,Insurance company transfers,4486790.0,unspecified,1,According to Goods or Services
2026-05-31,23,Carpets and textiles,4030287.0,unspecified,1,According to Goods or Services
2026-05-31,25,Salary transfers (foreigners),500648.0,unspecified,1,According to Goods or Services
2026-05-31,26,Training and study course transfers,470163.0,unspecified,1,According to Goods or Services
2025-11-30,1,Production and Operation Supplies,3456012054.0,unspecified,1,According to Goods or Services
2025-11-30,2,Miscellaneous Food Commodities,3261323625.0,unspecified,1,According to Goods or Services
2025-11-30,3,Building Materials and Construction Supplies,1456878262.0,unspecified,1,According to Goods or Services
2025-11-30,4,"Transportation, tires, batteries and spare parts",895750479.0,unspecified,1,According to Goods or Services
2025-11-30,5,Machinery and Equipment,887534009.0,unspecified,1,According to Goods or Services
