edge_id,edge_schema,source_id,source_name,target_id,target_name,relationship,start_date,end_date,datasets
ca-forreps-5a49530d749e84d7ed0b1565007101c9d264f4fd,Family,ca-forreps-e9d4dd39745e8c173836a57b50681847b267522b,Nouri F M ELKASAH,ca-forreps-893fba3caabdcbb30d6b3bb710fff2eaea2d0384,Ahlaam A A ALQASI,Spouse,,,ca_foreign_reps
NK-3XMJeo5x2HoW5KUBtZjCML,UnknownLink,Q2068273,Mohammad Reza Naqdi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
NK-7UEpLM3LqBwQBtvmvVsa3c,UnknownLink,NK-kamWrhMiw35YKoM5FnZk7Q,Iran Aircraft Manufacturing Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn;ch_seco_sanctions
NK-8YBEjwhA4JXcDM7EZtGnwR,Ownership,NK-YWUBXpeFiTsiroWa7UqRUf,Central Bank of Libya,NK-TGJjwNmw5DCZLYNDfnD5G4,Libyan Agricultural Bank,,,,gb_fcdo_sanctions
NK-8tqvAnkTdvj4vLb3wpcqZK,Ownership,NK-WBxPAsNkFUZEniYXbPCdHe,Libyan Investment Authority,NK-MquwTyyeWLtztCZQbR6v6k,Sabtina Ltd,,,,gb_fcdo_sanctions
NK-9xW9zYJdJaYp6ywY5ia9Nr,Ownership,NK-S7pHVijF9R4WwGRdgckCBq,Fahmi Ben Khalifa,NK-f276CTc72sLRzDzyqr7QYc,ADJ Trading Limited,Owned or Controlled By,,,us_ofac_sdn
NK-DXrcr6rWFR3Cq5CdkuzZXA,UnknownLink,NK-mmGxwFYre24XCPwZhrZ2t5,Osama Al Kuni Ibrahim,NK-bCqCZiXVhavep845qc8m9W,Mohamed Koshlaf,related-to,,,ch_seco_sanctions
NK-DZuNYFBbmcQtis2pBjL9pz,UnknownLink,NK-mmGxwFYre24XCPwZhrZ2t5,Osama Al Kuni Ibrahim,Q69638152,Abd Al-Rahman Salim Ibrahim al-Milad,related-to,,,ch_seco_sanctions
NK-FdSSMfQYq6Nq59RCDJpgHQ,UnknownLink,Q361273,HANNIBAL MUAMMAR QADHAFI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
NK-GKqKMe7FH6HTuMNfDXY3SN,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-dqAaENTGtNQ4anQuKLWc5u,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE,,,,gb_fcdo_sanctions
NK-HxPeRCRjkBwJEgZ7FBdHe6,UnknownLink,NK-Y855M94WoKyKvDUgpVns48,Zedxion Exchange Ltd,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn;il_mod_terrorists
NK-KrrcdDTHXcrRHFA2aJ8jGa,UnknownLink,Q208135,Saif al-Islam QADHAFI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
NK-PZHTzupfQwuoTzWGukk6Yc,UnknownLink,Q361291,SAIF AL-ARAB QADHAFI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
NK-RULuvujPp7mJcwqYZyKZo7,Ownership,NK-WBxPAsNkFUZEniYXbPCdHe,Libyan Investment Authority,NK-k5wewbsKc9fjNgjmdzJoKS,Al-Inma Holding Co. for Services Investments,,,,gb_fcdo_sanctions
NK-SttmEHkD3kYaBMHPRSCXqp,UnknownLink,NK-eW2KXzZ9gW2QyQfJkZJWjs,KHAMIS MUAMMAR QADHAFI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
NK-TkwdVDRTiRZuy3YevyxZ96,UnknownLink,Q361281,MOHAMMED MUAMMAR QADHAFI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
NK-Ub4GwtdmBGCsVsaBWZaUTM,Ownership,NK-V3yjEXHcfBpDnTzDoeR7Wb,Nourddin Milood M Musbah,NK-GUgMrUaEuLULaxf9HUvFsY,Alwefaq Ltd,Owned or Controlled By,,,us_ofac_sdn
NK-Ws8xbRE3U8NGXtU8DFhBQo,UnknownLink,NK-RT3cWscWLuM5xMEEtBZsjh,Abu Shaariya,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
NK-WzWkdo8swEzvXpVbice3mn,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-5PJzeksBUtpVFoJHPNXeGj,IRGC-Air Force Al-Ghadir Missile Command,,,,gb_fcdo_sanctions
NK-csxcBhtquCDBx9vwxeUDAQ,UnknownLink,NK-hzhRKcbaH3JJDgW6PePKGw,Zedcex Exchange Ltd,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn;il_mod_terrorists
NK-cy4qpdW3dSSk4JkHcL3LZe,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-jF6xZDZzsiGDtJtGcBqoLi,Islamic Revolutionary Guard Corps Aerospace Force,,,,gb_fcdo_sanctions
NK-gSRChPSZK9UCAdKXqQo7LF,UnknownLink,Q317757,Abdullah AL-SENUSSI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
ch-seco-11461-related-to,UnknownLink,NK-TyDcXQ2tXNCuADMfhjnwSj,Mehr Bank,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-13452-related-to,UnknownLink,Q231552,AISHA MUAMMAR MUHAMMED ABU MINYAR QADHAFI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
ch-seco-13456-related-to,UnknownLink,Q316974,MUTASSIM QADHAFI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
ch-seco-13460-related-to,UnknownLink,Q310406,SAADI QADHAFI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
ch-seco-13463-related-to,UnknownLink,Q240227,SAFIA FARKASH AL-BARASSI,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
ch-seco-13465-related-to,UnknownLink,NK-dMAzhvH7ooNytMQJf3ZNZL,Sayyid Mohammed Qadhafi Al-Dam,Q19878,MUAMMAR MOHAMMED ABU MINYAR QADHAFI,related-to,,,ch_seco_sanctions
ch-seco-20905-related-to,UnknownLink,NK-dgsVRGxxqgpu2FhrR5yENh,Naserin Vahid,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-21065-related-to,UnknownLink,NK-UJ6VjXqPL3Amtn8hgRZZX9,Capitana Seas Limited,Q310406,SAADI QADHAFI,related-to,,,ch_seco_sanctions
ch-seco-41957-related-to,UnknownLink,Q25423789,Yadollah Javani,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-41974-related-to,UnknownLink,Q20986675,Abdollah Araghi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-41975-related-to,UnknownLink,NK-dkcJyuGjYVezc4Mui4DBcd,Ali Khalili,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-46281-related-to,UnknownLink,NK-mAXMHWw8MKHM9YJDh44pYj,Etemad Amin Invest Co Mobin,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-55926-related-to,UnknownLink,NK-jEWLrYXBq5XEzuyMXYZfRs,Javad Darvish-Vand,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-55934-related-to,UnknownLink,NK-k89VNrJ29F9XgSX7NXpsrh,Seyyed Mahdi Farahi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-55935-related-to,UnknownLink,Q137249,Mohammad Ali Jafari,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-55949-related-to,UnknownLink,NK-cZUeHEJ6pGyS5BmheMFLVg,Ali Ashraf Nouri,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-55951-related-to,UnknownLink,NK-XfbWhq925ZvtHj3TZbBsTb,Shahroudi Ali Saeedi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),related-to,,,ch_seco_sanctions
ch-seco-bc643ab26e9d42867b60ad13baed40505acca835,Family,NK-fCGt6rgmz9Gb5KrcMHrKuj,RAED MUHAMMAD HASAN MUHAMMAD HIJAZI,Q2506226,Mohammad Hejazi,Father,,,ch_seco_sanctions
ch-seco-c9a6f3853ec174d2bd4faaeca9a04aa77fc20e92,UnknownLink,Q27627957,Hasan Al-Salahayn Salih Al-Sha'ari,NK-nFg77q6vHJLmSUp8mm3pPS,ISLAMIC STATE OF IRAQ AND THE LEVANT (ISIS),Facilitator for,,,ch_seco_sanctions
fr-ga-3beb7ccb20baa68634b954be7fd2a8ba7ef86074,UnknownLink,NK-epoDUiV64eLLTdWrXxgyZi,Rahab Institute,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-41f95bed2f3d955bff7a64b22c5147b312b5b765,UnknownLink,NK-nmUtRzJuxoiG4L8Jsr6wAn,Pouya Air,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-46d8a9b498c3999931081506c4bd8745a915ef20,UnknownLink,NK-jtVerogvcsNowZJdBqbqDa,Ghorb Nooh,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-5189b485ff439bbde08fc7d15237ef267a291866,UnknownLink,NK-jSMTrsYkFusCkMoaH6N4Nu,Base opérationnelle de Karbala du Corps des gardiens de la révolution islamique (IRGC),NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-627525d024ed0597e5e19c1930bf181cb623a024,UnknownLink,NK-nCs6FpGhk9Nzj7sAkgFbTm,Sho'a' Aviation,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-80f4b1a5ab2ba741dc5057d4949ee10b3a38d4af,UnknownLink,NK-mdqNiJyfpLepHn7pPmxLnH,Ghorb Karbala,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-89eef05ad98ef70b3baa129bf1a56bb313629afd,UnknownLink,NK-XzP9kE42ivvoJsRFtqCQeM,Behineh Trading Co.,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-9030a9847cc2dda0c5573ef86f9fbe55a8c73e68,UnknownLink,NK-i7bVYy9HagGNgzA2cToPMY,Rah Sahel,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-ae7ff9e289851d2e68c9d8212421fae9cdcfe02d,UnknownLink,NK-oDTLqgYVPPr5GwAaHPsxFG,Hara Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-bde9dcd3342ffbfff55a331c735de95f593e3b24,UnknownLink,NK-jj3vAETxpV67TYbc8GCkrw,Khatam al-Anbiya Construction Headquarters (KAA),NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-c63c790cc9cece10880931f20a283fcd82bb7bdc,UnknownLink,NK-g9UmVJoB9SrZxT4pTE8G9q,Sepanir Oil & Gas Energy Eng. Co.,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-ce09d744c0bb30d65e414773f748278828a8b81d,UnknownLink,NK-jAjDQx8NUBGdJB4RCMLScf,Sepasad Engineering Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-da9c895bd79726b01d307dca1643917fb6c218f8,UnknownLink,NK-fURQM6tyCbJYJCQyiPRwKd,Makin Institute,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-e16769dc9b0fa177264a72de29014118d1bf48e5,UnknownLink,NK-ny372aQyCRYP4TDcMibNZA,Gharagahe Sazandegi Ghaem,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-ee6489f536ef818274838df8ef2e16b467e16cee,UnknownLink,NK-kiTwWCSz2SzaHtE6ZR7dDZ,Fater Institute,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-f015e1635f466ece056402c48dd69f5a512a3f2d,UnknownLink,NK-eZDJFmy3xSMcKRXG86SyQF,Imen Sazan Consulting Engineers,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
fr-ga-f912fbae2237a870e57dc93568e2621f3a674c7d,UnknownLink,NK-mu8RsGdLYSmSzyY8niyLpP,Sahel Consultant Engineers,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,fr_tresor_gels_avoir
il-nbctf-a09c9265234bea5e9d270ae58793ed43bd1d4324,UnknownLink,NK-ambDxVyyJoTExKoqq9kxUB,Zedpay Finansal Sistem Ve Hizmetleri Anonim Sirketi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),,,,il_mod_terrorists
ofac-03d2a760ac336157051f122253affa68f1b3d6dd,Representation,Q28714119,Mohammad Kazemi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-0a27e68d9fe87e183dad01a6899cc5bd967af6c4,Ownership,NK-UdowvUWUzRAZMVTvxHhFvu,Masoud Jalili,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Owned or Controlled By,,,us_ofac_sdn
ofac-0a6b9f0cbe4a6fe2132b5b872c4ba2db10bb9a31,UnknownLink,NK-kQ5vGLCvqU8zzZuvCi6pEA,HONG KONG SANMU LIMITED,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-0cb1ccb193f5110856bb3d703731abe6cacb2b21,Representation,Q115207226,Mohammad Taghi Osanloo,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-0f1b743e87598087e05ddba99f51f178fbcaca66,Directorship,NK-BKusgwsvmh3si3BbNLu34L,Ahmad Mohammadi Zadeh,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Leader or official of,,,us_ofac_sdn
ofac-0fcd35fdeb28be04fdf79fca3872d8737097b310,UnknownLink,NK-JmokkiirJcZS3nsJtPqGZV,Shenzhen Amor Logistics Co Ltd,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-10ae1712907d89a76d5166df27777ae8459522d3,UnknownLink,NK-REiNireayyuncLMsTWm3cY,Persian Gulf Strait Authority,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-1b934593859481a082a7a2b22db92249bf3270b5,UnknownLink,NK-iT8tTbZvb5WZ5CTXB4dFK6,Sanjesh Gostar Dana Engineering and Quality Control Inspection Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-2425c79221ddb7127ea78fc1f8109566a1aa4567,Representation,NK-istDm9fHi3CGpVhhN747bS,Mohammad Abdollahpour,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-259927d0f2027ad24ae68ab5940d7a1408ca45c6,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-RVnWZtDSHimXYYeVA9wtdc,Bonyad Taavon Sepah,Owned or Controlled By,,,us_ofac_sdn
ofac-27d762c35cba1c7841a28d531afa15d582b7d074,Representation,NK-cVgveYEXNcpTc5jKkf7nEq,Amanollah GOSHTASBI,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-28b82bbf6d0cb830f7e9a01c0f479273cc109d22,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-j7hkGePxB9BdN6Wtqoisme,Saberin Kish Company,Owned or Controlled By,,,us_ofac_sdn
ofac-29152b4359453ccea287f29d3cbec732dd21c2c2,Representation,NK-kdyqRMap7Dy6vcw2zk9f92,Jamal Shakarami,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-2f35588d43351268d2621b23eac9f30c6ab5a2b1,Representation,NK-dpRdrxTLwW6HZvZ7pqkbHU,GOLDEN GLOBE DEMIR CELIK PETROL SANAYI VE TICARET ANONIM SIRKETI,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-319949a8e4e766036c83c791de029f18cd3e1df1,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-4mtWBti7Fkrh4ZC6pun7wu,Basij Resistance Force,Owned or Controlled By,,,us_ofac_sdn
ofac-33207e65ad1a44abd63c4e95a2861414047941ec,UnknownLink,NK-3G6TirGHw2TJQDFFZ7Uv7M,Bahman Diesel Co.,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-35b06e5f1ee9712cbfbe105d4d3739697b26d515,Representation,NK-cnuG3EUgAAHC3xk2qn5xr5,Mahmud Baghlani,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-36b4f77af7ce7e8dd55fe677d6dc14c4c1e3f3ce,Ownership,NK-Le5JHd24EkxFTP8kQ32u29,Mahmoud Abdulilah Al-Dj,NK-hVCfCHsBCVUM6qBq3whpgz,Freebird Travel Agency,Owned or Controlled By,,,us_ofac_sdn
ofac-38c4052cb43f986314cf42b8f1503dc04a828df2,Representation,Q129341142,Hamid Khorramdel,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-390d9abeb5a2a07e3dca1539ca275554932a954c,Representation,NK-3WypzcsPwhiNPjQTGf4y6d,Abd al Hadi Zarqun,NK-nFg77q6vHJLmSUp8mm3pPS,ISLAMIC STATE OF IRAQ AND THE LEVANT (ISIS),Acting for or on behalf of,,,us_ofac_sdn
ofac-3953066d660f39b81163b598243eb4619630185c,Representation,NK-8hQB6Buv4QnQHMusiSNDfi,Ali Malek Shahkoui,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-3c338a9ba9ea8b47f3978a21e8b32f26ac215d67,Representation,Q126923121,Majid KHADEMI,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-4070d6deff88387c70b24bde42c65265219946db,UnknownLink,NK-f95DNYPjzuQKZry6qPRUcc,JIANDI HK LIMITED,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-448e6b6e8ba19e1ce8dcf4bb0b53012ee554ad50,Representation,NK-NoUBNjMJBFxfyrV7Jp47oZ,Ali Ozma'i,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-499119c3b26862c345f28e827f26f6a92e668479,UnknownLink,NK-L85nwzMViEAcuH7NwM2qHn,HONG KONG BLUE OCEAN LIMITED,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-4aa1a6d2d3cbfaf59c288ba792fba721d3f31333,UnknownLink,NK-E5TauvsA889jNJeKtv4YMG,"MAX HONOR INTERNATIONAL TRADE CO., LIMITED",NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-4b645c0d2d5e820e30787a02381fbdcf3dc9de70,Representation,NK-guDJYfrCqUgG7fvt3YWR74,Hossein TANAVAR,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
