edge_id,edge_schema,source_id,source_name,target_id,target_name,relationship,start_date,end_date,datasets
ofac-4d2d1c3b3c36503c49f06e3506cbd0bebc8e0913,Representation,NK-ZuBRVL3nScNKSmoiQ37Uda,Gholamhossein Gheib Parvar,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-528b712628bc51a7a356d5390b37efdc7fa0fea9,Representation,NK-G5BTasApunhmAgv3tD34xg,Hossein Zare Kamali,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-54ca1e1eb64c964c20550e933e9bc4176e2b54c4,UnknownLink,NK-Ue3LEDP3YKz4hDcTm8Waok,Design and Manufacturing of Aircraft Engines (DAMA),NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-582b9bd6f9ced6889209fed001735f7063d61ac3,Representation,NK-aF3RsSUob7B4JtqEpM5NrY,Ahmad Ali FAIZULLAHI,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-5b311fe9ac0312e969b1dc59f28d9ee2eb16b094,UnknownLink,NK-ns7oiKUhZQopVSRFGVP4ua,Baharestan Kish Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-5b904e450a74f9ee8fea19fe7d43d2af8e7ef8e4,Representation,Q5708302,Hossein Nejat,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-5c813b970e424e4e7055c944d839555cf0dc7f2d,Representation,NK-Yta4Agzv6ygaagPZmzGs89,Hamidreza Moghadam Far,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-60386ee46eea62ccf7ac9fd5ab77b32efd0a81e0,Directorship,NK-aMZeqCarQjXEZywjpLktye,Mohammadreza Ashrafi Ghehi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Leader or official of,,,us_ofac_sdn
ofac-6038f2626ad0cc56c48211b3f20220e8c1104244,UnknownLink,NK-jzGyiPEyGma9WRoPEjrfaM,Qeshm Madkandaloo Shipbuilding Cooperative Co,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-61f94c1d34c3cfdcd886236c4afd6b58557ca620,Representation,Q56253890,Ali Reza Tangsiri,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-64d5d71b2dd1ed6a8de747a2bc2e0b75e179af98,UnknownLink,NK-cafXdYfWuKmSRfw6FJkEke,Star Ocean Shipmanage Ltd,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-6569fe0898ac2e6088eed50b306ba9d7a6e48652,Representation,NK-GjAEVSCgQyfTMBxmrv7KXE,Ramezan Zirahi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-68c5be82bd7002ed13e6c90bf6710fc196ca3a83,Representation,NK-3MfQWRpv5SmXALt6gxHqFA,Mansur Ravankar,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-6ab393c32527b00abc482a2002edcee5447131bb,Representation,Q23017879,Amir Ali Hajizadeh,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-6ad7fe5c0ed58ef5304e53cfb2fc8896178f2927,Directorship,NK-5422BfjR88C7geP5RBRBwb,Mohamed al Kani,NK-SfPxtnRH4Hwsc5tbssb3dj,Kaniyat militia,Leader or official of,,,us_ofac_sdn
ofac-6bae601af525dd4394b8995c41c05a236f476444,Representation,NK-cK7ALNfC3dxGjmGdHPZk9s,Habib Shahsavari,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-7478f24c22a1ac8a4c6b4afe53406cea52fe2594,UnknownLink,NK-LdhUMNCXRJpvX4mKcpbodP,ATIC ENERGY FZE,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-7a68317a822d995ad3e88ba2e7b995ebc23be1d9,Representation,Q122586038,Mojtaba FADA,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
