occupancy_id,person_id,person_name,position_id,position_name,position_topics,is_foreign_posting,subnational_area,start_date,end_date,status,datasets
NK-3XkNgjDJH5SLWS7MjxHaFG,Q19663879,Jamil Ahmed Khan,Q124485522,ambassador of Pakistan to Libya,role.diplo,1,,2009-04,2010-11,ended,wd_peps
NK-499XXZqKMmegkhrcaSmvBP,Q125726479,Javier Soria Quintana,Q6348414,ambassador of Spain to Libya,role.diplo,1,,2024-04-30,,,wd_peps
NK-5HkHjhhCratLaTWWhGuesJ,Q5945120,José Riera Siquier,Q6348414,ambassador of Spain to Libya,role.diplo,1,,2011,2014,ended,wd_peps
NK-5gVEEGRcyZpU8wTH3HSW7N,Q122346885,Daad Sharab,Q122926645,Counselor to the President of Libya,gov.executive;gov.national,0,,1988,2011,ended,wd_peps
NK-5xQetHAS94XphbTLCb5XG8,Q26923672,Nicholas Hopton,Q56761158,ambassador of the United Kingdom to Libya,role.diplo,1,,2020-09,2021-09-01,ended,wd_peps
NK-6agfLC8hndaPQp9tBEfEhm,Q114884653,Mabrouka Othman Oki,Q114884393,Minister of Culture and Knowledge Development,gov.executive,0,,2021-03-15,,,wd_peps
NK-7QjCbuFvnBz48mrUpLREKj,Q114884655,Muhammad Salem Al-Shahoubi,Q110001658,Transport Minister of Libya,gov.executive,0,,2021-03-15,,,wd_peps
NK-7kGvVmMURV2TouhXStrVc9,Q114884658,Ramadan Ahmed Boujenah,Q114884398,Minister of Health,gov.executive;gov.national,0,,2022-01-30,,,wd_peps;wd_categories
NK-8Trx5SCTA2dtoVexfHnrq5,Q114886507,Abubaker Mohamed Al-Ghawi,Q114774834,Minister of Housing,gov.executive,0,,2021-03-18,,,wd_peps
NK-9RWSJj94A5iVqDkJ28uTw3,Q3084753,François Gouyette,Q26265501,ambassador of France to Libya,role.diplo,1,,2007-12-17,2011-10-13,ended,wd_peps
NK-ANbzmbRFp42Zi75Y8C2Zy2,Q105319610,Mohamed al-Menfi,Q102181806,Chairman of the Presidential Council,gov.head,0,,2021-03-15,,,wd_peps;wd_categories
NK-AX4GnWv8dVT7raebWWuUbW,Q880401,Muhammad az-Zaruq Rajab,Q15305714,Prime Minister of Libya,gov.head;gov.executive,0,,,,,wd_peps;wd_categories
NK-AdsuyMuZfaZrK8sryPDXEm,Q114884656,Musa Muhammad Al-Maqrif,Q114884395,Minister of Education,gov.executive;gov.national,0,,2021-03-15,2021-12,ended,wd_peps
NK-BfEP86NZ4VYfCuok4hyqLZ,Q138660497,Martin Longden,Q56761158,ambassador of the United Kingdom to Libya,role.diplo,1,,2023-10,2025-10,ended,wd_peps
NK-CEr88nChq2wAjMKSo7C2bm,Q107088903,José Antonio Bordallo Huidobro,Q6348414,ambassador of Spain to Libya,role.diplo,1,,2014,2017,ended,wd_peps
NK-CKpjnTDKG8SAJaV6JpZgdj,Q124486444,Sajid Iqbal,Q124485522,ambassador of Pakistan to Libya,role.diplo,1,,2018-02-28,,,wd_peps
NK-CQ6sxmar3smZoKc5YQBWBJ,Q130220085,Imad TARABULSI,Q114774895,Minister of Internal Affairs of Libya,gov.executive,0,,2022-11-06,,,wd_peps
NK-CuxoVUmvve2kAene4UVeMq,Q114884638,Ali Al-Abed Al-Reda Abu Azoum,Q114884400,Minister of Labour,gov.executive,0,,2021-03-15,,,wd_peps
NK-DW4XZBRpQh63eaBTT6GtXz,Q114884643,Halima Ibrahim Abdel Rahman,Q114774914,Minister of Justice,gov.executive;gov.national,0,,2021-03-15,,,wd_peps
NK-EgUKhHsRv28SPnDB3B7KqP,Q125705587,Artur Jamo,Q125705596,Ambassador of Mozambique to Libya,role.diplo,1,,2003-07-30,2009-08-28,ended,wd_peps
NK-EuKWDpTVTKZiHzcbETaS96,Q114884658,Ramadan Ahmed Boujenah,Q114774988,Deputy Prime Minister of Libya,gov.executive,0,,2021-03-15,,,wd_peps;wd_categories
