record_ark,title,authors,publisher,publication_date,year,era,document_type,document_class,is_data_source,language,subjects,is_digitised,gallica_ark,gallica_url,catalogue_url,found_by,holding_institution
cb31884888z,"@ [Hebdomadaire.] Dir. : Ṣāliḥ Bū Baṣīr. IIe année. N° 71, 4 mai 1953","Bū Baṣīr, Ṣāliḥ. Éditeur scientifique",,,,,texte imprimé,book,0,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb31884888z,Libye;Benghazi,Bibliothèque nationale de France
cb48514949f,"Archeologia italiana in Libia : il contributo dell'esperienza archeologica ""d'oltremare"" nel dibattito sul restauro negli anni '30 : il restauro-anast","Comes, Federica",Il prato,,,,texte imprimé,book,0,ita,,0,,,https://catalogue.bnf.fr/ark:/12148/cb48514949f,Libia,Bibliothèque nationale de France
cb45983002s,"Autour de la Méditerranée. - 1re série Les côtes Barbaresques (Tripolitaine et Tunisie ; Tunisie et Algérie ; Algérie et Maroc. - 2e série Les côtes latines. Espagne, France. Italie ; - 3e sér. Les côtes orientales. Autriche et Grèce ; Turquie d'Europe et d'Asie ; Terre Sainte et Egypte. - Chaque volume, avec 120 dessins inédits, broché, 10 fr. - Paris, Laurens, 9 vol.","Bernard, Marius (1847-1914). Auteur du texte",,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb45983002s,Tripolitaine,Bibliothèque nationale de France
cb459904131,Catalogue d'ouvrages à consulter pour faire une étude de la Tunisie et de la Tripolitaine (manuscrit),"Duveyrier, Henri (1840-1892). Auteur du texte",,,,,texte imprimé,book,0,fre,Tunisie,0,,,https://catalogue.bnf.fr/ark:/12148/cb459904131,Tripolitaine,Bibliothèque nationale de France
cb43368536z,"Contribution à l'étude de l'hydrogéologie de la cuvette Fezzanaise / par Pierre Bellair,...","Bellair, Pierre. Auteur du texte",Impr. de Imbert (Alger),,,,texte imprimé,book,0,fre,"Fezzan, Plateau du; Hydrogéologie",0,,,https://catalogue.bnf.fr/ark:/12148/cb43368536z,Fezzan;Libye,Bibliothèque nationale de France
cb45991588f,"Culture et industrie du coton aux Etats-Unis. (Rapports commerciaux des agents diplomatiques et consulaires de France. Année 1903, n° 208. Missions spéciales. Supplément au Moniteurs officiel du Commerce du 5 fevr., 1904, 48 p.)","Foex, H.. Auteur du texte",,,,,texte imprimé,trade_returns,1,fre,Coton -- États-Unis,0,,,https://catalogue.bnf.fr/ark:/12148/cb45991588f,Rapports commerciaux des agents consulaires de France,Bibliothèque nationale de France
cb43371386g,Du Caire à l'oasis de Farafra via Baharia : Apercus géographique et géologique / J. Cuvillier,"Cuvillier, J.. Auteur du texte",,,,,texte imprimé,book,0,fre,"Libye, Désert de -- Égypte -- Oasis",0,,,https://catalogue.bnf.fr/ark:/12148/cb43371386g,Libye,Bibliothèque nationale de France
cb318820768,Du Cameroun au Caire par le désert de Libye. Chasses au Tchad. Avec vingt-quatre gravures hors texte et deux cartes,"Bruneau de Laborie, Émile Louis Aristide (1871-1930). Auteur du texte",,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb318820768,Libye,Bibliothèque nationale de France
cb316021698,Economic progress of fascist Italy,"Volpi di Misurata, Giuseppe (1877-1947). Auteur du texte",the Usila (Roma),,,,texte imprimé,book,0,eng,,0,,,https://catalogue.bnf.fr/ark:/12148/cb316021698,Misurata,Bibliothèque nationale de France
cb339341811,Educational missions...,Unesco. Éditeur scientifique,UNESCO (Paris),,,,publication en série imprimée,serial,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb339341811,Libye,Bibliothèque nationale de France
cb45990604m,"Excursion anthropologique au Sahara, à travers le Tripolitaine, la Tunisie et l'Algérie","Elysséef, A.. Auteur du texte",,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb45990604m,Tripolitaine,Bibliothèque nationale de France
cb318382914,Gli ultimi giorni di Bengasi turca / [par Giuliano Bonacci],"Bonacci, Giuliano. Auteur du texte",tip. F. Filelfo (Tolentino),,,,texte imprimé,book,0,ita,,1,bpt6k134468b,https://gallica.bnf.fr/ark:/12148/bpt6k134468b,https://catalogue.bnf.fr/ark:/12148/cb318382914,Bengasi,Bibliothèque nationale de France
cb47585558v,"Histoire de la province romaine de Crète-Cyrénaïque, de Pompée à Dioclétien","Chevrollier, F",Peeters,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb47585558v,Cyrénaïque,Bibliothèque nationale de France
cb45990683r,"Il Clima di Zavia (Tripolitania) (anno VII, n° 16, 12 p.)","Eredia, Filippo (1877-1948). Auteur du texte",,,,,texte imprimé,book,0,ita,Tripolitaine -- Climatologie,0,,,https://catalogue.bnf.fr/ark:/12148/cb45990683r,Tripolitaine;Tripolitania,Bibliothèque nationale de France
cb43379909m,Il convegno dei geografi italiani a Tripoli / Elio Migliorini,"Migliorini, Elio (1902-1988). Auteur du texte",,,,,texte imprimé,book,0,ita,Tripoli,0,,,https://catalogue.bnf.fr/ark:/12148/cb43379909m,Libye;Tripoli de Barbarie,Bibliothèque nationale de France
cb433763600,"Institut de recherches sahariennes de l'Université d'Alger. Mission scientifique de Fezzân, 1944-1945",,,,,,texte imprimé,scientific_mission,1,fre,"Fezzan, Plateau du -- Sud; Kaouar, Oasis du; Tibesti, Massif du; Sahara, Désert du",0,,,https://catalogue.bnf.fr/ark:/12148/cb433763600,Fezzan;Libye,Bibliothèque nationale de France
cb43368103w,L'Azione coloniale. Supplemento al. n. 20. 12 juillet 1931,,,,,,texte imprimé,book,0,spa,"Koufra, Oasis de",0,,,https://catalogue.bnf.fr/ark:/12148/cb43368103w,Libye;Koufra,Bibliothèque nationale de France
cb487983023,"L'aventurier des mille salams : 28 ans, un vélo, dix pays d'Afrique du Nord et du Moyen-Orient, 11 350 kilomètres","Mouton, Brice (Auteur du texte)",Les Presses de la Cité (Paris),,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb487983023,Libye,Bibliothèque nationale de France
cb459804563,"La Cirenaica, Il paese e i suoi aspetti nel passato e nel presente. Conferenza tenuta in Roma nell'Aula Magna del Collegio Romano l'11 febbraio 1912","Almagià, Roberto (1884-1962). Auteur du texte",[s.n.] (Roma),,,,texte imprimé,book,0,ita,Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb459804563,Cyrénaïque;Cirenaica,Bibliothèque nationale de France
cb38492304q,La Deuxième Division blindée / OFIC,,,,,,image fixe,photograph,0,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb38492304q,Tripolitaine;Libye;Ghadamès,Bibliothèque nationale de France
cb351699484,"La Libye dans l'antiquité / T. Gostynski,..","Gostynski, T.. Auteur du texte","Librairie Chatr Ahmed, (Marrakech)",,,,texte imprimé,book,0,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb351699484,Libye,Bibliothèque nationale de France
cb472472612,"La Libye, t'en souviens-tu ?","Boccara, Françoise. Auteur du texte",Éditions Amalthée (Vertou),,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb472472612,Libye,Bibliothèque nationale de France
cb46001679g,"La Tripolitaine d'hier et de demain, par H. M. de Mathuisieulx",Mehier de Malhuisieulx. Auteur du texte,,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb46001679g,Tripolitaine,Bibliothèque nationale de France
cb45614057b,La Tripolitaine et la Cyrénaïque : étude historique et ethnographique : avec illustration et carte hors texte / Alexandre Baschmakoff,"Baschmakoff, Alexandre (1859-1943). Auteur du texte",H. Le Soudier (Paris),,,,texte imprimé,book,0,fre,Tripolitaine (Libye) -- Histoire; Cyrénaïque (Libye) -- Histoire,0,,,https://catalogue.bnf.fr/ark:/12148/cb45614057b,Tripolitaine;Cyrénaïque;Libye,Bibliothèque nationale de France
cb318051111,La Tripolitania. Il presente e l'avvenire,"Bersellini, Mario. Auteur du texte",,,,,texte imprimé,book,0,ita,,0,,,https://catalogue.bnf.fr/ark:/12148/cb318051111,Tripolitania,Bibliothèque nationale de France
cb390093954,La famille à Tripoli Asklé / Abbas Alameddine,"Alameddine, Abbas. Auteur du texte",[s. n.],,,,texte imprimé,book,0,fre,Famille -- Tripoli (Liban); Mariage -- Liban; Moeurs et coutumes -- Liban,0,,,https://catalogue.bnf.fr/ark:/12148/cb390093954,Trablus,Bibliothèque nationale de France
cb459853937,"Le Nord-Est Africain. (Egypte, Soudan, Ouganda, Abyssinie, Somalie, Libye.)","Cabaton, Antoine (1863-1942). Auteur du texte",,,,,texte imprimé,book,0,fre,Afrique du Nord-Est,0,,,https://catalogue.bnf.fr/ark:/12148/cb459853937,Libye,Bibliothèque nationale de France
cb473091906,Le chant du grand-duc : roman,"Cervoni, Alain (19..-.... ; romancier). Auteur du texte",l'Harmattan (Paris),,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb473091906,Libye,Bibliothèque nationale de France
cb45998250m,"Le littoral de la Tripolitaine. Commerce, navigation, géographie comparée. Paris, Arthus Bertrand","Élie de La Primaudaie, F.. Auteur du texte",,,,,texte imprimé,book,0,fre,Tripolitaine,0,,,https://catalogue.bnf.fr/ark:/12148/cb45998250m,Tripolitaine,Bibliothèque nationale de France
cb38368987j,"Leclerc, histoire de la 2ème D.B. : reconstituée avec le concours de l'armée / Jean Daurand, Jean-Claude Michel, Claude Dasset, Bernard Labaume, voix (Reproduction numérisée) par Roger Bourgeon, Manuel Poulet, ed. ; Musique originale de Maurice Thiriet","Bourgeon, Roger (1924-2000). Éditeur scientifique; Poulet, Manuel (1921-2017). Éditeur scientifique; Thiriet, Maurice (1906-1972). Compositeur; Hitler, Adolf (1889-1945). Auteur du texte",,,,,enregistrement sonore,sound,0,fre,"Leclerc de Hauteclocque, Philippe (1902-1947); Guerre mondiale (1939-1945) -- Opérations militaires -- Afrique du Nord; Paris (France) -- 1944 (Libération ; Libération)",0,,,https://catalogue.bnf.fr/ark:/12148/cb38368987j,Fezzan;Koufra,Bibliothèque nationale de France
cb303631600,"Monnaies inédites de Cyrénaïque. Attribution à cette contrée de quelques médailles laissées parmi les incertaines, par M. A. Duchalais","Duchalais, Adolphe (1814-1854). Auteur du texte",,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb303631600,Cyrénaïque,Bibliothèque nationale de France
cb46822851p,Nisa' al-rabi` al-`Arabi,"Ghandur, Fatimah","Mayadin lil-?ihafah wa-al-Nashr wa-al-Tadrib (Banghazi, Libiya)",,,,texte imprimé,book,0,ara,,0,,,https://catalogue.bnf.fr/ark:/12148/cb46822851p,Libye,Bibliothèque nationale de France
cb46007101m,Nota sui lavori eseguiti eseguiti dalla sezione tecnica del R. Ufficio fondiario di Bengasi. Section technique de l'Office foncier de Bengasi,"Rio, Enrico del. Auteur du texte",,,,,texte imprimé,book,0,ita,Benghasi -- Délimitation,0,,,https://catalogue.bnf.fr/ark:/12148/cb46007101m,Bengasi,Bibliothèque nationale de France
cb35657038h,Ny Boky maitso / Muammar al-Qathafi ; [trad. de l'arabe],"Qad̲d̲āfī, Muʿammar al- (1942-2011). Auteur du texte","[s.n.], [198- ?] (Madagascar)",,,,texte imprimé,book,0,,Politique et gouvernement -- Libye -- 1969-2011,0,,,https://catalogue.bnf.fr/ark:/12148/cb35657038h,Libye,Bibliothèque nationale de France
cb487475491,O Silêncio Contra Muammar Kadafi : A revolução da Líbia pelo repórter brasileiro que esteve nos calabouços do regime,"Netto, Andrei",Companhia das Letras (São Paulo),,,,texte imprimé,book,0,por,,0,,,https://catalogue.bnf.fr/ark:/12148/cb487475491,Libia,Bibliothèque nationale de France
cb433691541,Oasen und Wege der südlichen Libyschen Wüste / Paul Borchardt,"Borchardt, Paul. Auteur du texte",,,,,texte imprimé,book,0,ger,"Libye, Désert de -- Sud",0,,,https://catalogue.bnf.fr/ark:/12148/cb433691541,Libye,Bibliothèque nationale de France
cb43998029z,"Phaeton, 1683","Lully, Jean-Baptiste (1632-1687). Compositeur",,,,,partition musicale,music,0,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb43998029z,Libye,Bibliothèque nationale de France
cb300545880,"Projet de voyage dans l'intérieur de l'ancienne Cyrénaïque. (Signé : Alex. Barbié Du Bocage, mai 1823.)","Barbié Du Bocage, Alexandre-François (1798-1835). Auteur du texte","impr. d'Éverat ((Paris,))",,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb300545880,Cyrénaïque,Bibliothèque nationale de France
cb33911303n,Publications de la France combattante. N°...,France combattante (Londres). Auteur du texte,,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb33911303n,Fezzan,Bibliothèque nationale de France
cb460474258,Pépinière forestière (Lybie),,[s.n.],,,,image fixe,photograph,0,,Pépinières forestières; Libye,1,btv1b10120338h,https://gallica.bnf.fr/ark:/12148/btv1b10120338h,https://catalogue.bnf.fr/ark:/12148/cb460474258,Libye,Bibliothèque nationale de France
cb339210480,Quaderni di archeologia della Libia...,Italie. Ministero dell'Africa italiana. Éditeur scientifique,Ufficio studi del Ministero dell'Africa italiana (Roma),,,,publication en série imprimée,serial,0,ita,,0,,,https://catalogue.bnf.fr/ark:/12148/cb339210480,Libia,Bibliothèque nationale de France
cb315477642,"Rapport adressé à M. le Ministre de l'Instruction publique et des cultes, par M. J. Vattier de Bourville, Bengasi, 27 mars 1848. [Inscriptions trouvées aux ruines de Cyrène.]","Vattier de Bourville, Joseph (1812-1852). Auteur du texte",,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb315477642,Bengasi,Bibliothèque nationale de France
cb30054589b,"Rapport sur la relation d'un voyage dans la Marmarique, la Cyrénaïque et les oasis d'Audjelah et de Maradèh,... par M. J. R. Pacho,... (Signé : Alex. Barbié Du Bocage.)","Barbié Du Bocage, Alexandre-François (1798-1835). Auteur du texte","impr. d'Éverat ((Paris,))",,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb30054589b,Cyrénaïque,Bibliothèque nationale de France
cb460016784,Rapport sur une mission scientifique en Tripolitaine (Assoc. Hisoc. Histor. Fasc. V),Mehier de Malhuisieulx. Auteur du texte,,,,,texte imprimé,scientific_mission,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb460016784,Tripolitaine,Bibliothèque nationale de France
cb433747791,Recherches préhistoriques au Fezzan et dans la Tripolitaine du Nord / Paolo Graziosi,"Graziosi, Paolo (1906-1988). Auteur du texte",,,,,texte imprimé,book,0,fre,"Préhistoire; Fezzan, Plateau du; Tripolitaine -- Nord",0,,,https://catalogue.bnf.fr/ark:/12148/cb433747791,Tripolitaine;Fezzan;Libye;Tripolitania,Bibliothèque nationale de France
cb472819423,Rigoletto : ou les aventures d'un automate excentrique,"Blanck, Jean-Sébastien (1970-....). Auteur du texte",Alzabane éditions (Clamart),,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb472819423,Cyrénaïque,Bibliothèque nationale de France
cb460029128,"Speleologia Cirenaica. Contributo alla conosanza dalla Cirenaica, con speciale riguardo ai fenomeni delle caverne e carsici. Traduzione del mag. d'Artigl. A. Castagnola... (Gov. della Cirenaica. Ufficio studi. Rapporti e Manogr. Col. sér. 2a n°10, Octobre 1928, XIV + 62 p., 1 carte h.t. au 1/350.000e, 49 phot. et fig. h.t., 2 pl. h.t.)","Mühlhofer, Franz. Auteur du texte",,,,,texte imprimé,book,0,ita,Cyrénaïque -- Spéléologie,0,,,https://catalogue.bnf.fr/ark:/12148/cb460029128,Cyrénaïque;Cirenaica,Bibliothèque nationale de France
cb46012234v,Sur les anciens sites de la Tripolitaine,"Vivien de Saint-Martin, Louis (1802-1896). Auteur du texte",,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb46012234v,Tripolitaine,Bibliothèque nationale de France
cb341939872,"Timbres de guerre du Fezzan, occupation française . [Lettre-préface du général Ingold.]",,"Editions ""Combat"" (Alger)",,,,texte imprimé,book,0,fre,France -- Histoire; Postes -- France (1789-....),0,,,https://catalogue.bnf.fr/ark:/12148/cb341939872,Fezzan,Bibliothèque nationale de France
cb47660085x,Tripolitania in the Roman Empire and beyond,"Mugnai, Niccolo",BILNAS - British Institute for Libyan & Northern African Studies,,,,texte imprimé,book,0,eng,,0,,,https://catalogue.bnf.fr/ark:/12148/cb47660085x,Tripolitania,Bibliothèque nationale de France
cb44740873g,"[Giovannini, Derna ; recueil iconographique]",,,,,,image fixe,photograph,0,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb44740873g,Derna,Bibliothèque nationale de France
cb38797416q,"[Jacques-Denis Delaporte]. ""Caravanes du Fezzan, ou Itinéraire de Tripoli de Barbarie à Mourzouq"", s.d. (4 p.), publié dans le ""Recueil de voyages et de mémoires publié par la Société de géographie"", tome 2, p. 73-75","Delaporte, Jacques-Denis (1777-1861). Auteur du texte",,,,,manuscrit moderne ou document d'archive,archive_manuscript,0,fre,"Tripoli, Pachalik autonome de; Fezzan, Plateau du",1,btv1b10870063v,https://gallica.bnf.fr/ark:/12148/btv1b10870063v,https://catalogue.bnf.fr/ark:/12148/cb38797416q,Fezzan;Libye;Tripoli de Barbarie,Bibliothèque nationale de France
cb387974172,"[Jacques-Denis Delaporte]. ""Nomenclature des villes et villages de la régence de Tripoli de Barbarie"", s.d. (11 p.), publiée dans le ""Recueil de voyages et de mémoires publié par la Société de géographie"", tome 2, p. 76-80","Delaporte, Jacques-Denis (1777-1861). Auteur du texte",,,,,manuscrit moderne ou document d'archive,gazetteer,1,fre,"Noms géographiques; Tripoli, Pachalik autonome de",1,btv1b108700649,https://gallica.bnf.fr/ark:/12148/btv1b108700649,https://catalogue.bnf.fr/ark:/12148/cb387974172,Libye;Tripoli de Barbarie,Bibliothèque nationale de France
cb459341833,"[Monnaie : Monnaie romaine -- Cyrénaïque, Cyrène]",,,,,,monnaie ou médaille,coin,0,,Libye,0,,,https://catalogue.bnf.fr/ark:/12148/cb459341833,Cyrénaïque;Libye,Bibliothèque nationale de France
cb45934184f,"[Monnaie : Monnaie romaine -- Cyrénaïque, Cyrène]",,,,,,monnaie ou médaille,coin,0,,Libye,0,,,https://catalogue.bnf.fr/ark:/12148/cb45934184f,Cyrénaïque;Libye,Bibliothèque nationale de France
cb38797420z,"[Pacifico de Monte Cassino]. ""Relation succinte (sic) de la Pentapole libyque"" s.d. (3 p.), publié dans le ""Recueil de voyages et de mémoires publié par la Société de géographie"", tome 2, p. 28-31",Pacifico de Monte Cassino. Auteur du texte,,,,,manuscrit moderne ou document d'archive,archive_manuscript,0,fre,"Tripoli, Régence de",1,btv1b10870067n,https://gallica.bnf.fr/ark:/12148/btv1b10870067n,https://catalogue.bnf.fr/ark:/12148/cb38797420z,Libye,Bibliothèque nationale de France
cb40358462m,[Recueil. Afrique. Costumes et Moeurs],,,,,,image fixe,photograph,0,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb40358462m,Libye,Bibliothèque nationale de France
cb41870473r,"[Recueil. Portraits d'Ahmed-Bey, prince du Fezzan (XXe s.)]",,,,,,image fixe,photograph,0,,"Sayf al-Nasir, Ahmed (1880-1960) -- Portraits",1,btv1b8527887q,https://gallica.bnf.fr/ark:/12148/btv1b8527887q,https://catalogue.bnf.fr/ark:/12148/cb41870473r,Fezzan,Bibliothèque nationale de France
cb468228521,al-?adiq al-Nayhum : jami` al-mukhtalaf `alayh,"Fituri, Ahmad `Ali","Majmu`at al-Wasat lil-I`lam (Tarabulus, Libya)",,,,texte imprimé,book,0,ara,,0,,,https://catalogue.bnf.fr/ark:/12148/cb468228521,Libye,Bibliothèque nationale de France
cb32607340f,في صحراء ليبيا,"Ḥasanayn, Aḥmad Muḥammad (1889-1946). Auteur du texte",,,,,texte imprimé,book,0,ara,Libye,0,,,https://catalogue.bnf.fr/ark:/12148/cb32607340f,Libye,Bibliothèque nationale de France
cb41750796n,"[Monnaie : Bronze, Cyrénaïque, Capito]",Capito (00..? av. J.-C.-00.. ; duumvir de Cnossos). Autorité émettrice de monnaie,,-0020--0020,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb41750796n,Cyrénaïque,Bibliothèque nationale de France
cb417507970,"[Monnaie : Bronze, Cyrénaïque, Capito]",Capito (00..? av. J.-C.-00.. ; duumvir de Cnossos). Autorité émettrice de monnaie,,-0020--0020,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb417507970,Cyrénaïque,Bibliothèque nationale de France
cb417507959,"[Monnaie : Bronze, Cyrénaïque, Capito]",Capito (00..? av. J.-C.-00.. ; duumvir de Cnossos). Autorité émettrice de monnaie,,-0020--0020,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb417507959,Cyrénaïque,Bibliothèque nationale de France
cb43926600z,"[Monnaie : Octave, denier, Cyrénaïque]",Auguste (0063 av. J.-C.-0014 ; empereur romain). Autorité émettrice de monnaie,,-0027-0014,,,monnaie ou médaille,coin,0,lat,Latium,0,,,https://catalogue.bnf.fr/ark:/12148/cb43926600z,Cyrénaïque,Bibliothèque nationale de France
cb439266019,"[Monnaie : Octave, denier, Cyrénaïque]",Auguste (0063 av. J.-C.-0014 ; empereur romain). Autorité émettrice de monnaie,,-0027-0014,,,monnaie ou médaille,coin,0,lat,Latium,0,,,https://catalogue.bnf.fr/ark:/12148/cb439266019,Cyrénaïque,Bibliothèque nationale de France
cb43926602n,"[Monnaie : Octave, denier, Cyrénaïque]",Auguste (0063 av. J.-C.-0014 ; empereur romain). Autorité émettrice de monnaie,,-0027-0014,,,monnaie ou médaille,coin,0,lat,Latium,0,,,https://catalogue.bnf.fr/ark:/12148/cb43926602n,Cyrénaïque,Bibliothèque nationale de France
cb439266030,"[Monnaie : Octave, denier, Cyrénaïque]",Auguste (0063 av. J.-C.-0014 ; empereur romain). Autorité émettrice de monnaie,,-0027-0014,,,monnaie ou médaille,coin,0,lat,Latium,0,,,https://catalogue.bnf.fr/ark:/12148/cb439266030,Cyrénaïque,Bibliothèque nationale de France
cb43926596j,"[Monnaie : Octave, denier, Cyrénaïque]",Auguste (0063 av. J.-C.-0014 ; empereur romain). Autorité émettrice de monnaie,,-0027-0014,,,monnaie ou médaille,coin,0,lat,Latium,0,,,https://catalogue.bnf.fr/ark:/12148/cb43926596j,Cyrénaïque,Bibliothèque nationale de France
cb43926599k,"[Monnaie : Octave, denier, Cyrénaïque]",Auguste (0063 av. J.-C.-0014 ; empereur romain). Autorité émettrice de monnaie,,-0027-0014,,,monnaie ou médaille,coin,0,lat,Latium,0,,,https://catalogue.bnf.fr/ark:/12148/cb43926599k,Cyrénaïque,Bibliothèque nationale de France
cb43926597w,"[Monnaie : Octave, quinaire, Cyrénaïque]",Auguste (0063 av. J.-C.-0014 ; empereur romain). Autorité émettrice de monnaie,,-0027-0014,,,monnaie ou médaille,coin,0,lat,Latium,0,,,https://catalogue.bnf.fr/ark:/12148/cb43926597w,Cyrénaïque,Bibliothèque nationale de France
cb439265987,"[Monnaie : Octave, quinaire, Cyrénaïque]",Auguste (0063 av. J.-C.-0014 ; empereur romain). Autorité émettrice de monnaie,,-0027-0014,,,monnaie ou médaille,coin,0,lat,Latium,0,,,https://catalogue.bnf.fr/ark:/12148/cb439265987,Cyrénaïque,Bibliothèque nationale de France
cb417507808,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb417507808,Cyrénaïque,Bibliothèque nationale de France
cb41750781m,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb41750781m,Cyrénaïque,Bibliothèque nationale de France
cb41750782z,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb41750782z,Cyrénaïque,Bibliothèque nationale de France
cb417507839,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb417507839,Cyrénaïque,Bibliothèque nationale de France
cb41750784n,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb41750784n,Cyrénaïque,Bibliothèque nationale de France
cb417507850,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb417507850,Cyrénaïque,Bibliothèque nationale de France
cb417507761,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb417507761,Cyrénaïque,Bibliothèque nationale de France
cb41750786b,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb41750786b,Cyrénaïque,Bibliothèque nationale de France
cb41750777c,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb41750777c,Cyrénaïque,Bibliothèque nationale de France
cb41750778q,"[Monnaie : Bronze, Cyrène ? Cyrénaïque, Scato]","Scato (00.. av. -J.-C.-00.. ; proconsul). Magistrat monétaire; Atelier monétaire antique (Cyrène, Cyrénaïque). Monétaire",,-0031-0014,,,monnaie ou médaille,coin,0,grc,Numismatique grecque; Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb41750778q,Cyrénaïque,Bibliothèque nationale de France
