record_ark,title,authors,publisher,publication_date,year,era,document_type,document_class,is_data_source,language,subjects,is_digitised,gallica_ark,gallica_url,catalogue_url,found_by,holding_institution
cb45991588f,"Culture et industrie du coton aux Etats-Unis. (Rapports commerciaux des agents diplomatiques et consulaires de France. Année 1903, n° 208. Missions spéciales. Supplément au Moniteurs officiel du Commerce du 5 fevr., 1904, 48 p.)","Foex, H.. Auteur du texte",,,,,texte imprimé,trade_returns,1,fre,Coton -- États-Unis,0,,,https://catalogue.bnf.fr/ark:/12148/cb45991588f,Rapports commerciaux des agents consulaires de France,Bibliothèque nationale de France
cb433763600,"Institut de recherches sahariennes de l'Université d'Alger. Mission scientifique de Fezzân, 1944-1945",,,,,,texte imprimé,scientific_mission,1,fre,"Fezzan, Plateau du -- Sud; Kaouar, Oasis du; Tibesti, Massif du; Sahara, Désert du",0,,,https://catalogue.bnf.fr/ark:/12148/cb433763600,Fezzan;Libye,Bibliothèque nationale de France
cb460016784,Rapport sur une mission scientifique en Tripolitaine (Assoc. Hisoc. Histor. Fasc. V),Mehier de Malhuisieulx. Auteur du texte,,,,,texte imprimé,scientific_mission,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb460016784,Tripolitaine,Bibliothèque nationale de France
cb387974172,"[Jacques-Denis Delaporte]. ""Nomenclature des villes et villages de la régence de Tripoli de Barbarie"", s.d. (11 p.), publiée dans le ""Recueil de voyages et de mémoires publié par la Société de géographie"", tome 2, p. 76-80","Delaporte, Jacques-Denis (1777-1861). Auteur du texte",,,,,manuscrit moderne ou document d'archive,gazetteer,1,fre,"Noms géographiques; Tripoli, Pachalik autonome de",1,btv1b108700649,https://gallica.bnf.fr/ark:/12148/btv1b108700649,https://catalogue.bnf.fr/ark:/12148/cb387974172,Libye;Tripoli de Barbarie,Bibliothèque nationale de France
cb38796834h,"A. J. B. L. Marcescheau, vice-consul de France à Tunis, envoie une note sur le commerce de Ghadamès avec Tombouctou, Tunis, 23 mai 1826","Marcescheau, Armand Jean Baptiste Louis. Auteur du texte",,1826,1826,ottoman,manuscrit moderne ou document d'archive,trade_returns,1,fre,"Afrique occidentale; Tripoli, Pachalik autonome de; Sahara, Désert du; Tombouctou; Société de géographie (France)",1,btv1b10869254f,https://gallica.bnf.fr/ark:/12148/btv1b10869254f,https://catalogue.bnf.fr/ark:/12148/cb38796834h,Libye;Ghadamès,Bibliothèque nationale de France
cb41331083h,Annales du commerce extérieur. Turquie. Législation commerciale / Ministère de l'agriculture et du commerce,France. Ministère du commerce. Auteur du texte,Impr. P. Dupont (Paris),1845-1914,1845,ottoman,publication en série imprimée,trade_returns,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb41331083h,Tripoli de Barbarie,Bibliothèque nationale de France
cb31446721c,"Notice statistique et commerciale sur la régence de Tripoli de Barbarie, par le Ch. E. Testa,...","Testa, Emilius Franciscus Eliodorus. Auteur du texte",M. Nijhoff (La Haye),1856,1856,ottoman,texte imprimé,statistical_abstract,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb31446721c,Tripoli de Barbarie,Bibliothèque nationale de France
cb34447967w,Bulletin consulaire français : recueil des rapports commerciaux adressés au Ministère des affaires étrangères par les agents diplomatiques de France à l'étranger,France. Ministère du commerce. Auteur du texte,[s.n.] (Paris),1877-1891,1877,ottoman,publication en série imprimée,trade_returns,1,fre,,1,cb34447967w,https://gallica.bnf.fr/ark:/12148/cb34447967w/date,https://catalogue.bnf.fr/ark:/12148/cb34447967w,Bulletin consulaire français,Bibliothèque nationale de France
cb32717435h,*Bulletin consulaire français : recueil des rapports commerciaux adressés au Ministère des affaires étrangères par les agents diplomatiques de France à l'étranger,,,1877-1914,1877,ottoman,publication en série imprimée,trade_returns,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb32717435h,Bulletin consulaire français,Bibliothèque nationale de France
cb34447966j,Rapports commerciaux des agents diplomatiques et consulaires de France / publiés par le Ministère des affaires étrangères et le Ministère du commerce et de l'industrie,France. Ministère du commerce et de l'industrie (1881-1894). Auteur du texte; France. Ministère des affaires étrangères (1588-2007). Auteur du texte,[s.n.] (Paris),1892-1914,1892,ottoman,publication en série imprimée,trade_returns,1,fre,,1,cb34447966j,https://gallica.bnf.fr/ark:/12148/cb34447966j/date,https://catalogue.bnf.fr/ark:/12148/cb34447966j,Rapports commerciaux des agents consulaires de France,Bibliothèque nationale de France
cb46001677s,"Rapport sur une mission scientifique en Tripolitaine (Nouv. Archives des Missions scientifiques, T. X)","Mehier de Malhuisieulx, H.. Auteur du texte",imp. nat. (Paris),1902,1902,ottoman,texte imprimé,scientific_mission,1,fre,Tripolitaine -- 1902,0,,,https://catalogue.bnf.fr/ark:/12148/cb46001677s,Tripolitaine,Bibliothèque nationale de France
cb309194968,"Rapport sur une mission scientifique en Tripolitaine / par M. H. Méhier de Mathuisieulx,...","Méhier de Mathuisieulx, Henri (1860-19..). Auteur du texte / Autrice du texte",Impr. nationale (Paris),1904,1904,ottoman,texte imprimé,scientific_mission,1,fre,,1,bpt6k84117k,https://gallica.bnf.fr/ark:/12148/bpt6k84117k,https://catalogue.bnf.fr/ark:/12148/cb309194968,Tripolitaine,Bibliothèque nationale de France
cb30919497m,"Rapport sur une mission scientifique en Tripolitaine / par M. H. Méhier de Mathuisieulx,...","Méhier de Mathuisieulx, Henri (1860-19..). Auteur du texte",Impr. nationale (Paris),1905,1905,ottoman,texte imprimé,scientific_mission,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb30919497m,Tripolitaine,Bibliothèque nationale de France
cb31089602p,Rapport sur une mission scientifique dans l'extrême-sud tunisien (frontière tuniso tripolitaine) / L. Pervinquière,"Pervinquière, Léon (1873-1913). Auteur du texte",Impr. centrale (Tunis),1912,1912,italian,texte imprimé,scientific_mission,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb31089602p,Tripolitaine,Bibliothèque nationale de France
