record_ark,title,authors,publisher,publication_date,year,era,document_type,document_class,is_data_source,language,subjects,is_digitised,gallica_ark,gallica_url,catalogue_url,found_by,holding_institution
cb41323590f,Annales du commerce extérieur. Tripolitaine. Législation commerciale / Ministère du commerce et de l'industrie,France. Ministère du commerce et de l'industrie (1906-1913). Auteur du texte,Imprimerie nationale (Paris),1912-1912,1912,italian,publication en série imprimée,trade_returns,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb41323590f,Tripolitaine;Annales du commerce extérieur (Tripolitaine),Bibliothèque nationale de France
cb344384008,"Statistica del movimento commerciale marittimo dell' Eritrea, della Somalia italiana, della Tripolitania e della Cirenaica e del movimento commerciale carovaniero dell' Eritrea e movimento della navigazione marittima delle quattro colonie... / Ministero delle colonie, Ufficio studi e propaganda",Italie. Ministero delle colonie. Auteur du texte,Istituto poligrafico dello stato (Roma),1923,1923,italian,publication en série imprimée,statistical_abstract,1,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb344384008,Tripolitania;Cirenaica,Bibliothèque nationale de France
cb327143821,Bollettino geografico,,[s.n.?] (Tripoli),1931-1936,1931,italian,publication en série imprimée,official_serial,1,ita,,0,,,https://catalogue.bnf.fr/ark:/12148/cb327143821,Libye;Libia;Tripolitania;Cirenaica;Bengasi,Bibliothèque nationale de France
cb327142299,"Bollettino del Reale Ufficio per i servizi agrari della Tripolitània. [""puis"" Pubblicazione mensile.]",,[s.n.?] (Tripoli),1932-1936,1932,italian,publication en série imprimée,official_serial,1,ita,,0,,,https://catalogue.bnf.fr/ark:/12148/cb327142299,Libye;Tripolitania,Bibliothèque nationale de France
cb43374379x,Relazione della missione demografica del Comitato italiano per lo studio dei problemi della popolazione in Tripolitania (23 febraio-16 marzo 1933) / Corrado Gini,"Gini, Corrado (1884-1965). Auteur du texte",,1933,1933,italian,texte imprimé,population_census,1,ita,Tripolitaine,0,,,https://catalogue.bnf.fr/ark:/12148/cb43374379x,Tripolitaine;Libye;Tripolitania,Bibliothèque nationale de France
cb317888324,"Mission scientifique du Fezzân , 1944-1945. II. Contribution à l'étude de l'hydrogéologie de la cuvette fezzanaise, par Pierre Bellair,...","Bellair, Pierre (1910-1983). Auteur du texte",,1944-1945,1944,allied_administration,texte imprimé,scientific_mission,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb317888324,Fezzan;Mission scientifique du Fezzan,Bibliothèque nationale de France
cb323592289,"Mission scientifique du Fezzân, 1944-1945. Anthropologie et ethnologie , par le Dr M. E. Leblanc,...","Leblanc, M.-E. (Dr). Auteur du texte",,1944-1945,1944,allied_administration,texte imprimé,scientific_mission,1,fre,Mursuk; Anthropologie. Ethnologie. Fézzan,0,,,https://catalogue.bnf.fr/ark:/12148/cb323592289,Fezzan;Libye;Mission scientifique du Fezzan,Bibliothèque nationale de France
cb320236562,"Mission scientifique du Fezzân , 1944-1945. III. Géographie humaine, par J. Despois,...","Despois, Jean (1901-1978). Auteur du texte",,1946,1946,allied_administration,texte imprimé,scientific_mission,1,fre,"Fezzan, Plateau du; Géographie Humaine. Fezzan",0,,,https://catalogue.bnf.fr/ark:/12148/cb320236562,Fezzan;Libye;Mission scientifique du Fezzan,Bibliothèque nationale de France
cb32308180v,"Mission scientifique du Fezzân , 1944-1945. IV. Biologie végétale au Fezzân, par Charles Killian,...","Killian, Charles (1887-1957). Auteur du texte",,1947,1947,allied_administration,texte imprimé,scientific_mission,1,fre,"Fezzan, Plateau du; Végétation. Fezzân",0,,,https://catalogue.bnf.fr/ark:/12148/cb32308180v,Fezzan;Libye;Mission scientifique du Fezzan,Bibliothèque nationale de France
cb324606216,Mission scientifique du Fezzan 1944-1945,"Dalloni, Marius (1880-1959). Auteur du texte; Monod, Théodore (1902-2000). Auteur du texte; Institut de recherches sahariennes (Alger). Auteur du texte",impr. de Imbert (Alger),1948,1948,allied_administration,texte imprimé,scientific_mission,1,fre,"Fezzan, Plateau du",0,,,https://catalogue.bnf.fr/ark:/12148/cb324606216,Fezzan;Libye;Mission scientifique du Fezzan,Bibliothèque nationale de France
cb43381660t,"Mission scientifique du Fezzan, 1944-1945. V. Zoologie / par F. Bernard,... et P. de Peyerimhoff,...","Bernard, F.. Auteur du texte; Peyerimhoff, P. de. Auteur du texte",impr. de Imbert (Alger),1948,1948,allied_administration,texte imprimé,scientific_mission,1,fre,"Fezzan, Plateau du",0,,,https://catalogue.bnf.fr/ark:/12148/cb43381660t,Fezzan;Libye;Mission scientifique du Fezzan,Bibliothèque nationale de France
cb339530483,"Mission scientifique du Fezzân, 1944-1945. 5. Zoologie, par F. Bernard,... et P / de Peyerimhoff,...","Peyerimhoff, Paul de (1873-1957). Auteur du texte; Bernard, F.. Auteur du texte; Institut de recherches sahariennes (Alger). Auteur du texte",P. Lechevalier (Paris),1948,1948,allied_administration,texte imprimé,scientific_mission,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb339530483,Fezzan;Mission scientifique du Fezzan,Bibliothèque nationale de France
cb43368683r,"Mission scientifique du Fezzân, 1944-1945. V. Zoologie / par F. Bernard,... et P. de Peyerimhoff,...","Bernard, F.. Auteur du texte; Peyerimhoff, P. de. Auteur du texte",impr. de Imbert (Alger),1948,1948,allied_administration,texte imprimé,scientific_mission,1,fre,"Fezzan, Plateau du; Fezzân. mission scientifique. Zoologie. 1944-1945",0,,,https://catalogue.bnf.fr/ark:/12148/cb43368683r,Fezzan;Libye;Mission scientifique du Fezzan,Bibliothèque nationale de France
cb43371458h,"Mission scientifique du Fezzân, 1944-1945. VI. Géologie et préhistoire, Fezzân méridional Kaouar et Tibesti / par M. Dalloni,... et Th. Monod,...","Dalloni, Marius (1880-1959). Auteur du texte; Monod, Théodore (1902-2000). Auteur du texte",impr. de Imbert (Alger),1948,1948,allied_administration,texte imprimé,scientific_mission,1,fre,"Sahara, Désert du -- Est; Fezzan, Plateau du; Mission scientifique. Fezzân; Géologie. Préhistoire",0,,,https://catalogue.bnf.fr/ark:/12148/cb43371458h,Fezzan;Libye;Mission scientifique du Fezzan,Bibliothèque nationale de France
cb41111970w,"Statistical abstract of Libya 1958-1974 ([Reproduction]) United Kingdom of Libya, Ministry of national economy, Census and statistical department",Libye. Census and statistical department. Auteur du texte,Chadwyck-Healey Ltd (Cambridge),1958-1974,1958,kingdom,texte imprimé,statistical_abstract,1,eng,Conditions économiques -- Libye; Conditions sociales -- Libye; Libye,0,,,https://catalogue.bnf.fr/ark:/12148/cb41111970w,Libye,Bibliothèque nationale de France
cb34817471t,"General population census 1954 : report and tables / Ministry of national economy, Department of census and statistics",Libye. Census and statistical department. Auteur du texte,Inter documentation company (Zug (Suisse)),1959,1959,kingdom,texte imprimé,population_census,1,eng,Recensement -- Libye (1954); Population -- Libye -- 1945-1970,0,,,https://catalogue.bnf.fr/ark:/12148/cb34817471t,Libye,Bibliothèque nationale de France
cb343495584,Annuaire de l'Afrique du Nord,"Institut de recherches et d'études sur le monde arabe et musulman (Aix-en-Provence, Bouches-du-Rhône). Auteur du texte",CNRS (Paris),1964-2005,1964,kingdom,publication en série imprimée,official_serial,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb343495584,Libye,Bibliothèque nationale de France
cb34473532s,"L'Annuaire du grand Maghreb arabe : administratif, économique, social et culturel..., avec index général des activités dans les quatre pays Libye, Tunisie, Algérie, Maroc / ed. Moufdi Zakaria","Zakariyyā, Mufdī (1908-1977). Rédacteur",[s.n.] (Tunis),1965,1965,kingdom,publication en série imprimée,official_serial,1,mul,,0,,,https://catalogue.bnf.fr/ark:/12148/cb34473532s,Libye,Bibliothèque nationale de France
cb34227825x,Collection Études de l'Annuaire de l'Afrique du Nord,"Centre de recherches et d'études sur les sociétés méditerranéennes (Aix-en-Provence, Bouches-du-Rhône). Auteur du texte",Centre national de la recherche scientifique (Paris),1978,1978,jamahiriya,publication en série imprimée,official_serial,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb34227825x,Libye,Bibliothèque nationale de France
cb39431540s,Statistique sur le commerce de Benghazi (1828),"Piazza, Calogero (1948-2005). Auteur du texte",,1986,1986,jamahiriya,texte imprimé,statistical_abstract,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb39431540s,Benghazi,Bibliothèque nationale de France
cb345416533,L'Annuaire de la Méditerranée / Groupement d'études et de recherches sur la Méditerranée,Groupement d'études et de recherches sur la Méditerranée (Maroc). Auteur du texte,GERM (Rabat),1996,1996,jamahiriya,publication en série imprimée,official_serial,1,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb345416533,Libye,Bibliothèque nationale de France
cb36596361d,Annuaire média du Maghreb : l'outil de référence des professionnels et des partenaires euro-maghrébins / [resp. publ. Mohamed Abassa],,Institut Abassa (Issy-les-Moulineaux),1998-199?,1998,jamahiriya,publication en série imprimée,official_serial,1,fre,Périodiques algériens; Périodiques marocains; Périodiques tunisiens; Médias -- Afrique du Nord; Publicité -- Afrique du Nord,0,,,https://catalogue.bnf.fr/ark:/12148/cb36596361d,Libye,Bibliothèque nationale de France
cb34224126m,"Population census paper / Kingdom of Libya, Ministry of economy and trade, Census and statistical department",Libye. Census and statistical department. Auteur du texte,Inter documentation company (Zug (Suisse)),19??,,,publication en série imprimée,population_census,1,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb34224126m,Libye,Bibliothèque nationale de France
cb34435827p,Statistical abstract (Tripoli),Libye. Census and statistical department. Auteur du texte,Census and statistical department (Tripoli),19??,,,publication en série imprimée,statistical_abstract,1,mul,,0,,,https://catalogue.bnf.fr/ark:/12148/cb34435827p,Libye,Bibliothèque nationale de France
cb39031559h,Statistical abstract of Libya / [Census & statistical dept],Libye. Census and statistical department. Auteur du texte,Congressional information service (Bethesda (Md.)),19??,,,publication en série imprimée,statistical_abstract,1,eng,Conditions économiques -- Libye; Conditions sociales -- Libye; Libye,0,,,https://catalogue.bnf.fr/ark:/12148/cb39031559h,Libye,Bibliothèque nationale de France
cb32714228z,*Bollettino del Reale Ufficio per i servizi agrari della Tripolitània,,,1???,,,publication en série imprimée,official_serial,1,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb32714228z,Tripolitania,Bibliothèque nationale de France
cb47264693g,"Dictionnaire géographique de l'Afrique médiévale / Yāqūt, al-Qazwīnī et al-Himyarī ; [édité par] Jean-Charles Ducène et Virginie Prevost","Ḥamawī, Yāqūt ibn ʿAbd Allāh al-Rūmī al- (1179-1229). Auteur du texte; Qazwīnī, Zakariyyā ibn Muḥammad ibn Maḥmūd al- (1203-1283). Auteur du texte; Ibn ʿAbd al-Munʿim al-Ḥimyarī, Muḥammad. Auteur du texte",Éditions de la Sorbonne (Paris),2023,2023,post_2011,texte imprimé,gazetteer,1,fre,Géographie historique -- Afrique; Afrique -- Jusqu'à 1498,0,,,https://catalogue.bnf.fr/ark:/12148/cb47264693g,Libye,Bibliothèque nationale de France
cb348174725,The General population census 1964 / [Census and statistical department],Libye. Census and statistical department. Auteur du texte,Inter documentation company (Zug (Suisse)),XXXX,,,texte imprimé,population_census,1,eng,Recensement -- Libye (1964); Population -- Libye -- 1945-1990,0,,,https://catalogue.bnf.fr/ark:/12148/cb348174725,Libye,Bibliothèque nationale de France
cb34817473h,"The Labour force of Libya / Kindgom of Libya, Ministry of economy and trade, census and statistical department",Libye. Census and statistical department. Auteur du texte,Inter documentation company (Zug (Suisse)),XXXX,,,texte imprimé,population_census,1,eng,Marché du travail -- Libye -- 1945-1990; Travailleurs -- Libye -- 1945-1990; Population active -- Libye -- 1945-1990,0,,,https://catalogue.bnf.fr/ark:/12148/cb34817473h,Libye,Bibliothèque nationale de France
