entity_id,name,schema,is_person,is_organisation,libya_link,libya_link_evidence,collection,is_target,countries,country_is_libya_only,topics,office_topics,is_pep,is_relative_or_associate,is_diplomat,is_judge,is_oligarch,is_sanctioned,is_sanction_linked,is_counter_sanctioned,is_export_controlled,is_person_of_interest,is_head_of_state_or_government,is_criminal_designation,gov_branch,is_libyan_official,offices_held,office_names,birth_date,death_date,birth_place,address_text,position_text,aliases,shabiya_ar,shabiya_en,shabiya_pcode,place_source,place_matched_on,place_matched_level,place_matched_script,datasets,first_seen,last_seen,source_urls,degree,component,component_size,betweenness
NK-26aLUdNdrvaLZphX6xQrr5,MANABEA THARWAT AL-JANOOB GENERAL TRADING COMPANY LLC,Company,0,1,tie_via_multicountry_hub,UnknownLink:NK-ipVrFZf7o3drYzB3jPB6tu,sanctions,1,iq,0,poi;crime.terror;export.control;sanction,,0,0,0,0,0,1,0,0,1,1,0,1,,0,0,,,,,"Al Jadriya District, Baghdad; Al Jadriya District Baghdad Iraq; Baghdad, Iraq",,"South Wealth Resources Ltd.; SWRC; Shirkat Manabi' Tharawat Al-Janub Liltijarah Al-'Ammah; Manabea Tharwat Al-Janoob General Trading Company, LLC; SOUTH WEALTH RESOURCES LTD; SOUTH WEALTH RESOURCES COMPANY",,,,,,,,us_ofac_sdn;sa_pcct_terrorism_list;tw_shtc;us_trade_csl;us_fincen_special_measures,2023-04-20,2026-09-12,https://www.fincen.gov/system/files/shared/2019-23697.pdf https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26861,1,0,217,0.0
NK-28DYyZtuHyHDr3Gk7spEQM,Fars News Agency,Organization,0,1,tie_via_multicountry_hub,Representation:NK-ipVrFZf7o3drYzB3jPB6tu,sanctions,1,ir,0,export.control;sanction,,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,,,,,"Number 1, Shahrood Alley, Ferdowsi Square Tehran 115999346717 Iran; Tehran, Number 1, Shahrood Alley, Ferdowsi Square, 115999346717",,مؤسسه فرهنگی خبرگزاری فارس; Fars News Agency Cultural Institute; خبرگزاری فارس,,,,,,,,us_ofac_sdn;ca_dfatd_sema_sanctions;tw_shtc;us_trade_csl,2023-09-15,2026-09-12,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=45049,1,0,217,0.0
NK-2MS7jsniKXBFQqiFLMF5Fm,AHMED ABD AL-JALEEL AL-HASNAWI,Person,1,0,country_tagged,country,sanctions,1,ly,1,sanction;crime.terror,,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,,,,ليبيا,"حي الشارب, أوباري, ليبيا",,,وادي الحياة,Wadi al Hayaa,LY0320,address,أوباري,baladiya,arabic,ae_local_terrorists;sa_pcct_terrorism_list,2023-09-14,2026-09-12,,1,2,5,0.0
NK-2drCZto8yyroWNb6TMraip,Prime Minister,Position,0,0,country_tagged,country,peps,0,ly,1,gov.head;gov.national,,0,0,0,0,0,0,0,0,0,0,1,0,head;national,0,0,,,,,,,,,,,,,,,us_cia_world_leaders;ann_pep_positions,2023-08-16,2026-09-12,,0,15,1,0.0
NK-2eixRqePmhfxn4rpXFL5J4,Qingdao Premier Technology Co Ltd,Organization,0,1,tie_via_multicountry_hub,UnknownLink:NK-ipVrFZf7o3drYzB3jPB6tu,sanctions,1,cn,0,export.control;sanction,,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,,,,,"Room 1101, Building 3, No. 130, Jiushui East Road, Licang District, 266000 Shandong; Room 1101, Building 3, No. 130, Jiushui East Road, Licang District Qingdao Shandong 266000 China",,,,,,,,,,us_ofac_sdn;tw_shtc;us_trade_csl,2025-05-14,2026-09-12,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=54153,1,0,217,0.0
NK-36BimqBDqNvZyXA6dxrZFu,Ansar Bank Brokerage Company,Organization,0,1,tie_via_multicountry_hub,UnknownLink:NK-ipVrFZf7o3drYzB3jPB6tu,sanctions,1,ir,0,crime.terror;export.control;sanction,,0,0,0,0,0,1,0,0,1,0,0,1,,0,0,,,,,Iran,,PAR GOSTAR KHOBREH,,,,,,,,us_ofac_sdn;sa_pcct_terrorism_list;tw_shtc;us_trade_csl,2023-04-20,2026-09-12,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26528,1,0,217,0.0
NK-3G6TirGHw2TJQDFFZ7Uv7M,Bahman Diesel Co.,Organization,0,1,tie_via_multicountry_hub,UnknownLink:NK-ipVrFZf7o3drYzB3jPB6tu,sanctions,1,ir,0,export.control;sanction,,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,,,,,"No. 279, 13th Km of Karaj Makhsoos Rd. Tehran 13999-39711 Iran; Tehran, No. 279, Kilometer 13, Shahid Lashgari Highway; 10th Hekmat Ave., North Ebn-e Sina St., Alborz Industrial City Qazvin 343151456 Iran",,,,,,,,,,us_ofac_sdn;tw_shtc;us_trade_csl,2024-04-18,2026-09-12,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=48625,1,0,217,0.0
NK-3H4SATNbUHJBsFEZHjB8eT,Hurras al-Din,Organization,0,1,tie_via_multicountry_hub,Representation:NK-kmyqJUK4SheACowgKdJ95U,sanctions,1,sy,0,crime.terror;export.control;sanction,,0,0,0,0,0,1,0,0,1,0,0,1,,0,0,,,,,Syria,,Huras-al-Din; Al-Qaida en Syrie; Sham Al-Ribat; Sham al-Ribat; Tandhim Hurras al-Deen; Guardians of Religion; Hurras al-Deen; Al-Qaida in Syria,,,,,,,,us_ofac_sdn;au_listed_terrorist_orgs;tw_shtc;fr_tresor_gels_avoir;eu_fsf;us_trade_csl;jo_sanctions;au_dfat_sanctions;be_fod_sanctions;mc_fund_freezes;md_terror_sanctions,2022-04-27,2026-09-12,https://sanctions.amlu.gov.jo/EN/List/National1_List https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27318 https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4766,1,9,2,0.0
NK-3MfQWRpv5SmXALt6gxHqFA,Mansur Ravankar,Person,1,0,tie_via_multicountry_hub,Representation:NK-ipVrFZf7o3drYzB3jPB6tu,sanctions,1,ir,0,crime.terror;export.control;sanction,,0,0,0,0,0,1,0,0,1,0,0,1,,0,0,,,,,Iran,,"RAVANKAR, Mansour; Mansour Ravankar",,,,,,,,us_ofac_sdn;sa_pcct_terrorism_list;tw_shtc;us_trade_csl,2023-04-20,2026-09-12,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26939,1,0,217,0.0
NK-3WypzcsPwhiNPjQTGf4y6d,Abd al Hadi Zarqun,Person,1,0,country_tagged,country,sanctions,1,ly,1,export.control;sanction,,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,,1983,,"Sirte, Libya",Libya,,"Abd al-Hadi Zarqun al-Warfalli; ZARQUN, 'Abd Al-Hadi Al-Husayn Al-Shaybani; Abd-al-Hadi Al Husayn Al Shabani Zarqun; AL-WARFALI, Abdelhadi al-Hussain Zargoun; Abdulhadi Zargon; ZARGUN, Abd-al-Hadi; Abdelhadi al-Hussain Zargoun al-Warfali; AL-WARFALLI, Abd al-Hadi Zarqun",سرت,Sirte,LY0208,birth_place,sirte,shabiya,latin,us_ofac_sdn;tw_shtc;us_trade_csl,2023-04-20,2026-09-12,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21204,1,4,4,0.0
