address_id,full,city,region,country,latitude,longitude,shabiya_ar,shabiya_en,shabiya_pcode,matched_level,matched_script,matched_on
addr-e2052cc50082b03d76e26e8e03f27ad9a5199267,Benghazi,Benghazi,,ly,,,بنغازي,Benghazi,LY0103,shabiya,latin,benghazi
addr-e37a62eaab1cea757256fb23ec99368b4477ce2d,Zuwarah,,,ly,,,النقاط الخمس,Nuqat al Khams,LY0215,romanisation,latin,zuwarah
addr-eb10cd11b177d59a32a71e05690c39d5d295bb18,Tripoli,Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
addr-f2854d8473af15a8c03017dce259ee3fb370d241,Benghazi,Benghazi,,ly,,,بنغازي,Benghazi,LY0103,shabiya,latin,benghazi
addr-f475fd65c72a6c49929adc1458a4ffe9ed78094c,"أجدابيا, ليبيا",أجدابيا,,ly,,,الواحات,Al Wahat,LY0105,romanisation,arabic,أجدابيا
addr-f7f82e645df771c0f858aca51ae3b8733114ae50,Sabratha,Sabratha,,ly,,,النقاط الخمس,Nuqat al Khams,LY0215,romanisation,latin,sabratha
NK-2Cg8zxtwVuQ3RhhsdnEXQv,リビア（判明している最新の住所）,,,,,,,,,,,
NK-3bZ45qYvuFaabzNSrvr7F2,"Tehran, Eastern 14th St., Beihaghi Blvd., Arjantin Sq., IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-3uFrvmydeH4xbcsukb8Fxw,"22, Rue Henri-Mussard, Geneva, 1208, Switzerland",,,,,,,,,,,
NK-4iLBpG577Z2sSbPRvse5HY,リビア（過去に所在）,,,,,,,,,,,
NK-5w8eKyxUCodt6Ff9LqVZ8u,"No 18 Iranian Building, 14th Alley, Ahmad Qassir Street, Argentina Square, Tehran Iran",,,,,,,,,,,
NK-6PjiSbbHgQJEU75jChExXg,"Sanaa, Yemen",Sana’a,,ye,,,,,,,,
NK-6VCY85rrTGWju2qgDgG2Dq,"60 Rue de la Libye, Hammam Lif, Tunisia","Hammam Lif, Ben Arous",Ben Arous,tn,,,,,,,,
NK-7aXyjgveG2rySHMeugvdNC,"Tehran, Opposite to Golestan Np. 7, Bldg. No 110, Suite No 5, Pasdaran Street, IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-7fDe5R4JuSHXjYYBpdXaPB,"Tehran, No 47, East 18th Street, Farhang Boulevard, Sa’adat Abad, 1997857976, Iran",Tehran,,ir,,,,,,,,
NK-7q8ohnLS7WafWdduSBFZWW,Syria,,,sy,,,,,,,,
NK-7rMcvnTiwtLYXjBSughv8A,"No. 2 Firouzeh Alley, Shahid Hadjipour St., Resalat Highway, Tehran, Iran",Tehran,,ir,,,,,,,,
