issue_id,issue_number,issue_year,issue_date,page,decision_kind,issuing_body,decision_number,decision_year,subject,act_ar,act_en,is_appointment,signed_gregorian,signed_hijri,issued_at,issued_at_shabiya_ar,issued_at_shabiya_en,issued_at_shabiya_pcode,office_scope,office_shabiya_ar,office_shabiya_en,office_shabiya_pcode,office_place_matched_on,publishing_authority,source_document,source_sha256,printed_in_issues
28290,7,,2023-04-16,2,قانون,,4,2020,,,,0,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,الجريدة الرسمية _ العدد السابع,f5df13233e3236bdc5d83926b12166ffbf16253487565e070c3d65e74f3c75f6,1
28291,6,,2023-04-11,2,قانون,,02,2018,اجلامعات,,,0,,,طربق,البطنان,Butnan,LY0104,national,,,,,House of Representatives,الجريدة الرسمية _ العدد السادس,d4914b98012348be6f8f83889f37bad625184c9976375f8c1fa28f777ff7539c,1
28521,8,,2023-04-16,3,قانون,,6,2023,إعادة تنظيم جهاز األمن الداخلي,,,0,,,,,,,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية,fe4ed7d0be7483f53ce07a53617c8404e7d95704eacec431671768bf847405d7,2
28521,8,,2023-04-16,22,قانون,,7,2023,تعديل أحكام القانون رقم (23) لسنة 2010م بشأن النشاط التجاري,,,0,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية,fe4ed7d0be7483f53ce07a53617c8404e7d95704eacec431671768bf847405d7,2
29012,9,,2023-07-05,3,قانون,,10,2023,التحكيم التجاري الليبي,,,0,2023-04-17,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,الجريدة الرسمية _ العدد التاسع _ يوليو 2023 م,8d737575a5c5f086a7a55640b7d938a2fda3486fe83a2a27995c5c1e738c75a5,1
29012,9,,2023-07-05,24,قانون,,11,2023,تعديل القانون رقم (5) لسنة 2018م,,,0,,,,,,,national,,,,,House of Representatives,الجريدة الرسمية _ العدد التاسع _ يوليو 2023 م,8d737575a5c5f086a7a55640b7d938a2fda3486fe83a2a27995c5c1e738c75a5,1
29012,9,,2023-07-05,24,,,,,قوة الشرطة,,,0,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,الجريدة الرسمية _ العدد التاسع _ يوليو 2023 م,8d737575a5c5f086a7a55640b7d938a2fda3486fe83a2a27995c5c1e738c75a5,1
29012,9,,2023-07-05,25,قانون,,12,2023,إضافة حكم للقانون رقم (7) لسنة 2022م,,,0,2023-03-21,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,الجريدة الرسمية _ العدد التاسع _ يوليو 2023 م,8d737575a5c5f086a7a55640b7d938a2fda3486fe83a2a27995c5c1e738c75a5,1
29012,9,,2023-07-05,26,قانون,,13,2023,إضافة حكم للقانون رقم (2) لسنة 1979م,,,0,,,,,,,national,,,,,House of Representatives,الجريدة الرسمية _ العدد التاسع _ يوليو 2023 م,8d737575a5c5f086a7a55640b7d938a2fda3486fe83a2a27995c5c1e738c75a5,1
29012,9,,2023-07-05,26,,,,,اجلرائم االقتصادية,,,0,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,الجريدة الرسمية _ العدد التاسع _ يوليو 2023 م,8d737575a5c5f086a7a55640b7d938a2fda3486fe83a2a27995c5c1e738c75a5,1
29012,9,,2023-07-05,27,قانون,,14,2023,إضافة حكم للقانون رقم (2) لسنة 1979م بشأن اجلرائم االقتصادية,,,0,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,الجريدة الرسمية _ العدد التاسع _ يوليو 2023 م,8d737575a5c5f086a7a55640b7d938a2fda3486fe83a2a27995c5c1e738c75a5,1
29012,9,,2023-07-05,29,قانون,,16,2023,حتديد احلد األدنى للمرتبات واألجور,,,0,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,الجريدة الرسمية _ العدد التاسع _ يوليو 2023 م,8d737575a5c5f086a7a55640b7d938a2fda3486fe83a2a27995c5c1e738c75a5,1
29398,10,,2023-08-07,3,قانون,,3,2023,النقابات واالحتادات والروابط املهنية,,,0,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد العاشر من الجريدة الرسمية لمجلس النواب الليبي _ أغسطس 2023 م,b51755dd30a74b7c7c0bb50cd17ee8017c2d48fecde87c9f0a84dfee81df3810,1
29398,10,,2023-08-07,7,قانون,,17,2023,تنظيم األنشطة اإلشعاعية، والنووية، والرقابة عليها,,,0,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد العاشر من الجريدة الرسمية لمجلس النواب الليبي _ أغسطس 2023 م,b51755dd30a74b7c7c0bb50cd17ee8017c2d48fecde87c9f0a84dfee81df3810,1
29398,10,,2023-08-07,36,قانون,,19,2023,إضافة حكم إىل القانون رقم (17) لسنة 1986م بشأن املسؤولية الطبية,,,0,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد العاشر من الجريدة الرسمية لمجلس النواب الليبي _ أغسطس 2023 م,b51755dd30a74b7c7c0bb50cd17ee8017c2d48fecde87c9f0a84dfee81df3810,1
