issue_id,issue_number,issue_year,issue_date,page,decision_kind,issuing_body,decision_number,decision_year,subject,act_ar,act_en,is_appointment,signed_gregorian,signed_hijri,issued_at,issued_at_shabiya_ar,issued_at_shabiya_en,issued_at_shabiya_pcode,office_scope,office_shabiya_ar,office_shabiya_en,office_shabiya_pcode,office_place_matched_on,publishing_authority,source_document,source_sha256,printed_in_issues,person_name,person_key,person_line
29398,10,,2023-08-07,63,قرار,جملس النواب,20,2023,تكليف رئيس للمجلس األعلى للقضاء,تكليف,assignment,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد العاشر من الجريدة الرسمية لمجلس النواب الليبي _ أغسطس 2023 م,b51755dd30a74b7c7c0bb50cd17ee8017c2d48fecde87c9f0a84dfee81df3810,1,,,
34115,2,2,2024-05-23,1,قانون,,5,2024,تكليف مبهام,تكليف,assignment,1,,,,,,,national,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الثانية,3b09854438fcb27a1717ffb32bbae4cb1ed2c6b7ac7868ff2ca6c460a945e015,1,,,
34115,2,2,2024-05-23,17,قرار,جملس النواب,17,2023,تكليف رئيس هليئة الرقابة اإلدارية,تكليف,assignment,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الثانية,3b09854438fcb27a1717ffb32bbae4cb1ed2c6b7ac7868ff2ca6c460a945e015,1,,,
34762,7,2,2024-09-03,1,قرار,مكتب رئاسة جملس النواب,13,2024,تسمية وكيل ديوان احملاسبة,تسمية,naming,1,,,,,,,national,,,,,House of Representatives,العدد السابع - السنة الثانية من الجريدة الرسمية,d66e40645abba3d6e734c134843fab817ef2a4f1159942b0ad20d70da2ff9166,1,,,
36135,9,2,2024-11-24,5,قرار,رئيس جملس النواب,57,2024,تسمية رئيس جملس إدارة املنطقة االقتصادية اخلاصة وادي احلرير,تسمية,naming,1,2024-08-20,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد التاسع - السنة الثانية من الجريدة الرسمية,0cf1ea3773dbae54daaf33a9f4f0151f1286917541571aca66e774490ad1ab35,1,الطاهر عىل الحويج,الطاهرعياللحويج,يُسمى السيد /الطاهر عىل الحويج رئيسا ملجلس إدارة املنطقة االقتصادية الخاصة وادي
36135,9,2,2024-11-24,6,قرار,رئيس جملس النواب,73,2024,تشكيل جلنة الصداقة الربملانية الليبية املغربية,تشكيل,committee_formation,1,2024-10-13,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد التاسع - السنة الثانية من الجريدة الرسمية,0cf1ea3773dbae54daaf33a9f4f0151f1286917541571aca66e774490ad1ab35,1,املربوك عبد الله منصور,املربوكعبداللهمنصور,1 - السيد /املربوك عبد الله منصو ر عضو مجلس النواب (رئي ًسا للجنة)
36135,9,2,2024-11-24,6,قرار,رئيس جملس النواب,73,2024,تشكيل جلنة الصداقة الربملانية الليبية املغربية,تشكيل,committee_formation,1,2024-10-13,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد التاسع - السنة الثانية من الجريدة الرسمية,0cf1ea3773dbae54daaf33a9f4f0151f1286917541571aca66e774490ad1ab35,1,محمد إبراهيم إسماع يل تامر,محمدابراهيماسماعيلتامر,2 - السيد/ محمد إبراهيم إسماع يل تامر عضو مجلس النواب
36135,9,2,2024-11-24,6,قرار,رئيس جملس النواب,73,2024,تشكيل جلنة الصداقة الربملانية الليبية املغربية,تشكيل,committee_formation,1,2024-10-13,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد التاسع - السنة الثانية من الجريدة الرسمية,0cf1ea3773dbae54daaf33a9f4f0151f1286917541571aca66e774490ad1ab35,1,صباح جمعة محمد الحاج,صباحجمعهمحمدالحاج,3 - السيدة /صباح جمعة محمد ا لحاج عضو مجلس النواب
36135,9,2,2024-11-24,6,قرار,رئيس جملس النواب,73,2024,تشكيل جلنة الصداقة الربملانية الليبية املغربية,تشكيل,committee_formation,1,2024-10-13,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد التاسع - السنة الثانية من الجريدة الرسمية,0cf1ea3773dbae54daaf33a9f4f0151f1286917541571aca66e774490ad1ab35,1,عيىس محمد السنو يس,عييسمحمدالسنويس,4 - السيد / عيىس محمد السنو يس عضو مجلس النواب
38378,1,3,2025-04-28,4,قرار,جملس النواب,11,2024,تكليف مبهام,تكليف,assignment,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الأول - السنة الثالثة من الجريدة الرسمية,70814b3b6c5a824e18c219cd144d26cb94807faadba438289c96e908d2d9f0c1,1,,,
