issue_id,issue_number,issue_year,issue_date,page,decision_kind,issuing_body,decision_number,decision_year,subject,act_ar,act_en,is_appointment,signed_gregorian,signed_hijri,issued_at,issued_at_shabiya_ar,issued_at_shabiya_en,issued_at_shabiya_pcode,office_scope,office_shabiya_ar,office_shabiya_en,office_shabiya_pcode,office_place_matched_on,publishing_authority,source_document,source_sha256,printed_in_issues,person_name,person_key,person_line
38378,1,3,2025-04-28,6,قرار,رئيس جملس النواب,88,2024,تشكيل جلنة إشراف على أعمال صندوق التأمني الصحي,تشكيل,committee_formation,1,2024-11-21,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الأول - السنة الثالثة من الجريدة الرسمية,70814b3b6c5a824e18c219cd144d26cb94807faadba438289c96e908d2d9f0c1,1,,,
38378,1,3,2025-04-28,7,قرار,رئيس جملس النواب,100,2024,تشكيل جلنة الصداقة الربملانية الليبية اإليطالية,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد الأول - السنة الثالثة من الجريدة الرسمية,70814b3b6c5a824e18c219cd144d26cb94807faadba438289c96e908d2d9f0c1,1,الصادق عىل ال كحيىل,الصادقعياللكحييل,1. السيد / الصادق عىل ال كحيىل عضو مجلس النواب رئيساً للجنة
38378,1,3,2025-04-28,7,قرار,رئيس جملس النواب,100,2024,تشكيل جلنة الصداقة الربملانية الليبية اإليطالية,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد الأول - السنة الثالثة من الجريدة الرسمية,70814b3b6c5a824e18c219cd144d26cb94807faadba438289c96e908d2d9f0c1,1,أحمد الشارف الصغري أرحومة,احمدالشارفالصغريارحومه,2. السيد / أحمد الشارف الصغري أرحومة عضو مجلس النواب نائبا لرئيس اللجنة
38378,1,3,2025-04-28,7,قرار,رئيس جملس النواب,100,2024,تشكيل جلنة الصداقة الربملانية الليبية اإليطالية,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد الأول - السنة الثالثة من الجريدة الرسمية,70814b3b6c5a824e18c219cd144d26cb94807faadba438289c96e908d2d9f0c1,1,اسمهان عبد القادر بل عون,اسمهانعبدالقادربلعون,3. السيدة /اسمهان عبد القادر بل عون عضو مجلس النواب
38378,1,3,2025-04-28,7,قرار,رئيس جملس النواب,100,2024,تشكيل جلنة الصداقة الربملانية الليبية اإليطالية,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد الأول - السنة الثالثة من الجريدة الرسمية,70814b3b6c5a824e18c219cd144d26cb94807faadba438289c96e908d2d9f0c1,1,سعيد مصطفى محمد مغيب,سعيدمصطفيمحمدمغيب,4. السيد /سعيد مصطفى محمد مغيب عضو مجلس النواب
38378,1,3,2025-04-28,7,قرار,رئيس جملس النواب,100,2024,تشكيل جلنة الصداقة الربملانية الليبية اإليطالية,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد الأول - السنة الثالثة من الجريدة الرسمية,70814b3b6c5a824e18c219cd144d26cb94807faadba438289c96e908d2d9f0c1,1,مفتاح عيىس أبوبكر ال كرتيحي,مفتاحعييسابوبكرالكرتيحي,5. السيد / مفتاح عيىس أبوبكر ال كرتيحي عضو مجلس النواب
38378,1,3,2025-04-28,7,قرار,رئيس جملس النواب,100,2024,تشكيل جلنة الصداقة الربملانية الليبية اإليطالية,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد الأول - السنة الثالثة من الجريدة الرسمية,70814b3b6c5a824e18c219cd144d26cb94807faadba438289c96e908d2d9f0c1,1,عبد املنعم عمار بكلور,عبداملنعمعماربكلور,6. السيد /عبد املنعم عما ر بكلور عضو مجلس النواب
40771,,,2025-09-22,3,,,,,تعيين رئيس، ووكيلين للهيئة العليا للحج والعمرة,تعيين,appointment,1,2025-03-23,,,,,,national,,,,,House of Representatives,العدد السادس من الجريدة الرسمية – السنة الثالثة,551b66d78d603cc3b99a792164c799bd61320de6ae58b2992b0e818479c02ff8,1,,,
42314,7,3,2025-12-22,5,قرار,جملس النواب,1,2025,تشكيل جلنة وحتديد مهامها,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد السابع من الجريدة الرسمية - السنة الثالثة,f3a9211d56f5bd917d74e670d6299430afded4535c75bf3c6a5f76fdc276441d,1,,,
42314,7,3,2025-12-22,7,قرار,جملس النواب,4,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-26,,,,,,national,,,,,House of Representatives,العدد السابع من الجريدة الرسمية - السنة الثالثة,f3a9211d56f5bd917d74e670d6299430afded4535c75bf3c6a5f76fdc276441d,1,,,
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,سلطنة مسعود بوب كر,سلطنهمسعودبوبكر,"1. السيدة/ د. سلطنة مسعود بوب كر ""رئي ًسا"""
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,حسني الخم ري غيث,حسنيالخمريغيث,2. السيد/ د. حسني الخم ري غيث نائب الرئيس
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,رفيق رمضان املهدوي,رفيقرمضاناملهدوي,3. السيد/ د. رفيق رمضان املهدو ي عض ًوا
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,عارف رمضان العريبي,عارفرمضانالعريبي,4. السيد/ د. عارف رمضان العريب ي عض ًوا
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,عبد الحكيم املربوكق لية,عبدالحكيماملربوكقليه,5. السيد/ د. عبد الحكيم املربوك ق لية عض ًوا
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,عبد العزيز عيل الراب طي,عبدالعزيزعياللرابطي,6. السيد/ د. عبد العزيز عيل الراب طي عض ًوا
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,عبد الحق عبد العاطي املنصو,عبدالحقعبدالعاطياملنصو,7. السيد/ د. عبد الحق عبد العاطي املنصو ري عض ًوا
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,نعيمة سلطان ظافر,نعيمهسلطانظافر,8. السيدة/ د. نعيمة سلطان ظاف ر عض ًوا
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,عبد الرحمن محمد ال سنويس,عبدالرحمنمحمدالسنويس,9. السيد/ د. عبد الرحمن محمد ال سنويس عض ًوا
42580,8,3,2025-12-29,10,قرار,رئيس جملس النواب,91,2025,تشكيل جلنة، وحتديد مهامها,تشكيل,committee_formation,1,2025-11-12,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثامن من الجريدة الرسمية - السنة الثالثة,5964b1e2a3067a76e358197d389a91833db93467d2de349f8f1ee6a91767d28f,1,سارة عبد الله اقلي صة,سارهعبداللهاقليصه,10. السيدة/ د. سارة عبد الله اقلي صة عض ًوا
43371,1,4,2026-04-01,12,قرار,جملس النواب,4,2026,تسمية أعضاء املفوضية الوطنية العليا لالنتخابات,تسمية,naming,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الأول من الجريدة الرسمية - السنة الرابعة,adceb7fec78c3a072cb067fc200e91b66eaea3cb4d3e82308da33b8a392e417b,1,,,
43375,2,4,2026-04-05,3,قرار,جملس النواب,5,2026,تشكيل جلنة وحتديد مهامها,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الرابعة,468f5c84d8090cf41c57c1313d98f703e44b5a06acf86e1d61d5c2b61927d4e9,1,صالح قلمهي سكو,صالحقلمهيسكو,1) السيد/ صالح قلمه ي سكو عضو مجلس النواب
43375,2,4,2026-04-05,3,قرار,جملس النواب,5,2026,تشكيل جلنة وحتديد مهامها,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الرابعة,468f5c84d8090cf41c57c1313d98f703e44b5a06acf86e1d61d5c2b61927d4e9,1,الهادي عيلم حمد,الهاديعيلمحمد,2) السيد / الهادي عيل م حمد عضو مجلس النواب
43375,2,4,2026-04-05,3,قرار,جملس النواب,5,2026,تشكيل جلنة وحتديد مهامها,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الرابعة,468f5c84d8090cf41c57c1313d98f703e44b5a06acf86e1d61d5c2b61927d4e9,1,الصديق مفتاح حمودة,الصديقمفتاححموده,3) السيد/ الصديق مفتا ح حمودة عضو مجلس النواب
43375,2,4,2026-04-05,3,قرار,جملس النواب,5,2026,تشكيل جلنة وحتديد مهامها,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الرابعة,468f5c84d8090cf41c57c1313d98f703e44b5a06acf86e1d61d5c2b61927d4e9,1,أسماء محمود الخو جة,اسماءمحمودالخوجه,4) السيدة / أسماء محمود الخو جة عضو مجلس النواب
43375,2,4,2026-04-05,3,قرار,جملس النواب,5,2026,تشكيل جلنة وحتديد مهامها,تشكيل,committee_formation,1,,,بنغازي,بنغازي,Benghazi,LY0103,national,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الرابعة,468f5c84d8090cf41c57c1313d98f703e44b5a06acf86e1d61d5c2b61927d4e9,1,عبد الوهاب عمر زولية,عبدالوهابعمرزوليه,5) السيد / عبد الوهاب عمر زولي ة عضو مجلس النواب
43375,2,4,2026-04-05,5,قرار,رئيس جملس النواب,114,2025,تشكيل جلنة الصداقة الربملانية الليبية الربيطانية,تشكيل,committee_formation,1,2025-12-31,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الرابعة,468f5c84d8090cf41c57c1313d98f703e44b5a06acf86e1d61d5c2b61927d4e9,1,فريحة عبد السالم الحضريي,فريحهعبدالسالمالحضريي,"السيدة/ فريحة عبد السالم الحضريي عضو مجلس النواب ""رئيساً"""
43375,2,4,2026-04-05,5,قرار,رئيس جملس النواب,114,2025,تشكيل جلنة الصداقة الربملانية الليبية الربيطانية,تشكيل,committee_formation,1,2025-12-31,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الرابعة,468f5c84d8090cf41c57c1313d98f703e44b5a06acf86e1d61d5c2b61927d4e9,1,طارق عبد الله األ شرت,طارقعبداللهاالشرت,"السيد/ طارق عبد الله األ شرت عضو مجلس النواب ""عضواً"""
43375,2,4,2026-04-05,5,قرار,رئيس جملس النواب,114,2025,تشكيل جلنة الصداقة الربملانية الليبية الربيطانية,تشكيل,committee_formation,1,2025-12-31,,بنغازي,بنغازي,Benghazi,LY0103,bilateral,,,,,House of Representatives,العدد الثاني من الجريدة الرسمية - السنة الرابعة,468f5c84d8090cf41c57c1313d98f703e44b5a06acf86e1d61d5c2b61927d4e9,1,إبراهيم محمد كر نفودة,ابراهيممحمدكرنفوده,"السيد/ إبراهيم محمد كر نفودة عضو مجلس النواب ""عضواً"""
